"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b8685f91-063e-4ed3-b65a-6f044df37d82","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"9251b7ac-796e-4183-b45a-a79cf3443a7f","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"eca9fb07-85f4-45cc-a587-9706d45a422c","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"939a3f11-a457-49fa-b1ea-c2cea7a40812","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"82622567-33f8-4b6c-ac1e-3d062c31d103","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"100bf9a1-2ccc-4a15-8e9e-88d6a459737b","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"298d32e8-3603-4748-b2a2-d23576a8e859","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA"
"19ed13a1-35d3-40b2-b53d-37f306e69561","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey East Roofs"
"875c23d6-753c-47c3-8155-4e219232ce89","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey East Roofs","2no UniRail Abseil System "
"3ad84ea0-9ed0-430c-9f9e-b96df4b6bb3c","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 "
"aa3c4e44-fbdf-4169-82a0-fb434bfd21ad","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Rail Checklist 01","Description input of location / person Rail systems shuttle left with"
"ba1c283d-22d0-4d97-947a-18c6393e8d74","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 01 ","Rail Checklist 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"8b06ae59-b36a-4db7-89a1-be0f9c696609","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02"
"e404f803-621e-450c-80a9-ce99577d92ad","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Pre-Fit Off Checklist - UNRail 02"
"eb845214-13f5-49c4-97f6-9d00212f8e16","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Pre-Fit Off Checklist - UNRail 02","Confirm structure is in accordance to the details provided"
"5a1cf76c-abb9-40ec-9e4a-64e47c4b4a6a","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Pre-Fit Off Checklist - UNRail 02","EMAIL PM"
"1dafe8f7-f679-4d5e-bf43-2f7bbd07996b","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Pre-Fit Off Checklist - UNRail 02","Plinths/ bases/post installed in accordance with details provided"
"4d5d2944-767e-43a0-a4c8-f4498b927fc8","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Pre-Fit Off Checklist - UNRail 02","Photos taken"
"75172376-cea2-4bc1-9551-0cc6da92e19d","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Rail Checklist 02"
"cffbbf5d-c060-4e37-b3cc-28f3ff473c0f","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Rail Checklist 02","Confirm the structure is in accordance with the details supplied by PBI"
"5f6b1cc5-8d7a-4bb6-acea-8414078c367e","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Rail Checklist 02","EMAIL PM"
"26951ea7-1dca-4288-a761-b597edc09c6c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Rail Checklist 02","Photo taken of Engraved Line Plate / ID Tag"
"38aee799-5337-4c3c-9b65-6f9d03504572","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Rail Checklist 02","Video taken of system"
"71fe3cb0-eadb-4cf8-a9d9-ed5ae893a155","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Rail Checklist 02","Description input of location / person Rail systems shuttle left with"
"9c9b9e23-dbb1-4ca2-8ee6-12fb83dc4026","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","2no UniRail Abseil System ","UNRail 02","Rail Checklist 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"790091c6-874d-4941-95fd-1da133b4ded3","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors "
"0375f190-e41d-449d-b76a-076590fc572d","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Pre-Fit Off Checklist - AP Type 01 Anchors 1-4"
"2aba7dfb-ebce-4478-ba1b-3a77a3d124d1","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Pre-Fit Off Checklist - AP Type 01 Anchors 1-4","Confirm structure is in accordance to the details provided"
"d587b098-4a61-41b8-bd1a-f6b0c01a7690","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Pre-Fit Off Checklist - AP Type 01 Anchors 1-4","EMAIL PM"
"c079de15-3ea0-4a27-974c-5576cb6dfefd","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Pre-Fit Off Checklist - AP Type 01 Anchors 1-4","Plinths/ bases/post installed in accordance with details provided"
"78244264-a87a-4851-aeef-24a398271e31","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Pre-Fit Off Checklist - AP Type 01 Anchors 1-4","Photos taken"
"30f695ab-820f-44fc-8051-b3f9cd1cb784","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 01"
"6da5b529-8f6d-4578-a9dc-e6dffae00735","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 01","Confirm the structure is in accordance with the details supplied by PBI"
"4528f4e5-5bff-4bc2-8f11-a493a8a837fc","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 01","EMAIL PM"
"9ef4166a-f552-4dfa-9c8c-edc1b185d14b","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 01","Required number of photo(s) taken of installed anchor(s)"
"41ae7c30-00ae-4880-8962-ca2f6e488bbc","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"9f15aa1e-fb1f-41cb-83b1-2ebd0cd03f0e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 02"
"dbac14b8-39d0-4ef1-8e09-97fb19235f4d","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 02","Confirm the structure is in accordance with the details supplied by PBI"
"696adbfa-1c6a-4dea-bdbc-e3f1c6b5b464","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 02","EMAIL PM"
"146c97ba-19f2-42bf-9f1e-a23e272e2164","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"d901375f-bac9-4e73-9da2-ea0668d034fe","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"cd4f9bf1-0654-44a5-9d9e-ac6906cb4de2","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 03"
"f707381d-c60f-4936-a20c-8c0550732af0","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 03","Confirm the structure is in accordance with the details supplied by PBI"
"56557a3c-a289-4cb1-a9fc-b3f4fe4e41aa","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 03","EMAIL PM"
"e9de8311-5a48-45ef-aae1-d7855e8eb873","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"b50344e9-1ce5-411c-b754-7e88661e8aa5","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"f0f04fcd-a818-4f9c-a291-ed5569f76de5","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 04"
"5511de11-88bf-487e-a164-1052e5b8068a","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 04","Confirm the structure is in accordance with the details supplied by PBI"
"e86c9f7c-85aa-4258-ab06-05ce92f1f5bc","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 04","EMAIL PM"
"c3d77045-aea7-47ca-9997-531d9411ba11","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"92e7d079-7508-4849-a550-4be724af2a5a","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","4no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"f784e3cb-fd81-4f38-87bb-62cf8e267d4c","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey East Roofs","1no RoofSafe Rail System "
"35642799-a247-4f28-b628-2f0c507db4be","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Pre-Fit Off Checklist - RSRail 01"
"75dc110f-615a-4fb2-a550-e69ed561496e","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Pre-Fit Off Checklist - RSRail 01","Confirm structure is in accordance to the details provided"
"dcff683c-48c0-4b7e-a555-038fe3ad3aa3","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Pre-Fit Off Checklist - RSRail 01","EMAIL PM"
"e03c2eaf-c8ce-4e55-8466-debaf9073567","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Pre-Fit Off Checklist - RSRail 01","Plinths/ bases/post installed in accordance with details provided"
"d0e63d66-98d3-41fa-9861-f8b2d021b55d","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Pre-Fit Off Checklist - RSRail 01","Photos taken"
"2529fe2d-107c-4724-910e-c8d4221f5105","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Rail Checklist 01"
"996e200e-ae70-41c9-b0ca-71e81915d636","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Rail Checklist 01","Confirm the structure is in accordance with the details supplied by PBI"
"453f89da-fc4d-415b-8ac4-1dac765ba882","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Rail Checklist 01","EMAIL PM"
"3b24901f-1f7e-46bd-b4d2-4ad3adcb6a2e","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Rail Checklist 01","Photo taken of Engraved Line Plate / ID Tag"
"6ace28c5-1c37-4cad-93e6-0f9941c0c24f","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Rail Checklist 01","Video taken of system"
"c59220e4-7eff-4089-9b58-73602bbb59a4","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Rail Checklist 01","Description input of location / person Rail systems shuttle left with"
"f5b16921-75a3-489a-8ca9-419e29ac22f4","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey East Roofs","1no RoofSafe Rail System ","Rail Checklist 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"4b1f44a9-b391-4d53-bf00-67b207a77858","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey West Roofs"
"3bc1835d-a284-4644-9600-1e01540e883b","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey West Roofs","1no UnRail Abseil System "
"aedfccf0-2a99-42fe-874a-3645ee58d8e3","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Pre-Fit Off Checklist - UNRail 03"
"9456c0c4-80a3-4a78-8708-160099c98556","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Pre-Fit Off Checklist - UNRail 03","Confirm structure is in accordance to the details provided"
"4c623367-e6b1-49cb-889c-22b24b20b247","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Pre-Fit Off Checklist - UNRail 03","EMAIL PM"
"a3d3e22b-02cd-456a-bb5e-9814f21b5c3a","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Pre-Fit Off Checklist - UNRail 03","Plinths/ bases/post installed in accordance with details provided"
"6a2fd8ff-ef48-485b-b418-00d2ef29f21a","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Pre-Fit Off Checklist - UNRail 03","Photos taken"
"219cdd47-aa88-4895-94b8-89f14fdafd63","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Rail Checklist 03"
"12a99dba-cb9c-445b-a245-1ccbc3e49bfa","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Rail Checklist 03","Confirm the structure is in accordance with the details supplied by PBI"
"3f94ffc2-7238-404b-91b3-dc245099a92a","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Rail Checklist 03","EMAIL PM"
"e9a2f7c1-68cc-48d6-9aeb-c54edb2e086a","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Rail Checklist 03","Photo taken of Engraved Line Plate / ID Tag"
"2d237c4c-1999-4d75-81a6-9360b98bc663","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Rail Checklist 03","Video taken of system"
"b3372499-ce8b-408e-ad4b-abf14b8b8b18","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Rail Checklist 03","Description input of location / person Rail systems shuttle left with"
"bbf18d83-83fb-4138-936b-fb3463efd211","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","1no UnRail Abseil System ","Rail Checklist 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"cbaf54f0-4653-403b-a0c3-a1cb326461d2","","folder-normal","not-started","","step","TRUE","FALSE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors "
"feb85434-4f10-40ff-8854-c4dc3f16271a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Pre-Fit Off Checklist - AP Type 01 Anchors 5-10"
"43b6d267-1803-4d99-9f53-22fb457a65e4","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Pre-Fit Off Checklist - AP Type 01 Anchors 5-10","Confirm structure is in accordance to the details provided"
"189f0c24-713f-4414-88b7-d4429a8d03e9","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Pre-Fit Off Checklist - AP Type 01 Anchors 5-10","EMAIL PM"
"ecdc377e-748d-430b-9951-376b06eebf45","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Pre-Fit Off Checklist - AP Type 01 Anchors 5-10","Plinths/ bases/post installed in accordance with details provided"
"62cf2f3c-41c5-4f21-becf-7943ee8a2b80","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Pre-Fit Off Checklist - AP Type 01 Anchors 5-10","Photos taken"
"2019ff4b-ce24-45b9-b61f-cb61c305aecc","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 05"
"d921dd31-e734-49c9-be42-ab5ab7020f1b","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 05","Confirm the structure is in accordance with the details supplied by PBI"
"3d6ec0c4-6b2f-45b5-929c-840fca701483","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 05","EMAIL PM"
"f54b7227-ade3-4473-9443-ba5dda991881","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 05","Required number of photo(s) taken of installed anchor(s)"
"e35746b9-933c-4c60-8c7e-91850aae3640","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"e4951f5e-8de1-4e66-939d-1b282b394661","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 06"
"24f60bc0-0d51-4be3-9093-57cc13dfb38f","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 06","Confirm the structure is in accordance with the details supplied by PBI"
"7b65d1ad-2468-408e-b4b6-5c0a4754c3e8","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 06","EMAIL PM"
"572d6543-7821-4d61-a3b3-3b19fd80ff3b","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"d8b379b8-bca3-41ce-ac5b-23278ce25f9e","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"e9ad9818-0152-438a-8a91-849dabd28441","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 07"
"2b519799-55e2-4dd3-8ea4-2c6d075d0d0c","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 07","Confirm the structure is in accordance with the details supplied by PBI"
"e91b8f97-a8da-4f49-83c5-46c0a93fb132","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 07","EMAIL PM"
"1487f7c6-7ad2-4547-864f-297ac8e5f902","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
"dbf81681-4531-43aa-be18-b9621385947e","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"548c05b9-de28-4fe3-8d7b-5db1a14b0c58","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 08"
"5973b895-e1d5-48d6-b095-b6d064241480","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 08","Confirm the structure is in accordance with the details supplied by PBI"
"ceaf7275-e960-4ee2-9c79-f814d6477fe6","","holdpoint","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 08","EMAIL PM"
"1088c35e-897e-44ce-bea2-c3b09135fb62","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 08","Required number of photo(s) taken of installed anchor(s)"
"2d662036-0c75-4e63-87ff-fcd65aa60712","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","Halsey West Roofs","6no AP Type 01 - Abseil Anchors ","Fit Off Checklist - Anchor 08","Installed as per PBI drawings supplied and manufacturer's requirements"
