"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"27ee9fee-b299-4a24-a658-b61604603e9f","","folder-normal","","","step","TRUE","FALSE","Below Ground"
"c7f8442c-6c07-4001-97bb-48882a602ef2","","folder-normal","","","step","TRUE","FALSE","Below Ground","Site/Early Works"
"07f83dfa-af4f-4921-a479-f13e2d80298a","","checklist-flat","","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 1","Commision"
"c838019e-13bc-491c-80ce-344363808810","","folder-normal","","","step","TRUE","FALSE","Ground Floor","Zone 2"
"bdea2946-7638-43de-9f46-1e2a192dc17c","","checklist-flat","","Above Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Above Ground Sewer Drainage"
"4f46e5fc-a8cb-41e0-ad09-4930665299a8","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Cold Water"
"e78e039a-5914-4d71-bf64-9082ebca2900","","checklist-flat","","Hot Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Hot Water"
"b6e13662-0ba0-4997-880e-a565b5e9a729","","checklist-flat","","Sanitary Waste & Vents - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Sanitary Waste & Vents"
"807cf045-2786-42ff-906c-8bda7fc39eaf","","checklist-flat","","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Sanitary Fixture"
"0c7b3ac0-709a-42ff-8a32-5772abe871aa","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Stormwater Above Ground"
"22d7b7de-0819-4ecc-9d27-340f337ccb18","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Downpipe Installation"
"430ce08b-5ca5-41d2-b858-2313d3d8e1a7","","checklist-flat","","Recycled Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Recycled Water"
"2d8d19d5-63ea-4b32-97d0-cdb34a40ac7a","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Penetrations"
"80c015e9-cb2a-4aac-849b-cd889f09f6e3","","checklist-flat","","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 2","Commision"
"4e6b30b4-7330-4c7c-a838-907ae8a4ce14","","folder-normal","","","step","TRUE","FALSE","Ground Floor","Zone 3"
"96241d59-51a2-46d6-af6e-d310171e0131","","checklist-flat","","Above Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Above Ground Sewer Drainage"
"d63ead52-30a6-492b-8da3-8f7a849618ef","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Cold Water"
"0699f542-d79d-40db-9436-4ef38ce8ea48","","checklist-flat","","Hot Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Hot Water"
"ca3382b8-0b15-45da-9bb1-c1a3af1a8f43","","checklist-flat","","Sanitary Waste & Vents - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Sanitary Waste & Vents"
"7e2864f7-37a4-4ae3-b737-08ecbce65428","","checklist-flat","","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Sanitary Fixture"
"d8e8c3fa-c1f2-4315-abcc-69b99066963c","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Stormwater Above Ground"
"f6e51a05-ba4b-4e35-9803-ed02e0588bd2","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Downpipe Installation"
"04fd6c4d-0166-4b69-8503-9998402803af","","checklist-flat","","Recycled Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Recycled Water"
"9d87a752-414c-4483-8839-ccac019cc3d9","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Penetrations"
"18ca0bef-ece3-4f64-a511-a88a5278c828","","checklist-flat","","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 3","Commision"
"74bd5b77-1253-40ca-b648-8617a06b0d20","","folder-normal","","","step","TRUE","FALSE","Ground Floor","Zone 4"
"5d305087-5d90-4d8e-bdfa-261ec1947cf6","","checklist-flat","","Above Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Above Ground Sewer Drainage"
"45693673-143a-4834-a83d-87e8048b32a4","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Cold Water"
"77811108-7f68-4614-891f-b9f8cb86580f","","checklist-flat","","Hot Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Hot Water"
"1701b8e7-a6f2-4c50-9fe9-1f6cf14fabd2","","checklist-flat","","Sanitary Waste & Vents - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Sanitary Waste & Vents"
"a9668ec4-bb4b-42c9-933a-e9c91971d9d0","","checklist-flat","","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Sanitary Fixture"
"fb0cbe76-fd50-4e3e-8a94-bd6e12c03805","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Stormwater Above Ground"
"45d7e5da-0b22-49f5-a407-3711e1db6275","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Downpipe Installation"
"97809658-ac56-447a-b933-a969b87f0097","","checklist-flat","","Recycled Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Recycled Water"
"762f1918-c1fe-45c6-b710-b5fbfc0a66e3","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Penetrations"
"e27f4ed9-3632-4ec4-a6db-2df51f401461","","checklist-flat","","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 4","Commision"
"ebd4e55e-569f-466b-9563-68986d6c8473","","folder-normal","","","step","TRUE","FALSE","Ground Floor","Zone 5"
"7f9511af-33c7-4bf0-bcea-482613cc28f7","","checklist-flat","","Above Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Above Ground Sewer Drainage"
"b222b8e6-2915-414c-bacb-89cc63d2e39d","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Cold Water"
"de742073-7bb8-476e-a3ce-8c1eed6153c3","","checklist-flat","","Hot Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Hot Water"
"6a56636e-6fb9-422b-8214-112d2bf5016e","","checklist-flat","","Sanitary Waste & Vents - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Sanitary Waste & Vents"
"ca6b4aee-de65-4f24-8b37-124f75d4a568","","checklist-flat","","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Sanitary Fixture"
"1c13e376-39d1-474d-b8e4-e008126c23b9","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Stormwater Above Ground"
"816f1487-0096-4eb9-980b-87e64713f925","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Downpipe Installation"
"5bb1bd17-f0f9-410c-81ff-ba1c6f98c816","","checklist-flat","","Recycled Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Recycled Water"
"1dee7437-3b23-4a88-88d1-566671a000d4","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Penetrations"
"ffdf728c-3462-447e-a955-5107635593c3","","checklist-flat","","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 5","Commision"
"a15a46b5-ecbf-4244-bc78-b213f110889e","","folder-normal","","","step","TRUE","FALSE","Ground Floor","Zone 7"
"abc078b2-984a-4475-89ce-9c2c2b027010","","checklist-flat","","Above Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Above Ground Sewer Drainage"
"2d98934b-f1fe-4eb5-98db-a3ed4d7c5a21","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Cold Water"
"13e11d14-cda1-4798-8d6b-614eb0536055","","checklist-flat","","Hot Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Hot Water"
"3b536b51-3b64-4153-8810-b56af7b39793","","checklist-flat","","Sanitary Waste & Vents - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Sanitary Waste & Vents"
"5cd518f9-a451-402d-9449-ef4959b140a9","","checklist-flat","","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Sanitary Fixture"
"c49f3fe1-1f87-4cc7-b710-dc300d8e4dad","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Stormwater Above Ground"
"f9ce48f5-d5b8-438d-8364-665e1b593d34","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Downpipe Installation"
"383a6f6c-0bca-442c-8780-c6bbb05d6cc6","","checklist-flat","","Recycled Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Recycled Water"
"3b10841e-294f-4dfe-a3c3-f6f3b72dc4d6","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Penetrations"
"84859552-0cc2-44c5-9d1a-8eb71aabc32c","","checklist-flat","","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 7","Commision"
"efdac46c-df70-459f-8d80-de7b67a735f3","","folder-normal","","","step","TRUE","FALSE","Ground Floor","Zone 8"
"acbd388c-cf6c-414c-8566-40b1364891af","","checklist-flat","","Above Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Above Ground Sewer Drainage"
"dd02239f-eb02-4764-a18a-8a0ef4dfb337","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Cold Water"
"c7227b06-945b-475d-9fd4-36d5d1725d76","","checklist-flat","","Hot Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Hot Water"
"66b00776-a57e-4beb-bc56-d3c4d832a824","","checklist-flat","","Sanitary Waste & Vents - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Sanitary Waste & Vents"
"0c24afa8-fbea-40b9-af83-296f35b84025","","checklist-flat","","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Sanitary Fixture"
"b916f920-d271-4a31-acc7-d68f849e79c0","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Stormwater Above Ground"
"1046b8d4-cb7d-46ca-ad8c-e92dff009cd1","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Downpipe Installation"
"10967a9b-4c7e-4700-9b29-8c69c6f2337a","","checklist-flat","","Recycled Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Recycled Water"
"6247073e-bb0e-4a3d-bcbf-23b39dfae0eb","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Penetrations"
"b1766833-e481-4c77-be92-8313c5920bef","","checklist-flat","","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Ground Floor","Zone 8","Commision"
"fc0ad1eb-ed71-4662-ac14-1bb0818b3bfb","","folder-normal","","","step","TRUE","FALSE","Level 1"
"e3e457ee-65fe-4ec2-8d02-647d46986230","","folder-normal","","","step","TRUE","FALSE","Level 1","Zone 1"
"2c40dfd1-38d7-48b2-9e7b-cfda8d5e2c2d","","checklist-flat","","Above Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 1","Above Ground Sewer Drainage"
"f06eecf0-1f9c-40f4-9fb7-668253a8e0f8","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 1","Cold Water"
"ec594104-e801-460e-88bd-58bcfe5e861a","","checklist-flat","","Hot Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 1","Hot Water"
"8355c66d-4072-434f-bcd3-5d97838b1d95","","checklist-flat","","Sanitary Waste & Vents - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 1","Sanitary Waste & Vents"
"fd3a1219-71c2-40b6-b26d-e6e8cc63b1fa","","checklist-flat","","Sanitary Fixture - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 1","Sanitary Fixture"
"f05eb731-06b1-4d44-8cf4-95455c975630","","checklist-flat","","Stormwater Above Ground - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 1","Stormwater Above Ground"
"baebe06b-bf8b-4b52-a039-805b08da37a7","","checklist-flat","","Downpipe Installation - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 1","Downpipe Installation"
"074ca3a4-64d8-4d7d-9d26-6e82a1bedccc","","checklist-flat","","Recycled Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 1","Recycled Water"
"321012ab-0fe4-49b5-945c-8cf124a220e4","","checklist-flat","","Concrete Pour","checklist-flat","FALSE","FALSE","Level 1","Zone 1","Penetrations"
"bed2d44b-8d53-4c4f-b39d-579b12fec68f","","checklist-flat","","Commissioning (V.061221)","checklist-flat","FALSE","FALSE","Level 1","Zone 1","Commision"
"e395dd43-ee7b-4c04-8933-cad3c5ec644e","","folder-normal","","","step","TRUE","FALSE","Level 1","Zone 5"
"e52a2ad2-24c3-44f3-8c39-c27ab970b974","","checklist-flat","","Above Ground Sewer Drainage - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 5","Above Ground Sewer Drainage"
"3c5c4832-5f37-4235-ad23-7ce18551018c","","checklist-flat","","Cold Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 5","Cold Water"
"53493f1b-e7b1-4882-b10a-201476efefdd","","checklist-flat","","Hot Water - State Basketball Centre","checklist-flat","FALSE","FALSE","Level 1","Zone 5","Hot Water"
