"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5220acec-7563-469c-8961-38583c20c270","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"5d74c054-5c54-46a4-b4be-ff0bdf27f3ee","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 2"
"07cee29e-4099-4aba-b1b8-42637569a88f","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","308"
"3be03df4-253b-44ab-839d-cfac8cfbce05","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","309"
"0eba184c-72e6-4cce-8fc3-9981ccfdfff6","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","310"
"20ee6b33-0f37-49fd-9724-f583d965c645","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","311"
"d5187e6f-718b-4051-8e05-e86940821e73","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","312"
"23a62e0f-f9c5-4a69-a20a-e4df2bb0bf37","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","313"
"e0d561b8-74da-45af-870e-e2f30c269d0d","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","314"
"177cdf33-8e85-4391-bbcf-0bca7ec69e48","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","315"
"9976ce60-760a-4aef-8389-5418ea45a0ff","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","316"
"948941e5-6518-4511-938a-f05a9551036d","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","317"
"697383df-253b-49a8-a080-525891437986","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","318"
"b40a4060-9d00-43dc-aa6a-7ad345feb77b","","checklist-sectioned","not-started","Grouting Checklist","checklist","FALSE","FALSE","Site QA","Level 3","319"
"950e6fed-2ef7-4a55-88e6-4c1755ced7be","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 3","Level Signoff"
"8b7e113f-4f43-4d27-891f-e842e828c479","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 4"
"ff33b7d3-3caf-4763-b110-b019dfb20715","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 4","Level Signoff"
"627df057-e4eb-4f78-8962-3b1e615b8104","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
"07c6de64-8894-4cdc-9834-74b047f62f56","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 5","Level Signoff"
"0402f4a1-31ba-42d6-a9e2-db7e1ad72ba5","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 6"
"bf2d8def-e3f5-4dab-90ec-568a6d2dd13c","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 6","Level Signoff"
"672b940d-5ca7-480c-8bc0-4279ad249c60","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 7"
"f36a84f8-4eea-4022-a962-c241bb516ace","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 7","Level Signoff"
"a188b4ae-3d7d-4cdb-b130-e73188db2f98","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 8"
"d49816f5-04d8-4fb9-95fd-510a0da0f171","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 8","Level Signoff"
"c406c3a1-8662-453c-ae54-7980029f1792","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 9"
"4d791d81-5d02-44ca-b45e-734d7a800932","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 9","Level Signoff"
"45455ec1-f1b9-400a-a9cb-f66cca19431b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 10"
"bc95615c-a0bb-481b-9777-eb1a65d97067","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 10","Level Signoff"
"b3a23013-8c72-431a-b9d2-51e4aafc8377","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 11"
"37892c2c-94ea-498e-b0c6-3079fed8c4bc","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 11","Level Signoff"
"f004a539-d117-4ca4-a5b5-ae228272fbd6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 12"
"f3a2e62d-531d-49f7-bb0d-422ea0a79146","","checklist-flat","not-started","M-Social Management Signoff","checklist-flat","FALSE","FALSE","Site QA","Level 12","Level Signoff"
