"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"N17 - Offsite QA (Factory) - Apartment Overview"
,"Scope",,
,"Rows"
,,"N17 - Ground Floor","grouping","ground floor","n17","apartments"
,,"L2-13","expanded","l2-13-a-tc-l(n17-l2-13-l-m1c, m2c, m3c)","n17","2nd floor","apartments"
,,"L2-14","expanded","l2-14-a-tk-r(n17-l2-14-r-m1k, m2k)","n17","2nd floor","apartments"
,,"L2-15","expanded","l2-15-a-tb-l(n17-l2-15-l-m1b)","n17","2nd floor","apartments"
,,"L2-R-S1ST","expanded","n17-l2-l-s2st & n17-l2-r-s1st","n17","2nd floor","apartments"
,,"N17 - 3rd Floor","grouping","n17","3rd floor","apartments"
,,"L3-01","expanded","3rd floor","l3-01-a-tb-r(n17-l3-01-r-m1b, m2b)","n17","apartments"
,,"L3-02","expanded","l3-02-a-tc-l(n17-l3-02-l-m1c, m2c, m3c)","3rd floor","n17","apartments"
,,"L3-03","expanded","3rd floor","n17","l3-03-a-tc-l(n17-l3-03-l-m1c, m2c, m3c)","apartments"
,,"L3-04","expanded","l3-04-m-te2-r(n17-l3-04-l-m1e2, m2e2, m3e2)","3rd floor","n17","apartments"
,,"L3-05","expanded","l3-05-m-te1-r(n17-l3-05-r-m1e1, m2e1, m3e1)","3rd floor","n17","apartments"
,,"L3-06","expanded","l3-06-m-te1-r(n17-l3-06-r-m1e1, m2e1, m3e1)","3rd floor","n17","apartments"
,,"L3-07","expanded","l3-07-m-tf-r(n17-l3-07-r-m1f, m2f, m3f)","3rd floor","n17","apartments"
,,"L3-08","expanded","l3-08-m-tg-r(n17-l3-08-r-m1g, m2g, m3g)","3rd floor","n17","apartments"
,,"L3-09","expanded","3rd floor","n17","l3-09-m-te1-l(n17-l3-09-l-m1e1, m2e1, m3e1)","apartments"
,,"L3-10","expanded","l3-10-m-tg-l(n17-l3-10-l-m1g, m2g, m3g)","3rd floor","n17","apartments"
,,"L3-11","expanded","l3-11-a-tc-l(n17-l3-11-l-m1c, m2c, m3c)","3rd floor","n17","apartments"
,,"L3-12","expanded","3rd floor","n17","apartments","l3-12-a-tc-l(n17-l3-12-l-m1c, m2c, m3c)"
,,"L3-13","expanded","3rd floor","l3-13-a-tc-l(n17-l3-13-l-m1c, m2c, m3c)","n17","apartments"
,,"L3-14","expanded","l3-14-a-tk-r(n17-l3-14-r-m1k, m2k)","3rd floor","n17","apartments"
,,"L3-15","expanded","3rd floor","n17","l3-15-a-tb-l(n17-l3-15-l-m1b, m2b)","apartments"
,,"L3-R-S1ST","expanded","3rd floor","n17","apartments","l3-r-s1st(n17-l3-r-s1st, s2st)"
,,"N17 - 4th Floor","grouping","n17","4th floor","apartments"
,,"L4-01","expanded","n17","4th floor","l4-01-a-tc-l(n17-l4-01-l-m1c, m2c, m3c)","apartments"
,,"L4-02","expanded","n17","l4-02-a-tc-l(n17-l4-02-l-m1c, m2c, m3c)","4th floor","apartments"
,,"L4-03","expanded","n17","4th floor","l4-03-m-te2-l(n17-l4-03-l-m1e2, m2e3, m3e4)","apartments"
,,"L4-04","expanded","n17","4th floor","apartments","l4-04-m-te1-r(n17-l4-04-r-m1e1, m2e1, m3e1)"
,,"L4-05","expanded","l4-05-m-te1-r(n17-l4-05-r-m1e1, m2e1, m3e1)","n17","4th floor","apartments"
,,"L4-06","expanded","l4-06-m-tf-r(n17-l4-06-r-m1f, m2f, m3f)","n17","4th floor","apartments"
,,"L4-07","expanded","n17","4th floor","apartments","l4-07-m-tg-r(n17-l4-07-r-m1g, m2g, m3g)"
,,"L4-08","expanded","n17","4th floor","l4-08-m-te1-l(n17-l4-08-l-m1e1, m2e1, m3e1)","apartments"
,,"L4-09","expanded","l4-09-a-tc-l(n17-l4-09-l-m1c, m2c, m3c)","n17","4th floor","apartments"
,,"L4-10","expanded","l4-10-a-tc-l(n17-l4-10-l-m1c, m2c, m3c)","n17","4th floor","apartments"
,,"L4-11","expanded","n17","4th floor","l4-11-a-tc-l(n17-l4-11-l-m1c, m2c, m3c)","apartments"
,,"L4-12","expanded","n17","4th floor","l4-12-a-tk-r(n17-l4-12-r-m1k, m2k)","apartments"
,,"L4-R-S1ST","expanded","l4-r-s1st(n17-l4-r-s1st, s2st)","n17","4th floor","apartments"
,,"L5-L-S2ST","expanded","l5-l-s2st(n17-l5-l-s1st, s2st)","n17","4th floor","apartments"
,,"N17 - 5th Floor","grouping","n17","5th floor","apartments"
,,"L5-01","expanded","5th floor","l5-01-a-tc-l(n17-l5-01-l-m1c, m2c, m3c)","n17","apartments"
,,"L5-02","expanded","5th floor","n17","l5-02-m-te2-l(n17-l5-02-l-m1e2, m2e2, m3e2)","apartments"
,,"L5-03","expanded","5th floor","n17","l5-03-m-te1-r(n17-l5-03-r-m1e1, m2e1, m3e1)","apartments"
,,"L5-04","expanded","l5-04-m-te1-r(n17-l5-04-r-m1e1, m2e1, m3e1)","5th floor","n17","apartments"
,,"L5-05","expanded","5th floor","l5-05-m-tf-r(n17-l5-05-r-m1f, m2f, m3f)","n17","apartments"
,,"L5-06","expanded","5th floor","n17","l5-06-m-tg-r(n17-l5-06-r-m1g, m2g, m3g)","apartments"
,,"L5-07","expanded","5th floor","n17","l5-07-m-te1-l(n17-l5-07-l-m1e1, m2e1, m3e1)","apartments"
,,"L5-08","expanded","l5-08-a-tc-l(n17-l5-08-l-m1c, m2c, m3c)","5th floor","n17","apartments"
,,"L5-09","expanded","5th floor","n17","l5-09-a-tc-l(n17-l5-09-l-m1c, m2c, m3c)","apartments"
,,"L5-10","expanded","5th floor","n17","l5-10-a-tc-l(n17-l5-10-l-m1c, m2c, m3c)","apartments"
,,"TOP","grouping","top","n17","apartments"
,,"TOP-L-S2ST","expanded","top-l-s2st(n17-top-l-s1st, s2st)","top","n17","apartments"
,"Columns"
,,"Module Structural Checklist",,"module structural checklist"
,,"Drain, Waste & Vent System Checklist",,"drain, waste & vent system checklist"
,,"Hot & Cold Water Systems Checklist",,"hot & cold water systems checklist"
,,"Sprinkler System Installations Checklist",,"sprinkler system installations checklist"
,,"Ducting System Installations Checklist",,"ducting system installations checklist"
,,"Electrical Work Installations Checklist",,"electrical work installations checklist"
,,"Internal Wall Linings Checklist",,"internal wall linings checklist"
,,"Internal Painting Checklist",,"internal painting checklist"
,,"Waterproofing System Checklist",,"waterproofing system checklist"
,,"Tiling & Grouting Checklist",,"tiling & grouting checklist"
,,"Sanitary Wares & Accessories Checklist",,"sanitary wares & accessories checklist"
,,"Internal Glazing Checklist",,"internal glazing checklist"
,,"Internal Finishes",,"internal finishes"
,,"Doors Checklist",,"doors checklist"
,,"Sliding Door Checklists",,"sliding door checklists"
,,"Windows Checklist",,"windows checklist"
,,"External wall Lining & Finishes Checklists",,"external wall lining & finishes checklists"
,,"Roof Water Proofing Checklist",,"roof water proofing checklist"
,,"Passive Fire Checklist",,"passive fire checklist"
,,"Final Acceptance Checklist",,"final acceptance checklist"

"N18 - Offsite QA (Factory) - Apartment Overview"
,"Scope",,
,"Rows"
,,"GRD-01","expanded","grd-01-m-te2-l(n18-gf-01-l-m1e2, m2e2, m3e2)","ground floor","n18","apartments"
,,"GRD-02","expanded","ground floor","grd-02-m-tf-l(n18-gf-02-l-m1f, m2f, m3f)","n18","apartments"
,,"GRD-03","expanded","ground floor","grd-03-m-te1-l(n18-gf-03-l-m1e1, m2e1, m3e1)","n18","apartments"
,,"GRD-04","expanded","ground floor","n18","grd-04-m-te1-l(n18-gf-04-l-m1e1, m2e1, m3e1)","apartments"
,,"GRD-05","expanded","ground floor","grd-05-m-te1-r(n18-gf-05-r-m1e1, m2e1, m3e1)","n18","apartments"
,,"GRD-06","expanded","ground floor","grd-06-m-tf-r(n18-gf-06-r-m1f, m2f, m3f)","n18","apartments"
,,"GRD-07","expanded","ground floor","grd-07-m-te1-l(n18-gf-07-l-m1e1, m2e1, m3e1)","n18","apartments"
,,"GRD-08","expanded","ground floor","grd-08-m-tg-r(n18-gf-08-r-m1g, m2g, m3g)","n18","apartments"
,,"GRD-09","expanded","ground floor","grd-09-m-te1-r(n18-gf-09-r-m1e1, m2e1, m3e1)","n18","apartments"
,,"GRD-10","expanded","ground floor","grd-10-m-te1-r(n18-gf-10-r-m1e1, m2e1, m3e1)","n18","apartments"
,,"GRD-11","expanded","ground floor","n18","grd-11-m-te1-l(n18-gf-11-l-m1e1, m2e1, m3e1)","apartments"
,,"GRD-12","expanded","ground floor","n18","grd-12-m-te1-l(n18-gf-12-l-m1e1, m2e1, m3e1)","apartments"
,,"GRD-13","expanded","ground floor","grd-13-a-ta-r(n18-gf-13-r-m1a, m2a)","n18","apartments"
,,"GRD-14","expanded","ground floor","grd-14-m-te1-r(n18-gf-14-r-m1e1, m2e1, m3e1)","n18","apartments"
,,"GRD-15","expanded","ground floor","n18","grd-15-m-te2-r(n18-gf-15-r-m1e2, m2e2, m3e2)","apartments"
,,"GF-L-S2ST","expanded","ground floor","gf-l-s2st(n18-gf-l-s1st, s2st)","n18","apartments"
,,"N18 - 1st Floor","grouping","1st floor","n18","apartments"
,,"L1-01","expanded","1st floor","l1-01-m-te2-l(n18-l1-01-l-m1e2, m2e2, m3e2)","n18","apartments"
,,"L1-02","expanded","1st floor","l1-02-a-td-l(n18-l1-02-l-m1d, m2d, m3d)","n18","apartments"
,,"L1-03","expanded","1st floor","l1-03-a-tc-l(n18-l1-03-l-m1c, m2c, m3c)","n18","apartments"
,,"L1-04","expanded","1st floor","l1-04-a-tc-l(n18-l1-04-l-m1c, m2c, m3c)","n18","apartments"
,,"L1-05","expanded","1st floor","l1-05-m-te2-l(n18-l1-05-l-m1e2, m2e2, m3e2)","n18","apartments"
,,"L1-06","expanded","1st floor","l1-06-m-te1-r(n18-l1-06-r-m1e1, m2e1, m3e1)","n18","apartments"
,,"L1-07","expanded","1st floor","n18","l1-07-m-te1-r(n18-l1-07-r-m1e1, m2e1, m3e1)","apartments"
,,"L1-08","expanded","1st floor","n18","l1-08-m-tf-r(n18-l1-08-r-m1f, m2f, m3f)","apartments"
,,"L1-09","expanded","1st floor","n18","l1-09-m-te1-r(n18-l1-09-r-m1e1, m2e1, m3e1)","apartments"
,,"L1-10","expanded","1st floor","l1-10-m-tg-r(n18-l1-10-r-m1g, m2g, m3g)","n18","apartments"
,,"L1-11","expanded","1st floor","n18","l1-11-m-te1-r(n18-l1-11-r-m1e1, m2e1, m3e1)","apartments"
,,"L1-12","expanded","1st floor","l1-12-m-tg-l(n18-l1-12-l-m1g, m2g, m3g)","n18","apartments"
,,"L1-13","expanded","1st floor","n18","l1-13-a-tc-r(n18-l1-13-r-m1c, m2c, m3c)","apartments"
,,"L1-14","expanded","1st floor","n18","l1-14-a-tc-l(n18-l1-14-l-m1c, m2c, m3c)","apartments"
,,"L1-15","expanded","1st floor","n18","l1-15-a-tc-l(n18-l1-15-l-m1c, m2c, m3c)","apartments"
,,"L1-16","expanded","1st floor","l1-16-a-ta-r(n18-l1-16-r-m1a, m2a)","n18","apartments"
,,"L1-17","expanded","1st floor","l1-17-a-tk-r(n18-l1-17-r-m1k, m2k)","n18","apartments"
,,"L1-18","expanded","1st floor","l1-18-m-te1-r(n18-l1-18-r-m1e1, m2e1, m3e1)","n18","apartments"
,,"L1-19","expanded","1st floor","n18","l1-19-m-te2-r(n18-l1-19-r-m1e2, m2e2, m3e2)","apartments"
,,"L1-R-S1ST","expanded","1st floor","n18","l1-r-s1st(n18-l1-r-s1st, s2st)","apartments"
,,"N18 - 2nd Floor","grouping","n18","2nd floor","apartments"
,,"L2-01","expanded","l2-01-m-te2-l(n18-l2-01-l-m1e2, m2e2, m3e2)","n18","2nd floor","apartments"
,,"L2-02","expanded","n18","2nd floor","l2-02-a-td-l(n18-l2-02-l-m1d, m2d, m3d)","apartments"
,,"L2-03","expanded","l2-03-a-tc-l(n18-l2-03-l-m1c, m2c, m3c)","n18","2nd floor","apartments"
,,"L2-04","expanded","n18","l2-04-a-tc-l(n18-l2-04-l-m1c, m2c, m3c)","2nd floor","apartments"
,,"L2-05","expanded","l2-05-m-te2-l(n18-l2-05-l-m1e2, m2e2, m3e2)","n18","2nd floor","apartments"
,,"L2-06","expanded","n18","2nd floor","apartments","l2-06-m-te1-r(n18-l2-06-r-m1e1, m2e1, m3e1)"
,,"L2-07","expanded","l2-07-m-te1-r(n18-l2-07-r-m1e1, m2e1, m3e1)","n18","2nd floor","apartments"
,,"L2-08","expanded","l2-08-m-tf-r(n18-l2-08-r-m1f, m2f, m3f)","n18","2nd floor","apartments"
,,"L2-09","expanded","l2-09-m-te1-l(n18-l2-09-l-m1e1, m2e1, m3e1)","n18","2nd floor","apartments"
,,"L2-10","expanded","n18","2nd floor","l2-10-m-tg-r(n18-l2-10-r-m1g, m2g, m3g)","apartments"
,,"L2-11","expanded","n18","l2-11-m-te1-r(n18-l2-11-r-m1e1, m2e1, m3e1)","2nd floor","apartments"
,,"L2-12","expanded","n18","2nd floor","l2-12-m-tg-l(n18-l2-12-l-m1g, m2g, m3g)","apartments"
,,"L2-13","expanded","l2-13-a-tc-r(n18-l2-13-r-m1c, m2c, m3c)","n18","2nd floor","apartments"
,,"L2-14","expanded","l2-14-a-tc-l(n18-l2-14-l-m1c, m2c, m3c)","n18","2nd floor","apartments"
,,"L2-15","expanded","l2-15-a-tc-l(n18-l2-15-l-m1c, m2c, m3c)","n18","2nd floor","apartments"
,,"L2-16","expanded","n18","2nd floor","apartments","l2-16-a-ta-r(n18-l2-16-r-m1a, m2a, m3a)"
,,"L2-17","expanded","l2-17-a-tk-r(n18-l2-17-r-m1k, m2k)","n18","2nd floor","apartments"
,,"L2-18","expanded","n18","l2-18-m-te1-r(n18-l2-18-r-m1e1, m2e1, m3e1)","2nd floor","apartments"
,,"L2-19","expanded","n18","l2-19-m-te2-r(n18-l2-19-r-m1e2, m2e2, m3e2)","2nd floor","apartments"
,,"L2-L-S2ST","expanded","n18","2nd floor","l2-l-s2st(n18-l2-l-s1st, s2st)","apartments"
,,"N18 - 3rd Floor","grouping","n18","3rd floor","apartments"
,,"L3-01","expanded","3rd floor","n18","l3-01-m-te2-l(n18-l3-01-l-m1e2, m2e2, m3e2)","apartments"
,,"L3-02","expanded","l3-02-a-td-l(n18-l3-02-l-m1d, m2d, m3d)","3rd floor","n18","apartments"
,,"L3-03","expanded","3rd floor","n18","l3-03-a-tc-l(n18-l3-03-l-m1c, m2c, m3c)","apartments"
,,"L3-04","expanded","l3-04-a-tc-l(n18-l3-04-l-m1c, m2c, m3c)","3rd floor","n18","apartments"
,,"L3-05","expanded","3rd floor","n18","l3-05-m-te2-l(n18-l3-05-l-m1e2, m2e2, m3e2)","apartments"
,,"L3-06","expanded","l3-06-m-te1-r(n18-l3-06-r-m1e1, m2e1, m3e1)","3rd floor","n18","apartments"
,,"L3-07","expanded","l3-07-m-te1-r(n18-l3-07-r-m1e1, m2e1, m3e1)","3rd floor","n18","apartments"
,,"L3-08","expanded","3rd floor","n18","l3-08-m-tf-r(n18-l3-08-l-m1f, m2f, m3f)","apartments"
,,"L3-09","expanded","l3-09-m-te1-r(n18-l3-09-r-m1e1, m2e1, m3e1)","3rd floor","n18","apartments"
,,"L3-10","expanded","3rd floor","l3-10-m-tg-r(n18-l3-10-r-m1g, m2g, m3g)","n18","apartments"
,,"L3-11","expanded","l3-11-m-te1-r(n18-l3-11-r-m1e1, m2e1, m3e1)","3rd floor","n18","apartments"
,,"L3-12","expanded","3rd floor","l3-12-m-tg-l(n18-l3-12-l-m1g, m2g, m3g)","n18","apartments"
,,"L3-13","expanded","3rd floor","n18","l3-13-a-tc-r(n18-l3-13-r-m1c, m2c, m3c)","apartments"
,,"L3-14","expanded","l3-14-a-tc-l(n18-l3-14-l-m1c, m2c, m3c)","3rd floor","n18","apartments"
,,"L3-15","expanded","3rd floor","n18","l3-15-a-tc-l(n18-l3-15-l-m1c, m2c, m3c)","apartments"
,,"L3-16","expanded","l3-16-a-ta-r(n18-l3-16-r-m1a, m2a)","3rd floor","n18","apartments"
,,"L3-17","expanded","3rd floor","n18","l3-17-a-tk-r(n18-l3-17-r-m1k, m2k)","apartments"
,,"L3-18","expanded","3rd floor","n18","l3-18-m-te1-r(n18-l3-18-r-m1e1, m2e1, m3e1)","apartments"
,,"L3-19","expanded","3rd floor","n18","l3-19-m-te2-r(n18-l3-19-r-m1e2, m2e2, m3e2)","apartments"
,,"L3-L-S2ST","expanded","3rd floor","l3-l-s2st(n18-l3-l-s1st, s2st)","n18","apartments"
,,"N18 - 4th Floor","grouping","n18","4th floor","apartments"
,,"L4-01","expanded","l4-01-a-td-l(n18-l4-01-l-m1d, m2d, m3d)","n18","4th floor","apartments"
,,"L4-02","expanded","l4-02-a-tc-l(n18-l4-02-l-m1c, m2c, m3c)","n18","4th floor","apartments"
,,"L4-03","expanded","l4-03-a-tc-l(n18-l4-03-l-m1c, m2c, m3c)","n18","4th floor","apartments"
,,"L4-04","expanded","n18","4th floor","l4-04-m-te2-l(n18-l4-04-l-m1e2, m2e2, m3e2)","apartments"
,,"L4-05","expanded","l4-05-m-te1-r(n18-l4-05-r-m1e1, m2e1, m3e1)","n18","4th floor","apartments"
,,"L4-06","expanded","l4-06-m-te1-r(n18-l4-06-r-m1e1, m2e1, m3e1)","n18","4th floor","apartments"
,,"L4-07","expanded","n18","l4-07-m-tf-r(n18-l4-07-r-m1f, m2f, m3f)","4th floor","apartments"
,,"L4-08","expanded","l4-08-m-te1-l(n18-l4-08-l-m1e1, m2e1, m3e1)","n18","4th floor","apartments"
,,"L4-09","expanded","l4-09-m-tg-r(n18-l4-09-r-m1g, m2g, m3g)","n18","4th floor","apartments"
,,"L4-10","expanded","l4-10-m-te1-r(n18-l4-10-r-m1e1, m2e1, m3e1)","n18","4th floor","apartments"
,,"L4-11","expanded","l4-11-a-tc-r(n18-l4-11-l-m1c, m2c, m3c)","n18","4th floor","apartments"
,,"L4-12","expanded","l4-12-a-tc-l(n18-l4-12-l-m1c, m2c, m3c)","n18","4th floor","apartments"
,,"L4-13","expanded","n18","4th floor","l4-13-a-tc-l(n18-l4-13-l-m1c, m2c, m3c)","apartments"
,,"L4-14","expanded","l4-14-a-ta-r(n18-l4-14-r-m1a, m2a)","n18","4th floor","apartments"
,,"L4-15","expanded","n18","l4-15-a-tk-r(n18-l4-15-r-m1k, m2k)","4th floor","apartments"
,,"L4-16","expanded","l4-16-m-te1-r(n18-l4-16-r-m1e1, m2e1, m3e1)","n18","4th floor","apartments"
,,"L4-L-S2ST","expanded","n18","l4-l-s2st(n18-l4-l-s1st, s2st)","4th floor","apartments"
,,"N18 - 5th Floor","grouping","n18","5th floor","apartments"
,,"L5-01","expanded","5th floor","l5-01-a-tc-l(n18-l5-01-l-m1c, m2c, m3c)","n18","apartments"
,,"L5-02","expanded","l5-02-a-tc-l(n18-l5-02-l-m1c, m2c, m3c)","5th floor","n18","apartments"
,,"L5-03","expanded","5th floor","n18","apartments","l5-03-m-te2-l(n18-l5-03-l-m1e2, m2e2, m3e2)"
,,"L5-04","expanded","5th floor","n18","l5-04-m-te1-r(n18-l5-04-r-m1e1, m2e1, m3e1)","apartments"
,,"L5-05","expanded","l5-05-m-te1-r(n18-l5-05-r-m1e1, m2e1, m3e1)","5th floor","n18","apartments"
,,"L5-06","expanded","5th floor","n18","l5-06-m-tf-r(n18-l5-06-r-m1f, m2f, m3f)","apartments"
,,"L5-07","expanded","l5-07-m-te1-l(n18-l5-07-l-m1e1, m2e1, m3e1)","5th floor","n18","apartments"
,,"L5-08","expanded","5th floor","n18","l5-08-m-tg-r(n18-l5-08-r-m1g, m2g, m3g)","apartments"
,,"L5-09","expanded","l5-09-m-te1-r(n18-l5-09-r-m1e1, m2e1, m3e1)","5th floor","n18","apartments"
,,"L5-10","expanded","l5-10-a-tc-r(n18-l5-10-r-m1c, m1c, m2c, m3c)","5th floor","n18","apartments"
,,"L5-11","expanded","l5-11-a-tc-l(n18-l5-11-l-m1c, m2c, m3c)","5th floor","n18","apartments"
,,"L5-12","expanded","5th floor","n18","l5-12-a-tc-l(n18-l5-12-l-m1c, m2c, m3c)","apartments"
,,"L5-13","expanded","5th floor","n18","l5-13-a-ta-r(n18-l5-13-r-m1a, m2a)","apartments"
,,"L5-14","expanded","5th floor","l5-14-a-tk-r(n18-l5-14-r-m1k, m2k)","n18","apartments"
,,"L5-15","expanded","l5-15-m-tm(n18-l5-15-r-m1m, m2m, m3m)","5th floor","n18","apartments"
,,"L5-L-S2ST","expanded","5th floor","n18","l5-l-s2st(n18-l5-l-s1st, s2st)","apartments"
,,"TOP","grouping","n18","top","apartments"
,,"TOP-L-S2ST","expanded","top-l-s2st(n18-top-l-s1st, s2st)","n18","top","apartments"
,"Columns"
,,"Module Structural Checklist",,"module structural checklist"
,,"Drain, Waste & Vent System Checklist",,"drain, waste & vent system checklist"
,,"Hot & Cold Water Systems Checklist",,"hot & cold water systems checklist"
,,"Sprinkler System Installations Checklist",,"sprinkler system installations checklist"
,,"Ducting System Installations Checklist",,"ducting system installations checklist"
,,"Electrical Work Installations Checklist",,"electrical work installations checklist"
,,"Internal Wall Linings Checklist",,"internal wall linings checklist"
,,"Internal Painting Checklist",,"internal painting checklist"
,,"Waterproofing System Checklist",,"waterproofing system checklist"
,,"Tiling & Grouting Checklist",,"tiling & grouting checklist"
,,"Sanitary Wares & Accessories Checklist",,"sanitary wares & accessories checklist"
,,"Internal Glazing Checklist",,"internal glazing checklist"
,,"Internal Finishes",,"internal finishes"
,,"Doors Checklist",,"doors checklist"
,,"Sliding Door Checklists",,"sliding door checklists"
,,"Windows Checklist",,"windows checklist"
,,"External wall Lining & Finishes Checklists",,"external wall lining & finishes checklists"
,,"Roof Water Proofing Checklist",,"roof water proofing checklist"
,,"Passive Fire Checklist",,"passive fire checklist"
,,"Final Acceptance Checklist",,"final acceptance checklist"

"N17 - Offsite QA (Factory) - Substructure Overview"
,"Scope",,
,"Rows"
,,"N17",,"n17","sub structure"
,"Columns"
,,"Roof Truss",,"roof truss"
,,"Staircase/Liftcore",,"staircase/liftcore"
,,"Decks(Balcony)",,"decks(balcony)"
,,"Corridor",,"corridor"
,,"Base Plate",,"base plate"
,,"Community",,"community"

"N18 - Offsite QA (Factory) - Substructure Overview"
,"Scope",,
,"Rows"
,,"N18",,"n18","sub structure"
,"Columns"
,,"Roof Framings",,"roof framings"
,,"Facades",,"facades"
,,"Decks",,"decks"
,,"Corridors",,"corridors"
,,"Base Plate",,"base plate"
,,"Community",,"community"

