"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d1f91e1c-f2f2-4073-bc90-b94585193774","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs"
"0ce3ccc0-4a3b-4d3e-8244-11ccd5295e27","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001"
"bd4526c6-3e8c-4ab4-9810-d7152b3a3ce8","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix"
"f33efb29-59e6-408b-924c-5db3c41797e4","","checklist-sectioned","work-in-progress","dfd0792bc8f18758287e0b5c80df4ea2bfad470ae7c43bb5e8a01884c25d72c5","checklist","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1"
"5df3dcbf-bb87-5fa8-bd08-1e5b0c3155ef","","checkpoint-group","work-in-progress","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Flush Boxes"
"94d36eea-5198-510c-9206-26467d15670c","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cabling","Light Control cabling Required"
"54877d53-69ed-51c4-8515-fa643a4b01ec","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cat Wires"
"3912cc99-e1e1-54b7-90d4-daaea57be1cf","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cat Wires","300mm Separation Between Power & Data"
"c1330cbb-f18c-52ab-97fd-459ca7fe8754","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cat Wires","Supported every 6 Meters or Adequately to avoid Sagging"
"dc4a6fcc-67fe-55c1-b0c1-ff1fdf3d37c7","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cat Wires","Correctly Secured at Each End"
"e092d82d-a075-5d89-bb44-e00c14e7ff41","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cat Wires","Turn Buckle Installed and Accessible"
"bb5ba0cb-b5ee-595c-85be-bcd075ba0b40","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cat Wires","Number of cables per cat wire. 8 maximum or as per electrical spec"
"a4744a54-2d3d-5b4b-9067-46f639c7d5ab","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cat Wires","Separation between services maintained"
"56934796-64ca-5a66-9c0d-cebbfcf111bb","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cat Wires","All cables secured via cable ties with ends cut"
"70aca05e-404a-54ab-a9e0-a4de95279999","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cable Tray"
"f062955d-b86c-5d96-9ae2-fed4e4e51a81","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Cable Tray","Minimum 25% spare capacity left on cable tray"
"8d8c8c32-c286-5fc6-a982-632ad002473d","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Lights"
"9b31b9f6-ed50-50af-912c-7e9c94e8025b","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Lights","Setout Correct"
"7e4eb9b8-65c5-563b-92d1-f3a2255fcf17","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Lights","Cabling in correct location"
"d78453f4-340b-588a-aea6-28b49d43001e","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Lights","Control Cabling installed"
"f170ff51-9810-574d-8187-474672647ab5","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Lights","PIR Sensors"
"17c59f8d-53b8-5779-b526-0e0350cdac63","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Lights","Occupancy Sensors"
"fdc690d4-41d4-57d2-9de3-6c1962b21862","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Lights","Light Level Sensors"
"e95b033c-16ea-5621-b6a0-2e00444e29bd","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Lights","Emergency/ Exit Lighting"
"836da1fb-973e-5be3-a340-bc4d1dd1f62f","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Lights","Nogging installed for Electrical Services"
"cb8b8b24-0d67-58d9-ba59-6cc316778055","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Seismic Bracing"
"f60032d1-f8f7-5060-849e-9a383d3b26f3","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Seismic Bracing","For Lighting"
"dfdf670b-97b2-57e5-a53e-302d9040e384","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Seismic Bracing","Cable Tray"
"e115d186-0526-5f89-b027-c27aa5eb5416","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Seismic Bracing","Switchboard"
"f2d5f018-1983-5e98-81f6-3c065b891fac","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Ducts and Conduits"
"a25ee5d0-4691-53c9-98f7-50a50777aeac","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Ducts and Conduits","Correct size installed"
"e996e999-7405-5f32-b430-35bd1d94e694","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Ducts and Conduits","Location as per plan"
"a3039b57-466f-5fd7-827b-510f48f8e3d0","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Ducts and Conduits","separation from other services"
"443445ba-d3eb-5c33-9517-bff95d1377fc","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal First Fix","Area 1","Ducts and Conduits","Clean inside and in good condition"
"0f7a5871-f463-4ec3-b694-e4d965926db3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","Internal Second Fix"
"7710eb37-b3d9-4199-ab86-05b7eaae5ae4","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix"
"412ce576-8d0d-4a00-98da-8c12e6da4483","","checklist-sectioned","not-started","dfd0792bc8f18758287e0b5c80df4ea2bfad470ae7c43bb5e8a01884c25d72c5","checklist","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1"
"345aec26-cc5c-5497-9ec2-08fb77b9e217","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Flush Boxes"
"c7c517d5-0008-54f9-af50-053e27e14463","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Flush Boxes","Fire Rated or Acoustic"
"53f9077a-c5fa-51b8-857f-7eb20de93863","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Flush Boxes","Height as per plan"
"643d4c90-2291-5809-81cc-811d439802c7","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Flush Boxes","Location as per plan"
"40848bb2-60b9-588c-8934-b5b036e3a495","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Flush Boxes","Intumescent Pad In Place"
"2ed39423-f9d4-522b-b0b0-f40a1f6e09e3","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Flush Boxes","Flush Boxes Not back to back on Acoustic Walls"
"666be8c9-72a9-5a96-99a1-759474b33768","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cabling"
"ffb2de49-680c-5c97-8cfb-f0fa3b3127f0","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cabling","Details"
"a5b554db-99f4-5a5a-bc34-e4d83d8103dd","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cabling","Circuits clearly labelled"
"b75d7977-f5a7-5ef5-ab64-d44dfba5b7e9","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cabling","No Horizontal cabling"
"9210b86f-4478-5f20-aede-932946697132","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cabling","Separation between Data and Power at 300mm or as specified"
"c4932cc4-2f78-5e78-9726-c979599356ba","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cabling","Light Control cabling Required"
"ac76a720-455f-5b2b-85c6-ae77c1322485","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cat Wires"
"158d80de-2b51-5ae2-8819-d51c21188306","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cat Wires","300mm Separation Between Power & Data"
"aa0a0d82-67c1-54f0-8525-444fc316c6c7","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cat Wires","Supported every 6 Meters or Adequately to avoid Sagging"
"01751e50-7ea5-57aa-9f8b-cc2d2e4557b9","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cat Wires","Correctly Secured at Each End"
"92a560a0-d127-5331-b5a7-73f3569e0722","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cat Wires","Turn Buckle Installed and Accessible"
"f7af73ca-24bd-587c-8fb7-684d4af96146","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cat Wires","Number of cables per cat wire. 8 maximum or as per electrical spec"
"41ef6e40-64eb-5292-85f6-56a7e0d5d8d7","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cat Wires","Separation between services maintained"
"40667ef6-fddd-55c7-b7f9-fe19e8e019bc","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cat Wires","All cables secured via cable ties with ends cut"
"554d6b82-853d-57c6-80ea-34e88215a939","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cable Tray"
"921a70a3-7701-5b7a-8cf5-db7bc0fb128a","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Cable Tray","Minimum 25% spare capacity left on cable tray"
"7f2b5412-0102-5d4a-800e-93feafb4f641","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Lights"
"75ce78e9-66cb-585c-99ad-63a9e8e6ed62","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Lights","Setout Correct"
"02ceaf7a-182d-5d05-ba2a-213e97cbeb6f","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Lights","Cabling in correct location"
"d06d8c65-84ec-509e-96d8-d66298379832","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Lights","Control Cabling installed"
"d7040b6e-1f6f-5d06-aacb-67c3fbc195c8","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Lights","PIR Sensors"
"50e62af9-9dbc-513f-89fc-0b3a5d19c78d","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Lights","Occupancy Sensors"
"e63a29fc-bd84-5cbd-a949-0c8995946054","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Lights","Light Level Sensors"
"4ec8dbdc-8593-5350-899a-a346e5d34509","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Lights","Emergency/ Exit Lighting"
"1aebba59-23bf-5a8c-bfd6-920a98a8dfbe","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Lights","Nogging installed for Electrical Services"
"a21581a9-01e1-527c-929a-f98a31ba7d7f","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Seismic Bracing"
"f918d534-1a5e-553e-a7d2-9e21fd77b873","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Seismic Bracing","For Lighting"
"6c89e852-1226-5b7f-8c2b-6e7173ac765f","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Seismic Bracing","Cable Tray"
"9ec66a17-aa30-5cd2-874a-fb7932c6c813","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Seismic Bracing","Switchboard"
"7d110a04-2dfd-5155-91b2-108e1724542a","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Ducts and Conduits"
"2bc4a50c-b613-5af0-84e5-03953b3c88e7","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Ducts and Conduits","Correct size installed"
"a34fddd3-1341-596d-bba8-37a4d8bb9e62","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Ducts and Conduits","Location as per plan"
"d9c29561-7aaf-585a-8ea9-b64308e8c4a7","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Ducts and Conduits","separation from other services"
"9f2f114b-bd8d-5ebe-9820-2b7ab5b04e9a","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External First Fix","Area 1","Ducts and Conduits","Clean inside and in good condition"
"804db652-6d0d-4b4f-adb3-c3987b0ea9a7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External Second Fix"
"034b92a9-38f7-4c0f-bb1b-5808b4ace1d2","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External Conduits"
"1f47c241-0f9a-46f5-b0e8-4a64b9211e73","","checklist-flat","not-started","QA - Conduit Installation","checklist-flat","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External Conduits","Conduit"
"cdb1b935-84db-5342-9b10-a1ab81a2f508","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External Conduits","Conduit","Installed as plan"
"cffdb00b-e3b2-5d9b-bb96-82b2bdc023c4","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External Conduits","Conduit","Suitable fixings installed and spaced evenly"
"fef86a2d-fef2-4324-93a8-49e703076b5f","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External Termination Box"
"87d2a15d-6181-47f6-999a-36eddf7db474","","checklist-flat","not-started","QA - External Box Installation","checklist-flat","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External Termination Box","Termination Box 1"
"cbd79864-f875-5297-a5c2-e2ba21eb8ea6","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External Termination Box","Termination Box 1","Fixed securely"
"f03a15d4-af69-5794-b3c5-f12a61cbc57e","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-100001","External Termination Box","Termination Box 1","Lid securely fixed"
"86f80350-6e5b-4971-9cd6-8c2d8fd27270","","folder-normal","work-in-progress","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001"
"43917856-e391-4575-a74d-5ab2f8b65f01","","folder-normal","not-started","","step","TRUE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix"
"ec664af0-22e3-43cf-84b0-64154420a7e1","","checklist-sectioned","not-started","dfd0792bc8f18758287e0b5c80df4ea2bfad470ae7c43bb5e8a01884c25d72c5","checklist","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1"
"46cbeb60-10a6-57d2-9813-e187a6d682a2","","checkpoint-group","not-started","","","FALSE","FALSE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Flush Boxes"
"7c4d71c3-e796-504c-ab9c-97708be148cc","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Flush Boxes","Fire Rated or Acoustic"
"f5b8892a-a302-5805-a12d-98e0d2fbbe74","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Flush Boxes","Height as per plan"
"06e8557d-ba95-5661-9fb0-016b72b7bb66","","checkpoint-status","not-started","","","TRUE","TRUE","SP2A - L2 Lounge Extension & Fire Egress Stairs","TE001-BECA-DWG-CD-C3-101001","Internal First Fix","Area 1","Flush Boxes","Location as per plan"
