"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"51cdc344-a3f0-4c5c-bc26-3def62e8f8a8","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"130ebf7c-400c-4181-9abf-822367a7ae60","","folder-normal","fail","","step","TRUE","FALSE","Site QA","Stage 1"
"e12ab284-42b0-4794-bb2c-7e80d7cdb087","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12"
"6e545636-c428-4de5-8a49-f0a18470c6e0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 12","Inground Plumbing Installation"
"d651de57-1375-4c8c-9a63-511317d12c5c","","checklist-sectioned","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Toilet & Cistern Installation"
"038cc8fc-c62b-40a7-af13-af453cb40302","","checklist-sectioned","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Wash Basin & Tapware Installation"
"72817fce-81ef-4177-8b12-69e3bbbb0a79","","checklist-sectioned","not-started","Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Shower & Tapware Installation"
"f9aabd8d-250c-41b4-a97b-ff548cfc6027","","checklist-sectioned","not-started","Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Bath & Tapware Installation"
"171dd275-2023-4207-8ab5-55e49b1874a9","","checklist-sectioned","not-started","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation"
"0507bb8d-4b34-428f-8c73-856b91d4db1a","","checklist-sectioned","not-started","Washer Machine Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Washer Machine Installation"
"5a059ae9-dab2-4538-97ae-5bb5c030ea4f","","checklist-sectioned","not-started","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Laundry Trough & Tapware Installation"
"4a75bb06-1973-4315-9a56-c39911f7ea57","","checklist-sectioned","not-started","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Tundish Installation"
"a1ba63ed-4048-4209-bfba-25469829e508","","checklist-sectioned","not-started","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Hose Tap Installation"
"b0bfa7bc-554a-4d7a-bac1-dfd37d4d17f8","","checklist-sectioned","not-started","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Fit-off Plumbing Installation","Gas Appliance Installation"
"11a93414-ef9b-4226-8902-70f208376631","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Hot Water Unit Installation"
"aa134f33-852b-4b3f-8039-f7494bb28548","","checklist-sectioned","not-started","Water Heating, Boiling, Chilling, Unit Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Hot Water Unit Installation","Water Heating, Boiling, Chilling, Unit Installation"
"8dcd99fa-634f-4df4-b008-aecdff8185da","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Testing"
"12ba9598-d853-47ca-aa0f-372e6d13f643","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Testing","Testing Drainage Pipework (Air Test)"
"4da68595-b603-49d6-b7de-b7095bfccca7","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Testing","Testing Drainage Pipework (Water Test)"
"6e11d845-b3c3-4593-b1de-b13756530295","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Testing","Testing Water Pipework (Water Test)"
"1ff568b0-787e-4504-96d3-550ff39aee84","","checklist-sectioned","not-started","Testing Gas Service (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Testing","Testing Gas Service (Air Test)"
"0c577642-66ec-4258-b810-196c8e9781cd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 13","Commissioning"
"62ee9f3e-9a00-44ac-bea1-51f26cc09a45","","checklist-sectioned","not-started","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Commissioning","Commission Fixture Group"
"101dab95-778b-47fe-98e7-9a74312f0859","","checklist-sectioned","not-started","Commission Hot Water Generating Plant","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Commissioning","Commission Hot Water Generating Plant"
"602ba1d5-09bc-41a4-8d1b-85a971f46498","","checklist-sectioned","not-started","Commission Reduced Pressure Zone Device","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 13","Commissioning","Commission Reduced Pressure Zone Device"
"ab718181-0f13-412d-a37a-249372a80c05","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14"
"abe947bf-e080-4ad0-bc1d-044f95f5ebdd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Inground Plumbing Installation"
"f8eef9fc-dd2c-48cb-9801-d0af2a50e8d4","","checklist-sectioned","not-started","Installation Authority Main to Meter","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Inground Plumbing Installation","Authority Main to Meter Installation"
"dcba2cd0-304d-42e4-a702-11810a8cb99f","","checklist-sectioned","not-started","Installation Drainage (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Inground Plumbing Installation","Drainage Installation (In-ground)"
"dcd72c2d-dcb4-4cd8-b1f3-70d929f3a94f","","checklist-sectioned","not-started","Installation Water Service (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Inground Plumbing Installation","Water Service Installation (In-ground)"
"b132feef-336d-4a25-94ad-93149c0885c8","","checklist-sectioned","not-started","Installation Water Service (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Inground Plumbing Installation","Gas Service Installation (In-ground)"
"8cca373d-3e18-4fab-b3ef-9b0cb9e3723a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Rough-in Plumbing Installation"
"7ad3e9ad-608a-471c-b823-2750c2426cd8","","checklist-sectioned","not-started","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Rough-in Plumbing Installation","Waste & Vent Installation"
"ded57037-ffb6-4cec-a296-139981ff72ea","","checklist-sectioned","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)"
"d7a8dddd-5968-476b-963a-af38591731fc","","checklist-sectioned","not-started","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)"
"eaa1c38c-e3c6-4699-b1ad-aeed6e111b8e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation"
"4b5b9bd9-906f-46c0-bae4-6b9dc71682bb","","checklist-sectioned","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Toilet & Cistern Installation"
"1a91b67a-6ed6-48d9-bbe0-12a6647a62c2","","checklist-sectioned","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Wash Basin & Tapware Installation"
"8146515f-9f2f-4380-b56b-3bc4303d878a","","checklist-sectioned","not-started","Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Shower & Tapware Installation"
"164eabd5-8ad1-4c4a-8d60-6253f00681d7","","checklist-sectioned","not-started","Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Bath & Tapware Installation"
"d4ca0281-0be2-4a76-a052-f058bcd12c22","","checklist-sectioned","not-started","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation"
"be0c9b59-1be7-41b7-b3b2-9c48be8b35b0","","checklist-sectioned","not-started","Washer Machine Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Washer Machine Installation"
"823f53eb-e225-43ce-9c90-7205d17b3eb3","","checklist-sectioned","not-started","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Laundry Trough & Tapware Installation"
"d61807b5-02ad-4a57-bb0f-2c2bdcdc1a04","","checklist-sectioned","not-started","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Tundish Installation"
"cfc8473e-298e-4b4b-bde5-23bc73139eaa","","checklist-sectioned","not-started","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Hose Tap Installation"
"0f18207e-38f0-49db-9c98-26c1120f6bf7","","checklist-sectioned","not-started","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Fit-off Plumbing Installation","Gas Appliance Installation"
"af37070f-86f2-4d44-9f17-ad38b0bd0a0f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Hot Water Unit Installation"
"1e3e2ae1-4762-4bd5-b44f-8669bacfd28c","","checklist-sectioned","not-started","Water Heating, Boiling, Chilling, Unit Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Hot Water Unit Installation","Water Heating, Boiling, Chilling, Unit Installation"
"23a8ec43-fa2d-4d43-9b18-8021795e9e08","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Testing"
"18da17e0-6235-44d8-8d17-d11ff47e7d64","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Testing","Testing Drainage Pipework (Air Test)"
"8b559dec-5463-4d13-9f1c-4adc86122936","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Testing","Testing Drainage Pipework (Water Test)"
"315c06b1-170a-4ea3-b4c6-d469d454aba8","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Testing","Testing Water Pipework (Water Test)"
"dc58e697-fc43-454f-b14d-092ddd99bb14","","checklist-sectioned","not-started","Testing Gas Service (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Testing","Testing Gas Service (Air Test)"
"1375b8d1-7d97-43a0-8160-6f610bc3a6aa","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 14","Commissioning"
"67bbef3f-24cb-4275-8696-8bd54895d235","","checklist-sectioned","not-started","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Commissioning","Commission Fixture Group"
"bc73bdc3-20cb-4623-98a0-567b8f4da089","","checklist-sectioned","not-started","Commission Hot Water Generating Plant","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Commissioning","Commission Hot Water Generating Plant"
"69f7bc57-2044-4ed8-b1f1-5bcf9c0335fe","","checklist-sectioned","not-started","Commission Reduced Pressure Zone Device","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 14","Commissioning","Commission Reduced Pressure Zone Device"
"4e6e6ef5-073a-4add-938e-ace1aa86fe26","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15"
"b53e523d-4a86-4807-bda0-872095a3fa97","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Inground Plumbing Installation"
"9e2f5305-d032-4261-9ab2-62a0e49e3a05","","checklist-sectioned","not-started","Installation Authority Main to Meter","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Inground Plumbing Installation","Authority Main to Meter Installation"
"e2625580-5a2b-4cfc-93a5-a13af8f8c97b","","checklist-sectioned","not-started","Installation Drainage (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Inground Plumbing Installation","Drainage Installation (In-ground)"
"8051fc36-6d1b-4fd2-bd10-a07705bbb1fe","","checklist-sectioned","not-started","Installation Water Service (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Inground Plumbing Installation","Water Service Installation (In-ground)"
"00b5ce75-178b-41c4-8010-d72b01acc4a1","","checklist-sectioned","not-started","Installation Water Service (In-ground)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Inground Plumbing Installation","Gas Service Installation (In-ground)"
"2797954f-e064-4379-9f8a-3c7f06927a86","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Rough-in Plumbing Installation"
"70132672-35c4-48f1-b090-082ddd3b9328","","checklist-sectioned","not-started","Installation Waste & Vent","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Rough-in Plumbing Installation","Waste & Vent Installation"
"0791b9c1-74d5-4eb1-9389-415a779c78ed","","checklist-sectioned","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Rough-in Plumbing Installation","Water Service Installation (Rough-ins)"
"f4c338ba-5fe8-445c-830f-ed7fba1bb54f","","checklist-sectioned","not-started","Installation Gas Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Rough-in Plumbing Installation","Gas Service Installation (Rough-ins)"
"63db73dd-7471-4a88-9a76-def968ea0e53","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation"
"ae65bd6c-bc92-4c72-bfb3-1b6317b928bd","","checklist-sectioned","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Toilet & Cistern Installation"
"b3ff426b-999e-4b35-93b6-d9a9a7802500","","checklist-sectioned","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Wash Basin & Tapware Installation"
"c417cabf-3ec9-4a03-96b2-0e147c8c7337","","checklist-sectioned","not-started","Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Shower & Tapware Installation"
"ddbfc73e-7866-40a5-97e6-c7ef97d93abf","","checklist-sectioned","not-started","Fit-off Bath & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Bath & Tapware Installation"
"94646dc5-f7c6-4594-857d-0cbcdf5672e5","","checklist-sectioned","not-started","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Kitchen Sink & Tapware Installation"
"d9c65d31-4ed8-40b1-8e50-c9064a73584a","","checklist-sectioned","not-started","Washer Machine Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Washer Machine Installation"
"0cb6fde9-370c-45f7-9d4a-0b8a3df497d4","","checklist-sectioned","not-started","Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Laundry Trough & Tapware Installation"
"6d3cb015-c124-4b58-83b7-7219a8bfec34","","checklist-sectioned","not-started","Fit-off Tundish","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Tundish Installation"
"a68ec077-c7d4-4c61-9389-7441cf93a4c0","","checklist-sectioned","not-started","Fit-off Hose Tap","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Hose Tap Installation"
"80f8ad25-5b33-4ba4-901a-088b37ea33e6","","checklist-sectioned","not-started","Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Fit-off Plumbing Installation","Gas Appliance Installation"
"fd27477d-1196-4387-99a1-024437e9af07","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Hot Water Unit Installation"
"9315409a-1e46-49e8-a5e1-ce3f27b3ef3f","","checklist-sectioned","not-started","Water Heating, Boiling, Chilling, Unit Installation","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Hot Water Unit Installation","Water Heating, Boiling, Chilling, Unit Installation"
"309115c2-1894-4f03-99f1-2ec6a9bbeca7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Testing"
"7420bd41-0c76-40d3-9382-a79b8eacbec6","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Testing","Testing Drainage Pipework (Air Test)"
"e8df3dc0-bbb5-4d2b-9e08-7de11380e9c9","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Testing","Testing Drainage Pipework (Water Test)"
"0a9d1478-3e06-481a-bbc3-ac5aa28caf27","","checklist-sectioned","not-started","Testing Drainage Pipework (Water Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Testing","Testing Water Pipework (Water Test)"
"a60a5b6e-83cb-4a7c-9de8-6139ab2ed1ad","","checklist-sectioned","not-started","Testing Gas Service (Air Test)","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Testing","Testing Gas Service (Air Test)"
"950d535b-cc6d-4e81-8d11-31a6863c18f7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Stage 1","Lot 15","Commissioning"
"cba56feb-ac72-47a4-96d1-1d8fb4727d37","","checklist-sectioned","not-started","Commission Fixture Group","checklist","FALSE","FALSE","Site QA","Stage 1","Lot 15","Commissioning","Commission Fixture Group"
