"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"42af2a7d-b353-4ba3-92d9-af7d8d7b19c8","","folder-normal","","","step","TRUE","FALSE","Site QA"
"ac227b7a-08ba-4e5c-8a77-edcdb38879a8","","folder-normal","","","step","TRUE","FALSE","Site QA","Sprinkler Pipe Installation Rough In"
"f71bef39-144e-4cfe-826d-a9cab016f9cc","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","1/3/23"
"c36ac8a2-37e9-4125-9873-d12f804b6094","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","6/3/23"
"3b82ea91-8926-427f-bdd5-e818a1da560d","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","7/3/23"
"d65aad65-8c7d-4380-af32-b268315da033","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","8/3/23"
"56d30ef2-1132-410d-96df-b0366bb202ef","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","10/3/23"
"a6b50d6e-dd5d-44d5-8bfd-01777bf27c0e","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","13/3/23"
"841bb6a3-6b15-46cb-9da9-c9a2c0e2a0f5","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","14/3/23"
"008de62f-a1cd-46cf-991e-ff96a8d55511","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","15/3/23"
"99c5e52e-3f12-4bb0-bb5b-ff1c5a48b1b3","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","16/3/23"
"f6b765b2-e159-4b39-9e19-217bc54812ce","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","20/3/23"
"3ed02edb-a491-45b8-84ea-cfbb1211d95f","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","21/3/23"
"e6344c0b-6f91-4b82-bdac-f3d4f12bfce3","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","22/3/23"
"e222f944-b845-489d-9ab5-054af8c6cb24","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","23/3/23"
"fb8d6a64-906e-4d84-bb72-d4d0deac6ec9","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","24/3/23"
"d4d8e0e7-39e8-41ce-9288-4ea0fc936e32","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","27/3/23"
"58f463ea-7451-4f49-9f87-ac65d477d884","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","28/3/23"
"dcd8d68d-8901-46d3-b842-281d2e400a51","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","29/3/23"
"55b11be3-6512-41b9-95ab-2410074b6dd2","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","March","30/3/23"
"0afae2bd-4705-423a-ac43-728b908cac07","","folder-normal","","","step","TRUE","FALSE","Daily Pre Start/Works","April "
"afb5749e-9770-4d00-a560-c2157d45ce3e","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","April ","3/4/23"
"3f1e6667-56a2-4340-a259-b8f24f0643b2","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","April ","4/4/23"
"6afd04fc-ab16-4fd8-b1f4-738fa3d82fea","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","April ","5/4/23"
"38bcafa2-b4dd-4d7e-b663-9a4d1a7a4edf","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","April ","6/4/23"
"b0a0dba0-c272-411b-88a4-3395b425ae10","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","April ","11/4/23"
"66a17067-9d19-40eb-a8de-20bfc595ac53","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","April ","12/4/23"
"cc57ae69-57f1-4d9e-aae9-3cf744be97f5","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","April ","13/4/23"
"426ccf31-72c0-4016-bf86-5eba969649ce","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","April ","14/4/23"
"1527f348-7579-41e1-a625-89708be582e9","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","April ","17/4/23"
"dad629a1-fc35-4843-b924-6ccfec04a344","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","April ","21/4/23"
"767c0a4d-b670-40a5-9156-d326bab85185","","folder-normal","","","step","TRUE","FALSE","Daily Pre Start/Works","May"
"adc0f727-fcff-4b2e-aeb7-2329d836c731","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","3/5/23"
"30828a84-33e3-4022-967c-12d9e7d21ce6","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","8/5/23"
"a97300b2-4151-4b38-957f-cd1fb2984a28","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","9/5/23"
"a858652e-fc19-4ef0-8501-d5baff461655","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","10/5/23"
"d7cdd400-cd3a-4f0d-a8cf-f12a28c7d245","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","11/5/23"
"b51a52cc-4e5c-44f2-89c8-af0425d3f6fa","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","12/5/23"
"6a21e5d3-cb79-457e-aaa3-75da13ad3243","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","15/5/23"
"8fb36933-3d66-4529-b203-5f4b256b1405","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","17/5/23"
"9ba18e86-a9c7-4367-894d-c1bd5196701d","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","18/5/23"
"5ef0cf2f-765f-4ad7-b1a9-a47c65eaa1ab","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","10/5/23"
"5dadb393-97b8-45c0-befa-e2680f05af6d","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","22/5/23"
"218fbcdf-4fb2-4382-af09-4afe0556e920","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","23/5/23"
"1eff5e34-242c-4058-b22b-4374abe7fead","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","24/5/23"
"a8d64458-792e-45b3-bbb4-99f8f7626886","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","May","25/5/23"
"c3b83371-398f-4161-9747-569201cc6a77","","folder-normal","","","step","TRUE","FALSE","Daily Pre Start/Works","June"
"474e6347-9c7e-48d2-8733-1e6f17f7ab40","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","June","1/6/23"
"6230f673-d06c-4259-85ba-814f8796b2b9","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","June","5/6/23"
"9087c4ad-cef0-49c0-9903-100ce6b69d75","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","June","6/6/23"
"4cbc116a-31dc-4237-838b-7393ff6769dd","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","June","8/6/23"
"6379ab5a-aefc-40c3-a932-bdd6df263482","","checklist-flat","","Daily Pre Start/Works Checklist","checklist-flat","FALSE","FALSE","Daily Pre Start/Works","June","20/6/23"
