"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"84618502-4c97-4f0c-a639-6f3d00744f24","","folder-normal","","","step","TRUE","FALSE","Project QA"
"7b3e0a0d-9561-40a8-9ac4-1da2b60d1627","","checklist-sectioned","","Freezer Room","checklist","FALSE","FALSE","Project QA","Freezer Room"
"cd6f26d0-f047-4247-bd68-012127304a7c","","checklist-sectioned","","Ambient Room","checklist","FALSE","FALSE","Project QA","Ambient Room"
"9e6157ed-5b21-47b3-862e-4e33b2e14235","","checklist-sectioned","","Cool Room","checklist","FALSE","FALSE","Project QA","Cool Room"
"c8950f26-7367-4b27-8d19-eb5efba5686e","","checklist-sectioned","","Ceiling","checklist","FALSE","FALSE","Project QA","Ceiling"
"772318b3-a678-4d5e-84a9-2af8fe9d426d","","folder-normal","","","step","TRUE","FALSE","Health and Safety"
"ab1acd3d-9e87-435b-a8da-457a9d1f0a6b","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start"
"9938a84c-d930-49a1-b74f-47550b0d2f09","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","May 2024"
"e12cffec-b8a0-4e01-9735-d9fe7f7632d2","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","June 2024"
"363747d3-4bf8-48a9-9dbc-f923cb4afd8a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","July 2024"
"8abac707-94f6-483c-aa94-35d2823439e2","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","August 2024"
"5fc4f336-08a0-437c-a59d-1a1c91d3bce3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","September 2024"
"85859c3b-29a2-49b7-9ad3-6b0327764ad5","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Pre-Start","October 2024"
"580bac07-aa04-4ec3-bfa4-ce0acfe0193a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox"
"1adc69bf-bff8-4e01-9084-4dd2d3049bff","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","June 2023"
"1080107c-7ea8-4bf3-8d20-d56eaf1150d9","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","July 2023"
"ec81949a-664e-4af2-9ad3-2dcd028d7711","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","August 2023"
"7d797195-5825-4ee7-be12-23d5e05c13a1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","September 2023"
"ccdc1f2a-7004-4094-bdd5-37af609a8ae3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","October 2023"
"b270ce2b-dc70-495f-b441-193bd9b740cf","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","November 2023"
"e8e49d57-c9da-4fbc-8230-128096a218c4","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","December 2023"
"03d53260-4c8c-49f1-93b8-5695c9f01f30","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","January 2024"
"268822a8-1d20-40fa-82d2-c140b942d113","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","February 2024"
"1c5f911d-f180-49c0-845c-c72b4956e3a1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","March 2024"
"812d219b-40e0-4577-ae28-1391d27bbbe4","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","April 2024"
"e5e08d91-25f2-4cd7-8577-17b0f185fca5","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","May 2024"
"03717ca6-211b-4224-8e7a-fe6aa848694d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","June 2024"
"5a6c943e-fbdc-4d79-9332-f7bda3833fef","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","July 2024"
"b4a14a8f-356f-440b-b73c-8b2f9bcf8fcb","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","August 2024"
"41806342-d2cf-4a61-a539-e8502cfc6fc0","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","September 2024"
"a05f5ce0-e594-492a-8e0e-dea478e4148c","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Toolbox","October 2024"
"f609f33f-e803-4df6-b908-7285cd99e6a6","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection"
"425930c1-9d6d-4ed4-a215-44136136b4d5","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","June 2023"
"56d801aa-bce6-4054-93c7-9ce45bcd082f","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","July 2023"
"aa9c7221-8c5c-41ba-855e-829c7251b5ad","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","August 2023"
"a11cc6a7-bbea-4681-bd3d-3f7853f24a49","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","September 2023"
"34af6f1c-5dbf-4a7d-b968-7f92cab712d8","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","October 2023"
"eb0ce946-3800-45f0-95da-c393d6700f77","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","November 2023"
"78bbeb34-6fd2-4b53-bed6-5d4764923ac8","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","December 2023"
"644a8d6b-b7c6-4187-b233-1e3a0f581a8a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","January 2024"
"69e42a1b-98eb-4a5d-a036-d8257e9023e7","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","February 2024"
"8c4776b3-8a87-4a06-b593-e70ba1584c5c","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","March 2024"
"9cfcec86-acca-4d68-a333-c11cf75ed120","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","April 2024"
"ad748a21-7abf-458c-b023-3f18a3625bcf","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","May 2024"
"fff8b4b3-9814-4f53-8275-d97e928379ad","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","June 2024"
"25add9de-9cef-4a8b-928d-76b32438cc6e","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","July 2024"
"3a377d84-713b-4057-8fd0-31fce302ec74","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","August 2024"
"2e7c43b7-aad5-4f6c-a63f-435696a16339","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","September 2024"
"59d91966-0ef2-464c-bc64-1bcbea0beee3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Site Inspection","October 2024"
"43f09b8c-17b3-4b9f-934d-78852d8109de","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation"
"a65f6d5c-7191-4f08-a2c2-eb692ed4afab","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","June 2023"
"5c33271e-7bb8-4081-9cd5-dd4489ac1c0b","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","July 2023"
"10966e0c-ae95-4d50-87b2-33736c27b476","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","August 2023"
"75e98fb3-f25a-4bc9-8b8e-f364c5221375","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","September 2023"
"24c5fa0f-8202-439c-8132-eeda7d0e5202","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","October 2023"
"ffda9982-fdfc-44f3-9a0e-34d58c10214a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","November 2023"
"24e12a72-507f-45f4-b7a0-2291b49659af","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","December 2023"
"6fc7d70e-79f5-4a3c-888c-5eb329e8ab1d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","January 2024"
"7f594edc-124d-4b8e-b6e7-51aa3f88fdf7","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","February 2024"
"e29217a8-fcde-4100-a12e-c459a4b93aa3","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","March 2024"
"fa91f7ff-b712-4618-aeb1-512a185e30f5","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","April 2024"
"2fab5137-74ce-4f69-80ce-29202ffc619f","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","May 2024"
"92793117-ff95-40c1-96f1-c2fb2615d0a2","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","June 2024"
"2b8ab477-5e19-4bf1-8498-3ede535a55f4","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","July 2024"
"d73291e5-7c9c-4029-9ea0-c1308c6cac33","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","August 2024"
"bd07744b-d872-49fc-95fd-061e55bcad75","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","September 2024"
"e9f4c731-daf0-41b3-9b5b-175947b84496","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Accident & Incident Investigation","October 2024"
"5ae408ec-a6a7-4375-86cd-970a6dd0168d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping"
"f230e9a3-d2ac-4525-afe8-61314e127153","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","June 2023"
"7686a243-be2d-485d-b1e7-508ae4ebff6d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","July 2023"
"e7c359ef-b517-46b4-8eed-d1d9eafcb14b","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","August 2023"
"061ac12e-99d5-4330-b680-e03f88a1fea1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","September 2023"
"9f972f79-0eb4-4dc0-b5e2-2f741d612b76","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","October 2023"
"a26d7ba3-c5eb-4762-b712-f5924438fe02","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","November 2023"
"4165c521-3176-453c-87d8-3e0656e9913d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","December 2023"
"a11fe68e-9c73-4945-9929-2956000df4c4","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","January 2024"
"ef51ab22-6a93-4d0a-aa9e-75a901c044c1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","February 2024"
"e5a5383a-44ef-4b56-971b-c64c6b15294a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","March 2024"
"23cb3fdd-abc6-4c01-a49b-d958b9a386e1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","April 2024"
"0cf326ef-fca6-4706-832c-98469c70d375","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","May 2024"
"4d4f8c17-e5b5-4d77-b658-2566f08ee036","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","June 2024"
"46257f1e-7d1e-49ff-963e-f2da76a7dd1e","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","July 2024"
"479ef232-e569-41d8-bbf1-b30a603cde6d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","August 2024"
"5b186c28-c37f-4888-910a-591a5066a324","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","September 2024"
"69e3b07c-52e6-4138-8a5f-19842cb79586","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Scaffolding and Propping","October 2024"
"b09ec490-69ed-463c-a2af-0b0783beb67a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA"
"89a43614-f0e5-4638-8e63-420bdf7eba39","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","June 2023"
"3d108348-c19a-4a33-befd-65027343a154","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","July 2023"
"bc7cf895-5c00-4450-9712-ebe1a89ae072","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","August 2023"
"0c7c9a01-d5b6-4e04-abc3-e4b5d0b97769","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","September 2023"
"5da4515e-1e98-4430-86eb-fa5df8e28a07","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","October 2023"
"a1b99f21-2dc0-40f2-bf87-cd05fa876b65","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","November 2023"
"f2f64ad5-09b1-4e4c-99f1-a8ce1fe3c629","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","December 2023"
"7065b081-84e1-44fe-a0e8-e202cb7638ac","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","January 2024"
"07e4e0ea-9b45-475a-b7e0-019b66068ec9","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","February 2024"
"52c2ef51-61a3-403b-8d7d-43c158f21261","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","March 2024"
"77d01e06-7a62-46ed-ac8a-59084fa9bc26","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","April 2024"
"6195e386-b968-40f4-bf7e-38bdb6370e8d","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","May 2024"
"4fa8f119-d046-4a49-a71b-a4e20d430937","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","June 2024"
"28f91e1b-b059-4031-9aba-33ef2412dee1","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","July 2024"
"b33f214b-80fa-4f46-9305-8bbb90d03239","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","August 2024"
"78521103-51ed-4c92-b513-4e9b2f20239a","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","September 2024"
"c5f8ad79-05df-41cf-9b4f-0ee81594d051","","folder-normal","","","step","TRUE","FALSE","Health and Safety","TA/JSEA","October 2024"
"28ae4d4b-a908-455f-9172-b566d77e78a0","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Stand Down"
"96c868a5-02d7-4fad-ad70-6e11c40f804b","","folder-normal","","","step","TRUE","FALSE","Health and Safety","Documents"
