"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"43134bb7-5649-4782-a188-b9d687b971e9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"52a8c670-9b28-410e-9a61-260ca3a46ff7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Ground Floor"
"35e970ee-7481-45e6-95cc-34200d10852b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Ground Floor","Pre façade"
"e8ff0fa4-77d5-4448-a49b-c4d8d8c61a1e","","checklist-flat","not-started","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Pre façade","Zone A"
"e4332f9a-b392-53fd-a485-a6644a9886cb","","checkpoint-status","not-started","Zone checklist:ee4ea307-5e93-4940-b6d7-bb54929215e2","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone B","Plaster walls"
"8e7f4236-3a9c-5887-b0ee-cdbf1a1a04df","","checkpoint-status","not-started","Zone checklist:df5ab8a7-384f-4a04-b5e0-dadda38064fc","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone B","Frame ceilings"
"e2f55518-6bef-54fb-af39-4874e462bcaf","","checkpoint-status","not-started","Zone checklist:17ecf587-a6ce-4e49-831c-dc974aea66b1","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone B","Sheet ceilings"
"8f503777-7eac-50b6-b2fa-0a0f8891297a","","checkpoint-status","not-started","Zone checklist:13a8516c-ad64-455e-8a5b-9ba93f35b0b9","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone B","Caulking"
"62d3e014-1aaa-5057-8998-e4a385f7faa2","","checkpoint-status","not-started","Zone checklist:e3c538be-19e3-41ea-a6dc-dc63a7d1f78f","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone B","Area clean and handover"
"3f3370c9-100e-4d0a-bdb3-c181e27a587c","","checklist-flat","not-started","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Pre façade","Zone C"
"8e877a85-69cd-5f33-97e5-48ab529e1813","","checkpoint-status","not-started","Zone checklist:642bca8b-ae2b-4780-961c-84e846d39329","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone C","Set out"
"abb0e8eb-eddf-5fe4-8555-064c457c034c","","checkpoint-status","not-started","Zone checklist:22aa04da-54a8-4258-8384-2fcec2c2ebb7","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone C","Soffit Installation"
"ab42b1d6-a91a-591f-870c-adc40c38968f","","checkpoint-status","not-started","Zone checklist:dbb1aff5-4b49-4519-95c8-44af637b78c0","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone C","Speedpanel & Caulking"
"6a47414b-62dd-57c1-a568-bc558a7bf23b","","checkpoint-status","not-started","Zone checklist:93429506-038e-4ae2-b009-7156cd52a44d","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone C","Frame walls"
"7d8690ea-06cc-59f2-89a7-9b77d3e80c2f","","checkpoint-status","not-started","Zone checklist:b38a7681-9a68-442d-90a4-0c1ef745bab3","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone C","Install noggins"
"19467f8d-5daf-5fb6-a832-636bd8007917","","checkpoint-status","not-started","Zone checklist:ee4ea307-5e93-4940-b6d7-bb54929215e2","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone C","Plaster walls"
"1adba7ca-9a52-5a3f-a4c8-b0e831e219e7","","checkpoint-status","not-started","Zone checklist:df5ab8a7-384f-4a04-b5e0-dadda38064fc","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone C","Frame ceilings"
"5e9ca30f-622f-5142-9d73-359dd5564be4","","checkpoint-status","not-started","Zone checklist:17ecf587-a6ce-4e49-831c-dc974aea66b1","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone C","Sheet ceilings"
"f1e3926a-3362-5d04-9f09-e01046ab6932","","checkpoint-status","not-started","Zone checklist:13a8516c-ad64-455e-8a5b-9ba93f35b0b9","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone C","Caulking"
"dcdf8484-d248-5d6a-9a85-48eb5ac416f6","","checkpoint-status","not-started","Zone checklist:e3c538be-19e3-41ea-a6dc-dc63a7d1f78f","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone C","Area clean and handover"
"3a51935f-dd65-44f2-9cdd-12624b56d08e","","checklist-flat","work-in-progress","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Pre façade","Zone D"
"0f9cc8e5-0ba4-5f9d-a9f9-61efc9083d02","","checkpoint-status","pass","Zone checklist:642bca8b-ae2b-4780-961c-84e846d39329","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone D","Set out"
"6b2cffd5-ca31-5f05-ba3b-76b0efddb235","","checkpoint-status","pass","Zone checklist:22aa04da-54a8-4258-8384-2fcec2c2ebb7","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone D","Soffit Installation"
"eaff3033-3dcf-50fb-819d-271656541317","","checkpoint-status","not-started","Zone checklist:dbb1aff5-4b49-4519-95c8-44af637b78c0","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone D","Speedpanel & Caulking"
"e27124ca-4d0f-58c0-89d5-3a73d59d59dc","","checkpoint-status","pass","Zone checklist:93429506-038e-4ae2-b009-7156cd52a44d","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone D","Frame walls"
"cea5f5d2-1991-521e-b3d4-943fe3a2186c","","checkpoint-status","work-in-progress","Zone checklist:b38a7681-9a68-442d-90a4-0c1ef745bab3","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone D","Install noggins"
"4cede630-6f51-5dc8-94d9-8f2f31388cd8","","checkpoint-status","work-in-progress","Zone checklist:ee4ea307-5e93-4940-b6d7-bb54929215e2","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone D","Plaster walls"
"8d5abfee-294b-507a-ac27-5cec81abd420","","checkpoint-status","not-started","Zone checklist:df5ab8a7-384f-4a04-b5e0-dadda38064fc","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone D","Frame ceilings"
"5727a8d7-ee7f-5f53-bbd1-6f27a2ae276d","","checkpoint-status","not-started","Zone checklist:17ecf587-a6ce-4e49-831c-dc974aea66b1","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone D","Sheet ceilings"
"32c67a0f-2697-5dd0-927f-2c11f1efa316","","checkpoint-status","not-started","Zone checklist:13a8516c-ad64-455e-8a5b-9ba93f35b0b9","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone D","Caulking"
"4c6c3310-37ba-5aa7-8a2f-57c83beb9676","","checkpoint-status","not-started","Zone checklist:e3c538be-19e3-41ea-a6dc-dc63a7d1f78f","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone D","Area clean and handover"
"353d609d-4b29-47e5-b757-f5b0c3db3c8f","","checklist-flat","work-in-progress","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Pre façade","Zone E"
"87101d88-7a41-5337-aa46-1483f23db21e","","checkpoint-status","pass","Zone checklist:642bca8b-ae2b-4780-961c-84e846d39329","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone E","Set out"
"31e42dd1-beb6-534f-be16-ce2eec2cbdfe","","checkpoint-status","work-in-progress","Zone checklist:22aa04da-54a8-4258-8384-2fcec2c2ebb7","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone E","Soffit Installation"
"91cef9de-ec4a-5f1a-bd39-d4dc6473c7d7","","checkpoint-status","not-started","Zone checklist:dbb1aff5-4b49-4519-95c8-44af637b78c0","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone E","Speedpanel & Caulking"
"f4d749b3-a005-5d92-9845-f99507aeff3d","","checkpoint-status","pass","Zone checklist:93429506-038e-4ae2-b009-7156cd52a44d","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone E","Frame walls"
"fa3a645c-20ce-5852-9118-0e02cc98c40a","","checkpoint-status","work-in-progress","Zone checklist:b38a7681-9a68-442d-90a4-0c1ef745bab3","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone E","Install noggins"
"33387652-0644-5c78-9204-00e73278a9ea","","checkpoint-status","work-in-progress","Zone checklist:ee4ea307-5e93-4940-b6d7-bb54929215e2","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone E","Plaster walls"
"a0a712bd-456b-5f3e-b177-2a82f0ca8bf9","","checkpoint-status","not-started","Zone checklist:df5ab8a7-384f-4a04-b5e0-dadda38064fc","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone E","Frame ceilings"
"9138e32a-b08e-51aa-82a2-65501878a9f0","","checkpoint-status","not-started","Zone checklist:17ecf587-a6ce-4e49-831c-dc974aea66b1","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone E","Sheet ceilings"
"37bbd8ee-573d-51c2-bb83-76ed202b03a8","","checkpoint-status","not-started","Zone checklist:13a8516c-ad64-455e-8a5b-9ba93f35b0b9","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone E","Caulking"
"b84a8824-75ee-5970-b964-df9208573c09","","checkpoint-status","not-started","Zone checklist:e3c538be-19e3-41ea-a6dc-dc63a7d1f78f","","TRUE","TRUE","Site QA","Ground Floor","Pre façade","Zone E","Area clean and handover"
"17d627a8-a4c6-4e3a-8467-8eb958c13a97","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground Floor","Post façade"
"66c9485a-e0c6-42f4-ae44-ba13cc22f55b","","checklist-flat","not-started","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Post façade","Zone A"
"cb0f9bde-14b6-5664-850e-58a8840a24c5","","checkpoint-status","not-started","Zone checklist:642bca8b-ae2b-4780-961c-84e846d39329","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone A","Set out"
"326ac044-0b28-58c8-80c8-4eba06275c5f","","checkpoint-status","not-started","Zone checklist:22aa04da-54a8-4258-8384-2fcec2c2ebb7","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone A","Soffit Installation"
"28ffc476-cc62-50e2-a577-edaecede7e63","","checkpoint-status","not-started","Zone checklist:dbb1aff5-4b49-4519-95c8-44af637b78c0","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone A","Speedpanel & Caulking"
"b7a692c1-9e73-5bcd-a440-907384603d3c","","checkpoint-status","not-started","Zone checklist:93429506-038e-4ae2-b009-7156cd52a44d","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone A","Frame walls"
"5d2255e5-5637-56fc-9b8b-fd22ae21afa0","","checkpoint-status","not-started","Zone checklist:b38a7681-9a68-442d-90a4-0c1ef745bab3","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone A","Install noggins"
"7eb2fc95-1107-5229-b132-32ef211ceb4d","","checkpoint-status","not-started","Zone checklist:ee4ea307-5e93-4940-b6d7-bb54929215e2","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone A","Plaster walls"
"fdc76ee1-df68-5b4f-9e2b-b2ff26207108","","checkpoint-status","not-started","Zone checklist:df5ab8a7-384f-4a04-b5e0-dadda38064fc","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone A","Frame ceilings"
"9fceaf9e-e08a-5374-9ed4-8c491752dab5","","checkpoint-status","not-started","Zone checklist:17ecf587-a6ce-4e49-831c-dc974aea66b1","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone A","Sheet ceilings"
"2f8254f9-52ca-54a6-9023-d6ac16698c18","","checkpoint-status","not-started","Zone checklist:13a8516c-ad64-455e-8a5b-9ba93f35b0b9","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone A","Caulking"
"f534d4c9-bdd8-5f6b-92a3-59b519eaa997","","checkpoint-status","not-started","Zone checklist:e3c538be-19e3-41ea-a6dc-dc63a7d1f78f","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone A","Area clean and handover"
"652b4aa8-4292-4e33-928f-69d4b7eb7750","","checklist-flat","not-started","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Post façade","Zone B"
"9b7b5978-2075-5867-9f6f-a6091a0f0150","","checkpoint-status","not-started","Zone checklist:642bca8b-ae2b-4780-961c-84e846d39329","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone B","Set out"
"18786c7c-b432-5007-aed2-50e0113288bf","","checkpoint-status","not-started","Zone checklist:22aa04da-54a8-4258-8384-2fcec2c2ebb7","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone B","Soffit Installation"
"7882158a-3425-5557-ad11-580c8dd629be","","checkpoint-status","not-started","Zone checklist:dbb1aff5-4b49-4519-95c8-44af637b78c0","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone B","Speedpanel & Caulking"
"46e2a248-03d9-5fa1-94a2-939b423f264a","","checkpoint-status","not-started","Zone checklist:93429506-038e-4ae2-b009-7156cd52a44d","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone B","Frame walls"
"8d30c739-9b8a-5465-bb7c-94774cae8bf0","","checkpoint-status","not-started","Zone checklist:b38a7681-9a68-442d-90a4-0c1ef745bab3","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone B","Install noggins"
"2c4cd51e-a268-5ef8-b2ab-377b8931e428","","checkpoint-status","not-started","Zone checklist:ee4ea307-5e93-4940-b6d7-bb54929215e2","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone B","Plaster walls"
"a67b3a8a-558c-595a-9cf2-180bd2e76d43","","checkpoint-status","not-started","Zone checklist:df5ab8a7-384f-4a04-b5e0-dadda38064fc","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone B","Frame ceilings"
"1243b68b-891d-521b-88b9-28fbcc74eeb2","","checkpoint-status","not-started","Zone checklist:17ecf587-a6ce-4e49-831c-dc974aea66b1","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone B","Sheet ceilings"
"ba7d98f3-0462-5aaa-a574-f1513465c5c7","","checkpoint-status","not-started","Zone checklist:13a8516c-ad64-455e-8a5b-9ba93f35b0b9","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone B","Caulking"
"f4c19ff1-ed71-5cbd-bbf0-6bdb79efcedb","","checkpoint-status","not-started","Zone checklist:e3c538be-19e3-41ea-a6dc-dc63a7d1f78f","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone B","Area clean and handover"
"3a664e51-c754-45b7-92bf-fd6d98d681a8","","checklist-flat","not-started","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Post façade","Zone C"
"599901ab-518c-5742-ab9e-00c99d085528","","checkpoint-status","not-started","Zone checklist:642bca8b-ae2b-4780-961c-84e846d39329","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone C","Set out"
"3975349f-6de5-5a8e-a922-07aef5a9f143","","checkpoint-status","not-started","Zone checklist:22aa04da-54a8-4258-8384-2fcec2c2ebb7","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone C","Soffit Installation"
"d13bc939-e1e6-5af0-a118-8fecd0898cef","","checkpoint-status","not-started","Zone checklist:dbb1aff5-4b49-4519-95c8-44af637b78c0","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone C","Speedpanel & Caulking"
"488e6ed0-d45c-594a-ad57-d2d08d795081","","checkpoint-status","not-started","Zone checklist:93429506-038e-4ae2-b009-7156cd52a44d","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone C","Frame walls"
"5fe1f39e-9bb1-525b-9ee9-5f8c1e290802","","checkpoint-status","not-started","Zone checklist:b38a7681-9a68-442d-90a4-0c1ef745bab3","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone C","Install noggins"
"bf8ae425-feec-542c-9097-35b312e77456","","checkpoint-status","not-started","Zone checklist:ee4ea307-5e93-4940-b6d7-bb54929215e2","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone C","Plaster walls"
"42054c48-ce63-5131-9603-b8bffe4f3f7b","","checkpoint-status","not-started","Zone checklist:df5ab8a7-384f-4a04-b5e0-dadda38064fc","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone C","Frame ceilings"
"b9ca4470-385a-5448-8052-153c5478ceb3","","checkpoint-status","not-started","Zone checklist:17ecf587-a6ce-4e49-831c-dc974aea66b1","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone C","Sheet ceilings"
"4689b103-0927-5b55-8cb4-c0052197ffc2","","checkpoint-status","not-started","Zone checklist:13a8516c-ad64-455e-8a5b-9ba93f35b0b9","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone C","Caulking"
"e2d28400-5eb5-5063-991f-d12c08273602","","checkpoint-status","not-started","Zone checklist:e3c538be-19e3-41ea-a6dc-dc63a7d1f78f","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone C","Area clean and handover"
"2162ad50-6f8d-44ac-af83-c87f722de9d7","","checklist-flat","not-started","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Post façade","Zone D"
"d23cd3cb-51d2-5631-9e6d-ee5271acb554","","checkpoint-status","not-started","Zone checklist:642bca8b-ae2b-4780-961c-84e846d39329","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone D","Set out"
"fca98907-17fa-5371-b1d9-bf960366ec43","","checkpoint-status","not-started","Zone checklist:22aa04da-54a8-4258-8384-2fcec2c2ebb7","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone D","Soffit Installation"
"f32b06d9-28e1-56d2-b75b-165253534f7c","","checkpoint-status","not-started","Zone checklist:dbb1aff5-4b49-4519-95c8-44af637b78c0","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone D","Speedpanel & Caulking"
"2de4d3f6-39b1-502a-8c08-436f8500751d","","checkpoint-status","not-started","Zone checklist:93429506-038e-4ae2-b009-7156cd52a44d","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone D","Frame walls"
"f341c3b1-de1e-5637-9516-ee9b4bb007a6","","checkpoint-status","not-started","Zone checklist:b38a7681-9a68-442d-90a4-0c1ef745bab3","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone D","Install noggins"
"1f6b8330-3078-5abf-b4e2-dc98b89d4d4c","","checkpoint-status","not-started","Zone checklist:ee4ea307-5e93-4940-b6d7-bb54929215e2","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone D","Plaster walls"
"91bb9ca3-2700-5234-9933-884611017598","","checkpoint-status","not-started","Zone checklist:df5ab8a7-384f-4a04-b5e0-dadda38064fc","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone D","Frame ceilings"
"359bfcf6-03da-56a9-b015-9fc80f2db980","","checkpoint-status","not-started","Zone checklist:17ecf587-a6ce-4e49-831c-dc974aea66b1","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone D","Sheet ceilings"
"9c44438c-7466-52de-8d07-b2f1cdae34f6","","checkpoint-status","not-started","Zone checklist:13a8516c-ad64-455e-8a5b-9ba93f35b0b9","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone D","Caulking"
"b8113955-a8a3-5d7d-ba5e-11f0e3cd89db","","checkpoint-status","not-started","Zone checklist:e3c538be-19e3-41ea-a6dc-dc63a7d1f78f","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone D","Area clean and handover"
"85a9d4d1-0417-44fa-bd62-c1adfe755ed3","","checklist-flat","not-started","Zone checklist","checklist-flat","FALSE","FALSE","Site QA","Ground Floor","Post façade","Zone E"
"b1192a08-d9c4-5d8a-bc6b-fce364046547","","checkpoint-status","not-started","Zone checklist:642bca8b-ae2b-4780-961c-84e846d39329","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone E","Set out"
"650e7851-6abe-5f2b-aa1e-e911ee6fbaa2","","checkpoint-status","not-started","Zone checklist:22aa04da-54a8-4258-8384-2fcec2c2ebb7","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone E","Soffit Installation"
"bfc716db-10e1-5a49-8a9b-4273cacd3349","","checkpoint-status","not-started","Zone checklist:dbb1aff5-4b49-4519-95c8-44af637b78c0","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone E","Speedpanel & Caulking"
"aea083b3-c839-5286-9cab-a0b596ffcae3","","checkpoint-status","not-started","Zone checklist:93429506-038e-4ae2-b009-7156cd52a44d","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone E","Frame walls"
"a86466be-d86d-58a9-85ce-5ba3ead5e4fd","","checkpoint-status","not-started","Zone checklist:b38a7681-9a68-442d-90a4-0c1ef745bab3","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone E","Install noggins"
"b95883da-b029-5cc5-aa01-3e920530af6e","","checkpoint-status","not-started","Zone checklist:ee4ea307-5e93-4940-b6d7-bb54929215e2","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone E","Plaster walls"
"c8e78044-b4b6-5ea1-b5ba-26783ce945d8","","checkpoint-status","not-started","Zone checklist:df5ab8a7-384f-4a04-b5e0-dadda38064fc","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone E","Frame ceilings"
"8c4c57aa-c30d-5757-a17a-d39ff920b8b6","","checkpoint-status","not-started","Zone checklist:17ecf587-a6ce-4e49-831c-dc974aea66b1","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone E","Sheet ceilings"
"cf50f4e6-6120-533d-9589-c5a7d1066d2d","","checkpoint-status","not-started","Zone checklist:13a8516c-ad64-455e-8a5b-9ba93f35b0b9","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone E","Caulking"
"9d700636-7c39-56a4-93c8-3c069fbdcbac","","checkpoint-status","not-started","Zone checklist:e3c538be-19e3-41ea-a6dc-dc63a7d1f78f","","TRUE","TRUE","Site QA","Ground Floor","Post façade","Zone E","Area clean and handover"
"a632b32e-0d1a-4cbf-af0a-f9fd82967722","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Deliveries"
