"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f12e6f2a-b2fc-4966-80d0-d4a467ec75d3","","fail","","folder","TRUE","FALSE","First Fix to Walls"
"f6b5697e-7648-49d4-a8e5-d1c06a534566","","fail","","folder","TRUE","FALSE","First Fix to Walls","Level 0"
"e661aac3-3b25-4bb4-aef6-4b5650f7c8a5","","fail","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1"
"2f088115-8901-49bb-9658-793076ac43a9","","fail","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004"
"7915ac9a-4dc1-4acf-8bee-0607cc78e454","","not-started","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - LCL - Part 2"
"e4828c65-b016-489d-94fd-15c8d107cb4b","","fail","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - Alpha"
"b7d4dc20-ad72-429e-bdd6-2ee2dc52720d","","work-in-progress","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.004","QA - Contract Coatings"
"eac4e9dd-60b4-4eeb-ad4c-000268028c20","","fail","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005"
"f54e1ee4-dc6b-438c-bb31-1544438f2356","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - Hanlon Plumbing"
"0518363d-0ec1-430f-ac17-8883b8007a5b","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - HelRimu"
"b88f299f-3a24-4485-8861-3dbdfc5cc0fa","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - Gilcom"
"e5a3396c-bbbe-4cd1-afa8-5fdeda64bd16","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - Rauland"
"f63b290b-d8aa-4653-8672-0f567a53a499","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - Premier Fire"
"f349450b-accb-40ef-8569-b81b337a5802","","pass","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - Data Talk"
"89eeb226-d940-4956-abed-cab1349b30be","","not-applicable","1aee57da1db8153955aaa01d65d61a45e32df3e74221a9ff36b8500d386a6407","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - Lamson"
"192bfd94-64e5-4cf0-8c4d-83028e183d43","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - VAE"
"f9fd1f99-2103-480c-9686-8ac71e1ece7c","","pass","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - Contego"
"77ce4471-ff25-447a-8c39-ee8e9252227f","","pass","5a3227e24017f5c4da43d2f5b88d382f9832f0fe346f27566a79a12b20e01f43","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - LCL"
"9ccfba6e-d73c-40a9-9103-9fa624cffc83","","not-started","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - LCL - Part 2"
"06d390e0-6cf9-47dd-b106-ddf516fd0afe","","fail","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - Alpha"
"4601ba2c-35ae-406d-83b8-40d4d7cdeae2","","not-started","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.005","QA - Contract Coatings"
"ce9fe1b8-c050-4975-b8c0-2a631d8142ff","","work-in-progress","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006"
"729af638-6ca6-42b8-86ba-6caf0359fed2","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - Hanlon Plumbing"
"ec0e77d0-7147-4c86-a6ba-a08c17678e13","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - HelRimu"
"c5020424-d751-4057-9b7d-c5b3fe9791e0","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - Gilcom"
"9c05b5fd-50ef-44d7-a580-33b34b63d181","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - Rauland"
"e4e28227-c2cc-488b-b62c-cf337481bed2","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - Premier Fire"
"21ad6968-3574-4433-aa03-0c259a5b34c4","","pass","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - Data Talk"
"a244b6e9-b205-4d6e-a565-652d88f2a228","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - Lamson"
"5756a81b-9466-4fc1-86af-55bc3568cdf4","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - VAE"
"4c174d62-0059-450d-889c-3c2cf0a33a0e","","pass","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - Contego"
"7c813567-f836-4ac2-ab27-58c63cec582b","","pass","5a3227e24017f5c4da43d2f5b88d382f9832f0fe346f27566a79a12b20e01f43","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - LCL"
"9ebc9e82-aaa3-404d-a20f-fe846d4f6a1a","","not-started","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - LCL - Part 2"
"17e23ffd-5f30-44c8-a2b1-8fb6371f76a2","","pass","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - Alpha"
"5dfa08a9-b51a-4d02-9cd4-9889718b4cc8","","not-started","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.006","QA - Contract Coatings"
"a7290bd5-09fb-49dc-9a0c-8b836ca95bdd","","work-in-progress","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007"
"7f9f9e4a-f044-4818-91cb-d466186611a5","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - Hanlon Plumbing"
"c2c5b1ec-650e-4cbf-be9a-ffcb9a3bc10e","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - HelRimu"
"1f7c8481-8f27-4fd4-bb0f-55def5488b5b","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - Gilcom"
"d63539cf-3c0d-479c-82fb-3182b2d34c2d","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - Rauland"
"b55ac54b-d9ad-49a1-95c0-624251ff5532","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - Premier Fire"
"f9c31f43-e8c2-4b9c-b918-5cf96468be71","","pass","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - Data Talk"
"5b383be5-7047-4a49-8a21-f0465b0d7655","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - Lamson"
"5eee672d-d72c-40e8-b3d1-c7a696e3e5d0","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - VAE"
"a2c22bac-4069-4f14-ad30-d4c7627741d6","","pass","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - Contego"
"00a37b16-e81b-402e-9ccc-7e28a19d3b5a","","pass","5a3227e24017f5c4da43d2f5b88d382f9832f0fe346f27566a79a12b20e01f43","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - LCL"
"3e219ab3-a746-4129-9f72-f0310fa7c146","","not-started","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - LCL - Part 2"
"f2ea23ed-904f-4cfa-a8e6-2f5ddc4e1f86","","not-started","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - Alpha"
"99d380b1-bbc3-4d7b-835c-97346a4e3d5e","","not-started","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.007","QA - Contract Coatings"
"441d35d5-2617-4977-8703-9e1578891241","","work-in-progress","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E"
"afa9ff10-d03f-42f0-9a41-f2f47db74e2a","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - Hanlon Plumbing"
"66f9120a-719b-4811-8608-eb912020e881","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - HelRimu"
"7ecb20b6-8e31-4d3f-b3cd-21f010c4680f","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - Gilcom"
"c64f8518-995a-4b31-b6cc-70e69cb3496d","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - Rauland"
"2cdba58c-6216-4188-a632-7f710addf61b","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - Premier Fire"
"0151b0a0-df11-45ec-b8c6-3e6d01d1684f","","pass","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - Data Talk"
"b91fe049-7a9a-4354-96a9-b997687434b5","","not-applicable","1aee57da1db8153955aaa01d65d61a45e32df3e74221a9ff36b8500d386a6407","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - Lamson"
"ede2a989-4ef2-4baa-a167-a7218b07b334","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - VAE"
"35528d84-8322-4554-8598-6e3221437d3e","","pass","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - Contego"
"4cbddc06-80fa-49af-a76c-a77e858f16fb","","pass","5a3227e24017f5c4da43d2f5b88d382f9832f0fe346f27566a79a12b20e01f43","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - LCL"
"ab7b7061-2d74-444a-b3b8-c23940093f8a","","not-started","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - LCL - Part 2"
"1ab77739-ec61-4008-a2f2-38f2b7eb3248","","not-started","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - Alpha"
"d954ee03-972b-48db-9b34-6e6b85397ef2","","not-started","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008a - gridline 10 B-E","QA - Contract Coatings"
"2c84e072-780b-4ec6-ae6e-d532884fb5e7","","work-in-progress","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10"
"2133d797-7584-4351-9022-32b7d8598361","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - Hanlon Plumbing"
"9d164a44-a18a-43ac-850c-95e2dc93bb2a","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - HelRimu"
"1b428361-8bc2-4572-8734-67adcfe2f20b","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - Gilcom"
"e04cb165-588f-4a36-9e2a-bc364f8c1c46","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - Rauland"
"e9a27093-de56-4681-bdfb-562024f0918e","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - Premier Fire"
"1c4e2e4d-3acf-42c3-ae6e-f6f33a359c99","","pass","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - Data Talk"
"609b5e46-1bb9-4f4d-8d96-7acca1c7ccac","","not-applicable","1aee57da1db8153955aaa01d65d61a45e32df3e74221a9ff36b8500d386a6407","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - Lamson"
"23411efe-e10a-4f60-a64e-bb0851a24c20","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - VAE"
"31d9c042-6a8a-44a6-a15e-9efc4f96b671","","pass","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - Contego"
"361d7e2c-6778-455b-a8fc-6669b159233d","","pass","5a3227e24017f5c4da43d2f5b88d382f9832f0fe346f27566a79a12b20e01f43","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - LCL"
"47f9c5cc-c097-481f-ae60-1024a82d4f1b","","not-started","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - LCL - Part 2"
"473d1e01-0d1e-4d06-8a61-a2fd4df90b6d","","not-started","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - Alpha"
"f5e0a219-879c-4512-ab24-7a712a65914b","","not-started","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008b - gridline E 8-10","QA - Contract Coatings"
"2691cf1f-9b03-4f46-832d-9d921ed5ab69","","work-in-progress","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12"
"00cf7a9c-0da6-4d58-8ee4-a9554ba39542","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - Hanlon Plumbing"
"e8132569-4a87-471e-8f65-f1e1e8b06f14","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - HelRimu"
"44eefa2b-8dc8-445d-913a-0ae8fbdbccb9","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - Gilcom"
"8577d34d-eb7b-442f-9840-b309ae0ba59d","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - Rauland"
"8e3f8966-1a44-4f26-ba1d-5af078676a1a","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - Premier Fire"
"08c407cd-9dd5-47b6-be3f-7a973b84ea4a","","pass","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - Data Talk"
"0b50924b-ea00-4965-9aa8-e5574e19f24e","","not-applicable","1aee57da1db8153955aaa01d65d61a45e32df3e74221a9ff36b8500d386a6407","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - Lamson"
"f3b0dcfb-a923-493d-a34a-522508b1c744","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - VAE"
"3f471719-f683-4cc7-b77f-65d92fdcdbc0","","pass","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - Contego"
"79666373-064a-462f-8f9f-e7038507853f","","pass","5a3227e24017f5c4da43d2f5b88d382f9832f0fe346f27566a79a12b20e01f43","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - LCL"
"181ed534-670c-46cc-ac10-9a6f7f9518ce","","not-started","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - LCL - Part 2"
"d188ba40-9f80-42a4-83ab-ccf56ce6eeb5","","not-started","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - Alpha"
"499f4a86-cdca-498b-9f6a-c922a7b8ddda","","not-started","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.008c - gridline E 10-12","QA - Contract Coatings"
"1cda7599-0f22-4ccd-8ea9-3dba4c381295","","work-in-progress","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009"
"f58146da-9cdb-4ceb-905c-0bfe37ee468a","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - Hanlon Plumbing"
"039e0f94-d97d-46b6-9c7d-1bc36a7d1c68","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - HelRimu"
"e8c261b0-c38a-465e-a8d9-9b627bb958c8","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - Gilcom"
"8c28d7fe-278c-445b-aa15-c6256490e4f8","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - Rauland"
"7e38bfbc-eb85-41bd-b140-ad539ea6017f","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - Premier Fire"
"9a07fac8-05be-489a-b74b-a2e36c22a647","","pass","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - Data Talk"
"d423bfdd-120e-41c3-9ed8-0244f13d939e","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - Lamson"
"d328c5ff-7edf-4e4a-8c54-ec70a29a926b","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - VAE"
"00478337-e505-458e-8495-855e2a70449f","","pass","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - Contego"
"f2287ff7-8e82-4a31-be34-83efe79f6620","","pass","5a3227e24017f5c4da43d2f5b88d382f9832f0fe346f27566a79a12b20e01f43","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - LCL"
"7cdb4915-0617-4329-be80-ccd82be1df34","","not-started","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - LCL - Part 2"
"1ccbc2b7-0353-4ca1-9597-191916e4328b","","pass","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - Alpha"
"67fb3edb-e7fa-4b82-b4f3-0f308b00a288","","not-started","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.009","QA - Contract Coatings"
"312b14b2-1c4e-48e3-b8f8-b304516d4148","","work-in-progress","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011"
"94aa915e-3b52-46a3-8cca-2e2cea733351","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - Hanlon Plumbing"
"51ae6a8a-a4d4-4521-a33e-d008fea7d007","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - HelRimu"
"f2dc8a80-fc40-4d44-8b37-36acb3fd821e","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - Gilcom"
"0deeba4d-5a6b-4d0a-9b69-f2c2706c2b8c","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - Rauland"
"ab70dd91-a94a-47b6-8e0b-135b0ea7a1bc","","pass","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - Premier Fire"
"d5f81155-14cd-4fe8-8301-0e11ada4b685","","pass","QA - Data Talk","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - Data Talk"
"2b0fe22f-807d-4369-9ed2-db62ceb7de76","","not-applicable","1aee57da1db8153955aaa01d65d61a45e32df3e74221a9ff36b8500d386a6407","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - Lamson"
"912ed3a5-6402-4091-a4d7-437f172c6ac4","","not-applicable","QA - Lamson","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - VAE"
"2c4bb833-d90f-480b-a405-3f566d1d6a3e","","pass","QA - Contego","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - Contego"
"59de675d-75a8-45da-8802-3cffb7ee659c","","pass","c50f52b098358d81d007e5777ad4adc6bd1dadeb225ec1592fa298f0d968200a","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - LCL"
"c95e8cbf-fba0-4b50-991e-e21cd326abde","","not-started","QA - LCL - Part 2","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - LCL - Part 2"
"4447677a-a4ec-4582-a6fa-3a148fa87b83","","not-started","QA - Alpha","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - Alpha"
"c3d3b141-69e7-43c2-b7b2-4d1226503998","","not-started","QA - Contract Coatings","checklist","FALSE","FALSE","First Fix to Walls","Level 0","Zone 1","Circulation - RAD - 0.011","QA - Contract Coatings"
"bc579b68-b07e-48ed-b645-082488332b2f","","work-in-progress","","folder","TRUE","FALSE","First Fix to Walls","Level 0","Zone 1","Consult - RAD - 0.040"
