"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"35d0a7c7-ed3c-4c71-a97f-cb9c761a312f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"c24ff9f2-648f-45d3-92bd-824fa0c86770","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Civil"
"48536358-fc20-4910-9f02-e6772c9c6789","","checklist-flat","not-started","Setout / Surveying Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Setout / Surveying Checklist"
"2dcf0b49-0085-4df4-9146-e079fb6bb1a0","","checklist-flat","not-started","Bulk Excavation Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Bulk Excavation Checklist"
"94c09c06-7405-46d5-85b6-4ada58c4d68d","","checklist-flat","not-started","Detailed Excavation Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Detailed Excavation Checklist"
"b0d382c6-06ff-4568-8a4b-6392cfe2d276","","checklist-sectioned","not-started","Concrete Pour Checklist (Self Perform)","checklist","FALSE","FALSE","Site QA","Foundations","Concrete Pour Checklist (Self Perform)"
"6f846709-d6e3-4c42-85c1-8d32ac6a3a10","","checklist-flat","not-started","Tanking / Waterproofing Checklist (Audit)","checklist-flat","FALSE","FALSE","Site QA","Foundations","Tanking / Waterproofing Checklist (Audit)"
"f235a588-7e17-41da-8337-d707e3c27273","","checklist-flat","not-started","Grouting Precast Panels","checklist-flat","FALSE","FALSE","Site QA","Foundations","Grouting Precast Panels"
"f129f438-7f16-430f-8ded-a853b2c9a4c2","","checklist-flat","work-in-progress","Timber Framing (Audit)","checklist-flat","FALSE","FALSE","Site QA","Foundations","Timber Framing (Audit)"
"553d51c5-b4e6-42a4-81f9-96160af54196","","checklist-flat","not-started","Underslab Services Checklist (Audit)","checklist-flat","FALSE","FALSE","Site QA","Foundations","Underslab Services Checklist (Audit)"
"bd2e20df-b058-4067-a49a-01f8f542a718","","checklist-flat","not-started","Retaining Wall Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Retaining Wall Checklist"
"90b15108-e03e-4d4e-9a96-91ac22bf91e7","","checklist-flat","work-in-progress","Waterproofing Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Waterproofing Checklist"
"ca0b495a-73c3-499e-b142-29bfd91105f9","","checklist-flat","pass","Site Concrete Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Site Concrete Checklist"
"35fd2c0a-166a-4eb8-8aa3-47f9e224526e","","checklist-sectioned","pass","Blockwork Checklist","checklist","FALSE","FALSE","Site QA","Foundations","Blockwork Checklist"
"60a7f299-73d8-463b-b332-394b353b804d","","checklist-flat","not-started","Backfill Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Backfill Checklist"
"dbf5e1fc-9425-4481-85fe-72418aa87eb7","","checklist-flat","not-started","Intumescent Painting Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Intumescent Painting Checklist"
"cf87896a-a35a-424b-93b6-9628b792d87c","","checklist-flat","not-started","Precast Panel Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Precast Panel Installation Checklist"
"cf43af31-45f4-4a92-bca1-acaa865cf0c4","","checklist-flat","not-started","Piling Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundations","Piling Checklist"
"03f76188-7720-4475-8622-51ef2d3abfa7","","checklist-sectioned","not-started","Insitu Stitch Joints","checklist","FALSE","FALSE","Site QA","Foundations","Insitu Stitch Joints"
"9812d92f-2659-4653-ab17-5ff8f3f65b89","","checklist-flat","not-started","Ground Anchor's","checklist-flat","FALSE","FALSE","Site QA","Foundations","Ground Anchor's"
"50a258f2-a42e-49a7-9f75-5093a2e8fcac","","checklist-flat","not-started","Bore Drains","checklist-flat","FALSE","FALSE","Site QA","Foundations","Bore Drains"
"eac4924f-cded-46d9-ae69-bd4dd36dd435","","checklist-flat","not-started","Base Isolator","checklist-flat","FALSE","FALSE","Site QA","Foundations","Base Isolator"
"c3e77998-f3da-4791-a527-398eaf7158de","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Foundation Services"
"3cf837e2-de84-44fc-b714-18266c76c6f7","","checklist-flat","not-started","Underground Services Checklist (Audit)","checklist-flat","FALSE","FALSE","Site QA","Foundation Services","Underground Services Checklist (Audit)"
"cf8a51e9-6dbf-4dcd-b1dc-70264316e478","","checklist-flat","work-in-progress","Manhole Install Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundation Services","Manhole Install Checklist"
"417b6d55-04fa-423d-a4b7-94c3eb5cff05","","checklist-flat","work-in-progress","Stormwater (Main Line) - Pipeline Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundation Services","Stormwater (Main Line) - Pipeline Installation Checklist"
"f571f11a-ff44-40b9-ae92-c6a25567299c","","checklist-flat","not-started","Waste Water (Main Line) - Pipeline Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundation Services","Waste Water (Main Line) - Pipeline Installation Checklist"
"0c0267a2-70e9-4354-a5b2-c8b0ac6de91e","","checklist-flat","not-started","Watermain - Pipeline Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundation Services","Watermain - Pipeline Installation Checklist"
"37315d80-d8a7-4107-9a35-c3940db9f714","","checklist-flat","not-started","Connection from Private - Public Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundation Services","Connection from Private - Public Checklist"
"0f106f42-f061-4e14-9ec9-bccf681b9a03","","checklist-sectioned","not-started","Core Water Checklist","checklist","FALSE","FALSE","Site QA","Foundation Services","Core Water Checklist"
"645496de-5996-448a-ac33-efdb724ba836","","checklist-sectioned","not-started","In Ground Water & Gas Mains Checklist","checklist","FALSE","FALSE","Site QA","Foundation Services","In Ground Water & Gas Mains Checklist"
"ebc4f3c3-fe78-4ed8-8101-1ce625b278fd","","checklist-sectioned","not-started","Water Pump Commissioning","checklist","FALSE","FALSE","Site QA","Foundation Services","Water Pump Commissioning"
"1934ca6b-7c54-4c80-b35e-4bcb0e30bf66","","checklist-flat","not-started","Slab Penetration(s) Checklist","checklist-flat","FALSE","FALSE","Site QA","Foundation Services","Slab Penetration(s) Checklist"
"3815da58-d289-4690-8e24-559607ab6253","","checklist-sectioned","not-started","Sewer - Pipeline Installation Checklist","checklist","FALSE","FALSE","Site QA","Foundation Services","Sewer - Pipeline Installation Checklist"
"67c02faa-3d8a-4fb3-93dd-f32259d82329","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Structure"
"66266b14-6ca3-49bb-861f-9252c7249adb","","checklist-flat","not-started","Backfill","checklist-flat","FALSE","FALSE","Site QA","Structure","Backfill"
"685d2642-7142-4962-8737-725e0ee4fb1a","","checklist-flat","work-in-progress","Waterproofing","checklist-flat","FALSE","FALSE","Site QA","Structure","Waterproofing"
"5416a98d-3032-46bd-8c94-25167a56fc2a","","checklist-sectioned","work-in-progress","Concrete Pour","checklist","FALSE","FALSE","Site QA","Structure","Concrete Pour"
"434c8b46-2215-4393-89fc-f7e2164dd8c8","","checklist-sectioned","not-started","Structure - Concrete Pour - Modified (NB: Only to be used upon Approval by PM)","checklist","FALSE","FALSE","Site QA","Structure","Structure - Concrete Pour - Modified (NB: Only to be used upon Approval by PM)"
"e0f1cdc4-4802-4a3f-b940-b6e858967f5c","","checklist-flat","not-started","Drypacking and Grouting","checklist-flat","FALSE","FALSE","Site QA","Structure","Drypacking and Grouting"
"ade9c1c6-24f8-409a-945a-cb629db4be24","","checklist-flat","not-started","CFRP Strengthening","checklist-flat","FALSE","FALSE","Site QA","Structure","CFRP Strengthening"
"aef77a01-fc03-4195-bce0-10f6aedaf493","","checklist-flat","not-started","Intumescent Painting","checklist-flat","FALSE","FALSE","Site QA","Structure","Intumescent Painting"
"11bbae10-31f5-46f9-bdf7-f238a219fbf2","","checklist-sectioned","work-in-progress","Blockwork","checklist","FALSE","FALSE","Site QA","Structure","Blockwork"
"2e28a647-7d33-4da4-9fc4-a5c796a1a8d6","","checklist-flat","work-in-progress","Structural Steel","checklist-flat","FALSE","FALSE","Site QA","Structure","Structural Steel"
"5ea23198-8c2c-4b8d-94b6-b0e0f945316e","","checklist-flat","not-started","Fill checklist","checklist-flat","FALSE","FALSE","Site QA","Structure","Fill checklist"
"0d3b4c1f-8d02-4e0f-838d-aeba5387f5dc","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Façade"
"ad98042e-562b-4329-b55b-466af4ee8518","","checklist-flat","not-started","Service Penetrations to Rigid Air Barriers","checklist-flat","FALSE","FALSE","Site QA","Façade","Service Penetrations to Rigid Air Barriers"
"06c810b7-b62c-4d62-970c-d0ef12debe70","","checklist-flat","not-started","Envelope - Warm roof","checklist-flat","FALSE","FALSE","Site QA","Façade","Envelope - Warm roof"
"6c6f84dc-67a5-4b3e-8b92-b1a3ce420e2b","","checklist-flat","not-started","Envelope - Internal gutter","checklist-flat","FALSE","FALSE","Site QA","Façade","Envelope - Internal gutter"
"621dae63-5d71-479e-bab6-ce5173ace7c7","","checklist-flat","not-started","Timber Framing","checklist-flat","FALSE","FALSE","Site QA","Façade","Timber Framing"
"8e2379f7-5747-45b9-bf81-21d78f8722c5","","checklist-flat","not-started","Envelope - Parapet","checklist-flat","FALSE","FALSE","Site QA","Façade","Envelope - Parapet"
"11765052-4c0d-4a76-89ad-2e7b14e8b687","","checklist-flat","not-started","Envelope - Anchors","checklist-flat","FALSE","FALSE","Site QA","Façade","Envelope - Anchors"
"9bc4a380-3b40-4d22-83e3-4d4874243418","","checklist-flat","not-started","Profile Metal Checklist","checklist-flat","FALSE","FALSE","Site QA","Façade","Profile Metal Checklist"
"39b5257c-11bd-4815-a57f-8f3de8aabcc5","","checklist-sectioned","not-started","Envelope - Sills","checklist","FALSE","FALSE","Site QA","Façade","Envelope - Sills"
"c8d1a522-4a14-44be-b8fa-dcbb89325d06","","checklist-sectioned","not-started","Aluminium Joinery / Glazing","checklist","FALSE","FALSE","Site QA","Façade","Aluminium Joinery / Glazing"
"2b69b557-a451-4236-9a6c-fe80bea96d06","","checklist-sectioned","not-started","Curtain Walls","checklist","FALSE","FALSE","Site QA","Façade","Curtain Walls"
"9b52c7ec-eb05-41d4-9bad-1671160f210e","","folder-normal","not-started","","step","TRUE","FALSE","Consultant Inspections"
"e407cb94-359a-436a-86c6-fcdc7521c0ae","","checklist-flat","not-started","Consultant Inspection -","checklist-flat","FALSE","FALSE","Consultant Inspections","Consultant Inspection -"
"1a06587c-467b-4849-aea5-54abd66d6795","","folder-normal","pass","","step","TRUE","FALSE","Council Inspections"
"e7f73e18-0789-46aa-85d8-73502025c516","","checklist-flat","pass","Council Inspection -","checklist-flat","FALSE","FALSE","Council Inspections","Council Inspection - DPM"
