ÿ"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Outstations"
,"Scope",,
,"Rows"
,,"OS-A1-01","grouping","outstations","os-a1-01"
,,"HV Operator Panel HV-ROP-2 22-MP-2 & 22-HVSB2","grouping","hv operator panel hv-rop-2 22-mp-2 & 22-hvsb2"
,,"l3","expanded","hv operator panel hv-rop-2 22-mp-2 & 22-hvsb2","l3"
,,"l4","expanded","l4","hv operator panel hv-rop-2 22-mp-2 & 22-hvsb2"
,,"IP Switchboard IPSB-AE System AE","grouping","ip switchboard ipsb-ae system ae"
,,"l3","expanded","ip switchboard ipsb-ae system ae","l3"
,,"l4","expanded","ip switchboard ipsb-ae system ae","l4"
,,"IP Switchboard IPSB-AF System AF","grouping","ip switchboard ipsb-af system af"
,,"l3","expanded","ip switchboard ipsb-af system af","l3"
,,"l4","expanded","l4","ip switchboard ipsb-af system af"
,,"IP Switchboard IPSB-AG System AG","grouping","ip switchboard ipsb-ag system ag"
,,"l3","expanded","ip switchboard ipsb-ag system ag","l3"
,,"l4","expanded","l4","ip switchboard ipsb-ag system ag"
,,"IP Switchboard IPSB-AH System AH","grouping","ip switchboard ipsb-ah system ah"
,,"l3","expanded","ip switchboard ipsb-ah system ah","l3"
,,"l4","expanded","l4","ip switchboard ipsb-ah system ah"
,,"LV Distribution Board DB-GLP-AE-GL-01","grouping","lv distribution board db-glp-ae-gl-01"
,,"l3","expanded","lv distribution board db-glp-ae-gl-01","l3"
,,"l4","expanded","l4","lv distribution board db-glp-ae-gl-01"
,,"LV Distribution Board DB-GLP-AH-GL-02","grouping","lv distribution board db-glp-ah-gl-02"
,,"l3","expanded","lv distribution board db-glp-ah-gl-02","l3"
,,"l4","expanded","l4","lv distribution board db-glp-ah-gl-02"
,,"LV Distribution Board DB-GLP-AE-GL-03","grouping","lv distribution board db-glp-ae-gl-03"
,,"l3","expanded","lv distribution board db-glp-ae-gl-03","l3"
,,"l4","expanded","l4","lv distribution board db-glp-ae-gl-03"
,,"LV Distribution Board DB-GLP-AH-GL-04","grouping","lv distribution board db-glp-ah-gl-04"
,,"l3","expanded","lv distribution board db-glp-ah-gl-04","l3"
,,"l4","expanded","lv distribution board db-glp-ah-gl-04","l4"
,,"LV Distribution Board DB-GLP-AE-GL-05","grouping","lv distribution board db-glp-ae-gl-05"
,,"l3","expanded","lv distribution board db-glp-ae-gl-05","l3"
,,"l4","expanded","l4","lv distribution board db-glp-ae-gl-05"
,,"LV Distribution Board DB-GLP-AH-GL-06","grouping","lv distribution board db-glp-ah-gl-06"
,,"l3","expanded","lv distribution board db-glp-ah-gl-06","l3"
,,"l4","expanded","l4","lv distribution board db-glp-ah-gl-06"
,,"LV Distribution Board DB-GLP-AE-GL-07","grouping","lv distribution board db-glp-ae-gl-07"
,,"l3","expanded","lv distribution board db-glp-ae-gl-07","l3"
,,"l4","expanded","l4","lv distribution board db-glp-ae-gl-07"
,,"LV Distribution Board DB-GLP-AH-GL-08","grouping","lv distribution board db-glp-ah-gl-08"
,,"l3","expanded","lv distribution board db-glp-ah-gl-08","l3"
,,"l4","expanded","l4","lv distribution board db-glp-ah-gl-08"
,,"LV Distribution Board DB-GLP-AE-GL-09","grouping","lv distribution board db-glp-ae-gl-09"
,,"l3","expanded","lv distribution board db-glp-ae-gl-09","l3"
,,"l4","expanded","l4","lv distribution board db-glp-ae-gl-09"
,,"LV Distribution Board DB-GLP-AH-GL-10","grouping","lv distribution board db-glp-ah-gl-10"
,,"l3","expanded","lv distribution board db-glp-ah-gl-10","l3"
,,"l4","expanded","l4","lv distribution board db-glp-ah-gl-10"
,,"LV Distribution Board FDB-AE-GL-01","grouping","lv distribution board fdb-ae-gl-01"
,,"l3","expanded","l3","lv distribution board fdb-ae-gl-01"
,,"l4","expanded","l4","lv distribution board fdb-ae-gl-01"
,,"LV Distribution Board A-PV-DB-AE-GF-01","grouping","lv distribution board a-pv-db-ae-gf-01"
,,"l3","expanded","lv distribution board a-pv-db-ae-gf-01","l3"
,,"l4","expanded","l4","lv distribution board a-pv-db-ae-gf-01"
,,"LV Distribution Board DB-CAFE","grouping","lv distribution board db-cafe"
,,"l3","expanded","lv distribution board db-cafe","l3"
,,"l4","expanded","l4","lv distribution board db-cafe"
,,"LV Distribution Board DB-EV","grouping","lv distribution board db-ev"
,,"l3","expanded","lv distribution board db-ev","l3"
,,"l4","expanded","l4","lv distribution board db-ev"
,,"LV Distribution Board DB-GPS-AF-RF-01","grouping","lv distribution board db-gps-af-rf-01"
,,"l3","expanded","lv distribution board db-gps-af-rf-01","l3"
,,"l4","expanded","l4","lv distribution board db-gps-af-rf-01"
,,"LV Distribution Board DB-GPS-AG-RF-02","grouping","lv distribution board db-gps-ag-rf-02"
,,"l3","expanded","lv distribution board db-gps-ag-rf-02","l3"
,,"l4","expanded","l4","lv distribution board db-gps-ag-rf-02"
,,"LV Distribution Board DB-GPS-AF-RF-03","grouping","lv distribution board db-gps-af-rf-03"
,,"l3","expanded","lv distribution board db-gps-af-rf-03","l3"
,,"l4","expanded","lv distribution board db-gps-af-rf-03","l4"
,,"LV Distribution Board DB-GPS-AG-RF-04","grouping","lv distribution board db-gps-ag-rf-04"
,,"l3","expanded","lv distribution board db-gps-ag-rf-04","l3"
,,"l4","expanded","lv distribution board db-gps-ag-rf-04","l4"
,,"LV Distribution Board DB-GLP-AF-RF-19","grouping","lv distribution board db-glp-af-rf-19"
,,"l3","expanded","lv distribution board db-glp-af-rf-19","l3"
,,"l4","expanded","l4","lv distribution board db-glp-af-rf-19"
,,"LV Distribution Board DB-GLP-AG-RF-20","grouping","lv distribution board db-glp-ag-rf-20"
,,"l3","expanded","lv distribution board db-glp-ag-rf-20","l3"
,,"l4","expanded","lv distribution board db-glp-ag-rf-20","l4"
,,"LV Distribution Board DB-GLP-AF-RF-21","grouping","lv distribution board db-glp-af-rf-21"
,,"l3","expanded","lv distribution board db-glp-af-rf-21","l3"
,,"l4","expanded","l4","lv distribution board db-glp-af-rf-21"
,,"LV Distribution Board DB-GLP-AG-RF-22","grouping","lv distribution board db-glp-ag-rf-22"
,,"l3","expanded","lv distribution board db-glp-ag-rf-22","l3"
,,"l4","expanded","l4","lv distribution board db-glp-ag-rf-22"
,,"LV Distribution Board A-PV-DB-AF-RF-02","grouping","lv distribution board a-pv-db-af-rf-02"
,,"l3","expanded","lv distribution board a-pv-db-af-rf-02","l3"
,,"l4","expanded","l4","lv distribution board a-pv-db-af-rf-02"
,,"LV Distribution Board A-PV-DB-AG-RF-03","grouping","lv distribution board a-pv-db-ag-rf-03"
,,"l3","expanded","lv distribution board a-pv-db-ag-rf-03","l3"
,,"l4","expanded","l4","lv distribution board a-pv-db-ag-rf-03"
,,"LV Main Distribution Board A-MDB-AE-GL-01","grouping","lv main distribution board a-mdb-ae-gl-01"
,,"l3","expanded","l3","lv main distribution board a-mdb-ae-gl-01"
,,"l4","expanded","l4","lv main distribution board a-mdb-ae-gl-01"
,,"LV Main Distribution Board A-MDB-AH-GL-02","grouping","lv main distribution board a-mdb-ah-gl-02"
,,"l3","expanded","lv main distribution board a-mdb-ah-gl-02","l3"
,,"l4","expanded","l4","lv main distribution board a-mdb-ah-gl-02"
,,"OP Switchboard OPSB-AA1 System AA","grouping","op switchboard opsb-aa1 system aa"
,,"l3","expanded","op switchboard opsb-aa1 system aa","l3"
,,"l4","expanded","op switchboard opsb-aa1 system aa","l4"
,,"OP Switchboard OPSB-AA2 System AA","grouping","op switchboard opsb-aa2 system aa"
,,"l3","expanded","op switchboard opsb-aa2 system aa","l3"
,,"l4","expanded","op switchboard opsb-aa2 system aa","l4"
,,"OP Switchboard OPSB-AB1 System AB","grouping","op switchboard opsb-ab1 system ab"
,,"l3","expanded","op switchboard opsb-ab1 system ab","l3"
,,"l4","expanded","l4","op switchboard opsb-ab1 system ab"
,,"OP Switchboard OPSB-AB2 System AB","grouping","op switchboard opsb-ab2 system ab"
,,"l3","expanded","l3","op switchboard opsb-ab2 system ab"
,,"l4","expanded","l4","op switchboard opsb-ab2 system ab"
,,"OP Switchboard OPSB-AC1 System AC","grouping","op switchboard opsb-ac1 system ac"
,,"l3","expanded","l3","op switchboard opsb-ac1 system ac"
,,"l4","expanded","l4","op switchboard opsb-ac1 system ac"
,,"OP Switchboard OPSB-AC2 System AC","grouping","op switchboard opsb-ac2 system ac"
,,"l3","expanded","op switchboard opsb-ac2 system ac","l3"
,,"l4","expanded","l4","op switchboard opsb-ac2 system ac"
,,"OP Switchboard OPSB-AD1 System AD","grouping","op switchboard opsb-ad1 system ad"
,,"l3","expanded","op switchboard opsb-ad1 system ad","l3"
,,"l4","expanded","l4","op switchboard opsb-ad1 system ad"
,,"OP Switchboard OPSB-AD2 System AD","grouping","op switchboard opsb-ad2 system ad"
,,"l3","expanded","op switchboard opsb-ad2 system ad","l3"
,,"l4","expanded","l4","op switchboard opsb-ad2 system ad"
,,"OP Switchboard OPSB-AE1 System AE","grouping","op switchboard opsb-ae1 system ae"
,,"l3","expanded","l3","op switchboard opsb-ae1 system ae"
,,"l4","expanded","l4","op switchboard opsb-ae1 system ae"
,,"OP Switchboard OPSB-AE2 System AE","grouping","op switchboard opsb-ae2 system ae"
,,"l3","expanded","op switchboard opsb-ae2 system ae","l3"
,,"l4","expanded","l4","op switchboard opsb-ae2 system ae"
,,"OP Switchboard OPSB-AF1 System AF","grouping","op switchboard opsb-af1 system af"
,,"l3","expanded","op switchboard opsb-af1 system af","l3"
,,"l4","expanded","l4","op switchboard opsb-af1 system af"
,,"OP Switchboard OPSB-AF2 System AF","grouping","op switchboard opsb-af2 system af"
,,"l3","expanded","op switchboard opsb-af2 system af","l3"
,,"l4","expanded","op switchboard opsb-af2 system af","l4"
,,"OP Switchboard OPSB-AG1 System AG","grouping","op switchboard opsb-ag1 system ag"
,,"l3","expanded","op switchboard opsb-ag1 system ag","l3"
,,"l4","expanded","l4","op switchboard opsb-ag1 system ag"
,,"OP Switchboard OPSB-AG2 System AG","grouping","op switchboard opsb-ag2 system ag"
,,"l3","expanded","op switchboard opsb-ag2 system ag","l3"
,,"l4","expanded","l4","op switchboard opsb-ag2 system ag"
,,"OP Switchboard OPSB-AH1 System AH","grouping","op switchboard opsb-ah1 system ah"
,,"l3","expanded","op switchboard opsb-ah1 system ah","l3"
,,"l4","expanded","op switchboard opsb-ah1 system ah","l4"
,,"OP Switchboard OPSB-AH2 System AH","grouping","op switchboard opsb-ah2 system ah"
,,"l3","expanded","op switchboard opsb-ah2 system ah","l3"
,,"l4","expanded","l4","op switchboard opsb-ah2 system ah"
,,"OR Busduct Feeder Unit ORB-1-01.1 Feed A","grouping","or busduct feeder unit orb-1-01.1 feed a"
,,"l3","expanded","or busduct feeder unit orb-1-01.1 feed a","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-01.1 feed a"
,,"OR Busduct Feeder Unit ORB-1-01.2 Feed B","grouping","or busduct feeder unit orb-1-01.2 feed b"
,,"l3","expanded","or busduct feeder unit orb-1-01.2 feed b","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-01.2 feed b"
,,"OR Busduct Feeder Unit ORB-1-02.1 Feed A","grouping","or busduct feeder unit orb-1-02.1 feed a"
,,"l3","expanded","or busduct feeder unit orb-1-02.1 feed a","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-02.1 feed a"
,,"OR Busduct Feeder Unit ORB-1-02.2 Feed B","grouping","or busduct feeder unit orb-1-02.2 feed b"
,,"l3","expanded","or busduct feeder unit orb-1-02.2 feed b","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-02.2 feed b"
,,"OR Busduct Feeder Unit ORB-1-03.1 Feed A","grouping","or busduct feeder unit orb-1-03.1 feed a"
,,"l3","expanded","or busduct feeder unit orb-1-03.1 feed a","l3"
,,"l4","expanded","or busduct feeder unit orb-1-03.1 feed a","l4"
,,"OR Busduct Feeder Unit ORB-1-03.2 Feed B","grouping","or busduct feeder unit orb-1-03.2 feed b"
,,"l3","expanded","l3","or busduct feeder unit orb-1-03.2 feed b"
,,"l4","expanded","l4","or busduct feeder unit orb-1-03.2 feed b"
,,"OR Busduct Feeder Unit ORB-1-04.1 Feed A","grouping","or busduct feeder unit orb-1-04.1 feed a"
,,"l3","expanded","or busduct feeder unit orb-1-04.1 feed a","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-04.1 feed a"
,,"OR Busduct Feeder Unit ORB-1-04.2 Feed B","grouping","or busduct feeder unit orb-1-04.2 feed b"
,,"l3","expanded","or busduct feeder unit orb-1-04.2 feed b","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-04.2 feed b"
,,"OR Busduct Feeder Unit ORB-1-05.1 Feed A","grouping","or busduct feeder unit orb-1-05.1 feed a"
,,"l3","expanded","or busduct feeder unit orb-1-05.1 feed a","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-05.1 feed a"
,,"OR Busduct Feeder Unit ORB-1-05.2 Feed B","grouping","or busduct feeder unit orb-1-05.2 feed b"
,,"l3","expanded","or busduct feeder unit orb-1-05.2 feed b","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-05.2 feed b"
,,"OR Busduct Feeder Unit ORB-1-06.1 Feed A","grouping","or busduct feeder unit orb-1-06.1 feed a"
,,"l3","expanded","l3","or busduct feeder unit orb-1-06.1 feed a"
,,"l4","expanded","l4","or busduct feeder unit orb-1-06.1 feed a"
,,"OR Busduct Feeder Unit ORB-1-06.2 Feed B","grouping","or busduct feeder unit orb-1-06.2 feed b"
,,"l3","expanded","or busduct feeder unit orb-1-06.2 feed b","l3"
,,"l4","expanded","or busduct feeder unit orb-1-06.2 feed b","l4"
,,"OR Busduct Feeder Unit ORB-1-07.1 Feed A","grouping","or busduct feeder unit orb-1-07.1 feed a"
,,"l3","expanded","or busduct feeder unit orb-1-07.1 feed a","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-07.1 feed a"
,,"OR Busduct Feeder Unit ORB-1-07.2 Feed B","grouping","or busduct feeder unit orb-1-07.2 feed b"
,,"l3","expanded","or busduct feeder unit orb-1-07.2 feed b","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-07.2 feed b"
,,"OR Busduct Feeder Unit ORB-1-08.1 Feed A","grouping","or busduct feeder unit orb-1-08.1 feed a"
,,"l3","expanded","or busduct feeder unit orb-1-08.1 feed a","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-08.1 feed a"
,,"OR Busduct Feeder Unit ORB-1-08.2 Feed B","grouping","or busduct feeder unit orb-1-08.2 feed b"
,,"l3","expanded","or busduct feeder unit orb-1-08.2 feed b","l3"
,,"l4","expanded","l4","or busduct feeder unit orb-1-08.2 feed b"
,,"RUPS RUPS-AE System AE","grouping","rups rups-ae system ae"
,,"l3","expanded","rups rups-ae system ae","l3"
,,"l4","expanded","l4","rups rups-ae system ae"
,,"RUPS RUPS-AG System AG","grouping","rups rups-ag system ag"
,,"l3","expanded","rups rups-ag system ag","l3"
,,"l4","expanded","rups rups-ag system ag","l4"
,,"RUPS RUPS-AH System AH","grouping","rups rups-ah system ah"
,,"l3","expanded","l3","rups rups-ah system ah"
,,"l4","expanded","l4","rups rups-ah system ah"
,,"RUPS IPM RUPS-IPM","grouping","rups ipm rups-ipm"
,,"l3","expanded","rups ipm rups-ipm","l3"
,,"l4","expanded","l4","rups ipm rups-ipm"
,,"RUPS IPSYS IPS-AE System AE","grouping","rups ipsys ips-ae system ae"
,,"l3","expanded","rups ipsys ips-ae system ae","l3"
,,"l4","expanded","l4","rups ipsys ips-ae system ae"
,,"RUPS IPSYS IPS-AF System AF","grouping","rups ipsys ips-af system af"
,,"l3","expanded","rups ipsys ips-af system af","l3"
,,"l4","expanded","l4","rups ipsys ips-af system af"
,,"RUPS IPSYS IPS-AG System AG","grouping","rups ipsys ips-ag system ag"
,,"l3","expanded","rups ipsys ips-ag system ag","l3"
,,"l4","expanded","l4","rups ipsys ips-ag system ag"
,,"RUPS IPSYS IPS-AH System AH","grouping","rups ipsys ips-ah system ah"
,,"l3","expanded","rups ipsys ips-ah system ah","l3"
,,"l4","expanded","l4","rups ipsys ips-ah system ah"
,,"Secondary Substation PSUB-AE System AE","grouping","secondary substation psub-ae system ae"
,,"l3","expanded","secondary substation psub-ae system ae","l3"
,,"l4","expanded","l4","secondary substation psub-ae system ae"
,,"Secondary Substation PSUB-AG System AG","grouping","secondary substation psub-ag system ag"
,,"l3","expanded","secondary substation psub-ag system ag","l3"
,,"l4","expanded","secondary substation psub-ag system ag","l4"
,,"Secondary Substation PSUB-AH System AH","grouping","secondary substation psub-ah system ah"
,,"l3","expanded","l3","secondary substation psub-ah system ah"
,,"l4","expanded","l4","secondary substation psub-ah system ah"
,,"Solar PV Controller SPV-G-1 Café","grouping","solar pv controller spv-g-1 café"
,,"l3","expanded","solar pv controller spv-g-1 café","l3"
,,"l4","expanded","l4","solar pv controller spv-g-1 café"
,,"Solar PV Controller SPV-R-1 Roof top","grouping","solar pv controller spv-r-1 roof top"
,,"l3","expanded","solar pv controller spv-r-1 roof top","l3"
,,"l4","expanded","l4","solar pv controller spv-r-1 roof top"
,,"Solar PV Controller SPV-R-2 Roof top","grouping","solar pv controller spv-r-2 roof top"
,,"l3","expanded","solar pv controller spv-r-2 roof top","l3"
,,"l4","expanded","solar pv controller spv-r-2 roof top","l4"
,,"Transformer ITX-AE System AE","grouping","transformer itx-ae system ae"
,,"l3","expanded","transformer itx-ae system ae","l3"
,,"l4","expanded","transformer itx-ae system ae","l4"
,,"Transformer ITX-AF System AF","grouping","transformer itx-af system af"
,,"l3","expanded","transformer itx-af system af","l3"
,,"l4","expanded","l4","transformer itx-af system af"
,,"Transformer ITX-AG System AG","grouping","transformer itx-ag system ag"
,,"l3","expanded","transformer itx-ag system ag","l3"
,,"l4","expanded","l4","transformer itx-ag system ag"
,,"Transformer ITX-AH System AH","grouping","transformer itx-ah system ah"
,,"l3","expanded","transformer itx-ah system ah","l3"
,,"l4","expanded","transformer itx-ah system ah","l4"
,,"Fire Detection Control Centre FDCIE","grouping","fire detection control centre fdcie"
,,"l3","expanded","fire detection control centre fdcie","l3"
,,"l4","expanded","l4","fire detection control centre fdcie"
,,"Fuel System CP FUEL-CP-1A","grouping","fuel system cp fuel-cp-1a"
,,"l3","expanded","l3","fuel system cp fuel-cp-1a"
,,"l4","expanded","l4","fuel system cp fuel-cp-1a"
,,"Fuel System CP FUEL-CP-1B","grouping","fuel system cp fuel-cp-1b"
,,"l3","expanded","fuel system cp fuel-cp-1b","l3"
,,"l4","expanded","l4","fuel system cp fuel-cp-1b"
,,"Building A DW Supply Water Meter WM-DCW-S-07","grouping","building a dw supply water meter wm-dcw-s-07"
,,"l3","expanded","building a dw supply water meter wm-dcw-s-07","l3"
,,"l4","expanded","l4","building a dw supply water meter wm-dcw-s-07"
,,"Building A DW Supply Water Meter WM-DCW-S-03","grouping","building a dw supply water meter wm-dcw-s-03"
,,"l3","expanded","building a dw supply water meter wm-dcw-s-03","l3"
,,"l4","expanded","l4","building a dw supply water meter wm-dcw-s-03"
,,"Building A RW Supply Water Meter WM-RW-S-03","grouping","building a rw supply water meter wm-rw-s-03"
,,"l3","expanded","building a rw supply water meter wm-rw-s-03","l3"
,,"l4","expanded","l4","building a rw supply water meter wm-rw-s-03"
,,"Building A RW Supply Water Meter WM-RW-S-02","grouping","building a rw supply water meter wm-rw-s-02"
,,"l3","expanded","building a rw supply water meter wm-rw-s-02","l3"
,,"l4","expanded","l4","building a rw supply water meter wm-rw-s-02"
,,"Café Water Meter WM-DCW-S-06","grouping","café water meter wm-dcw-s-06"
,,"l3","expanded","café water meter wm-dcw-s-06","l3"
,,"l4","expanded","l4","café water meter wm-dcw-s-06"
,,"Eye Wash Station flow switch FSV-DCW-S-01","grouping","eye wash station flow switch fsv-dcw-s-01"
,,"l3","expanded","eye wash station flow switch fsv-dcw-s-01","l3"
,,"l4","expanded","l4","eye wash station flow switch fsv-dcw-s-01"
,,"Future Work Space Water Meter WM-DCW-S-09","grouping","future work space water meter wm-dcw-s-09"
,,"l3","expanded","future work space water meter wm-dcw-s-09","l3"
,,"l4","expanded","l4","future work space water meter wm-dcw-s-09"
,,"Main Supply Water Meter MW-DCW-S-01","grouping","main supply water meter mw-dcw-s-01"
,,"l3","expanded","main supply water meter mw-dcw-s-01","l3"
,,"l4","expanded","l4","main supply water meter mw-dcw-s-01"
,,"Main Supply Water Meter MW-DCW-S-05","grouping","main supply water meter mw-dcw-s-05"
,,"l3","expanded","main supply water meter mw-dcw-s-05","l3"
,,"l4","expanded","l4","main supply water meter mw-dcw-s-05"
,,"Main Supply Water Meter MW-DCW-S-01","grouping","main supply water meter mw-dcw-s-01"
,,"l3","expanded","main supply water meter mw-dcw-s-01","l3"
,,"l4","expanded","l4","main supply water meter mw-dcw-s-01"
,,"Main Supply Water Meter MW-DCW-S-05","grouping","main supply water meter mw-dcw-s-05"
,,"l3","expanded","main supply water meter mw-dcw-s-05","l3"
,,"l4","expanded","l4","main supply water meter mw-dcw-s-05"
,,"Mains Pressure Sensor xx","grouping","mains pressure sensor xx"
,,"l3","expanded","mains pressure sensor xx","l3"
,,"l4","expanded","l4","mains pressure sensor xx"
,,"Mains Pressure Sensor xx","grouping","mains pressure sensor xx"
,,"l3","expanded","mains pressure sensor xx","l3"
,,"l4","expanded","l4","mains pressure sensor xx"
,,"Planter box RW Water Meter WM-RW-S-04","grouping","planter box rw water meter wm-rw-s-04"
,,"l3","expanded","planter box rw water meter wm-rw-s-04","l3"
,,"l4","expanded","planter box rw water meter wm-rw-s-04","l4"
,,"Planter box RW Water Meter WM-RW-S-05","grouping","planter box rw water meter wm-rw-s-05"
,,"l3","expanded","planter box rw water meter wm-rw-s-05","l3"
,,"l4","expanded","l4","planter box rw water meter wm-rw-s-05"
,,"Planter box RW Water Meter WM-RW-S-06","grouping","planter box rw water meter wm-rw-s-06"
,,"l3","expanded","planter box rw water meter wm-rw-s-06","l3"
,,"l4","expanded","l4","planter box rw water meter wm-rw-s-06"
,,"Rain Water System RWP-RW-S-01","grouping","rain water system rwp-rw-s-01"
,,"l3","expanded","rain water system rwp-rw-s-01","l3"
,,"l4","expanded","rain water system rwp-rw-s-01","l4"
,,"RW System Top-Up Water Meter WM-DCW-S-RWP-01","grouping","rw system top-up water meter wm-dcw-s-rwp-01"
,,"l3","expanded","rw system top-up water meter wm-dcw-s-rwp-01","l3"
,,"l4","expanded","l4","rw system top-up water meter wm-dcw-s-rwp-01"
,,"Sewer Flow Meter WM-SD-W-01","grouping","sewer flow meter wm-sd-w-01"
,,"l3","expanded","l3","sewer flow meter wm-sd-w-01"
,,"l4","expanded","l4","sewer flow meter wm-sd-w-01"
,,"Sewer Flow Meter WM-SD-W-02","grouping","sewer flow meter wm-sd-w-02"
,,"l3","expanded","sewer flow meter wm-sd-w-02","l3"
,,"l4","expanded","sewer flow meter wm-sd-w-02","l4"
,,"Sewer Flow Meter WM-SD-W-03","grouping","sewer flow meter wm-sd-w-03"
,,"l3","expanded","sewer flow meter wm-sd-w-03","l3"
,,"l4","expanded","l4","sewer flow meter wm-sd-w-03"
,,"Treated RW Overall Supply Water Meter WM-RW-S-RWP-01","grouping","treated rw overall supply water meter wm-rw-s-rwp-01"
,,"l3","expanded","l3","treated rw overall supply water meter wm-rw-s-rwp-01"
,,"l4","expanded","l4","treated rw overall supply water meter wm-rw-s-rwp-01"
,,"Chiller Module MCC A-MCC-01-01","grouping","chiller module mcc a-mcc-01-01"
,,"l3","expanded","chiller module mcc a-mcc-01-01","l3"
,,"l4","expanded","chiller module mcc a-mcc-01-01","l4"
,,"Chiller Module MCC A-MCC-02-01","grouping","chiller module mcc a-mcc-02-01"
,,"l3","expanded","chiller module mcc a-mcc-02-01","l3"
,,"l4","expanded","l4","chiller module mcc a-mcc-02-01"
,,"Chiller Module MCC A-MCC-03-01","grouping","chiller module mcc a-mcc-03-01"
,,"l3","expanded","chiller module mcc a-mcc-03-01","l3"
,,"l4","expanded","l4","chiller module mcc a-mcc-03-01"
,,"Chiller Module MCC A-MCC-04-01","grouping","chiller module mcc a-mcc-04-01"
,,"l3","expanded","chiller module mcc a-mcc-04-01","l3"
,,"l4","expanded","l4","chiller module mcc a-mcc-04-01"
,,"Chiller Module MCC A-MCC-05-01","grouping","chiller module mcc a-mcc-05-01"
,,"l3","expanded","chiller module mcc a-mcc-05-01","l3"
,,"l4","expanded","l4","chiller module mcc a-mcc-05-01"
,,"Chiller Module MCC A-MCC-06-01","grouping","chiller module mcc a-mcc-06-01"
,,"l3","expanded","l3","chiller module mcc a-mcc-06-01"
,,"l4","expanded","l4","chiller module mcc a-mcc-06-01"
,,"Chiller Module MCC A-MCC-07-01","grouping","chiller module mcc a-mcc-07-01"
,,"l3","expanded","l3","chiller module mcc a-mcc-07-01"
,,"l4","expanded","l4","chiller module mcc a-mcc-07-01"
,,"Chiller Module MCC A-MCC-08-01","grouping","chiller module mcc a-mcc-08-01"
,,"l3","expanded","chiller module mcc a-mcc-08-01","l3"
,,"l4","expanded","l4","chiller module mcc a-mcc-08-01"
,,"Chiller Module MCC A-MCC-09-01","grouping","chiller module mcc a-mcc-09-01"
,,"l3","expanded","chiller module mcc a-mcc-09-01","l3"
,,"l4","expanded","l4","chiller module mcc a-mcc-09-01"
,,"Chiller Module MCC A-MCC-10-01","grouping","chiller module mcc a-mcc-10-01"
,,"l3","expanded","chiller module mcc a-mcc-10-01","l3"
,,"l4","expanded","l4","chiller module mcc a-mcc-10-01"
,,"Chiller Module MCC A-MCC-11-01","grouping","chiller module mcc a-mcc-11-01"
,,"l3","expanded","chiller module mcc a-mcc-11-01","l3"
,,"l4","expanded","l4","chiller module mcc a-mcc-11-01"
,,"Fan Wall Unit FWU-A1-01","grouping","fan wall unit fwu-a1-01"
,,"l3","expanded","fan wall unit fwu-a1-01","l3"
,,"l4","expanded","l4","fan wall unit fwu-a1-01"
,,"Fan Wall Unit FWU-A1-03","grouping","fan wall unit fwu-a1-03"
,,"l3","expanded","fan wall unit fwu-a1-03","l3"
,,"l4","expanded","fan wall unit fwu-a1-03","l4"
,,"Fan Wall Unit FWU-A1-05","grouping","fan wall unit fwu-a1-05"
,,"l3","expanded","fan wall unit fwu-a1-05","l3"
,,"l4","expanded","l4","fan wall unit fwu-a1-05"
,,"Fan Wall Unit FWU-A1-07","grouping","fan wall unit fwu-a1-07"
,,"l3","expanded","fan wall unit fwu-a1-07","l3"
,,"l4","expanded","l4","fan wall unit fwu-a1-07"
,,"Fan Wall Unit FWU-A1-09","grouping","fan wall unit fwu-a1-09"
,,"l3","expanded","fan wall unit fwu-a1-09","l3"
,,"l4","expanded","l4","fan wall unit fwu-a1-09"
,,"Fan Wall Unit FWU-A1-11","grouping","fan wall unit fwu-a1-11"
,,"l3","expanded","fan wall unit fwu-a1-11","l3"
,,"l4","expanded","l4","fan wall unit fwu-a1-11"
,,"Fan Wall Unit FWU-A2-02","grouping","fan wall unit fwu-a2-02"
,,"l3","expanded","fan wall unit fwu-a2-02","l3"
,,"l4","expanded","l4","fan wall unit fwu-a2-02"
,,"Fan Wall Unit FWU-A2-04","grouping","fan wall unit fwu-a2-04"
,,"l3","expanded","fan wall unit fwu-a2-04","l3"
,,"l4","expanded","l4","fan wall unit fwu-a2-04"
,,"Fan Wall Unit FWU-A2-06","grouping","fan wall unit fwu-a2-06"
,,"l3","expanded","fan wall unit fwu-a2-06","l3"
,,"l4","expanded","l4","fan wall unit fwu-a2-06"
,,"Fan Wall Unit FWU-A2-08","grouping","fan wall unit fwu-a2-08"
,,"l3","expanded","fan wall unit fwu-a2-08","l3"
,,"l4","expanded","l4","fan wall unit fwu-a2-08"
