"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"883fbdd8-484c-4738-8090-c6c51fb5f51d","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"89663762-af85-5690-adbc-a2af4d9cd90a","","checkpoint-status","not-started","Job Details Checklist:3d098030-e418-4675-b5b1-7520caf5ee77","","TRUE","TRUE","Job Details","Project details entered below"
"a551f5d6-8996-496d-a4e4-47423b805579","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture"
"e9b8cf87-f7fb-429e-a54a-6bd37edba0a4","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Panels"
"b751ea7f-e569-4df4-8ce8-14492158a487","","folder-normal","fail","","step","TRUE","FALSE","Precast Manufacture","Panels","Building C"
"373b155f-ff1d-4202-8bcb-6fab8906a5fa","","checklist-sectioned","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01"
"4c768774-9eb8-5588-9099-85a3f88390f9","","checkpoint-group","pass","1. Standard:d84a9143-8c84-4cc2-b575-bd3288fd86a9","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Precast Element Details"
"9a6bfe84-ee56-5639-9a75-09705ccb4d4b","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:2b3fa28c-1d02-48bd-b200-601d54771389","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Formwork Set  Up Checks (Tables QA)","Mould Face Clean"
"98a002ab-97de-5661-b364-9019f0b11c84","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:e6e2a50f-eba6-40cb-9fce-8a4a426d4cf9","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Formwork Set  Up Checks (Tables QA)","Length/Width/Thickness/Cutouts"
"1bfe0fcc-eff5-5e38-a8d1-74c600a3f502","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:13fc42e5-8241-4772-aec1-1a316f3a7e9c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Formwork Set  Up Checks (Tables QA)","Edge Details & Rebates"
"240db052-6c1a-51a2-8200-55dffa3f9962","","checkpoint-status","not-applicable","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:27cc08be-13b6-47e1-ac43-9706d28bba35","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Formwork Set  Up Checks (Tables QA)","MF Weld plates in correct location and siliconed to table"
"32e087e5-5211-5fd9-ab20-93503b646aee","","checkpoint-group","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Prepour Checks (Tables QA)"
"6a17e020-b38c-5f68-aee0-12934afb954d","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:047df753-120f-4610-94b6-da1a778ffb3a","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Prepour Checks (Tables QA)","Main Reinforcing"
"c87da307-bc6f-5e1f-ad9c-389dcbf285e0","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:02e1bc10-24ee-4489-a785-f76908e00040","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Prepour Checks (Tables QA)","Starters"
"bfbcd4bf-b337-57e4-a5c8-185554f7d99d","","checkpoint-status","not-applicable","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:cf30138b-9391-404e-9b21-a90eaaddc739","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Prepour Checks (Tables QA)","Stirrups"
"007e3719-7981-5ab7-8f41-6dbe805b46f2","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:2c93000e-df16-4f5a-abd6-6dd011d50995","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Prepour Checks (Tables QA)","Lifters"
"91725350-e4ca-50db-be72-5ef918360e82","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:8b61f742-fb4b-49f1-adb7-6a95ea675e1e","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Prepour Checks (Tables QA)","Mould Cleaned & Oiled"
"6720d3be-435b-5eca-9d47-178ec114d04e","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:d055ca06-4e18-49ac-a1e8-81e7ac04fd05","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Prepour Checks (Tables QA)","Tie wire Trimmed"
"a56fa6c4-3916-52c3-8248-fe409505c978","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:e6f91a9a-a7f7-4310-8447-569cab61266c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Prepour Checks (Tables QA)","General Photos Attached"
"e93bd824-8698-50ce-88a3-61c7b2bde5e6","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:3405a17f-5544-4ff9-b719-a98f61a86cc4","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Prepour Checks (Tables QA)","Concrete Docket Attached"
"b1ed07e5-f343-56c2-826f-a6e8e721974d","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:952645dd-8ca5-4f13-8211-12855b63e93e","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Prepour Checks (Tables QA)","Shop Drawing Checked Off (attach photo)"
"920333f0-eabb-5606-b80e-176f777c3928","","checkpoint-group","not-started","1. Standard:6fb22540-791f-4672-893d-f31573baf76a","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Post Pour (Table Supervisor)"
"21db1536-a399-5389-92db-73a478527d88","","checkpoint-status","not-started","1. Standard:6fb22540-791f-4672-893d-f31573baf76a:011988be-f85f-4982-ac4e-b38005829f51","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Post Pour (Table Supervisor)","Confirm formwork has not shifted during placing of concrete"
"50c03f98-0840-514c-8b43-782c59e01068","","checkpoint-status","not-started","1. Standard:6fb22540-791f-4672-893d-f31573baf76a:76ff4f8e-3455-4f9a-b0ba-666b97833255","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Post Pour (Table Supervisor)","Face lifters placed in correct location"
"6ed9fa6f-1ef5-55f2-9025-a66600cf77af","","checkpoint-status","not-started","1. Standard:6fb22540-791f-4672-893d-f31573baf76a:ad8ff1a0-6dec-49f7-9e37-900190a90c67","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Post Pour (Table Supervisor)","Roughening Lines Correct"
"92c47d0c-a232-533b-b13b-91dc352ac458","","checkpoint-group","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)"
"ad00e69c-99e7-54df-8690-02ee5e06fb79","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:d3e6b064-135b-4970-bc0f-2546302171e5","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","Panel correctly labeled (check against shop drawing)"
"820ed01e-a0e1-5c6e-9b3e-25ca2e262293","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:e6c5e5c5-6852-4003-9d16-39c4cb350dbe","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","Grout holes for Drossbach Ducts have been drilled (top and bottom)"
"1ffee89a-4a2f-5c1b-9340-d7a4f38a42ca","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:56b159f9-3248-40e1-93d6-65d10aef0265","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","Bottom of Drossbach Duct is clear (any slurry/grout has been removed)"
"d6560e48-a62c-5c3d-a263-bf71f10509a2","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:3f743f29-ffa5-4c98-861f-2f4538934a04","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","All lifters have been cleared/cleaned out (including top lifters for install)"
"1f768055-4477-5b3b-b0d6-46da99dfbf2e","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:6e151f2c-1aea-4e9f-8a39-67f32a7a864b","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","All Inserts have been exposed and nail plates removed (caps that came with Ancon fixings should be put back on)"
"55937a37-75b4-5f29-9904-20537d9038f8","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:2d6e8696-933b-4cc6-8c77-5022cd7b9a52","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","Stitch joints have been jet washed"
"ec11d118-faed-55bb-bae4-bbc01e61ecc4","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:93b9787d-01fd-4329-b273-ffa611d0b113","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","MF roughening's jet washed"
"3f369d41-2c3e-569d-876e-5eaf340b4694","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:914e3e46-ff77-4c1e-9cd6-68e95560cf07","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","NF chamfers and square edges rounded with cup stone"
"183c2bf9-cd48-5704-bd92-5b665cb9fcae","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:29141e77-230c-4730-9ee5-c7e1154f64c7","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","Weld plates cleaned (NF weld plates to be cleaned with cup stone)"
"65071f08-3a76-5aa5-8787-9a50b0b326e1","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:7df3d99b-fd2f-4f5c-b342-49e0c0c77e9c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","Grade 300 starters bent up for transport (only bend starter down if transport height is increased by bending up)"
"aadbadd8-0566-57bb-b616-7dcf80992de7","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:b9226aa3-a7b3-4984-a07e-0eccc606f8b7","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","Grade 500 starters are straight"
"a2dfedb9-7083-55c4-8fa3-9e67d744002c","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:5a662ac8-5324-46be-9f10-a95e8560313c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","NF Quality acceptable (attach photo)"
"eb325039-8a2e-55a6-8ffc-24b02543ec1e","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:62092cdc-b8a7-4c62-8b45-f6a626b21b4d","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","MF Quality acceptable (attach photo)"
"cb968652-6b6e-5504-93cb-357ee4d52acd","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:ce5dad22-2dfd-48f0-965a-ea2f8b68cfd1","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","Structural repairs required (if yes photograph before)"
"dcbe701c-3279-505e-a2ac-9b6e21972eff","","checkpoint-status","not-started","1. Standard:1f80346c-9123-45a3-8936-50ea508c88a6:d3e25f44-1624-4154-bf04-eba35b26b459","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Demould Inspection (Yard QA)","Shop drawing checked off"
"83a90be9-8938-51d4-bf90-53c9d54f4297","","checkpoint-group","not-started","1. Standard:4617a534-6160-4bc3-a752-3471546931a2","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Overall Panel Quality (Yard QA)"
"cee7824f-2ff5-5893-8e2e-17d19e1a54cd","","checkpoint-status","not-started","1. Standard:4617a534-6160-4bc3-a752-3471546931a2:2f318a3d-ca93-4700-8e8d-01f94e206b03","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Overall Panel Quality (Yard QA)","Overall Panel Quality Ratings Recorded Below"
"311a5b6b-0498-51c4-a162-2d3bc595764e","","checkpoint-group","not-started","1. Standard:d4ca5b98-3953-4889-80a6-ebd3fa525a3a","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Loading Out (Yard QA)"
"4b9f643a-2eb4-51ad-a4e5-da80b75afd19","","checkpoint-status","not-started","1. Standard:d4ca5b98-3953-4889-80a6-ebd3fa525a3a:0bd8001d-5ed9-4869-ab96-060ed89d02c2","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Loading Out (Yard QA)","Load Docket Given to Driver"
"d70b652b-7fcd-5b1e-8fc0-b0189bcbd7aa","","checkpoint-status","not-started","1. Standard:d4ca5b98-3953-4889-80a6-ebd3fa525a3a:e02acfd2-7889-4046-b780-ce16fe02e827","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Loading Out (Yard QA)","Photo take of Panel on Truck"
"45ce8ea0-4647-5f4b-99e6-15742b9e5024","","checkpoint-status","not-started","1. Standard:d4ca5b98-3953-4889-80a6-ebd3fa525a3a:4c41b5af-368a-4395-8e1b-949e64f5a502","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Loading Out (Yard QA)","No remedial work required on site"
"622eb2c1-e876-5a92-a212-7659d53ed301","","checkpoint-group","work-in-progress","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-01","Test Results, Certificates and Documentation (Reo & Yard QA)"
"5c2f80c9-78fb-59e4-a82d-14229fb8dc19","","checkpoint-status","pass","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479:1e3071dd-4e8a-4340-b0a5-2bb273e9bf8c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload reinforcing detail sheets"
"ea8bd9ab-83b5-5892-9dd8-1daa146937b4","","checkpoint-status","pass","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479:d2c59a81-31c5-4cf1-ad9f-ffb5eae98a87","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Photo of Reinforcing Stock Bundle Tags (Cast # Tracking)"
"9344e4eb-2826-51ce-9c6c-35f50b3d6ffd","","checkpoint-status","not-started","1. Standard:d5983ea3-a2ee-4f20-bfab-4da717da2479:61db57d7-8ee6-41f7-b4b7-0b4ef3f0109a","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-01","Test Results, Certificates and Documentation (Reo & Yard QA)","Upload Concrete test results"
"c52dccdd-7b2f-485d-b4f7-1f0d5f7f00ef","","checklist-sectioned","work-in-progress","1. Standard","checklist","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-02"
"a32b1bd1-88d9-50f5-8684-3ad5cae05c0e","","checkpoint-group","pass","1. Standard:d84a9143-8c84-4cc2-b575-bd3288fd86a9","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-02","Precast Element Details"
"6d5df247-f6ba-5ce6-bc3b-41a1911ca800","","checkpoint-status","pass","1. Standard:d84a9143-8c84-4cc2-b575-bd3288fd86a9:1932e93b-d3e9-402f-83d0-e322d0c77950","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Precast Element Details","Concrete Details Complete"
"8cc3cda2-7335-5998-8e5b-4f4069640253","","checkpoint-group","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-02","Reinforcing Yard Checks (Reo QA)"
"784ee70f-905d-588b-83ea-ecb8f1050bd4","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:21d3dbc3-941c-48c6-a5ee-c5b912086cbb","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Reinforcing Yard Checks (Reo QA)","Operative on the reinforcing cutting line has uploaded clear photo of open stock bundle boar"
"6c2a06aa-5920-5ff8-b91b-602d3b007112","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:bb308721-634f-4bbe-84b3-d179a4e31d53","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Reinforcing Yard Checks (Reo QA)","Cut and bent bars checked off against detail sheet"
"729dc3a5-2f9d-55a2-8cac-b47df24e6014","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:61dd630f-70fb-4725-9653-100c8b5910fa","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Reinforcing Yard Checks (Reo QA)","Perimeter bars and spacing marks confirmed"
"5f1648b6-66a7-5fae-8df4-7523bedf7597","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:6f468d98-e7a3-4541-956f-64ebaa447fb1","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Reinforcing Yard Checks (Reo QA)","Cast in Items checked and marked on cage (Dross Ducts, Inserts Weld Plates)"
"1e85a93c-bdd6-5ef4-b9ec-5ab77419e393","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:5f0cdd3a-3cf3-4908-a9a4-9f9c9b156a08","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Reinforcing Yard Checks (Reo QA)","Overall cage dimensions in plan checked and there will be sufficient concrete cover to edges"
"9739e5d7-e488-57a5-9760-c75527ff3d99","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:2f4fa979-ff3c-4149-a392-16a2624a489a","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Reinforcing Yard Checks (Reo QA)","Overall cage thickness checked and there will be sufficient cover to MF and TF"
"de5ddd10-dcda-5641-b1b9-c38d24b8561c","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:e8337ee1-4b43-4477-897a-dbee87ff9293","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Reinforcing Yard Checks (Reo QA)","There is sufficient cover to rebates around openings or along edge forms"
"89cffe08-e173-58c7-8c51-0465c98cc4aa","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:60e24774-6ebd-4386-b1a7-eea778d30cad","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Reinforcing Yard Checks (Reo QA)","Weld plates can be fitted to cage in correct locations?"
"56a8a6a1-2f6d-5036-ae73-406121fd90d5","","checkpoint-status","pass","1. Standard:eec9927c-b1c5-4c74-ad8c-55127dd66414:b6cb4e1e-70c6-44ed-9da7-8c45faeb52bb","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Reinforcing Yard Checks (Reo QA)","Reinforcing details checked/highlighted off against shop drawing (upload photo)"
"6e19d79f-b04c-50bf-a640-52cb55839577","","checkpoint-group","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-02","Formwork Set  Up Checks (Tables QA)"
"b9232a65-0bac-5a6a-82dc-fa605595f3b5","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:d40db9c7-f72c-4b19-90ab-3ec27f928208","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Formwork Set  Up Checks (Tables QA)","Sides Straight & Magnets Fastened"
"9e263fd0-181b-58f1-b545-8381dde80fe3","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:2b3fa28c-1d02-48bd-b200-601d54771389","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Formwork Set  Up Checks (Tables QA)","Mould Face Clean"
"13eb4b73-41b0-5506-bcda-116021403f1f","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:e6e2a50f-eba6-40cb-9fce-8a4a426d4cf9","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Formwork Set  Up Checks (Tables QA)","Length/Width/Thickness/Cutouts"
"f70a7d8a-311a-559f-ba1a-7a7dc54cac72","","checkpoint-status","pass","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:13fc42e5-8241-4772-aec1-1a316f3a7e9c","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Formwork Set  Up Checks (Tables QA)","Edge Details & Rebates"
"c5db29d4-a7ce-5784-ba68-fc59697f3f15","","checkpoint-status","not-applicable","1. Standard:1e24fb9c-0bdd-444d-a575-d59e48a8d185:27cc08be-13b6-47e1-ac43-9706d28bba35","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Formwork Set  Up Checks (Tables QA)","MF Weld plates in correct location and siliconed to table"
"3d980d3f-4028-5afb-bbfa-dc1bed235df8","","checkpoint-group","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309","","FALSE","FALSE","Precast Manufacture","Panels","Building C","HRC-02","Prepour Checks (Tables QA)"
"9f536215-43fa-5d3e-b9aa-acaadbcdbf4e","","checkpoint-status","pass","1. Standard:9a76a47f-01c0-4044-bc2e-e73b04b40309:047df753-120f-4610-94b6-da1a778ffb3a","","TRUE","TRUE","Precast Manufacture","Panels","Building C","HRC-02","Prepour Checks (Tables QA)","Main Reinforcing"
