"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"599f4f8b-22f3-4d0e-b3f3-728ee02a2fd7","","fail","","folder","TRUE","FALSE","Site QA"
"ed704b45-014f-485e-b3ef-3fec5ea2d7b6","","fail","","folder","TRUE","FALSE","Site QA","Doors"
"8df70a0f-179e-4702-8704-0c7c1355c78d","","fail","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)"
"b57776c5-d087-49bd-b43d-1d6eefec67dc","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02"
"a37b4d08-ac8e-4274-b240-e2fd385e4550","","not-started","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Standard"
"2042c8e7-c547-4937-af95-e909b7e8778e","","pass","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 02","Fire Rated"
"e6cc034c-03ee-49b1-9867-650ee41fb09c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.125.D1"
"f795bc2c-c49f-46fc-8036-8219c0d03aa2","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.129.D1"
"ef76b1e1-0666-4b60-9039-cec7a52b6ead","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.129.D2"
"f1d047ea-40a2-41b1-9da8-a588877844ae","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.129.D3"
"7a94de96-ebcf-4011-a852-4c54662c4499","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.130.D1"
"4f855c20-9580-43bf-87f7-f61245d65171","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.130.D2"
"7d6f4370-a484-43d5-9198-d44035e351b4","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.131.D1"
"57fce537-42a0-45e7-9a91-086833efc768","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.131.D2"
"4f7ff7fe-501f-44be-be12-9b8ca39e14d3","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.132.D1"
"3e33a02e-2e82-4110-bb5c-4070f0c77e98","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.132.D2"
"de800cc4-2c5b-4690-8f00-d9af4a3d90a5","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.136.D1"
"03244334-0ea5-4348-965b-7b7e415603b8","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.139.D1"
"171fe9b4-7e92-4c77-86b0-ec4f1c046b5a","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.139.D2"
"5d485239-ec7e-45a1-a35f-a681ac52cde3","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.140.D1"
"99577709-0942-44a8-a784-cf49925f02e5","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.151.D1"
"e3465cbe-f4d4-4628-9a55-333c5183f641","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.152.D1"
"9c6e275d-27e7-4f75-b6fe-82344ff917b2","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.152.D2"
"57dd4d9c-8688-4710-af04-f52e1ef8b35a","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.158.D1"
"5fda0086-717b-4384-b743-ba7ec692dfb7","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.159.D1"
"ee2b579d-1b24-47d4-af4f-cd426629246a","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.159.D2"
"1289adaa-e09d-43e8-95f5-84cfb9a6a4ba","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.161.D1"
"de54f444-7845-4a35-ba6e-8c94494fb260","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.161.D2"
"491b079d-a9bf-4f57-9adb-5bc1848bcd48","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.164.D2"
"1062371e-3543-4166-983c-d08787a03b27","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.164.D4"
"8d954209-11a3-4129-9a30-b481dc1d32dd","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.165.D2"
"39f2a64d-d998-433b-bb53-4ce54e62efb2","","work-in-progress","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.172.D1"
"3e849e3e-9f7c-402b-9368-8ebf985722a2","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.173.D1"
"089399ca-14ba-4f44-b15d-e9efef0574dd","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.174.D1"
"9911d7a0-3514-4ab9-8cb1-610d495bb1e8","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.176.D1"
"cab54bc3-3127-4e6f-8085-1a6396ef9ca8","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.177.D1"
"5ebe31fd-d81a-43d1-bc13-2bfbe76ceba3","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.178.D1"
"2cad150e-bde6-4436-aecd-cac96b29757d","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.179.D1"
"136a667e-5a75-45b4-be0f-eac26b7132fc","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.181.D1"
"d4e0b12d-fae8-4a8e-b6f4-615646a284de","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.181.D2"
"ca62824e-bf44-4d0f-a58d-4a58625cb1c7","","work-in-progress","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.182.D1"
"844b2494-2be3-4d09-8834-b507925b7157","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.182.D2"
"b3dcd08f-992b-4097-a8bb-c5c02750ac83","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.184.D1"
"9d5100df-c02d-4b55-b8b5-ccfa48cb7e6e","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.185.D1"
"1f258561-6c47-4282-8d89-80991af3996e","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.185.D2"
"f0fdf2d3-fc5f-47bd-938d-133fc7066bd1","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.185.D3"
"44b6309b-9655-4b65-96ae-4bb80735704c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.187.D1"
"05e5974c-e9c7-49f8-a7e4-af2b35caf723","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.192.D1"
"bacebb56-de04-4c78-9ab5-0a151a346912","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.196.D1"
"9c52c481-7dcd-40d7-af46-b9fd7ef878b2","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.202.D1"
"380db39b-8232-4722-94cb-823a1a20c4df","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.202.D2"
"03cf22a7-ebff-4e11-91e1-ee89fe42fa95","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.202.D3"
"0edd0985-ae62-4171-9994-07f2232cc5df","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.203.D1"
"5c91f2bd-18d5-42a1-9f16-54be9b85e6f1","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.203.D2"
"532c36dc-161a-44fd-b14a-6a29b653be7c","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.203.D3"
"8b36f22c-1e74-4e92-a431-d96562a7fcb9","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.204.D1"
"6f383044-c701-40ac-8e79-912cb373f609","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.205.D1"
"207c63d7-cd8d-4f62-abf5-72152f49004f","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.206.D1"
"27896957-580c-4ca2-bdec-abb327ea4084","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.210.D1"
"27e2ed56-83e2-49de-b98e-849ce685d127","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.210.D2"
"fdbf6dc7-e007-47b6-802e-e64a9a3cd0c6","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.212.D1"
"84221381-1082-4758-9b9c-ca620e341638","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.212.D2"
"5109fc95-23aa-49a0-b1af-251259d4889c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.213.D1"
"326e2ff5-2e10-4321-b4b1-7c17759774be","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.214.D1"
"cc401ac7-849b-446e-8116-4833abc3943c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.215.D1"
"426eafd8-14c3-4071-95ad-322615a828bb","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.216.D1"
"eefe4f5a-0838-444e-9c32-f7b9a751c5fb","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.218.D1"
"8b524a96-c2eb-46d4-9bd1-9d9370b8badb","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.222.D1"
"3acff66c-0fdd-49a9-8caa-ace0f448e6da","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.222.D2"
"f320ca56-6d9f-40da-8b2f-7c72c176d3b5","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.222.D3"
"ddd94c3c-46cc-4298-88a4-96f9735c690b","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.223.D1"
"36b7f6c6-b034-43da-993f-afd1083deac0","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.233.D1"
"f49e4f80-37d0-403e-a59b-2122dd8a2f75","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.233.D2"
"b578a261-46ce-454f-8492-19a5c35f751b","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.234.D1"
"f63461e7-0bc9-4f71-98d6-18c6646a88b2","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.239.D1"
"bdeec693-0d1b-4040-9dcc-4b37e9a59e48","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.239.D2"
"4be288eb-118e-4b1b-a14a-46d35eef39ac","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.240.D1"
"dc172e86-feb4-4f15-adf7-91c1b3042aa1","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.241.D1"
"b846b528-8004-4087-8e2b-d607f40fd3ef","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.242.D1"
"571e84cb-88f5-418d-ac4a-f7903af38f69","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.250.D1"
"b61ac48a-9ada-4a08-ab64-f34b503dbe8a","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.251.D1"
"700895a3-8940-4217-9beb-3eab64612e45","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.252.D1"
"7c412143-1c1b-4de1-9798-b7778fbd7c19","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.253.D1"
"985b4e55-0330-446a-9513-f4b13667ee77","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.254.D1"
"1677f210-ebc4-49ea-9c08-361cababe783","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.255.D1"
"f5b0e413-753b-4092-8f5f-ca2a88c4a134","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.257.D1"
"b2da84b3-9cc3-4549-89ee-7394449f769c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.257.D5"
"4f8558d4-62f4-4d4c-930c-4f7e6cb4be9c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.262.D1"
"4668337c-b21a-44f1-9332-06d3f3fc962d","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.266.D1"
"dfbe7b5f-1109-4f4d-9e7c-604e7e774c1c","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.266.D2"
"5f861945-5608-4bc2-8015-64417dc2af77","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Basement 01","Fire Rated","B1.B.270.D1"
"4c83235a-6466-4dee-a5eb-994de5b57c21","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark"
"df330add-2a88-4c5a-8764-7cde6ac38721","","not-started","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Standard"
"49dcc30c-eb45-460d-97f5-a8b1da777c12","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Fire Rated"
"6299beba-888d-46c7-a3f1-d9c12dc18da6","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.584.D1"
"ac95f4b8-3f20-4460-aa88-3035824bf961","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.585.D1"
"03aa3dfa-a23a-4832-a11c-44f9cfb61055","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.587.D1"
"849d8ced-5cc9-4de2-9d6b-5e7e29a6d2b8","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.590.D1"
"a134b67b-6eda-476f-99c4-098e8c740839","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.591.D1"
"d4079ac6-e443-4280-8044-1f3a256f53ba","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.591.D2"
"466caaa9-ee7f-4a79-b709-bed5ca0abe53","","pass","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.592.D1"
"ee344c80-9f07-4c23-8770-25a1d4b6f257","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.597.D01"
"e0823343-1536-46a7-83e0-e609c0b0c242","","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.597.D02"
"cf6a6b90-9fe1-406d-bc53-52801317de91","","work-in-progress","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground"
"eaa9fc9d-d591-4f44-9cf7-cd462f0824e2","","work-in-progress","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground","Standard"
"b82cea36-9ebd-4dbf-91ce-af62bacbd74e","","pass","","folder","TRUE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground","Lead Lined"
"c34c058a-7453-48b8-a842-0beb80cf6159","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground","Lead Lined","LG.B.131.D1"
"7a8a1082-e9d2-4d07-bbe7-6afa7f53f6de","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground","Lead Lined","LG.B.131.D2"
"3adcf21c-6455-4f18-97a5-f772f64b5420","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground","Lead Lined","LG.B.213.D2"
"84bfd007-af0c-461c-a026-d4735faecfa4","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground","Lead Lined","LG.B.213.D3"
"7e800272-4d6d-4906-ba26-60aff26be9cf","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground","Lead Lined","LG.B.225.D1"
"aa604b28-7b0b-4da6-b23a-1751cd2c5192","","pass","Lead Lined Door checklist","checklist","FALSE","FALSE","Site QA","Doors","Zone A (Building B)","Lower Ground","Lead Lined","LG.B.225.D2"
