"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dc67c687-3687-4f25-a7fd-bdedb79ede4c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Documentation"
"bf305f5d-cffa-435b-a662-bcc0e497738f","","checklist-flat","not-applicable","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Sprinkler Control Valve Detail"
"cd6dc9b0-675a-42b5-9bad-345cbddbf37c","","checklist-flat","not-applicable","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Fire Hydrant Detail"
"33040e6c-732f-44fa-bfb8-7c13354c78f1","","checklist-flat","not-applicable","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Hose Reel Detail"
"dfc902c7-3ad1-44e9-b978-7d6c33954c8a","","checklist-flat","not-applicable","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Booster Detail"
"c0abc812-08e4-4825-80ac-bc8d78067e92","","folder-normal","work-in-progress","","step","TRUE","FALSE","Documentation","Penetration Register "
"5fc2dc42-eb93-4824-9a22-de5f5fbbd27b","","checklist-flat","work-in-progress","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Documentation","Penetration Register ","Penetration Register "
"e2cbf842-15bf-4286-9ada-91efcd689345","","folder-normal","not-started","","step","TRUE","FALSE","Shop Drawings"
"607d308a-a419-4717-a684-8032ff06cb0f","","checklist-flat","not-started","Document Attachment ITP (V.220421)","checklist-flat","FALSE","FALSE","Shop Drawings","Shop Drawing"
"dc009a2a-1534-4d4b-84be-9eaff64fbd3a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA"
"d63b53b6-f1dd-4371-b3e8-e57f8a3b25b3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels"
"887f2622-159f-40d1-869a-f2c178b2703c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire"
"ff4b6a31-acff-44bd-aec6-f267d442acdc","","checklist-flat","work-in-progress","Pre-start checklist (V.090322)","checklist-flat","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Pre-Start"
"9809bffe-1128-41d9-96fc-4d0eee2c34db","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 1"
"4f37a3b8-7ea9-4775-ba3e-bd67b3695d4d","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 2","Hose Reel Installation"
"60c98492-d684-4bc2-be64-6b1700229164","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 3"
"8bab6b14-1e76-470f-a881-a17e11f8cec0","","checklist-sectioned","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 3","Sprinkler Installation/Fitoff"
"70210006-ac23-49b2-8a9b-f7029a951fe1","","checklist-sectioned","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 3","Sprinkler & Hydrant Hydrostatic Test"
"878d8679-958e-4340-80e9-61767953e949","","checklist-sectioned","not-applicable","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 3","Sprinkler Control Valve"
"b25c3487-5b03-4b7f-ac8c-233b3bbe8651","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 3","Hydrant Installation"
"34e74f22-a8f0-4d69-be6e-33ac53ae23ad","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 3","Hose Reel Installation"
"9c4ce0b7-47c0-4a46-addd-1bec1e80ce0f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 4"
"025463ad-9803-43b9-ba20-19e1586970f3","","checklist-sectioned","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 4","Sprinkler Installation/Fitoff"
"fd88c768-9cf8-480c-b50b-9b33b7491bca","","checklist-sectioned","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 4","Sprinkler & Hydrant Hydrostatic Test"
"7239bb4c-b750-4201-ab09-7daf91fdc292","","checklist-sectioned","not-applicable","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 4","Sprinkler Control Valve"
"f80f4450-84ef-4aed-bee1-16f71fce5ed1","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 4","Hydrant Installation"
"010f28aa-d608-4db4-95c2-eec2e6e91a97","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 4","Hose Reel Installation"
"21fac484-399a-4f79-9aa8-902a0ad1fb6f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 5"
"2bbfcdd7-7a84-493a-8a7e-4a332d70165f","","checklist-sectioned","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 5","Sprinkler Installation/Fitoff"
"5a00a81c-2d74-4377-913f-4e5b70cd73ca","","checklist-sectioned","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 5","Sprinkler & Hydrant Hydrostatic Test"
"02e35415-edaf-4240-9a52-cb18d33c3b72","","checklist-sectioned","not-applicable","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 5","Sprinkler Control Valve"
"e4282239-48b7-455a-a391-765d801ff593","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 5","Hydrant Installation"
"f04c8070-7590-432f-8668-64e2a17fba64","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 5","Hose Reel Installation"
"3e2ac598-04cf-4659-92b3-9f55b9c00c4d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 6"
"68623877-08d3-4734-8f53-6a842747fece","","checklist-sectioned","not-started","LM-FOR-30-ITR-301 Sprinkler Installation/Fitoff","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 6","Sprinkler Installation/Fitoff"
"e9f49324-93bc-411e-87bd-94b71ba03648","","checklist-sectioned","not-started","LM-FOR-33-ITR-401 Sprinkler & Hydrant hydrostatic test","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 6","Sprinkler & Hydrant Hydrostatic Test"
"0c207540-9b91-493c-8ba1-b8e25176f6eb","","checklist-sectioned","not-applicable","LM-FOR-30-ITR-301.1 Sprinkler Control Valve","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 6","Sprinkler Control Valve"
"f39398d6-ed73-4498-8f3d-a0df15ff1bc1","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.2 Hydrant Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 6","Hydrant Installation"
"b5db4820-6c89-4f5f-b24d-048fbad54aad","","checklist-sectioned","not-applicable","LM-FOR-40-ITR-302.3 Hose Reel Installation","checklist","FALSE","FALSE","Leemark - Site QA","Levels","Wet Fire","Zone 6","Hose Reel Installation"
