type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,
label,Frequency - During grooving works,,,,,,,,,,,,,,,
label,Acceptance Criteria - Pavement to be thoroughly inspected and in an acceptable and suitable condition for grooving prior to works commencing.,,,,,,,,,,,,,,,
label,Reference Documents - Cl 20.2,,,,,,,,,,,,,,,
label,Inspection/ Test Method - Visual Inspection,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,,
label,Responsibility - Site Engineer,,,,,,,,,,,,,,,
checkpoint,2.2 - Grooving Pattern – Trapezoidal,,,,,,,,,,,,,,,
label,Frequency - During grooving works,,,,,,,,,,,,,,,
label,Acceptance Criteria - Trapezoidal grooves must be:,,,,,,,,,,,,,,,
label,– Nominally 6mm deep by 6mm wide at the bottom and 12mm wide at the top and spaced evenly at 57mm centre to centre,,,,,,,,,,,,,,,
label,– Transverse and continuous,,,,,,,,,,,,,,,
label,– At true 90 degree angle to runway and taxiway centrelines unless indicated otherwise,,,,,,,,,,,,,,,
label,"○ Around in-pavement light fittings, grooving must cease maximum 450mm from centreline of light in all directions.",,,,,,,,,,,,,,,
label,Reference Documents - Cl 20.4.1.1,,,,,,,,,,,,,,,
label,Inspection/ Test Method - Inspection,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,,
label,Responsibility - Site Engineer,,,,,,,,,,,,,,,
checkpoint,2.3 - Tolerances – Trapezoidal,,,,,,,,,,,,,,,
label,Frequency - During grooving works,,,,,,,,,,,,,,,
label,Acceptance Criteria - Grooving works must be as per the following allowable tolerances:,,,,,,,,,,,,,,,
label,"– Spacing to be evenly spaced, no less than 54mm and no more than 60mm centre to centre",,,,,,,,,,,,,,,
label,– Width:,,,,,,,,,,,,,,,
label,– At surface - must not be less than 11.5mm and not more than 15mm,,,,,,,,,,,,,,,
label,– At bottom - must not be less than 4.5mm and not more than 8mm,,,,,,,,,,,,,,,
label,– Depth must not be less than 4.5mm and no more than 8mm,,,,,,,,,,,,,,,
label,Reference Documents - Cl 20.4.1.3,,,,,,,,,,,,,,,
label,Inspection/ Test Method - Inspection,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,,
label,Responsibility - Site Engineer,,,,,,,,,,,,,,,
checkpoint,2.4 - Grooving New Pavement Surface,,,,,,,,,,,,,,,
label,Frequency - During grooving works,,,,,,,,,,,,,,,
label,Acceptance Criteria - Contract Administrator to witness measurement of groove dimensions,,,,,,,,,,,,,,,
label,Reference Documents - Cl 20.4.1,,,,,,,,,,,,,,,
label,Inspection/ Test Method - Inspection,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,,,
label,Responsibility - Site Engineer Principal’s Representative,,,,,,,,,,,,,,,
section,3. Slurry Removal,,,,,,,,,,,,,,,
checkpoint,3.1 - Removal of Slurry,,,,,,,,,,,,,,,
label,Frequency - Progressively during works and after,,,,,,,,,,,,,,,
label,Acceptance Criteria - Grooving machine must flush the grooves of  all slurry during grooving process. Any residual slurry must be removed using high-pressure water in combination with hand or mechanical sweeping. Slurry must not be allowed to harden in the groove.,,,,,,,,,,,,,,,
label,Reference Documents - Cl 20.4.2,,,,,,,,,,,,,,,
label,Inspection/ Test Method - Visual Inspection,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,,
label,Responsibility - Site Engineer,,,,,,,,,,,,,,,
checkpoint,3.2 - Notification of Completion of Cleaning,,,,,,,,,,,,,,,
label,Frequency - At each of each work period,,,,,,,,,,,,,,,
label,Acceptance Criteria - Contract Administrator is notified of completion of cleaning of pavement surface,,,,,,,,,,,,,,,
label,Reference Documents - Cl 20.4.2,,,,,,,,,,,,,,,
label,Inspection/ Test Method - Visual Inspection,,,,,,,,,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,,,,,,,,,
label,WP,,,,,,,,,,,,,,,
label,Responsibility - Site Engineer Principal’s Representative,,,,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,,,,
note,On behalf of Fulton Hogan it is hereby certified that the Works represented by the items of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.,,,,,,,,,,,,,,,
textbox,Name:,,,,,,,,,,,,,,,
textbox,Position:,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,
signoff,Sign ITP,,,,,,,,,,,,,,,
