"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"599f4f8b-22f3-4d0e-b3f3-728ee02a2fd7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"8df70a0f-179e-4702-8704-0c7c1355c78d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Zone A (Building B)"
"b57776c5-d087-49bd-b43d-1d6eefec67dc","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Zone A (Building B)","Basement 02"
"a37b4d08-ac8e-4274-b240-e2fd385e4550","","checklist-sectioned","not-started","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 02","Standard"
"2042c8e7-c547-4937-af95-e909b7e8778e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Zone A (Building B)","Basement 02","Fire Rated"
"6f383044-c701-40ac-8e79-912cb373f609","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.205.D1"
"207c63d7-cd8d-4f62-abf5-72152f49004f","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.206.D1"
"27896957-580c-4ca2-bdec-abb327ea4084","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.210.D1"
"27e2ed56-83e2-49de-b98e-849ce685d127","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.210.D2"
"fdbf6dc7-e007-47b6-802e-e64a9a3cd0c6","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.212.D1"
"84221381-1082-4758-9b9c-ca620e341638","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.212.D2"
"5109fc95-23aa-49a0-b1af-251259d4889c","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.213.D1"
"326e2ff5-2e10-4321-b4b1-7c17759774be","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.214.D1"
"cc401ac7-849b-446e-8116-4833abc3943c","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.215.D1"
"426eafd8-14c3-4071-95ad-322615a828bb","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.216.D1"
"eefe4f5a-0838-444e-9c32-f7b9a751c5fb","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.218.D1"
"8b524a96-c2eb-46d4-9bd1-9d9370b8badb","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.222.D1"
"3acff66c-0fdd-49a9-8caa-ace0f448e6da","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.222.D2"
"f320ca56-6d9f-40da-8b2f-7c72c176d3b5","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.222.D3"
"ddd94c3c-46cc-4298-88a4-96f9735c690b","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.223.D1"
"36b7f6c6-b034-43da-993f-afd1083deac0","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.233.D1"
"f49e4f80-37d0-403e-a59b-2122dd8a2f75","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.233.D2"
"b578a261-46ce-454f-8492-19a5c35f751b","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.234.D1"
"f63461e7-0bc9-4f71-98d6-18c6646a88b2","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.239.D1"
"bdeec693-0d1b-4040-9dcc-4b37e9a59e48","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.239.D2"
"4be288eb-118e-4b1b-a14a-46d35eef39ac","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.240.D1"
"dc172e86-feb4-4f15-adf7-91c1b3042aa1","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.241.D1"
"b846b528-8004-4087-8e2b-d607f40fd3ef","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.242.D1"
"571e84cb-88f5-418d-ac4a-f7903af38f69","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.250.D1"
"b61ac48a-9ada-4a08-ab64-f34b503dbe8a","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.251.D1"
"700895a3-8940-4217-9beb-3eab64612e45","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.252.D1"
"7c412143-1c1b-4de1-9798-b7778fbd7c19","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.253.D1"
"985b4e55-0330-446a-9513-f4b13667ee77","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.254.D1"
"1677f210-ebc4-49ea-9c08-361cababe783","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.255.D1"
"f5b0e413-753b-4092-8f5f-ca2a88c4a134","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.257.D1"
"b2da84b3-9cc3-4549-89ee-7394449f769c","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.257.D5"
"4f8558d4-62f4-4d4c-930c-4f7e6cb4be9c","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.262.D1"
"4668337c-b21a-44f1-9332-06d3f3fc962d","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.266.D1"
"dfbe7b5f-1109-4f4d-9e7c-604e7e774c1c","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.266.D2"
"5f861945-5608-4bc2-8015-64417dc2af77","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Basement 01","Fire Rated","B1.B.270.D1"
"4c83235a-6466-4dee-a5eb-994de5b57c21","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark"
"df330add-2a88-4c5a-8764-7cde6ac38721","","checklist-sectioned","not-started","Standard Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Standard"
"49dcc30c-eb45-460d-97f5-a8b1da777c12","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Fire Rated"
"6299beba-888d-46c7-a3f1-d9c12dc18da6","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.584.D1"
"ac95f4b8-3f20-4460-aa88-3035824bf961","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.585.D1"
"03aa3dfa-a23a-4832-a11c-44f9cfb61055","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.587.D1"
"849d8ced-5cc9-4de2-9d6b-5e7e29a6d2b8","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.590.D1"
"a134b67b-6eda-476f-99c4-098e8c740839","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.591.D1"
"d4079ac6-e443-4280-8044-1f3a256f53ba","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.591.D2"
"466caaa9-ee7f-4a79-b709-bed5ca0abe53","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.592.D1"
"ee344c80-9f07-4c23-8770-25a1d4b6f257","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.597.D01"
"e0823343-1536-46a7-83e0-e609c0b0c242","","checklist-sectioned","not-started","Mental Health Door checklist","checklist","FALSE","FALSE","Site QA","Zone A (Building B)","Lower Ground Carpark","Fire Rated","LG.B.597.D02"
"cf6a6b90-9fe1-406d-bc53-52801317de91","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Zone A (Building B)","Lower Ground"
