"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"85d4133d-8800-4c3e-b871-577cc9ab0a46","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"cdc311dc-72da-5aa1-bfcc-0d7e01d3f989","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"53ef8565-564c-5c90-8dcf-5795f4dc64e7","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"3c2daaa4-19db-50da-b6c0-9b346cda75f9","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"ae8ecdd4-a0af-5704-942b-a3a9c3f16b46","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"a16198d9-cd06-5035-8902-42adac6f41c0","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"fdefab4b-f342-59b8-9c6f-3ce5b86abe69","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"ce7a483e-c0ee-4204-a563-3e398f17b1c4","","folder-normal","not-started","","step","TRUE","FALSE","QA"
"b1835d45-c1b1-407f-a642-781e927d0bc8","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System"
"045e3414-e79f-4d55-9193-2562e9a55ab6","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01"
"d17337f9-6c79-49ca-9c96-898c49006db5","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 01","Pre-Fit Off Checklist"
"871014c7-6842-4ea0-8835-d01760219585","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 12m - UNRail 02","Rail Checklist - UNRail 02"
"0461ab0b-bffe-52a7-b668-706e8017657e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 12m - UNRail 02","Rail Checklist - UNRail 02","Photo taken of Engraved Line Plate / ID Tag"
"281bc038-f870-5726-8c67-ea0b4835f431","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 12m - UNRail 02","Rail Checklist - UNRail 02","Video taken of system"
"1676bb7d-cda2-5a4e-b2ac-a7485bd5079d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 12m - UNRail 02","Rail Checklist - UNRail 02","Description input of location / person Rail systems shuttle left with"
"f97b68d9-9e44-5868-9e26-7186b1377c55","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 12m - UNRail 02","Rail Checklist - UNRail 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"ebf5b864-e14f-42ff-b5d6-7ce23b8bceb7","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 66m - UNRail 03"
"07c6504e-9447-4a44-8ad6-b9c8ebd8294a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 66m - UNRail 03","Pre-Fit Off Checklist"
"1d9e01a2-c152-5a86-aff2-cf35df5d5567","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 66m - UNRail 03","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"9ca0ca59-92c6-5042-875f-a5fea3375aa9","","holdpoint","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 66m - UNRail 03","Pre-Fit Off Checklist","EMAIL PM"
"ded8eddc-4432-5a2c-8837-008cc041e746","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 66m - UNRail 03","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"9c344003-acec-47cd-8708-6840882480f7","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 66m - UNRail 03","Rail Checklist - UNRail 03"
"e9a2b748-23aa-51ca-95b5-e5bb2b780e44","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 66m - UNRail 03","Rail Checklist - UNRail 03","Photo taken of Engraved Line Plate / ID Tag"
"3a236c37-d74f-5bec-bc23-4ee9e1c4fe20","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 66m - UNRail 03","Rail Checklist - UNRail 03","Video taken of system"
"010aaf32-d578-562e-8c45-b695226ba274","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 66m - UNRail 03","Rail Checklist - UNRail 03","Description input of location / person Rail systems shuttle left with"
"92df5caf-4656-540b-ab7c-c771b9ccd2a4","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 66m - UNRail 03","Rail Checklist - UNRail 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"1b7a0d69-5390-45d0-9a38-4790f9531211","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 43m - UNRail 04"
"73929f80-8a22-40d1-93df-eb0888ba8dd3","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 43m - UNRail 04","Pre-Fit Off Checklist"
"cdad5613-687c-5420-9f6b-f7792ff63e0a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 43m - UNRail 04","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"55809c67-7226-551f-81c6-3a121ec13f84","","holdpoint","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 43m - UNRail 04","Pre-Fit Off Checklist","EMAIL PM"
"7d740d9f-9728-5e29-b5ad-0a0652ec6293","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 43m - UNRail 04","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"07bdb95a-c7ad-4c83-b6ea-0823887f1ba9","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 43m - UNRail 04","Rail Checklist - UNRail 04"
"89ee468c-51c2-5666-a10d-1660c970ed67","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 43m - UNRail 04","Rail Checklist - UNRail 04","Photo taken of Engraved Line Plate / ID Tag"
"76370cb1-61a1-559e-b8a6-31e1f8c17455","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 43m - UNRail 04","Rail Checklist - UNRail 04","Video taken of system"
"a0c9c17d-0b51-5048-ae93-5a4acde5c2f1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 43m - UNRail 04","Rail Checklist - UNRail 04","Description input of location / person Rail systems shuttle left with"
"a997bd3e-7875-51ec-beee-9ba0b74af296","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 43m - UNRail 04","Rail Checklist - UNRail 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"397bb1cf-1202-4fc4-915e-e5332ded7900","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 05"
"33db49be-edb7-4a69-84b2-202836296138","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 05","Pre-Fit Off Checklist"
"77e78f99-f96a-5cbd-9d8a-3e450fad87aa","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 05","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"625a67d3-90f4-5a57-aa61-aacf7b93f895","","holdpoint","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 05","Pre-Fit Off Checklist","EMAIL PM"
"3a71f431-2718-5352-8277-f025f3191a64","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 05","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"9e890226-3e96-441c-99a3-2e681ac30ee5","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 05","Rail Checklist - UNRail 05"
"568ca6f3-c496-523e-998a-2f6cbdfe0191","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 05","Rail Checklist - UNRail 05","Photo taken of Engraved Line Plate / ID Tag"
"9326a95b-e2dd-5d34-aabd-26a1505faeb1","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 05","Rail Checklist - UNRail 05","Video taken of system"
"b931c95c-7338-5d07-abd3-6667fd7faf1d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 05","Rail Checklist - UNRail 05","Description input of location / person Rail systems shuttle left with"
"c7f81c0e-4d29-54cd-96e2-9fbb061010b9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 6m - UNRail 05","Rail Checklist - UNRail 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"e476c35b-b28d-4cf9-b66f-c02fe2d87ca0","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 06"
"f1da2711-70c4-4863-b464-c5b012e788be","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 06","Pre-Fit Off Checklist"
"0cf75531-2947-5eaf-b28f-e2f9824cf41d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 06","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"b47f8f6d-08ef-5816-9508-17a7f6136d8b","","holdpoint","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 06","Pre-Fit Off Checklist","EMAIL PM"
"b41843ec-fbca-5b9d-8558-c025c2a7840d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 06","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"ab378d63-711f-4103-8503-cffd06752418","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 06","Rail Checklist - UNRail 06"
"6ff5d242-b635-574d-ae45-791935d214cf","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 06","Rail Checklist - UNRail 06","Photo taken of Engraved Line Plate / ID Tag"
"b35844d5-4078-5b80-80a2-0228c2c9354e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 06","Rail Checklist - UNRail 06","Video taken of system"
"ea8cc7b5-8143-594d-be2d-b65b95f09067","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 06","Rail Checklist - UNRail 06","Description input of location / person Rail systems shuttle left with"
"eea613ad-1fde-5f3e-94ea-b7057099ef46","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 06","Rail Checklist - UNRail 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"b6b0e410-3693-495a-9ed4-db1a9e07f423","","folder-normal","not-started","","step","TRUE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 07"
"de595bcd-8374-4beb-bfae-8e3f85aa5eff","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 07","Pre-Fit Off Checklist"
"92613462-b9eb-5e06-b893-d755162d1641","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 07","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"7d2022ac-7220-5f13-a692-c2c78caa0fc4","","holdpoint","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 07","Pre-Fit Off Checklist","EMAIL PM"
"c88278dc-9f07-5463-9cda-4387f6080611","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 07","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"56cdbacc-82f6-4eb3-b9ff-76b7dd46b10e","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 07","Rail Checklist - UNRail 07"
"3370015c-4632-5901-8cbe-74182004c55d","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 07","Rail Checklist - UNRail 07","Photo taken of Engraved Line Plate / ID Tag"
"2f2c6a71-7871-5eaf-bc47-f3a7365717dd","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 07","Rail Checklist - UNRail 07","Video taken of system"
"6c851cbf-ea10-5059-a1fa-c56d6ab89698","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 07","Rail Checklist - UNRail 07","Description input of location / person Rail systems shuttle left with"
"a2c3efd9-a595-56b1-b8c0-5c77c112e96e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","7No UniRail Abseil System","1No UniRail Abseil System @ 54m - UNRail 07","Rail Checklist - UNRail 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"89a921a9-bd7d-4f97-9ccf-9ea5c42e0e05","","folder-normal","not-started","","step","TRUE","FALSE","QA","2No RoofSafe Rail Fall Arrest & Abseil System"
"09d0731b-10c3-4379-9874-f6e7b5b67a13","","folder-normal","not-started","","step","TRUE","FALSE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 46m - RSRail 01"
"7be0544b-bf8e-49dd-bb2a-be5d67830696","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 46m - RSRail 01","Pre-Fit Off Checklist"
"87f24faa-a71c-55a8-b549-3963402dfaa0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 46m - RSRail 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"c654b701-9ab3-544e-8e47-60fe2a8cc39b","","holdpoint","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 46m - RSRail 01","Pre-Fit Off Checklist","EMAIL PM"
"34ea742c-550b-5ca7-8ed8-f85822f23a3a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 46m - RSRail 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"b2623d50-563c-42b8-9897-07da77b88a65","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 46m - RSRail 01","Rail Checklist - RSRail 01"
"57274be2-e8f5-507d-9db6-8c0f1950cfc0","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 46m - RSRail 01","Rail Checklist - RSRail 01","Photo taken of Engraved Line Plate / ID Tag"
"8d88a1df-4dc2-5c28-8257-930d0738da97","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 46m - RSRail 01","Rail Checklist - RSRail 01","Video taken of system"
"1a50d3f7-ce32-5420-bb05-8f830d37970a","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 46m - RSRail 01","Rail Checklist - RSRail 01","Description input of location / person Rail systems shuttle left with"
"e259df65-4080-5777-a8d4-77d24c1584de","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 46m - RSRail 01","Rail Checklist - RSRail 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"ddd9d2ec-ca90-4af0-a8b8-661a181754a8","","folder-normal","not-started","","step","TRUE","FALSE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 33m - RSRail 02"
"444ba8da-fd88-4dfe-b394-408defd2eaef","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 33m - RSRail 02","Pre-Fit Off Checklist"
"cf0e2837-357c-5619-bea4-d8f148bab6c9","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 33m - RSRail 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"929bbace-3a50-577d-bfd8-34a8e8314806","","holdpoint","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 33m - RSRail 02","Pre-Fit Off Checklist","EMAIL PM"
"80546707-abc9-59e2-86d0-9683ec6ce672","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 33m - RSRail 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"e5beb480-d76d-448c-b958-00e6fa06e8ee","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 33m - RSRail 02","Rail Checklist - RSRail 02"
"4629e51b-3735-5613-8bce-3b5d7f8fd776","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 33m - RSRail 02","Rail Checklist - RSRail 02","Photo taken of Engraved Line Plate / ID Tag"
"999c9510-06fc-5b0c-9fa9-d46206455a5e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 33m - RSRail 02","Rail Checklist - RSRail 02","Video taken of system"
"30263a59-eedc-561b-92b8-4f7c835dc367","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 33m - RSRail 02","Rail Checklist - RSRail 02","Description input of location / person Rail systems shuttle left with"
"39b889c3-887f-5a35-8e37-32bab15ec6a5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","2No RoofSafe Rail Fall Arrest & Abseil System","1No RoofSafe Rail Fall Arrest & Abseil System @ 33m - RSRail 02","Rail Checklist - RSRail 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"5820a9d3-6c61-4fba-8566-526101d309bc","","folder-normal","not-started","","step","TRUE","FALSE","QA","3No RoofSafe Cable System"
"f886587c-468e-4397-ac81-17d2f9eda0c7","","folder-normal","not-started","","step","TRUE","FALSE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01"
"071feab1-c642-434a-96c0-d37289e43810","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01","Pre-Fit Off Checklist"
"3c63d765-8e2f-5080-81d7-99062e920a83","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"f9f73d74-d289-55b4-9967-e9fd4323fd1e","","holdpoint","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01","Pre-Fit Off Checklist","EMAIL PM"
"27cf6bed-17f3-5f07-8359-262e86344ea5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"fb9a32aa-2a14-499e-840d-8067202efb51","","checklist-flat","not-started","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","3No RoofSafe Cable System","1No RoofSafe Cable System @ 42m - Line 01","Fit Off Checklist - Line 01"
