"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a5b4da2b-1a19-4cd7-a1bb-fad33a4a6b69","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"9b688154-9d15-405f-aba7-0ef9d6d61f3f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"69a01e8c-5bc4-431d-995d-a0bebe5af9aa","","folder-normal","not-started","","step","TRUE","FALSE","QA","Sayfa Raptor Rail"
"5ef2a43e-08ad-41df-883f-517a54eaabac","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 17m - Rail 04","Pre-Fit Off Checklist"
"f7c2353c-3f37-4233-8a79-d9b6b97b08ac","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Sayfa Raptor Rail","1No Sayfa Raptor Rail @ 17m - Rail 04","Rail Checklist - Rail 04"
"344cdd94-d3c5-442b-ac98-59a39ff7011b","","checklist-flat","not-started","Data Plate, Access Point (Rails and Line Systems)","checklist-flat","FALSE","FALSE","QA","Sayfa Raptor Rail","Data Plate, Access Point"
"0ff0a282-5434-41dd-bec6-30583963084d","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors"
"f6aa793f-1c3e-40b1-bf4e-bccda64f7d2e","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist"
"dccedc1d-3cd4-4856-8b41-c155e54a677f","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 01"
"35193cf1-0ac5-43c9-a536-1b22451b6a5b","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 02"
"ee339656-243e-4374-9773-fb7999ec2056","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 03"
"bfdf7b45-0d65-4cb3-86ae-d718531959fc","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 04"
"a15ab33c-af48-4661-b9f9-4687cf9cce96","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 05"
"f2bcb3d6-fe7b-46a5-a294-094b7c557f44","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 06"
"087e27c2-7796-44c0-88e1-c2604a3be9eb","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 07"
"dccbaefd-b6d0-4126-a271-08e9691e8051","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 08"
"29329bf7-adfd-46f9-bc31-5b004f1f8411","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 09"
"7b8986c6-baf7-4c36-9239-478b2d986423","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 10"
"59bbfcf5-6196-48cf-9ddc-c49525136bd7","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 11"
"b79929ac-bf0b-4cf8-8d1d-06de18272f7e","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 12"
"aa829ea1-c9f5-49ed-9c53-ac8e6b316b50","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 13"
"51acac56-2c44-4dbe-b401-fa32d54a7b86","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 14"
"571be158-0c8c-4435-b8de-2a2475d184f5","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 15"
"3f50f3e3-2285-4b1a-9475-3009f8e56e28","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 16"
"0ada8eba-d1a1-44b9-aa16-8d8811167840","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 17"
"3802b644-6a5d-44cb-b536-46e4786b74bd","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 18"
"17aa9adc-b4d8-4eb7-9f89-3ca355b7b5f1","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 19"
"9bfefa02-1001-490b-8f0f-56bf639b3449","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 20"
"92e472ec-1c4f-4914-b062-51af039a99ff","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 21"
"57913afc-e819-4efe-a2e9-15cb56dfa496","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 22"
"44e18fad-00e4-4904-81ef-cedd343201be","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 23"
"a500fcd1-0d42-4c44-9e3c-eee8603553fd","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 24"
"0a6c702f-634c-4752-beaf-cddf29015eb2","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 25"
"18094fc4-6237-48cd-9094-73f23f135de4","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 26"
"c5d68869-b330-4c89-bb76-eacb4a8c72d8","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 27"
"5e414955-a01b-4cc0-9c6a-8f7de0e575e8","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 28"
"cbfd401c-2482-4b85-be4c-ba5b854b76da","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 29"
"fd68d356-5d76-43e3-9000-e1a0ffe5b52a","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 30"
"133b3fcb-f58e-4bc3-8331-94f947bc50da","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 31"
"3aaeff4f-3a17-469e-9d42-0ed8007f29d7","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 32"
"c06882ef-fc64-4b09-8eda-a6e92b579f78","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 33"
"b4055ea9-26e8-49b5-b397-41b6fff514a3","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 34"
"4f5394e0-8808-48df-b814-cd7d38377ecc","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 35"
"71dea616-e0b2-4262-a40a-bc68c49bf085","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 36"
"efec8176-f3e8-498b-b4d9-e675109937ec","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 37"
"f7d10aeb-3056-4aa7-8c92-93183c5b4de2","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 38"
"56eb3bbc-4514-4a7f-9967-1d236df4409d","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 39"
"a127d94e-f399-4696-9b97-4b033cffb506","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 40"
"50cc1a57-ceae-485b-b88f-096c6e80a152","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 41"
"a1953eda-7aca-4b03-8334-07d665905ab1","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 42"
"754ec631-5c4a-4c16-8a26-d3a5dc7f963c","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 43"
"1d380b3f-c420-426d-ab0c-c7cbd23352bc","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 44"
"d40b0617-945a-4f4a-b226-0d3aeee09cde","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 45"
"af1c7c1b-ed8c-4d09-abdd-893e1e8dba24","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 46"
"7de6eda7-2c91-491c-a679-4fd25b60c632","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 47"
"f36698e2-8da0-4260-b440-0c155d35e01b","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 48"
"51832eab-aab6-461c-b3db-8e86c2452823","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 49"
"d6df3d70-2d30-4dfc-8012-8fae14e98c86","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 50"
"934a3d0e-e4a8-4fc0-8595-80c28c1931f7","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 51"
"1826e2f3-fda9-41d1-a714-ef0ded2435a0","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 52"
"12c13f6b-6aa6-40c5-9da0-6698f686ce43","","checklist-flat","not-started","Data Plate & Access Point (Anchor Points)","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Data Plate & Access Point"
"1cc876b0-30ad-4345-a76f-aefe62e3b193","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 68"
"47a57bb1-5146-44a4-9b4f-dfa47d39d31b","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 67"
"09d1c387-9ac3-4f8d-8a62-e01d8f5fa2fe","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 66"
"b4e62286-328f-4a72-a04c-527c2367b7ce","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 65"
"c22e3e5f-e29a-44e5-a144-eabaceb133a8","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 64"
"b9fa4409-f063-462e-ad75-dcd623136f1b","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 63"
"d3a355cc-5b70-4f1d-aa41-5e969d053899","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 62"
"d9935176-b079-4fd4-9520-e37b2a36dbb8","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 61"
"818282de-7001-4f33-b378-0973b651d396","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 60"
"f0496dc4-cb18-42d7-9533-35978faeafa1","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 59"
"af4055ce-c4b7-429a-95a4-71eb4b7e5847","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 58"
"7927efaf-126d-4e47-9ad3-a2d4d703bc23","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","52No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 57"
"ec289255-660d-4316-a23e-929d7f0e1e8f","","folder-normal","not-started","","step","TRUE","FALSE","QA","6No Davit Base Floor Mount"
"a3ac925b-a091-41ee-9e25-2563defbafbe","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","6No Davit Base Floor Mount","Pre-Fit Off Checklist"
"7923f60e-007a-4ebf-bf6a-6b67776ff79f","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","6No Davit Base Floor Mount","Fit Off Checklist - Davit Base 01"
"955410b7-b368-4359-a21d-3879c5f8a658","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","6No Davit Base Floor Mount","Fit Off Checklist - Davit Base 02"
"b594096c-67f2-4f88-8055-64ca5b327ace","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","6No Davit Base Floor Mount","Fit Off Checklist - Davit Base 03"
"6bdef935-3b28-43a9-af35-d350c0f055db","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","6No Davit Base Floor Mount","Fit Off Checklist - Davit Base 04"
"431d3e85-c0b5-4e1d-8206-9a6843f84c4a","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","6No Davit Base Floor Mount","Fit Off Checklist - Davit Base 05"
"2d6c0566-f7ac-46e5-a1d0-6adbd814fbad","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","6No Davit Base Floor Mount","Fit Off Checklist - Davit Base 06"
"1e4b9929-5c58-42d7-943b-07efcf477f7d","","checklist-flat","not-started","Fit Off Checklist - Miscellaneous Item","checklist-flat","FALSE","FALSE","QA","6No Davit Base Floor Mount","Fit Off Checklist - 2No Davit Arm & Mast Supply"
"a3e6de01-fd0e-4ffd-9dfa-fa6bdf48214f","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","2No Ladder Systems"
"55391071-27d3-4915-a933-367dc24df960","","folder-normal","not-started","","step","TRUE","FALSE","QA","2No Ladder Systems","Item 01 - Permanent Access Ladder System"
"6fee02ee-efff-4cb3-9dd0-346fb5fc1d21","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","2No Ladder Systems","Item 01 - Permanent Access Ladder System","Pre-Fit Off Checklist"
"8f4fa522-9bd2-4cbd-bf97-6d82a06de46b","","checklist-flat","not-started","Fit Off Checklist - Ladder System","checklist-flat","FALSE","FALSE","QA","2No Ladder Systems","Item 01 - Permanent Access Ladder System","Fit Off Checklist - Ladder System - Item  01A"
"acc55711-03b6-46bd-b5a0-5c5f1068a89a","","checklist-flat","not-started","Fit Off Checklist - Ladder System","checklist-flat","FALSE","FALSE","QA","2No Ladder Systems","Item 01 - Permanent Access Ladder System","Fit Off Checklist - Ladder System - Item 01B"
"06fa4535-b316-4843-a4fa-7ee2614057a9","","folder-normal","pass","","step","TRUE","FALSE","QA","2No Ladder Systems","Item 02 - Permanent Access Ladder System"
"df64410c-68d6-48f2-9b75-c10ec79c0552","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","2No Ladder Systems","Item 02 - Permanent Access Ladder System","Pre-Fit Off Checklist"
"bb456769-ca33-410d-8e49-6b2c307d59a7","","checklist-flat","pass","Fit Off Checklist - Ladder System","checklist-flat","FALSE","FALSE","QA","2No Ladder Systems","Item 02 - Permanent Access Ladder System","Fit Off Checklist - Ladder System 02"
"2ec92675-87f5-4f86-900e-5f684eb837d0","","folder-normal","not-started","","step","TRUE","FALSE","Roof Access Requirements"
"8bf06fa4-c12f-43eb-8e91-11cc976115da","","checklist-flat","not-started","Roof Access Requirements","checklist-flat","FALSE","FALSE","Roof Access Requirements","Roof Access Requirements"
"99870602-c6eb-4502-8528-c5c26ba3f0f9","","checklist-flat","not-started","SYS - PT - Practical Completion","checklist-flat","FALSE","FALSE","Practical Completion"
