"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"99a1db00-728e-4f09-be38-395caf8f966f","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"5690c4ae-ad34-4f36-8b0c-f84cd883d634","","folder-normal","pass","","step","TRUE","FALSE","Site QA","ITP-001 - Sediment Control"
"2c9f3401-02e2-4d3d-a8db-60cf8cb7ce60","","checklist-sectioned","pass","0b82de3d42fcb329e4f44fba6423241847a17a64a1404f01d3d03593ad5f078c","checklist","FALSE","FALSE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01"
"4892043d-d507-5fd2-bdd7-40a180302683","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","Lot Conformance."
"606d64b7-5d1f-5bde-a0d6-1ab1e304129b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-001 - Sediment Control","Sediment Control - 01","3.0 Conformance check","3.1 - Carry out corrections and clean-up"
"e84dfb31-233b-47dd-931c-66bafea0cba6","","folder-normal","pass","","step","TRUE","FALSE","Site QA","ITP-002 - Site Clearing"
"e189bc7d-4c73-46e9-b3a3-8436d352547d","","checklist-sectioned","pass","a07ffb3dfbc7d9e5b9d0af30345262423349a7ca44e9ac877323593de5e37170","checklist","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001"
"7780a5ea-c41e-57f4-a17e-fa6bd53bbb29","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","Lot Conformance."
"b4171428-4e96-5f51-bb40-373446f62907","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","Lot Conformance.","Lot Conformance"
"28726d43-f4fa-5de8-b4f4-1b4577ec8e33","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","Lot Conformance.","AUTHORITY HOLDPOINT"
"0dbb51fe-436f-59c2-b0d3-995e8cdd51ce","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","1.0 Pre-start activities"
"e14e13db-5422-5b8f-b62c-d9da3981dbf0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","1.0 Pre-start activities","1.1 - Determine Lot Size"
"e66ed220-db17-565a-86c6-7f3573875c6c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","1.0 Pre-start activities","1.2 - Safety"
"4914a303-b7cd-5a43-9cc2-9cd33d46bec1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","1.0 Pre-start activities","1.3 - Excavation Permit"
"cf5357b4-208a-50b5-8532-466d7b70087f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","1.0 Pre-start activities","1.4 - Check Survey Set-out"
"1a6dd729-7524-5b70-8bd2-6ad821590aef","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","1.0 Pre-start activities","1.5 - Tree Protection"
"9f28865e-c9cd-52b8-9f6f-c25d415759a8","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","2.0 CLEARING AND GRUBBING"
"5fab0ac8-a2f5-5274-9128-435bf09bb973","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","2.0 CLEARING AND GRUBBING","2.1 - Clearing and Grubbing"
"2ae03b23-685a-5f8d-82d4-6db2cf82aaad","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","3.0 Topsoil Stripping"
"d5de6d82-e88c-5249-90bb-92a80de7c18f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","3.0 Topsoil Stripping","3.1 - Stripping"
"a5e3c34b-2b18-553c-a64d-c84eb2a57534","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","3.0 Topsoil Stripping","3.2 - Stripping"
"1fa8be29-fc1c-550f-8112-66334e707f71","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","3.0 Topsoil Stripping","AUTHORITY HOLDPOINT"
"0715828e-6f32-5bd4-a35e-a82d5e20d558","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 001","3.0 Topsoil Stripping","3.3 - Top soil export / stockpiling"
"23408673-7cc0-4c58-a79a-fb2e254eccc5","","checklist-sectioned","pass","CC0394 - ITP-002 - Site Clearing REV0","checklist","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing -002"
"0cb7bc7a-8101-5e24-8e55-8a875e26bce5","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","Lot Conformance."
"c63915eb-f7a6-5180-862b-f6248965fcd8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","Lot Conformance.","Lot Conformance"
"d2ae5317-7afc-5c24-9312-f9bf8ceba87e","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","Lot Conformance.","AUTHORITY HOLDPOINT"
"ff865136-9068-523b-816f-2adad8c1044c","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","1.0 Pre-start activities"
"8a200f65-abc7-5a32-9e83-5ba948f57800","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","1.0 Pre-start activities","1.1 - Determine Lot Size"
"fdce8d3b-4dac-5d41-9b30-bfec251ddbf1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","1.0 Pre-start activities","1.2 - Safety"
"0621e971-f7d8-5959-a566-375471a192fd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","1.0 Pre-start activities","1.3 - Excavation Permit"
"18c77ff7-0b13-5980-97e8-9cd0809c5565","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","1.0 Pre-start activities","1.4 - Check Survey Set-out"
"12762513-e105-523e-91b7-e71e8b741430","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","1.0 Pre-start activities","1.5 - Tree Protection"
"55aef573-fe75-5381-9dc4-cd2f04a1c229","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","2.0 CLEARING AND GRUBBING"
"faae2fb2-37f0-5db3-8b24-d39208e47891","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","2.0 CLEARING AND GRUBBING","2.1 - Clearing and Grubbing"
"67eaeca0-b33c-54c2-924a-ecc81e12a725","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","3.0 Topsoil Stripping"
"53e4a8a9-9275-5ae4-8ee7-fc9909183125","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","3.0 Topsoil Stripping","3.1 - Stripping"
"d9b4750b-db8d-5203-be12-e6fb3c62efc2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","3.0 Topsoil Stripping","3.2 - Stripping"
"74dbe496-8209-5da5-a710-7ece540c0e07","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","3.0 Topsoil Stripping","AUTHORITY HOLDPOINT"
"8640b9cb-7404-5427-986a-dbaa1dff38ed","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing -002","3.0 Topsoil Stripping","3.3 - Top soil export / stockpiling"
"becde1e9-f67c-4919-b11e-fbc1a0eb9572","","checklist-sectioned","pass","CC0394 - ITP-002 - Site Clearing REV0","checklist","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003"
"c4b1defb-c1b2-58cc-bb44-737f395a7f9c","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","Lot Conformance."
"7f1173e4-1bb5-51b7-aff3-34227de862ca","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","Lot Conformance.","Lot Conformance"
"5d0441d2-8357-5bdb-bc0c-6c71d2af79d2","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","Lot Conformance.","AUTHORITY HOLDPOINT"
"349a2d45-3ed3-5435-b29f-cf712d17b195","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","1.0 Pre-start activities"
"b3bfcc78-46fe-5ce5-a7d4-83f5d84ff514","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","1.0 Pre-start activities","1.1 - Determine Lot Size"
"8a65ad05-34da-5bab-a856-021dff491a0c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","1.0 Pre-start activities","1.2 - Safety"
"0aa85d27-a4fa-56ad-933e-d2d8c85cab7f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","1.0 Pre-start activities","1.3 - Excavation Permit"
"81827576-ad6e-5f6e-a6d2-c846b94f6923","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","1.0 Pre-start activities","1.4 - Check Survey Set-out"
"949ed643-edf2-51e9-a749-f500fd91998d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","1.0 Pre-start activities","1.5 - Tree Protection"
"f1314de9-babf-56f2-9d9b-44a355883109","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","2.0 CLEARING AND GRUBBING"
"26afcad2-cdb8-504e-89b4-3bebd13a249e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","2.0 CLEARING AND GRUBBING","2.1 - Clearing and Grubbing"
"a007cb68-51c2-591b-a7f9-0549bf531da4","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","3.0 Topsoil Stripping"
"1e501fc2-01a8-595a-b757-f218cfb080ca","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","3.0 Topsoil Stripping","3.1 - Stripping"
"f0fa286f-47f3-5069-9c84-a618f8528ba0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","3.0 Topsoil Stripping","3.2 - Stripping"
"ac4d9db9-826c-513a-98d2-b96e3ef12502","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","3.0 Topsoil Stripping","AUTHORITY HOLDPOINT"
"cd01e989-4a14-56b8-b0d4-d1b25dbac91a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 003","3.0 Topsoil Stripping","3.3 - Top soil export / stockpiling"
"75327668-6c85-4bbe-bfc7-24ee324c994a","","checklist-sectioned","pass","CC0394 - ITP-002 - Site Clearing REV0","checklist","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004"
"4f073066-1661-5366-8335-9b37c63ac5ea","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","Lot Conformance."
"d0894909-5c51-55a0-b97e-e4b1f7d08fa0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","Lot Conformance.","Lot Conformance"
"a1a24b85-57d4-533c-bbdd-225d1a447329","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","Lot Conformance.","AUTHORITY HOLDPOINT"
"2b97e62d-41b0-5ade-aad6-91f44e3533c3","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","1.0 Pre-start activities"
"c07a338c-a016-5d1b-b61e-8a6ab7e33118","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","1.0 Pre-start activities","1.1 - Determine Lot Size"
"c85ef398-4a4d-56d6-975d-bfbf654cdc71","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","1.0 Pre-start activities","1.2 - Safety"
"1330b64d-af5e-56b2-9768-65cfa06cdfff","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","1.0 Pre-start activities","1.3 - Excavation Permit"
"328d739a-f442-528d-a046-eca58e0be123","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","1.0 Pre-start activities","1.4 - Check Survey Set-out"
"5ce31649-f314-582e-8827-a96b03f7273c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","1.0 Pre-start activities","1.5 - Tree Protection"
"273052d8-461c-5916-88a8-9f4f0405011b","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","2.0 CLEARING AND GRUBBING"
"7915aa66-320e-5191-900f-863736416c58","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","2.0 CLEARING AND GRUBBING","2.1 - Clearing and Grubbing"
"1a28c74d-1b88-518e-9aae-6414368d3ec6","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","3.0 Topsoil Stripping"
"fac4296f-2cb8-565a-81fc-1e1140556f94","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","3.0 Topsoil Stripping","3.1 - Stripping"
"60edb3ad-585e-592a-b4c5-9da81fd02da1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","3.0 Topsoil Stripping","3.2 - Stripping"
"3e566862-7bdb-52fb-98a0-61318f846c1a","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","3.0 Topsoil Stripping","AUTHORITY HOLDPOINT"
"b644a4b7-3993-5ccf-b07f-20f6115270a1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 004","3.0 Topsoil Stripping","3.3 - Top soil export / stockpiling"
"a543db37-7185-4d50-85b5-444c6e33fd1e","","checklist-sectioned","pass","CC0394 - ITP-002 - Site Clearing REV0","checklist","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site clearing - 005"
"8901862e-10ea-52b0-930f-529e1123dbbc","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","Lot Conformance."
"c48d4dc5-91ad-524e-93cc-326c6efd8036","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","Lot Conformance.","Lot Conformance"
"401201e3-4a27-5666-85c5-d4156b728a6a","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","Lot Conformance.","AUTHORITY HOLDPOINT"
"b654c9fd-bc0d-5671-a958-7e8edf0ccfb1","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","1.0 Pre-start activities"
"3d747a06-e01b-589d-8ce2-95a07e7385dc","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","1.0 Pre-start activities","1.1 - Determine Lot Size"
"d5606a22-aae8-597c-a7e8-698027003ea1","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","1.0 Pre-start activities","1.2 - Safety"
"a4f11880-d7cc-57d6-a6e7-ba975e3bca94","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","1.0 Pre-start activities","1.3 - Excavation Permit"
"17b61e62-c62a-55ee-82c9-2e6297e7fc44","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","1.0 Pre-start activities","1.4 - Check Survey Set-out"
"14baa913-421e-59d8-8439-c1fdfe80f440","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","1.0 Pre-start activities","1.5 - Tree Protection"
"0c74abc2-19d2-5493-9248-af2fb14b2f05","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","2.0 CLEARING AND GRUBBING"
"514aee7e-8fff-5c5d-b1a7-cdb433fa9445","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","2.0 CLEARING AND GRUBBING","2.1 - Clearing and Grubbing"
"0f9921e6-12ce-5a70-953e-9616283bca51","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","3.0 Topsoil Stripping"
"1d3192e1-61db-53f6-a9fd-846439aafb14","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","3.0 Topsoil Stripping","3.1 - Stripping"
"249b6222-bff2-5402-a62a-42f1eebc94c9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","3.0 Topsoil Stripping","3.2 - Stripping"
"6b01ba06-99f2-53df-b62e-17ded9a4b3fd","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","3.0 Topsoil Stripping","AUTHORITY HOLDPOINT"
"d63f4256-3f0c-542e-8a38-4e37228636ad","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site clearing - 005","3.0 Topsoil Stripping","3.3 - Top soil export / stockpiling"
"59f6660c-6604-4680-b6c2-43c7fb588e74","","checklist-sectioned","pass","CC0394 - ITP-002 - Site Clearing REV0","checklist","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006"
"f5f6930c-1e9a-5f13-bd09-cdfbd8a6f574","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","Lot Conformance."
"861255d9-98f6-51b0-b491-8b190ccd38c9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","Lot Conformance.","Lot Conformance"
"1a863b1b-fb8b-553e-9f60-6bd8e72443fb","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","Lot Conformance.","AUTHORITY HOLDPOINT"
"4db923df-5494-57b1-a437-72ae1e0acf76","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","1.0 Pre-start activities"
"114c1f1a-4b2e-50bd-b970-fe9ef87753b0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","1.0 Pre-start activities","1.1 - Determine Lot Size"
"15c6adc4-9fdf-5d23-bcf8-2790ffab6b8c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","1.0 Pre-start activities","1.2 - Safety"
"aa1379bd-a895-5fd3-a22e-7c7acce40ad5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","1.0 Pre-start activities","1.3 - Excavation Permit"
"0cc7b9d1-e50c-57cd-ac77-108bd5fe6497","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","1.0 Pre-start activities","1.4 - Check Survey Set-out"
"d3f46e7b-e766-5853-bfb5-1c57eebc3e4d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","1.0 Pre-start activities","1.5 - Tree Protection"
"78aa1268-2bb9-5e74-8739-4b6bc8a01556","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","2.0 CLEARING AND GRUBBING"
"b8c36dcf-ad87-53fd-8b61-8c14386efcc2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","2.0 CLEARING AND GRUBBING","2.1 - Clearing and Grubbing"
"42ef9c62-56b6-582c-8ba9-2e29bfb70c27","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","3.0 Topsoil Stripping"
"5c7f7a38-3310-5f23-80b5-eea31e22f297","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","3.0 Topsoil Stripping","3.1 - Stripping"
"3fd3a074-253e-5f2f-8cd2-65b86dbc83d5","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","3.0 Topsoil Stripping","3.2 - Stripping"
"609d472d-419c-51da-9549-feeb5251b726","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","3.0 Topsoil Stripping","AUTHORITY HOLDPOINT"
"b3b98214-24c1-52c5-a95d-985e2cb55a8e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-002 - Site Clearing","Site Clearing - 006","3.0 Topsoil Stripping","3.3 - Top soil export / stockpiling"
"39a96707-01ba-40e0-b495-031b92a314c9","","folder-normal","pass","","step","TRUE","FALSE","Site QA","ITP-003 - Bulk Earthworks"
"3e9a8d9e-1c67-461d-9ff5-b912a459aabd","","checklist-sectioned","pass","CC0394 - ITP-003 - Bulk Earthworks REV1","checklist","FALSE","FALSE","Site QA","ITP-003 - Bulk Earthworks","Bulk Earthworks - 001"
"84f279af-aace-55f9-af24-dce70b886c35","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-003 - Bulk Earthworks","Bulk Earthworks - 001","Lot Conformance."
"f1cc9d0a-d294-576a-a5ce-10cb57dbb626","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-003 - Bulk Earthworks","Bulk Earthworks - 001","Lot Conformance.","Lot Conformance"
"741a34d6-fbda-562e-87a6-8c6e5efa26bf","","holdpoint","pass","","","TRUE","TRUE","Site QA","ITP-003 - Bulk Earthworks","Bulk Earthworks - 001","Lot Conformance.","AUTHORITY HOLDPOINT"
"5a426b54-5552-5ad1-b70f-2d679d339f18","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","ITP-003 - Bulk Earthworks","Bulk Earthworks - 001","1.0 Preliminaries"
"53a826b7-2a7d-543b-bc5a-69300130025e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-003 - Bulk Earthworks","Bulk Earthworks - 001","1.0 Preliminaries","1.1 - Determine lot size"
"14267f79-8cd8-52c1-815f-a7cce4b94a92","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-003 - Bulk Earthworks","Bulk Earthworks - 001","1.0 Preliminaries","1.2 - Survey set-out"
"9057d433-d2f5-5ac1-8543-0130ce5c1ea2","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-003 - Bulk Earthworks","Bulk Earthworks - 001","1.0 Preliminaries","1.3 - Water management"
"2d34ff98-9334-5522-925c-b90e7ac7192e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","ITP-003 - Bulk Earthworks","Bulk Earthworks - 001","1.0 Preliminaries","1.4 - Clearing"
