Id,Type,Name,Values,Prompting Name,Resource Id
,checklist,Installation Gas Service (Mains/Risers),,Installation Gas Service (Mains/Risers),b5f42dd4-5919-4cdc-a1d4-6cc9457f8305
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Installation photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage & leaks,,,
,checkpoint,Check materials & joining methods,,,
,checkpoint,Check crimp fittings,,,
,checkpoint,Check alignments & levels,,,
,checkpoint,"Check pipe clips, hangers & fixings (correct size, spacing & separation)",,,
,checkpoint,Check valves & meter assemblies,,,
,checkpoint,Check valves & meter assemblies fixings & brackets,,,
,checkpoint,Check pipework is clear of debris,,,
,checkpoint,Check for cross connections,,,
,checkpoint,Check open ends are sealed,,,
,checkpoint,Check pipe colour coding,,,
,checkpoint,Check pipe labelling,,,
,checkpoint,Check floor/wall penetration fire proofing,,,
,,,,,
,,,,,
,checklist,Installation Gas Service (In-ground),,Installation Gas Service (In-ground),c94227e8-5d1f-42c7-aed4-c069c77f5cba
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Installation photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage & leaks,,,
,checkpoint,Check materials & joining methods,,,
,checkpoint,Check alignments & levels,,,
,checkpoint,Check bedding & clearances,,,
,checkpoint,Check valve connections,,,
,checkpoint,Check pipework is clear of debris,,,
,checkpoint,Check open ends are sealed,,,
,checkpoint,Check pipe colour coding,,,
,checkpoint,Check pipe trench marking tape (if specified),,,
,checkpoint,Check trench backfill & compaction,,,
,,,,,
,,,,,
,checklist,Installation Hot Water Plant/Unit,,Installation Hot Water Plant/Unit,ed552afd-b058-48fe-be33-40ebdf0e30fd
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,"Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4, &/or AS/NZS 5601.1 (2022) (Note: Installation photos to be taken only within this Checkpoint)",,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage or leaks,,,
,checkpoint,Check level & alignment,,,
,checkpoint,Check safe tray (if specified),,,
,checkpoint,Check isolation valves & non-return valves,,,
,checkpoint,Check pressure reduction valve (if specified),,,
,checkpoint,Check flexible connections are not twisted or kinked,,,
,checkpoint,Check waste & water connections,,,
,checkpoint,Check all functions & controls for correct operation,,,
,checkpoint,Check water temperatures are as specified,,,
,checkpoint,Check electrical power is available,,,
,checkpoint,Check solar panels & mounting brackets,,,
,checkpoint,Check solar connecting pipework & fittings,,,
,checkpoint,Check solar pump operation,,,
,,,,,
,,,,,
,checklist,Installation Gas Service (Rough-ins),,Installation Gas Service (Rough-ins),fb63f3da-fa4c-4c82-bffa-4ed803b5e237
,section,Details:,,,
,checkpoint,"Mark this checkpoint as 'FAIL' if you think this task should be a variation or additional work. If not, mark as 'N/A'. You must still action all remaining checkpoints",,,
,checkpoint,Installation complies with latest revision of AS/NZS 5601.1 (2022) (Note: Installation photos to be taken only within this Checkpoint),,,
,checkpoint,Installation complies with current drawings & specifications,,,
,checkpoint,"All pipes, fittings, materials & associated systems were used in accordance to manufacturer instructions",,,
,checkpoint,Check for damage & leaks,,,
,checkpoint,Check pipework can not be holed by plaster screws,,,
,checkpoint,Check crimp fittings,,,
,checkpoint,Check for cross connections,,,
,checkpoint,Check alignment & levels,,,
,checkpoint,Check materials & joining methods,,,
,checkpoint,"Check pipe clips, hangers & fixings (correct size, spacing & separation)",,,
,checkpoint,Check lugged elbows,,,
,checkpoint,Check noggings for future fixture,,,
,checkpoint,Check sharp edge pipe protection,,,
,checkpoint,Check pipe colour coding,,,
,checkpoint,Check floor/wall penetration fire proofing,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
