"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e165698e-5a7f-4c94-b00f-d41b6ed9d3e2","","folder-normal","fail","","step","TRUE","FALSE","Site QA"
"09bb6d48-54b8-419f-aeff-2ed4760c089f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations"
"82ea0af4-59f7-47d4-9420-61eb36e4d425","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations","Block A"
"cd9a533c-8f20-456d-9654-2b17a069f052","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings"
"1b201aef-dbb9-4a9d-964d-5661923ed023","Child Concrete - Pre Pour(37a3351c-6c92-59ff-9e57-48aba8f6ec77) -- Reinforcing checked and correct(3253a35a-f604-5216-abf6-5134105ea885): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checklist-sectioned","pass","QA - Concrete Pour","checklist","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17"
"37a3351c-6c92-59ff-9e57-48aba8f6ec77","Child Reinforcing checked and correct(3253a35a-f604-5216-abf6-5134105ea885): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pre Pour"
"b4f2dc32-50e1-5a35-905a-3e10018332b9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pour /Post Pour","Concrete checked on arrival & correct (slump, MPa etc)"
"8f358388-2629-5b5a-8896-894ba6ff7c70","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pour /Post Pour","General photos/comments/observations during placement"
"5c28b6f5-4c79-5831-afb7-8ebecf0e9af6","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pour /Post Pour","Concrete surface finish to specifications"
"33c21997-01f5-5566-822f-549515cbc17f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA12+ to A17","Concrete - Pour /Post Pour","Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)"
"e23ce99f-369b-4e2d-97cc-e321f263d72a","Child Concrete - Pre Pour(b058a5b4-17f6-5e76-a747-f2c238409af3) -- Reinforcing checked and correct(592d7c90-d095-5890-b708-7353206e9a5b): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checklist-sectioned","pass","QA - Concrete Pour","checklist","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+"
"b058a5b4-17f6-5e76-a747-f2c238409af3","Child Reinforcing checked and correct(592d7c90-d095-5890-b708-7353206e9a5b): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pre Pour"
"69ae6256-163b-546c-9f5d-eb3e4d409d25","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pre Pour","Area Accessible & Approval to start"
"b357977c-1d0b-5935-a4bd-3f3a980c1035","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"63d87522-cc0f-5bff-a7e3-7cdcbe2bbb57","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"c441aaac-abf4-50e9-8cf6-75cbbb38154e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"6dfa8d34-1ea7-5de2-a318-ea56f834837e","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"592d7c90-d095-5890-b708-7353206e9a5b","DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pre Pour","Reinforcing checked and correct"
"d7b961de-c116-59b9-9427-7bed2c48fc03","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pre Pour","Waterproofing (checked and correct)"
"7ff75d8f-a6db-577f-95f8-a66016600de8","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pre Pour","Bottom of concrete pour is clean and free of debris/roughened"
"a3cf60e4-9631-5b1a-90ec-f391667af1a7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pre Pour","Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)"
"c6acc06c-dacf-5566-8bd6-1f6c1b843921","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pour /Post Pour"
"6eb94b5f-8b63-5421-a8ac-478ed2a30d66","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pour /Post Pour","Concrete checked on arrival & correct (slump, MPa etc)"
"f235882b-7baa-5b5b-8cd8-396b6b1617c1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pour /Post Pour","General photos/comments/observations during placement"
"3383b873-bf33-5e6c-a39e-81a33a17467a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pour /Post Pour","Concrete surface finish to specifications"
"bfae2b1a-880d-51ff-a1eb-55e33d4a8c5a","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a footingsA10+ to A12+","Concrete - Pour /Post Pour","Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)"
"8b5d0b25-30a7-4a70-8c23-08a17508c2af","Child Concrete - Pre Pour(bb646dd9-1071-59d0-bdd5-6d3f2fba72a6) -- Reinforcing checked and correct(0264073c-03f8-512a-a812-946297732f8b): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checklist-sectioned","pass","QA - Concrete Pour","checklist","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10"
"bb646dd9-1071-59d0-bdd5-6d3f2fba72a6","Child Reinforcing checked and correct(0264073c-03f8-512a-a812-946297732f8b): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pre Pour"
"666ab337-d607-5f7c-b2c0-d34f0e997a10","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pre Pour","Area Accessible & Approval to start"
"556f60ae-c4ec-5eac-83bf-6b32d2acaa89","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"a4a1b0ba-446e-524b-835d-c3d90175cf2d","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"a4b979a9-b149-513e-aad1-729a0cd2cd3f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"295ba939-c12c-5068-90df-9db72f7337d7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"0264073c-03f8-512a-a812-946297732f8b","DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pre Pour","Reinforcing checked and correct"
"6cd84fd9-817e-548b-ab5d-47b47dec0ba0","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pre Pour","Waterproofing (checked and correct)"
"fc07eb1d-c426-5230-acb8-5c316fd178df","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pre Pour","Bottom of concrete pour is clean and free of debris/roughened"
"7199c5f0-b7cb-5244-bfc1-a5c16c24ce43","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pre Pour","Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)"
"e29a2a9c-e168-5188-85b6-a03746357768","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pour /Post Pour"
"b4bbc25f-2ffa-5006-9228-548ff97c67db","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pour /Post Pour","Concrete checked on arrival & correct (slump, MPa etc)"
"daed1288-a655-5ff6-a337-6d96c237a964","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pour /Post Pour","General photos/comments/observations during placement"
"a38d6fed-ad5e-5a50-be37-893264dfd739","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pour /Post Pour","Concrete surface finish to specifications"
"5124467e-b52b-56e7-8cd8-5a94da0c0d7c","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block a foundation A4+ to A10","Concrete - Pour /Post Pour","Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)"
"346d44cd-ac2f-4a9c-b112-751b911f2b32","Child Concrete - Pre Pour(0d97e461-5793-58da-aa55-69175bb8e44c) -- Reinforcing checked and correct(34358354-d73e-5748-9937-67af32761795): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checklist-sectioned","pass","QA - Concrete Pour","checklist","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4"
"0d97e461-5793-58da-aa55-69175bb8e44c","Child Reinforcing checked and correct(34358354-d73e-5748-9937-67af32761795): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pre Pour"
"449ae8d1-4ec2-5758-9412-92319ce375d7","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pre Pour","Area Accessible & Approval to start"
"2ab41ced-6580-5312-bf0f-5678f11dd149","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"2d6e0866-9c7d-5d44-880e-d950c9cef4be","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"83e2ea60-9bec-580f-852f-af8006bb48ba","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"254a09f4-d734-59fc-8d49-394d4833fc88","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"34358354-d73e-5748-9937-67af32761795","DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pre Pour","Reinforcing checked and correct"
"703c00f8-573e-59a7-85d1-6a22bd01d970","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pre Pour","Waterproofing (checked and correct)"
"6aec450f-41a7-5501-8715-190c11cd0238","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pre Pour","Bottom of concrete pour is clean and free of debris/roughened"
"4edf9321-e490-5a11-a1e7-1794c28c6e68","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pre Pour","Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)"
"d92ff7f5-c5d8-58cf-bebd-cf7d3ad5fd67","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pour /Post Pour"
"52cca001-4dc0-5fc7-90a6-f3a2f859acdf","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pour /Post Pour","Concrete checked on arrival & correct (slump, MPa etc)"
"34ff003c-917f-5a5d-b1a3-211e7775d2ea","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pour /Post Pour","General photos/comments/observations during placement"
"0375b815-ef76-54eb-9b4d-17e107900809","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pour /Post Pour","Concrete surface finish to specifications"
"f025ea27-6510-5e75-bb0e-f401caaa91ac","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block A","Concrete Foundations/Footings","Concrete Pour for Area:Block A footings.A1-A4","Concrete - Pour /Post Pour","Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)"
"2052fcec-70cf-4f82-aa30-a0bfb4ef08cd","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations","Block B"
"7db61347-c216-46b8-9966-16b63710d1b9","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Foundations","Block B","Concrete Foundations/Footings"
"21462867-4d10-452e-bc9e-7ec2a627e5ec","Child Concrete - Pre Pour(73563cb1-31b3-5c5d-9c03-e37767af1c04) -- Reinforcing checked and correct(c7305d09-f917-5e6f-a6f9-70682cfe59e3): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checklist-sectioned","pass","QA - Concrete Pour","checklist","FALSE","FALSE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC"
"73563cb1-31b3-5c5d-9c03-e37767af1c04","Child Reinforcing checked and correct(c7305d09-f917-5e6f-a6f9-70682cfe59e3): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pre Pour"
"2f636dea-2555-50a8-bad8-ae150e0e8dcb","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pre Pour","Area Accessible & Approval to start"
"93104135-75b1-5236-937f-557e2693137b","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"bee025ff-fc38-50b2-a469-f40eddb5e844","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"5d869ac3-3ced-537b-9773-468fcc934478","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"35b3a018-8a3e-5b11-8df6-e2abf7a221d1","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"c7305d09-f917-5e6f-a6f9-70682cfe59e3","DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pre Pour","Reinforcing checked and correct"
"d31f2958-1d82-5a70-ae2f-f5dcf7dc19ef","","checkpoint-status","not-applicable","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pre Pour","Waterproofing (checked and correct)"
"03a6c019-a4bf-520f-a2d4-943be5648a0f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pre Pour","Bottom of concrete pour is clean and free of debris/roughened"
"33214bd5-1341-5b91-91cf-af6f31c61da0","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pre Pour","Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)"
"5541e064-49e2-5144-a964-461e0c326d9b","","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pour /Post Pour"
"661d403c-3f7a-5460-9cef-b0979d75b5ad","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pour /Post Pour","Concrete checked on arrival & correct (slump, MPa etc)"
"1568cc75-45f0-5953-80d4-f4e8e10bc5dd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pour /Post Pour","General photos/comments/observations during placement"
"3b5ab2a9-88e9-5538-b1b8-62ef1e2245c9","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pour /Post Pour","Concrete surface finish to specifications"
"5604ae56-960f-58be-8b4f-962facd8131f","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footings b6-B10 BA BC","Concrete - Pour /Post Pour","Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)"
"e72b3eb1-e699-48cf-b25b-a7145eb50b6f","Child Concrete - Pre Pour(22470116-10c5-50c6-88ea-b306723a296f) -- Reinforcing checked and correct(a26abcfa-ae05-5cfe-b4dd-ffc2d5b2b878): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checklist-sectioned","pass","QA - Concrete Pour","checklist","FALSE","FALSE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footingsB3+ to B5 BA BB"
"22470116-10c5-50c6-88ea-b306723a296f","Child Reinforcing checked and correct(a26abcfa-ae05-5cfe-b4dd-ffc2d5b2b878): DataPoint Size and type correct to specification(451dfd4c-8f28-589a-9ead-f7ccdf2bd341) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footingsB3+ to B5 BA BB","Concrete - Pre Pour"
"8cf63410-735d-56ac-af88-6de6776d77cd","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Foundations","Block B","Concrete Foundations/Footings","Concrete Pour for Area:Block B footingsB3+ to B5 BA BB","Concrete - Pre Pour","Area Accessible & Approval to start"
