"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"99144987-a511-419a-a393-37a312fdaed5","","checklist-flat","no-status-started","Site Details","checklist-flat","FALSE","FALSE","Site Details"
"26902986-54d3-4668-a21b-1941e78b0bcd","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"911c4560-129c-46ee-a7c6-8dc698e24d0f","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P01"
"d3308b72-8b95-4dd9-8204-874a54467449","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P05","Pre-Pour Checklist"
"9b524119-e4b5-4813-be51-b09e2f384892","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P05","Concrete Delivery Checklist"
"0341c60c-9310-4873-9fc9-7f08168d9153","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P06"
"d003e368-1691-40a7-8746-eae35346f864","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P06","Pre-Pour Checklist"
"d668b22c-9feb-4910-ac8e-7708b637d08e","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P06","Concrete Delivery Checklist"
"0ae106a9-224b-4f0e-9150-5641cf60bdfc","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P07"
"af8cc98f-0f8b-440b-8e29-9eff343bac8e","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P07","Pre-Pour Checklist"
"2f5be22e-a2d9-497a-985a-e1cbca6e5a2c","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P07","Concrete Delivery Checklist"
"a2b00baf-e2fd-4c31-9f6f-303dc1bf2c76","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P08"
"af081066-45e9-4820-aa01-4f22ca259be7","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P08","Pre-Pour Checklist"
"18b25eff-8faa-4597-8cf8-2c1870726647","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P08","Concrete Delivery Checklist"
"295bc4e9-35cd-4fb7-931c-fa31dc5d409a","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P09"
"c3832fea-4965-4eb9-b416-261ad6ad3f31","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P09","Pre-Pour Checklist"
"b553c1e8-6b33-4b67-96c3-a7f89185b724","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P09","Concrete Delivery Checklist"
"1029614e-7cde-4513-b9fb-360f228c48de","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P10"
"0695e486-4997-4144-9f5c-81d51501dbcc","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P10","Pre-Pour Checklist"
"d78f95c9-1e7b-44a7-89fd-4e72b4ff6ef1","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P10","Concrete Delivery Checklist"
"88c92d39-3b60-4853-b72b-a37dcde2d452","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P11"
"e5eb5a8a-6f84-45ad-87f7-9e14e3213405","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P11","Pre-Pour Checklist"
"51aeb0b2-cd17-49d6-a93c-e10398756eb7","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P11","Concrete Delivery Checklist"
"c157528a-439a-4f1e-8d0e-5fcb35fbc0ef","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P12"
"7d35f658-5cb9-4989-bae9-e8af762c06ba","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P12","Pre-Pour Checklist"
"f9d61c26-e387-499b-9408-33c7c694fd65","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P12","Concrete Delivery Checklist"
"61a95294-a0c5-4370-b020-601c3e3d6cea","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P13"
"a5cc9f86-d4f7-4d55-a5bb-8f66a7c959f2","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P13","Pre-Pour Checklist"
"df40e9d0-8e07-4b52-82af-883f27520f3f","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P13","Concrete Delivery Checklist"
"ca9246f3-75ab-4694-9283-2a3b53bd02e7","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P14"
"5b58d7d4-a617-4c4e-a637-8b459803c97e","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P14","Pre-Pour Checklist"
"58279d6b-6a3f-41a7-b603-fe0db8477dfe","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P14","Concrete Delivery Checklist"
"9d83dd7d-3984-4404-9c1c-655caa85ed3d","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P15"
"aecc1b0d-5144-4854-abec-1e6cd8bd1dc9","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P15","Pre-Pour Checklist"
"9fb3ea47-e77d-42f0-9838-477715c17b7f","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P15","Concrete Delivery Checklist"
"81f77357-3070-4de5-9032-938c3e045bf0","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P16"
"7e54694d-eced-4060-acd9-b7a432124455","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P16","Pre-Pour Checklist"
"f9992fec-f7e9-4002-bd53-90668409ba60","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P16","Concrete Delivery Checklist"
"b1513afe-b1ea-45fe-8d9d-99849249e950","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P17"
"ff914ff9-4e46-46b1-b36d-8fa7df868126","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P17","Pre-Pour Checklist"
"9737fe53-0eef-4f10-8982-5b947660ba05","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P17","Concrete Delivery Checklist"
"2935fb46-2876-4f22-b181-202fb01dfca9","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P18"
"c6a376b3-9d92-46a8-9290-90f3622160c7","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P18","Pre-Pour Checklist"
"cd809817-fa57-4b3e-8e3d-f5df6a8e8f8c","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P18","Concrete Delivery Checklist"
"874430f1-044e-41b1-b636-b866f1e0d4f6","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P19"
"3c5ff55a-909a-4dd4-9f9b-bfcab044363b","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P19","Pre-Pour Checklist"
"de74faff-4a6f-45e5-8b18-9ff420c7a0a8","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P19","Concrete Delivery Checklist"
"8a92352e-4c4f-484d-b0ad-d576c3568a3b","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P20"
"6c3fe252-c1ce-4d42-a1c0-af92e4077ad3","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P20","Pre-Pour Checklist"
"5d2a46db-22b7-4148-83a9-ef3b52d40687","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P20","Concrete Delivery Checklist"
"84ed922f-d09f-404d-a168-cf2a2302f7fc","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P21"
"52ee31d7-118c-4a36-9d8c-13c6762130c4","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P21","Pre-Pour Checklist"
"b58aaafe-33c6-46ff-80ba-3c819d71292c","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P21","Concrete Delivery Checklist"
"e075ffd1-687c-485c-aa58-501980a2450e","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P22"
"e47b1fd0-cb0d-41da-9bf7-dff573a4dd93","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P22","Pre-Pour Checklist"
"2419e687-93d3-4ad1-a83a-bf70779ec13d","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P22","Concrete Delivery Checklist"
"10e77a6a-5444-49a9-9b7b-76901ad8dac3","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P23"
"2a49db62-105a-4a7f-a988-2f3900746c4e","","checklist-sectioned","pass","Pre-Pour Checklist","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P23","Pre-Pour Checklist"
"befa5bce-dedb-4994-a1f4-50213137c55f","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P23","Concrete Delivery Checklist"
"b71ddaa3-feee-476b-a592-3071902d8bc7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Transport to Site"
"e9285000-79fc-4ea8-bec7-bcd8e62be658","","folder-normal","not-started","","step","TRUE","FALSE","Site Install "
"3dd853ee-8a1c-4698-a9a3-90da5a440417","","checklist-flat","not-started","Pre-Install Checklist (Set-out)","checklist-flat","FALSE","FALSE","Site Install ","Pre-Install Checklist (Set-out)"
"b95ee30c-ea61-4041-a438-aae0cd67633d","","checklist-flat","not-started","Onsite Install Checklist","checklist-flat","FALSE","FALSE","Site Install ","Onsite Install Checklist"
"64723e6e-cd3b-40bc-b33d-9e86fbbfe11e","","checklist-flat","not-started","Grouting/Patching Checklist","checklist-flat","FALSE","FALSE","Site Install ","Grouting/Patching Checklist"
"0d855009-bdf0-4a17-8f21-668815b3afea","","folder-normal","no-status-not-started","","step","TRUE","TRUE","Install Paper Work"
