"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8098532f-cb6f-485c-a62e-5a45da594cef","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"04577b1a-4b9b-4c7d-8bb3-5994b7b49b4f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing"
"5bba1af1-bc95-4b69-838b-00775aa19c91","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 18"
"fe9aebbf-c968-47b0-a6c3-b60a88b378f1","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 18","Rough-in"
"6936dc82-95da-4dde-9b92-0a3a27f9bd8f","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"5d218753-ef7e-4796-80b2-056553046c94","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Dishwasher"
"dfed23b1-b8b9-47e1-b219-298cb28eb78d","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Gas Appliance"
"fe8e1a7f-7a78-4d86-8ba8-71f7e542172f","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Laundry Trough & Tapware"
"b45fb99d-efa1-43f6-9b45-17b98314d8a7","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Washing Machine Stops"
"c870e1a1-e93f-41aa-bd02-e23b824654bc","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Toilet & Cistern"
"1636ff74-1310-449f-85a6-a552b93de37e","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Wash Basin & Tapware"
"2d8bc96e-74cc-4d09-af2d-9723adc3d6e0","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Shower & Tapware"
"4fe16dec-1943-4cfc-a61f-43826bf6d2e4","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Fit-off","FO Fit-off Hot Water Unit"
"23edf375-8c3d-4eeb-8928-07a481eb4489","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 19","Testing"
"6301fdc3-774a-4eb7-8047-8e1ef378138a","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Testing","TST Test Water Service Pipework"
"db87d0e0-c1bf-44fd-97b1-4b4c21df1923","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Testing","TST Test Gas Services Pipework"
"acf19b4e-9d00-4c95-8687-af89c38f6107","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 19","Commissioning"
"077b04af-fa08-4d77-bd8b-5a6b81d19ea0","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Commissioning","COM Commission Water Meter"
"beec62be-2d08-4f42-a7b3-b74866f5e06e","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Commissioning","COM Commission Hot Water Unit"
"f303711c-afbe-4ef8-99b0-827f416d5748","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Commissioning","COM Commission Gas Appliance"
"8851c9fe-bacf-4653-a681-c84f544c1491","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 19","Commissioning","COM Commissioning Final Handover"
"d3d38d4b-3c6c-4a6c-af9f-93d6f0340969","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 20"
"8dfbdf69-b842-4e69-bb35-07b6a5ace7d5","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 20","Rough-in"
"e0e8b96e-d995-4527-b4b0-35bcbd397032","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"702494c6-85a6-48c7-88ef-bee8089878be","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Rough-in","WG Install Water/Gas Rough-ins"
"55d23861-30be-4c8b-acbe-43215def02e6","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 20","Fit-off"
"2eeaa62e-dc4d-4db4-a7a0-e735a31514f3","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"662c1cc3-c312-4607-a1a7-e5e56530acac","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Dishwasher"
"bf1a61f6-39bc-4669-b4cf-915434b9e909","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Gas Appliance"
"48b05eb4-abed-4b06-b05a-fc0732d9e304","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Laundry Trough & Tapware"
"f646c28d-b63c-4a57-8947-55cb473a31d5","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Washing Machine Stops"
"8a425ea2-5285-4b5d-9be6-e0cc6d396792","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Toilet & Cistern"
"392ee9cb-ccf8-4219-9e64-85206ef1eee3","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Wash Basin & Tapware"
"f9d732bb-8c88-440a-a0a5-26fa8dfa3220","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Shower & Tapware"
"017e983e-0267-4fa3-a469-16f198fea827","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Fit-off","FO Fit-off Hot Water Unit"
"719cbe7f-0d41-48de-ad1d-e1fd9f4b48ed","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 20","Testing"
"95c37642-c399-4979-b32d-832b9f65eea1","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Testing","TST Test Water Service Pipework"
"a2784185-6bb8-477b-99da-f8c2b36d9fef","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Testing","TST Test Gas Services Pipework"
"11495d1c-8ea4-4995-9698-af038d19b948","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 20","Commissioning"
"c9ec9962-7386-426d-a2be-3b3e9510e9c1","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Commissioning","COM Commission Water Meter"
"546cf7e0-663b-4cee-ba47-d929b76ca3ca","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Commissioning","COM Commission Hot Water Unit"
"87afe16a-7a45-4399-8c32-81b49cbb78ee","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Commissioning","COM Commission Gas Appliance"
"f1388153-3fb1-4911-81cd-5ca3010379e6","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 20","Commissioning","COM Commissioning Final Handover"
"5e383baa-f32f-49f1-b724-59b3324adc02","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 21"
"42b746b7-5ef4-450c-a792-4456bf5366c8","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 21","Rough-in"
"3b765dd9-d9b6-4038-8427-db4983603ab4","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"dabe2855-7de4-4428-aa68-4b99c12b3a3b","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Rough-in","WG Install Water/Gas Rough-ins"
"a7a7bec2-0825-47ab-8e7d-1092b5508f06","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 21","Fit-off"
"326ccd06-da0f-4dd0-9ca4-b0024b62e295","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"ca78039e-5bb9-4cc8-b3f0-2e4f8bc85b50","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Dishwasher"
"1725a690-34b1-422d-9689-3d9711f9c49d","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Gas Appliance"
"ebf58814-765e-4d06-954f-9423a6fc30f5","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Laundry Trough & Tapware"
"355154f6-42cd-4dca-8b08-ef0de0d8acce","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Washing Machine Stops"
"574fb339-25df-4a90-a416-8926cec4a2db","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Toilet & Cistern"
"cdce4814-de6e-4aca-ab03-8ab37b836969","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Wash Basin & Tapware"
"0cff5ac9-8b77-481e-b26e-d7dbc4a6ef4a","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Shower & Tapware"
"b5182ce9-7ef9-4912-9e27-8e780ef7cf8d","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Fit-off","FO Fit-off Hot Water Unit"
"68a0c8af-7a7a-47bc-ae8d-65827d264020","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 21","Testing"
"c94fd70c-ffc1-4bee-b107-fb081b4d37a7","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Testing","TST Test Water Service Pipework"
"e05734ae-023b-4e50-9532-d7c4d40f0e0e","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Testing","TST Test Gas Services Pipework"
"96f79d1a-1837-439e-8e06-f131725a70ba","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 21","Commissioning"
"220d2644-129d-4ad6-8ee5-a603278a7239","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Commissioning","COM Commission Water Meter"
"eb8cbb75-b89b-4656-8565-d72169a4583f","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Commissioning","COM Commission Hot Water Unit"
"f3083c1c-fbcb-42bb-910e-ccff610a0fcf","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Commissioning","COM Commission Gas Appliance"
"c9adeba0-a685-41c9-bc84-a69dbca6eb50","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 21","Commissioning","COM Commissioning Final Handover"
"bd6b2ce2-9410-4113-9f04-d84ebe50583e","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 22"
"5f7b358d-fe19-4158-8b41-07768285fbd8","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 22","Rough-in"
"a128cdc3-2d36-4204-8494-85eb770fc993","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"84059e8a-75df-48a1-828c-e56df57af8b8","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Rough-in","WG Install Water/Gas Rough-ins"
"89ce5859-22cf-4ed7-98f5-2c2dae0bf8d7","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 22","Fit-off"
"07207b6a-21cc-4300-86b9-a3e1f3c84549","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"107980ab-cd20-4e25-8099-817f8be59dfe","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Dishwasher"
"e7eab5a9-5230-4797-a445-477dba007e72","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Gas Appliance"
"9b37164d-2fbb-41a3-8d51-218544a82f20","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Laundry Trough & Tapware"
"d43be380-dea2-4031-a08f-60e060dc68c7","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Washing Machine Stops"
"7902c50d-9d28-43c7-8d42-af5e36f77fe5","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Toilet & Cistern"
"d76cff72-d6f4-420b-9471-0a5c0b06b048","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Wash Basin & Tapware"
"118021a3-1dbd-4eff-b0fa-e4556dd0b9d4","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Shower & Tapware"
"d8ed8905-a0ca-432c-beb1-619fbf316e5e","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Fit-off","FO Fit-off Hot Water Unit"
"e4d1f336-362f-446d-ab02-c6914ced020f","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 22","Testing"
"32ec30c6-c369-4bcc-8b69-9b69419bf373","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Testing","TST Test Water Service Pipework"
"d374dee6-c449-4ef7-8b64-847c2b0c2c8f","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Testing","TST Test Gas Services Pipework"
"0ff77ca9-1db2-4466-83f1-135e426a19a6","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 22","Commissioning"
"e5bab4bb-d3ac-4f94-8680-1ee7d9017f1d","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Commissioning","COM Commission Water Meter"
"28a21f33-2156-4558-b3ab-5bc0da371c72","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Commissioning","COM Commission Hot Water Unit"
"8b8f778f-1935-4d8e-b559-9345647b0c5b","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Commissioning","COM Commission Gas Appliance"
"493095d3-d709-495a-aeef-62dcc166451d","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 22","Commissioning","COM Commissioning Final Handover"
"50543cb2-bcc0-4f12-a425-991e53f1d1bd","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 23"
"0ec446f6-3c27-4bbb-a455-be08f34c4d74","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 23","Rough-in"
"c98eab38-5674-4fef-8456-96d35da8850f","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"ff8ddca4-9009-472e-bb45-1f470ff02c2b","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Rough-in","WG Install Water/Gas Rough-ins"
"2dfa4f27-f226-4440-a0e5-5b29122e06b4","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 23","Fit-off"
"f37f8fa8-5872-47b5-a838-8a874b355a7b","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"9ace5aec-e424-4303-929f-eb7ee61f6328","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Dishwasher"
"4a7bdc99-bf84-4225-8b64-b7816d0f0436","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Gas Appliance"
"56b7a04d-ce34-4a10-928f-bf7e00066799","","not-started","FO Fit-off Laundry Trough & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Laundry Trough & Tapware"
"9fb4936c-4cc6-4777-80ba-8309040c79cb","","not-started","FO Fit-off Washing Machine Stops","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Washing Machine Stops"
"ab5ab3eb-1fbc-40ca-8bd5-225162f39036","","not-started","FO Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Toilet & Cistern"
"91189089-1680-4553-a588-542163cf399d","","not-started","FO Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Wash Basin & Tapware"
"908ca946-8a95-44bd-a1f4-d9bb44bd6569","","not-started","FO Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Shower & Tapware"
"6d5692e3-2db0-45f6-b97e-6cdef8e02ee7","","not-started","FO Fit-off Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Fit-off","FO Fit-off Hot Water Unit"
"0eebd28c-a769-4ff5-8da1-b3b1a4014e95","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 23","Testing"
"24c1d610-f685-482a-8a7b-89621aee1879","","pass","TST Test Water Service Pipework","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Testing","TST Test Water Service Pipework"
"5a328029-8c70-446e-991d-990e61be3bad","","pass","7d0653fc4b8929b302518ce9b682fd4fece2dfb6673a6f401af911ab4e82c7be","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Testing","TST Test Gas Services Pipework"
"65468d9d-b632-4f50-bc80-cf7448363c2f","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 23","Commissioning"
"640e1366-42b6-460f-bb75-b6906efb65b4","","not-started","COM Commission Water Meter","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Commissioning","COM Commission Water Meter"
"9e62bf87-9e7f-49d6-aff9-be5489b74987","","not-started","COM Commission Hot Water Unit","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Commissioning","COM Commission Hot Water Unit"
"f0f0b08c-fe9e-41c3-a9a9-08d6ef4e117e","","not-started","COM Commission Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Commissioning","COM Commission Gas Appliance"
"504d7f54-ee01-458a-a53f-9e405a93806e","","not-started","COM Commissioning Final Handover","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 23","Commissioning","COM Commissioning Final Handover"
"6488c473-5141-450a-aa67-776b212aa119","","work-in-progress","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 24"
"516b7d0d-4170-428b-8300-78c0f1a26f72","","pass","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 24","Rough-in"
"fa88d54f-d4ec-434d-8853-d6b6723e479f","","pass","SD Install Sewer Stacks, Wastes & Vents","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Rough-in","SD Install Sewer Stacks, Wastes & Vents"
"fc820d2f-db89-43b4-8b9e-57ff542f1cb9","","pass","WG Install Water/Gas Rough-ins","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Rough-in","WG Install Water/Gas Rough-ins"
"018bc546-8dbf-4e8a-80f3-66ccea9267ea","","not-started","","folder","TRUE","FALSE","Site QA","Plumbing","Lot 24","Fit-off"
"ab125f1d-b652-4644-bbc5-23b339d0bb65","","not-started","FO Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Kitchen Sink & Tapware"
"c2c503cc-6743-49d6-bd1f-9ba0b1692896","","not-started","FO Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Dishwasher"
"cdc2a7ce-81a1-4100-a8f0-191282cdc79f","","not-started","FO Fit-off Gas Appliance","checklist","FALSE","FALSE","Site QA","Plumbing","Lot 24","Fit-off","FO Fit-off Gas Appliance"
