"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2c88abe4-5e69-446b-85bf-f805bf27f7e6","","folder-normal","pass","","step","TRUE","FALSE","Forest Glen Stage 1 "
"ee6ad9f1-723e-43ab-b06f-68097c4e1ef7","","checklist-flat","no-status-started","93bd1be2dc3f7d66098628adff5b0a88d6a562baf6b97b6716aee51438f745bf","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Job Details"
"37638fda-86cf-473f-9bed-9409adeed905","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Forest Glen Stage 1 ","Job Details","Site Info"
"ca111cc6-3ee9-4628-976b-07b9e31c660e","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Forest Glen Stage 1 ","Job Details","Latest Drawings"
"40977118-594f-4fe3-97f7-54f847f5aa90","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Forest Glen Stage 1 ","Job Details","Scope of Works Attached"
"21f60bfc-0d33-4ac9-8881-43cc1ae40b4d","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Forest Glen Stage 1 ","Job Details","Additional Pre Start Docs"
"f3fd13f2-7a41-436a-ab8a-faeaf42951e6","","folder-normal","pass","","step","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety"
"4c12fc47-922e-477b-b1d6-350110475d3d","","checklist-flat","no-status-started","df00e11d689b0cd5fdda29373d1dc053d0812dccb7e91a591d365a6a64c0011e","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Prestart H&S Documents"
"3f8f5243-fa5f-4f43-998c-335856ccc861","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Prestart H&S Documents","All  Pre-start H&S Documentation Completed, Reviewed & Attached"
"1e095b21-9591-429d-9c2a-55c72d345cc0","","holdpoint","no-status-started","","","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Prestart H&S Documents","Request Main Contractor Approval"
"f45c08ce-791e-4931-b739-de639b39ce0b","","folder-normal","pass","","step","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S"
"c5e5ea0d-5364-4fa0-945b-81dac9678dc3","","folder-normal","pass","","step","TRUE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July"
"92721a91-a7f5-5954-9aad-dc20d4671264","","checklist-flat","pass","SYS - Toolbox Talk - (old version)","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk - 12/07/2021"
"dfe7dd01-90a1-5034-a580-246e1232b357","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -13/07/2021","Meeting Details / Attendees"
"1c2f6476-d86b-5678-ba5d-8823d55a5ad0","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -13/07/2021","Site Activities Listed - any corrective actions discussed, actioned, reviewed and closed out"
"fe8e730e-ef66-5af8-91be-358c6e1974f5","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -13/07/2021","Near Misses / Incidents to report - any corrective actions discussed, actioned, reviewed and closed out"
"f4682eff-cdfe-50a2-b6a8-916fc997dd96","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -13/07/2021","Employee issues raised and resolved within specified timeframe (Pass once issues have been resolved)"
"fc9ed510-389b-5569-946a-566ec01ca1b2","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -13/07/2021","Safe Observations reviewed / discussed"
"c15051b9-5311-5c12-b251-658061cf4cb2","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -13/07/2021","Task Analysis/Job Safety Analysis (JSA) completed/reviewed"
"75abbd1f-d429-544f-8b59-6abd1cd7a429","","holdpoint","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -13/07/2021","Request Signoff"
"4af30ff2-dc9b-5d4b-9f3b-a8ff87ac30ec","","checklist-flat","pass","SYS - Toolbox Talk - (old version)","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -14/07/2021"
"fade667b-a953-5eae-bce9-bd7e9e55e677","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -14/07/2021","Toolbox Talk Details"
"fc52038d-af50-5328-bea0-8e8118b3bcdd","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -14/07/2021","Meeting Details / Attendees"
"6e426ea2-f20f-5ef6-98cd-71014b0b46f6","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -14/07/2021","Site Activities Listed - any corrective actions discussed, actioned, reviewed and closed out"
"7d48758c-c920-508c-a0ad-b6ec663d7cfb","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -14/07/2021","Near Misses / Incidents to report - any corrective actions discussed, actioned, reviewed and closed out"
"f86c1ac1-9dbc-5a57-98c8-bc2a3584a800","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -14/07/2021","Employee issues raised and resolved within specified timeframe (Pass once issues have been resolved)"
"c6e5ed96-deae-56b6-8f57-a646b793bbfd","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -14/07/2021","Safe Observations reviewed / discussed"
"09e2a198-2eab-5a19-bd31-6786c05e141d","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -14/07/2021","Task Analysis/Job Safety Analysis (JSA) completed/reviewed"
"b9fe69ff-3f96-5a99-aed3-583cd94d70a2","","holdpoint","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -14/07/2021","Request Signoff"
"9d0a281b-09e3-50c8-89e3-d80a56eb16b8","","checklist-flat","pass","SYS - Toolbox Talk - (old version)","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -19/07/2021"
"a8326fe9-0d42-5133-9086-dd5c39991225","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -19/07/2021","Toolbox Talk Details"
"5eb2a1c7-038d-55de-92c1-5639871589b4","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -19/07/2021","Meeting Details / Attendees"
"20e656c8-7d0f-553a-9682-ffc38dc22e63","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -19/07/2021","Site Activities Listed - any corrective actions discussed, actioned, reviewed and closed out"
"39c6b9b2-5cb3-56ee-841d-81a6b40a849e","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -19/07/2021","Near Misses / Incidents to report - any corrective actions discussed, actioned, reviewed and closed out"
"4c03df4f-f209-5e00-ae0f-98bffb29150c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -19/07/2021","Employee issues raised and resolved within specified timeframe (Pass once issues have been resolved)"
"7f00b12f-9f58-5bc2-8041-b89ffb311892","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -19/07/2021","Safe Observations reviewed / discussed"
"7b835eae-8e6c-5a62-b8e8-2bb66ca2cc16","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -19/07/2021","Task Analysis/Job Safety Analysis (JSA) completed/reviewed"
"8a1c7103-f93c-562f-934f-6f708e5efee9","","holdpoint","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -19/07/2021","Request Signoff"
"14f921c4-d613-53c5-9094-425d585e33d1","","checklist-flat","pass","SYS - Toolbox Talk - (old version)","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -30.07.2021"
"aacae1dc-516a-506f-ad6c-43aafcf0b5aa","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -30.07.2021","Toolbox Talk Details"
"f3affb16-da20-5096-b1c6-7d61a738fed7","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -30.07.2021","Meeting Details / Attendees"
"55c6b812-8105-54ea-b076-558cdaa75ea8","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -30.07.2021","Site Activities Listed - any corrective actions discussed, actioned, reviewed and closed out"
"9d81ad24-4f06-5d4f-80b2-0ab1b12dda0a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -30.07.2021","Near Misses / Incidents to report - any corrective actions discussed, actioned, reviewed and closed out"
"52cc36a9-a419-57d7-ab75-0eeecd5311a4","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -30.07.2021","Employee issues raised and resolved within specified timeframe (Pass once issues have been resolved)"
"d106751c-3f5f-554d-8df6-bca149ac7e9c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -30.07.2021","Safe Observations reviewed / discussed"
"126aed98-5e6a-5916-998e-1a1d573f9d31","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -30.07.2021","Task Analysis/Job Safety Analysis (JSA) completed/reviewed"
"59cf3604-ae4d-564c-a0b7-6cb35d228c92","","holdpoint","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","July","Toolbox Talk -30.07.2021","Request Signoff"
"ef2fe110-93ee-4b37-9eee-d5bc034a1ec1","","folder-normal","pass","","step","TRUE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug"
"4663c17c-4bb1-58d5-aad7-d073e5f99fa2","","checklist-flat","pass","SYS - Toolbox Talk - (old version)","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -02.08.2021"
"2339fbed-da5d-563d-9aac-6ab11de7d897","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -02.08.2021","Toolbox Talk Details"
"5af7dae1-96b4-5fed-af43-e50a323bff5b","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -02.08.2021","Meeting Details / Attendees"
"e5b6316b-6af9-5ca8-9d51-1aec54a43cd1","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -02.08.2021","Site Activities Listed - any corrective actions discussed, actioned, reviewed and closed out"
"5405e452-e56c-5fa9-8296-127e8e15e5ce","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -02.08.2021","Near Misses / Incidents to report - any corrective actions discussed, actioned, reviewed and closed out"
"a9144f94-5584-5c41-93cc-5afa4ee8728d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -02.08.2021","Employee issues raised and resolved within specified timeframe (Pass once issues have been resolved)"
"f678050a-4f7f-5973-98c6-b5ef9b1ae7a8","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -02.08.2021","Safe Observations reviewed / discussed"
"55f1117c-bb88-590d-a996-96a6dd5f506a","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -02.08.2021","Task Analysis/Job Safety Analysis (JSA) completed/reviewed"
"1f8e3395-2bdf-5d99-bbba-bbd6d8aebe1c","","holdpoint","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -02.08.2021","Request Signoff"
"f5ed6352-837a-50f6-b2e1-6f720044e44a","","checklist-flat","pass","SYS - Toolbox Talk - (old version)","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -03.08.2021"
"e3a2f212-91c7-5de0-baf3-bce317efb3da","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -03.08.2021","Toolbox Talk Details"
"31752ab2-d997-5274-bc6e-52057ce495e2","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -03.08.2021","Meeting Details / Attendees"
"68cd763b-632f-5d7c-a96b-ef767ee21b8f","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -03.08.2021","Site Activities Listed - any corrective actions discussed, actioned, reviewed and closed out"
"9039e27d-6265-5c5c-b87b-875804b5e5d0","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -03.08.2021","Near Misses / Incidents to report - any corrective actions discussed, actioned, reviewed and closed out"
"d8d7fe47-8ed3-5d14-9098-851f2c7fe101","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -03.08.2021","Employee issues raised and resolved within specified timeframe (Pass once issues have been resolved)"
"5e37f669-c01a-50d0-bf2a-9a3dd717cdfb","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -03.08.2021","Safe Observations reviewed / discussed"
"a20cc760-1ad0-5e38-ade2-d3c3080da824","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -03.08.2021","Task Analysis/Job Safety Analysis (JSA) completed/reviewed"
"bdf12191-2ef5-5206-b6cc-29cda11565b5","","holdpoint","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -03.08.2021","Request Signoff"
"4e0d1080-c880-5882-9b09-3f8705397456","","checklist-flat","pass","SYS - Toolbox Talk - (old version)","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -04.08.2021"
"1de4a190-0839-581b-9066-331df57952be","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -04.08.2021","Toolbox Talk Details"
"8db4a140-8166-5655-9ea0-74ebfc6ef0ac","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -04.08.2021","Meeting Details / Attendees"
"01a894a2-9a06-512f-b32a-13c0fbef8d0e","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -04.08.2021","Site Activities Listed - any corrective actions discussed, actioned, reviewed and closed out"
"273fdec1-8568-5d85-93f9-77c8e489ce9d","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -04.08.2021","Near Misses / Incidents to report - any corrective actions discussed, actioned, reviewed and closed out"
"ea65aec1-e03e-59c5-8c56-51ada64d1493","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -04.08.2021","Employee issues raised and resolved within specified timeframe (Pass once issues have been resolved)"
"be8f3744-9a86-57a0-bd3c-dcf8ee133e8a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -04.08.2021","Safe Observations reviewed / discussed"
"10d9d2b2-93ad-5ef8-a53f-3850974bcaf3","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -04.08.2021","Task Analysis/Job Safety Analysis (JSA) completed/reviewed"
"83aa4e90-500e-5350-9d0f-34c173dd5180","","holdpoint","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -04.08.2021","Request Signoff"
"9ba959af-f026-4267-a30a-617921899961","","checklist-flat","pass","SYS - Toolbox Talk - (old version)","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -11.08.2021"
"fa6d1569-7701-50d9-be41-f3326ca65352","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -11.08.2021","Toolbox Talk Details"
"44a3be40-315a-5628-883e-e855e81d44f2","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -11.08.2021","Meeting Details / Attendees"
"f22bacf4-24b9-585b-8483-b8e6e1c48ba8","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -11.08.2021","Site Activities Listed - any corrective actions discussed, actioned, reviewed and closed out"
"8d873536-4437-56c7-8561-09983661db99","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -11.08.2021","Near Misses / Incidents to report - any corrective actions discussed, actioned, reviewed and closed out"
"329c7be4-44d2-5d82-bd7e-0b181d65d4a3","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -11.08.2021","Employee issues raised and resolved within specified timeframe (Pass once issues have been resolved)"
"2efacfbd-f1d2-5ad2-9ab4-ebd35d64a76a","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -11.08.2021","Safe Observations reviewed / discussed"
"d67a8904-8f68-5c9d-a2bb-71e3b3dbeaa1","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -11.08.2021","Task Analysis/Job Safety Analysis (JSA) completed/reviewed"
"1c726256-51c9-5e04-8e2f-7c525ec17afe","","holdpoint","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk -11.08.2021","Request Signoff"
"6fad2cb6-a8f4-4b6c-9650-2ea965222ebd","","checklist-flat","pass","SYS - Toolbox Talk - (old version)","checklist-flat","FALSE","FALSE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk - 16.08.2021"
"19e739b1-7dc0-5a72-b4d2-4add4c1f4232","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk - 16.08.2021","Toolbox Talk Details"
"7559b719-4db6-5689-ad44-f2fc98b78f0a","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk - 16.08.2021","Meeting Details / Attendees"
"2a67929b-de2e-56e6-8e0f-5bdfd667028a","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk - 16.08.2021","Site Activities Listed - any corrective actions discussed, actioned, reviewed and closed out"
"3800e1de-831a-5668-ad5c-1c9f6c3a6318","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk - 16.08.2021","Near Misses / Incidents to report - any corrective actions discussed, actioned, reviewed and closed out"
"7b74ceea-1997-5f85-95f4-b7ce041779f2","","checkpoint-status","not-applicable","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk - 16.08.2021","Employee issues raised and resolved within specified timeframe (Pass once issues have been resolved)"
"3c1f0bfa-0449-5fd0-b80e-73cf4a093580","","checkpoint-status","pass","","","TRUE","TRUE","Forest Glen Stage 1 ","Health & Safety","Daily/Weekly H&S","Aug","Toolbox Talk - 16.08.2021","Safe Observations reviewed / discussed"
