Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,
checkpoint-status,,,checkpoint,"Grades, fittings & joints installed to standards",,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Fixings & seismic support to standards,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Expansion joints per floor installed correctly & clipped,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pipe risers sealed per floor & capped off to prevent damage,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Correct invert level (As per Standards),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Vents and AAV installed (As per Standards),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Acoustic lagging installed to acoustic specification,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pipework water tested to 15Kpa,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Identifications of services,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,e101fc39-e2df-57dc-ba78-13b0627bc7d3,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,b7d7749f-dff4-5731-9568-de08012a748e,,tickbox,Area clean,,,,,,,,,,,,,
checkpoint-group,,,section,Stormwater AG,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Setout & alignment as per drawing (include revision below),,,,,,,,,,,,,
text,731c34a3-433b-5d6e-9e0e-eacdba234e7d,,textbox,Drawing & revision number(s),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Grades (as per AS:3500),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Location (as per hydraulic drawing),,,,,,,,,,,,,
text,182d568a-531b-5324-9c27-38eb42b6ef9c,,textbox,Location,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Fixings - Securely fixed (As per Standards),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Fittings Joints ETC (as per AS 3500),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Inspection prior to closure,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Operation of pumps (Commissioning report) if Applicable,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Test water and discharge requirements are met,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Correct invert level AS per AS 3500,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,9744e09c-39de-5a84-965f-c82542d952f0,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,d22d4cc5-aca1-5312-9ca8-70e30408a433,,tickbox,Area clean,,,,,,,,,,,,,
checkpoint-group,,,section,Rough In,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Setout & alignment as per drawing (include revision below),,,,,,,,,,,,,
text,158b76e3-be91-5355-a271-0090670d56aa,,textbox,Drawing & revision number(s),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Material type (as per sample submission),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pipework installation checked against standards (as per AS 3500.1),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Welding / pressfit / push fit / witness marks (as per AS 3500.1),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Support & fixings checked (acoustic / seismic / water hammer/ silicone),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Check for no cross connection,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Heights double checked before room sign off as per sample submission,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pipe risers water sealed per floor and capped off to prevent damage,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Correct sewer ventilation,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pressure test water lines to (1500kpa),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Identification of services,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,63f584c4-8979-5870-ab9b-e43d94b38c87,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,316ad6c9-7a3f-5e27-a836-f32b1c15abfa,,tickbox,Area clean,,,,,,,,,,,,,
checkpoint-group,,,section,Rainwater,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Setout & alignment as per drawing (include revision below),,,,,,,,,,,,,
text,39bcf99b-c78d-52af-8afa-4bb7486f2bcc,,textbox,Drawing & revision number(s),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Material type as per approved sample submission,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Pipework fittings, bends, joints etc (as per AS 3500.1 section 2.6)",,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Welding / pressfit / push fit (as per AS 3500.1),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Support & fixings (acoustic / seismic / water hammer),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pipework Installation (as per AS 3500.1),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Check no cross connection,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pressure test (1500kpa pressure test),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Identifications of services,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,77f9838d-58b2-57b6-bc60-9aad782ae6e4,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,645c65ef-478d-566b-b14d-6582608fcd2f,,tickbox,Area clean,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
checklist-sectioned,,,checklist,Fix 2 Checklist,,,,67,Yes,Fix 2 checklist,0ebba58020d3fff0501b092f06e9581fd6ebf9ab56ba2bf4ebc69b3d66a4c94b,,,,,,
checkpoint-group,,,section,Fixtures,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Correct product (samples provided),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Check products for imperfections,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Location & fixings (as per drawings & manufacturer guidelines),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Silicone seals are acceptable standard (as applicable),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Operation of all fixtures, taps & points of demand",,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final fit off inspection on all items,,,,,,,,,,,,,
text,46d9f226-f5af-5ddd-8010-253a4c69a164,,textbox,Inspection date,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Items protected until commissioning (Attach photos below),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,69810024-33d2-5272-aae3-f313c17231cb,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,df7ff3fe-0757-5f6d-be88-bab6d62f7c2a,,tickbox,Area clean,,,,,,,,,,,,,
checkpoint-group,,,section,Commissioning,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Check products for imperfections,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Fixtures location & fixings all correct (as per drawings & samples),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Clean out all strainers / aerators,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Check for no cross connections / leaks / access to isolation valves,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Floor wastes (clear of debris & draining correctly),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Quality of silicone seals to fixtures acceptable,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Hot water tempering valve set to 50c (+/- 5c) & DDA thermostatic mixing valve set to 42 degrees.,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Water pressure acceptable 350Kpa to 500 Kpa,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,6044ab76-416f-5ca3-8755-f45c75921fe0,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,c09a24d8-f6a7-5b98-b7eb-b202c261c4a4,,tickbox,Area clean,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
checklist-flat,,,checklist,CCTV Checksheet,,,,69,Yes,CCTV Checksheet,0adc0c2328f54b10035b69502d0272dd2d45c53b5f108bdf86d3a8abcb645b3f,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,CCTV Completed & Attached,,,,,,,,,,,,,
button,9b71e5b7-6bf9-5b62-bb73-b0f95b3a1904,,button,"Drains clear, free of obstructions & in acceptable condition","Yes, No",,,,,,,,,,,,
text,08ae1480-199c-5ac4-9db1-910c1effe443,,textbox,If No the above explain why,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Final sign off - CCTV completed, Pass when satisfied to proceed (Any issues please comment & Add photos below)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
checklist-flat,,,checklist,Storage Tanks,,,,1,Yes,Storage Tanks,b95b28fc9cb4c3c2f46b9be848abe8fff2e441c8d520668f0b79815bd2e47768,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Latest specifications and standards,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Setout & alignment as per latest available drawing (include revision below),,,,,,,,,,,,,
text,2dac603a-a8ed-576a-b281-bffaee43666a,,textbox,Drawing & revision number(s),,,,,,,,,,,,,
text,b4c9e30c-4bd0-5eca-9c09-d0a8a1f0a95a,,textbox,Correct approved materials as per sample register,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Manufacturer's quality,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Connections and valves properly installed and tested for leaks,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Access equipment installed as per AS1657,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Level sensor installed and working correctly,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,c71fbcd0-7542-5a12-b54b-5fdad61dab24,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,ba6ac862-5c91-5caa-a031-4d9f1dac0c02,,tickbox,Area clean,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
checklist-flat,,,checklist,Gas,,,,16,Yes,Gas,0b141416b68fc1e69249e38b234fcd775c9025e756248668dcfbeff7f546ef88,,,,,,
checkpoint-status,,,checkpoint,Employee trained for task and reviewed installation instructions (product QR code / manufacturer's website / instruction manual),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Setout & alignment as per drawing (include revision below),,,,,,,,,,,,,
text,7cbb92cf-204f-5a14-bce1-f8a80d91234f,,textbox,Drawing & revision number(s),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Material type as per approved sample submission,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Welding, press fittings, witness marks visually checked",,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Supports & fixings to ESV and WPD standards,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pipework installations to ESV standards,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,"Penetrations, fire protection, wall sealant installed to the BCA requirements",,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Witness marks / labels / tiger tape / kpa signage,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Pressure test (as per AS/NZS 5601.1),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Test appliances (as per AS/NZS 5601.1),,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Final sign off - Pass when satisfied to proceed (Any issues please comment & Add photos below),,,,,,,,,,,,,
label,b0ef75ce-c8cb-55a3-8bb8-8edf2de4dc76,,note,Passing above includes Builder sign-off,,,,,,,,,,,,,
boolean,db3b3603-b255-5b48-b35b-104e67c3aa88,,tickbox,Area clean,,,,,,,,,,,,,
