"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"09d4cd0c-6ca6-4820-873a-9696a88fa175","","folder-normal","work-in-progress","","step","FALSE","FALSE","Project QA"
"fcbe85ba-d898-4d27-b258-8f1403c64eaa","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Roofing & Cladding"
"1f5e1ac6-71f8-4e06-8cb8-41a0d35002c8","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof"
"44c7b785-d428-4726-ab04-a558e38df940","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Install perimeter edge protection"
"3eb53efe-bda4-5db6-9f7d-3f39db19c303","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Apply Aquron 2000","SubCon QA /Consultant Inspection."
"33c599ca-c049-5a8a-965f-c5c3635012f4","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Apply Aquron 2000","Commissioning"
"c9e188de-c945-4e7a-8761-7039e7819c1b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Apply Aquron 2000","SBC QA"
"745ea67d-6986-46ce-ae71-e6aed57a3de8","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Concrete Cure & Propping Removal"
"835c6a3c-d9f6-5bcf-8348-fb68a248c47a","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Concrete Cure & Propping Removal","Installation Completed"
"2043c5b6-0cac-5296-9eed-0054fcf51b7d","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Concrete Cure & Propping Removal","SubCon QA /Consultant Inspection."
"402fce94-9e48-5337-8039-3d1e29e80d08","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Concrete Cure & Propping Removal","Commissioning"
"6ff18574-7ef3-47a8-99cf-ebf90e392226","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Concrete Cure & Propping Removal","SBC QA"
"206de77b-f06e-4d8c-b022-d05a0289c2c1","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Undertake Coring for Radiator & Gen Penetrations"
"2c43cf71-8a82-50d3-b293-57b819397008","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Undertake Coring for Radiator & Gen Penetrations","Installation Completed"
"c7a0d429-6b30-506f-9c5f-5d3ffc8e1315","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Undertake Coring for Radiator & Gen Penetrations","SubCon QA /Consultant Inspection."
"71c93089-ee83-5654-8029-dc7b14ff0084","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Undertake Coring for Radiator & Gen Penetrations","Commissioning"
"a4f4bb6f-c01c-4918-887b-c0b6d488f3a5","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Undertake Coring for Radiator & Gen Penetrations","SBC QA"
"21b2ef86-c5d8-4711-8b97-822d570d5681","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Box and Pour Upstands"
"5feb45a3-d2b1-588c-9ad0-73b386e0c717","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Box and Pour Upstands","Installation Completed"
"3df1bc22-6a05-59f8-a000-b2fce37e355c","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Box and Pour Upstands","SubCon QA /Consultant Inspection."
"562ea6a1-3d85-5af2-8408-e713ef204a6a","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Box and Pour Upstands","Commissioning"
"d9bf0591-ac49-46d3-beb8-b523fad32e62","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Box and Pour Upstands","SBC QA"
"57e3efc3-0ac9-4795-8454-f5d5996e7c9d","","checklist-flat","work-in-progress","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Strip Formwork"
"d316f76f-14ca-5259-8f30-1ece45ee09d9","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Strip Formwork","Installation Completed"
"c83f4553-6a8c-546a-a7f5-a76aa65e9c35","","checkpoint-status","not-applicable","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Strip Formwork","SubCon QA /Consultant Inspection."
"81265c0c-6f60-501b-b090-4e154783f99f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Strip Formwork","Commissioning"
"be52ddf5-1d15-4779-8b57-1e65a101c7c8","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Strip Formwork","SBC QA"
"afc05279-f519-45b7-af0f-dee868237585","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Roof Logic Vapour Control"
"f0403aa0-626e-5aa1-98e2-523e8987d8c1","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Roof Logic Vapour Control","Installation Completed"
"fc658daa-7e6a-510c-904a-f01ee84df6d1","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Roof Logic Vapour Control","SubCon QA /Consultant Inspection."
"ed765d5b-9c0c-551b-91b1-a94264c72b16","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Roof Logic Vapour Control","Commissioning"
"f7428eda-c3f6-532d-a016-2a4f9525dac7","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Roof Logic Vapour Control","SBC QA"
"e5b2be7c-a597-4861-ac75-58f459ff47b5","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Timber Edge for Facia Angle"
"c3796db8-83b8-504d-ac32-1332596d3f11","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Timber Edge for Facia Angle","Installation Completed"
"cc88adb8-34e0-5dcf-a34d-4270baa82512","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Timber Edge for Facia Angle","SubCon QA /Consultant Inspection."
"97fb0c99-f915-52a8-a9b8-bc2343722075","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Timber Edge for Facia Angle","Commissioning"
"5f2ee406-c85b-54ec-a136-25fa2dd11760","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Timber Edge for Facia Angle","SBC QA"
"59b7e39c-4692-4907-beb6-136bf63c616e","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Timber Support for Monkey Toe Walkway"
"97a57872-01b4-5675-a489-a41d1fdfcd19","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Timber Support for Monkey Toe Walkway","Installation Completed"
"48f10ff8-043c-50ef-8240-bde1c8450c93","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Timber Support for Monkey Toe Walkway","SubCon QA /Consultant Inspection."
"c2556cd3-0008-51f6-912d-61ec4d97dd46","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Timber Support for Monkey Toe Walkway","Commissioning"
"83331b0e-b274-5eaf-87f7-33a53b492a0a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Timber Support for Monkey Toe Walkway","SBC QA"
"5fe6bd11-ca97-44c7-ac18-e32a0e9b4035","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Exterior door Timber Support"
"c15ef5a7-8162-5441-9649-6514018f48f0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Exterior door Timber Support","Installation Completed"
"d266c96b-35c6-5d7a-80f9-3b46b558c60c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Exterior door Timber Support","SubCon QA /Consultant Inspection."
"496b7f06-d790-57cc-88f5-5bc5377e85d7","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Exterior door Timber Support","Commissioning"
"1aafcbf8-1f97-5388-9cf4-9740d243cca6","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Exterior door Timber Support","SBC QA"
"0314b880-c407-433b-9efd-b998a75edaed","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","PIR Board & HDP Board Roof Install"
"9c71df35-3a13-5bf7-926a-8fca2e727395","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","PIR Board & HDP Board Roof Install","Installation Completed"
"36424229-e99e-59bb-9709-e1ad786aaff5","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","PIR Board & HDP Board Roof Install","SubCon QA /Consultant Inspection."
"66c0bfc5-863c-5568-b202-8d2a7b42379e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","PIR Board & HDP Board Roof Install","Commissioning"
"161b0a98-46b5-574f-ade3-e87d2b5e0ca8","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","PIR Board & HDP Board Roof Install","SBC QA"
"a1b231ad-adcd-4e83-9796-32dd0fb87061","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Fibretite Membrane Install"
"697029fa-a9ca-5a2f-a333-57e2f4a4061f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Fibretite Membrane Install","Installation Completed"
"772794bd-4c90-5129-a40d-c2d819ea61bf","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Fibretite Membrane Install","SubCon QA /Consultant Inspection."
"149ecb3c-ac7b-5d3a-95f9-d5b252df7177","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Fibretite Membrane Install","Commissioning"
"7452962c-2c3d-5aef-851b-ec0320d1be5f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Fibretite Membrane Install","SBC QA"
"aa6baa7a-5510-4b89-adf1-a5be4d13e820","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Glav Angle Gutter Support Install"
"e07f7dae-20e6-5284-b944-a3ec9838f236","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Glav Angle Gutter Support Install","Installation Completed"
"9bc6a734-3f43-5157-964b-4968defd047a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Glav Angle Gutter Support Install","SubCon QA /Consultant Inspection."
"e838daf5-4cdc-50ff-85e5-9059e7f15bad","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Glav Angle Gutter Support Install","Commissioning"
"350f5d92-ccfd-51ca-b33b-442d384727f5","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Glav Angle Gutter Support Install","SBC QA"
"65892d31-0266-4206-9ef4-fb6487b07d50","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Ali Facia Install"
"37e55765-2e95-5e6f-ae5b-52ff9b74d060","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Ali Facia Install","Installation Completed"
"51cee613-8429-5055-8352-09dddb78d816","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Ali Facia Install","SubCon QA /Consultant Inspection."
"114649e1-45fc-57c1-9de7-1cafee2bb529","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Ali Facia Install","Commissioning"
"33495485-e3df-599d-9dbb-693d3f6d0488","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Ali Facia Install","SBC QA"
"c50b25eb-3f8d-438a-9f3a-ed762fb79ee8","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Gutter Install GL i"
"8615e118-0722-5ca9-a3ab-11b11b97f532","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Gutter Install GL i","Installation Completed"
"18c5c83f-873b-5454-a80f-cc840a43d618","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Gutter Install GL i","SubCon QA /Consultant Inspection."
"b7262689-9b48-54c5-8ef9-4464ddaf5569","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Gutter Install GL i","Commissioning"
"a6d75d00-3432-5028-a8fe-69fff7585d81","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Gutter Install GL i","SBC QA"
"90bd8526-9f73-4f66-9a9d-a5264fab2c4d","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Drip Angle Install"
"fbb6df26-611b-54ca-911d-e6fbc7d95c1b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Drip Angle Install","Installation Completed"
"5fb3c922-3702-50ab-a863-ed0258d7f05d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Drip Angle Install","SubCon QA /Consultant Inspection."
"59efc535-2a52-5563-a819-6faa47122b8e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Drip Angle Install","Commissioning"
"be466c85-2ab8-540e-95fd-f71fe564050a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Drip Angle Install","SBC QA"
"7421c3a7-5e6c-463a-98be-09db7195a822","","checklist-flat","not-started","30763d4ab14cd46e050774c307c81c98f80248031dff01d4a746609e0c320f34","checklist-flat","FALSE","FALSE","Project QA","Roofing & Cladding","Zone 1 Lower Level - Roof","Final HDP Board"
