"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7ca4e09d-df4f-4dfd-8cb6-0270bcf54cf4","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"d99a27a3-60c0-4b76-a6f3-54ba6f49e816","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"0601fdb7-6626-45d1-826d-4a466b605c1c","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"03e2201a-c4c0-4a91-bd1f-56d863b3ba05","","checklist-sectioned","pass","d445abf1a31c2db1731abc4e69e7a97b58c2708cdb80c557fdb618a745b730f8","checklist","FALSE","FALSE"," Precast Manufacture","weld plate details"
"4f3fc38f-52cc-4285-8150-acf3006b85cb","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","Weld plate details"
"bef143a1-453e-453d-9180-58b179c56a4a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","Weld plate details","Edge Detail"
"6e32c57e-9d05-4e06-8579-55f642f3727e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","Weld plate details","Bar Projections"
"8d62cf6a-4958-4da6-ba70-772f3071b551","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","weld plate details","Weld plate details","Cast in items"
"362f10ea-d07b-4f28-994a-f70951cbe867","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture","Panels 1 - 30"
"2415f1e5-3963-469d-ace9-b9a35be2fb90","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 30","Panel -1"
"87f34ac2-2102-4714-beaa-78cbe1aba354","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -1","Pre-Pour Check"
"df0d73a1-609d-401d-a972-a6fd59358ac9","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Concrete Works","Concrete Works Details"
"5e9687d4-3447-41ae-b2de-f06e5d1dc5b8","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Concrete Works","Wilco Sample Taken"
"c4be66fb-8100-430c-bcd7-9364c88669f6","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Concrete Works","Bridgeman Sample Taken"
"12282cfa-d35b-43ee-a863-2d20416c0691","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Concrete Works","Supervisor Approval"
"1b5534d8-eda6-4cc3-a661-3f39c27ed986","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Post Pour Check"
"26806efe-f1aa-4c3f-95b8-fadbdd92d583","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Post Pour Check","Edge Detail"
"04d2f406-5a06-4144-aeda-c5dfbb39352d","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Post Pour Check","Bar Projections"
"1f4551b1-5add-484a-939a-0940eca8e73a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Post Pour Check","Cast in items"
"7f940a76-f9cf-422f-a154-af5dfa8c69cf","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Stripping and Stacking"
"27a2ac72-b51a-4591-a930-100dcf7c979f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -2","Stripping and Stacking","Stripping & Stacking"
"5782eb40-0539-44eb-91b3-9954c14af87f","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 30","Panel -3"
"98027e89-f8a7-4ff2-8442-9239742fc1a3","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check"
"378de937-245b-4cae-9b57-37bb919a0d43","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Dimensions"
"0fa83341-3030-4c1e-92e5-532d1803a2d3","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Mould Clean"
"c07038c8-dc67-4d88-89a8-1044999dc5ce","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Mould Oiled"
"3be52e54-4f92-4e09-a9e6-4ba4d82948a8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Mould - Workmanship"
"e771deab-e0c9-4fb6-a9f0-974fb85d5e54","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Reinforcing"
"e34cad7e-d815-4939-9440-1084115dd2af","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Cast In Items"
"ad0e0dbb-2292-4072-ab32-3f394d0c9f1a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Marker Position and No."
"f5c7135f-e25d-4f8d-bde3-df0837ba4fd2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Pre-Pour Check","Make mould to Green Status"
"a4fa5a71-b5a0-4639-82da-d306fb27bfa5","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Concrete Works"
"d0db5c2f-9663-494c-bf56-b27dc7f465e4","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Concrete Works","Concrete Works Details"
"1b77ebeb-dbc8-4484-9c6a-94688984eafb","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Concrete Works","Wilco Sample Taken"
"c4d1f9c8-cfa2-4c02-a400-6d3415a78a26","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Concrete Works","Bridgeman Sample Taken"
"f8f5b210-f596-4fd4-a86b-a17d1c3fbfaa","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Concrete Works","Supervisor Approval"
"3e68022d-1feb-4b95-a4b7-0431a7084bbf","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Post Pour Check"
"aee2d112-f41e-458f-9804-0621a5d1defb","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Post Pour Check","Edge Detail"
"e29aecd2-d380-4ea7-9627-6b6167147cef","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Post Pour Check","Bar Projections"
"e97b8f8e-ce0d-49fa-8179-a589b97ca36d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Post Pour Check","Cast in items"
"5550f051-77b1-4d77-9f5c-e061ba68bf82","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Stripping and Stacking"
"29d865f3-c9cf-4d3a-8393-bad07a3fda20","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -3","Stripping and Stacking","Stripping & Stacking"
"aab6c455-5de2-4de0-b36c-f6df60350978","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 30","Panel -4"
"48eaa787-f40b-4193-8f96-81590d57b7f0","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check"
"0e227cea-ff43-41af-91ba-8269298f0123","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Dimensions"
"edb4af68-5736-4ba0-a45d-84d84aaa3b3d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Mould Clean"
"13daf715-efbb-4daf-86de-287b2c8342b0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Mould Oiled"
"5e8c872d-7b31-46cb-b958-e36b135b58da","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Mould - Workmanship"
"c0a64b60-d365-41af-b013-ace6e5f4babc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Reinforcing"
"a0ac9df5-6e63-4627-a9a0-f68a3eda2e87","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Cast In Items"
"60ea0c70-043b-49b5-9465-dfde77cc0d68","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Marker Position and No."
"1c9d99dc-3829-44b4-b74c-c404c27542e5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Pre-Pour Check","Make mould to Green Status"
"7c25e6d3-8b4c-49a7-9b9f-27838f86899d","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Concrete Works"
"72670c67-e14a-4d4a-8629-ac8e1f946392","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Concrete Works","Concrete Works Details"
"e653b42d-ad6d-43fe-8013-aac24626bc17","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Concrete Works","Wilco Sample Taken"
"93ffeb29-45f9-41cb-befc-ce382e9a8f8e","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Concrete Works","Bridgeman Sample Taken"
"4533f30c-1029-4a5c-9d34-7f08147f6cd2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Concrete Works","Supervisor Approval"
"b410ae9e-5ad9-4659-8ad3-edcbd2256d90","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Post Pour Check"
"ec518c88-a8a3-4268-a0ed-3cca83305764","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Post Pour Check","Edge Detail"
"88379d43-02b9-4a75-ae0c-e175765b75f0","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Post Pour Check","Bar Projections"
"bdbb5d72-6259-4d91-9dd9-20d7cc02768c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Post Pour Check","Cast in items"
"fd3e6a39-b108-4b13-a034-5189906a3e62","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Stripping and Stacking"
"9f47fb02-c94a-4a11-8532-f20810d99e85","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -4","Stripping and Stacking","Stripping & Stacking"
"fee27a4e-8607-4bb2-9388-80b62e59fd18","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 30","Panel -5"
"23446d09-dc48-43ed-b084-1d9c3ccb5b40","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check"
"2c67aa50-2c6a-476d-85d8-e8b183f4113f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Dimensions"
"5ef084c2-16e3-4261-88f8-df98dd431886","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Mould Clean"
"90b0e6a5-0958-41bd-96df-da75db6cdb6d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Mould Oiled"
"7cc52202-11e3-48e8-b011-53670d0ba919","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Mould - Workmanship"
"0cfe0f70-7252-4033-bca3-184b02b7a11b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Reinforcing"
"33c83ddb-1258-4399-8ce8-2e1ec803c192","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Cast In Items"
"763b3871-ff80-436a-867e-b37f7a6cf853","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Marker Position and No."
"c9e69897-a41f-482d-a390-034c762c5a27","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Pre-Pour Check","Make mould to Green Status"
"6322ce73-f46d-42e1-8300-ffe465b82164","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Concrete Works"
"e2b9673b-d886-467e-98de-cacef4d7869f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Concrete Works","Concrete Works Details"
"686c11cd-7f59-4100-8d2b-8eb0b15ed37a","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Concrete Works","Wilco Sample Taken"
"caf0b0b5-f169-4e63-9edc-99fae85bea89","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Concrete Works","Bridgeman Sample Taken"
"2df376e5-5e40-4455-bd6a-3dafba5a91bf","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Concrete Works","Supervisor Approval"
"6902baac-3398-40d7-a68e-0b250897841c","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Post Pour Check"
"851ec840-5259-443c-8df6-0bf8f4a0f351","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Post Pour Check","Edge Detail"
"8bf5cc53-2fe1-4e10-9561-5ec88cc019c4","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Post Pour Check","Bar Projections"
"51afeee2-fa08-48d2-a971-c5c715813f79","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Post Pour Check","Cast in items"
"6d140c6a-e3a5-46df-82e3-86163f44ce10","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Stripping and Stacking"
"c4d497ab-857b-42fd-9aa8-7f6ffb4f0076","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -5","Stripping and Stacking","Stripping & Stacking"
"1ce29558-c50a-4ed6-af91-47910dc3d1b7","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","Panels 1 - 30","Panel -6"
"dec30fe8-05b0-410d-bff2-ee547956036d","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check"
"d6cd51f0-4c81-482e-8423-7d3f7ef9763d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Dimensions"
"9a6310b4-3794-4663-8c6e-48ac1b84d1c5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Mould Clean"
"109b3d5e-c654-4152-8e6a-fb52c2cd89a4","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Mould Oiled"
"81a44e1b-7329-4f15-8231-510e20123d81","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Mould - Workmanship"
"fc3e3ffc-2cf6-4ef6-afcf-bd62469c8285","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Reinforcing"
"40ae9ed6-38f3-41f1-85a5-10826e71b486","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Cast In Items"
"43b3917b-7b41-46b1-ae93-57d950155574","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Marker Position and No."
"8b8925e5-5f1d-4bfb-8d3c-efdbb2cf381d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Pre-Pour Check","Make mould to Green Status"
"e50d4f09-95fa-4a51-9789-15c85ec94940","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Concrete Works"
"4f7cb87c-3cc7-4914-a71f-90846a0541a8","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Concrete Works","Concrete Works Details"
"cc1d3b66-d329-4795-869a-2cc212312300","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Concrete Works","Wilco Sample Taken"
"ab57ff29-b53a-4101-bfa2-2522db3f95b8","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Concrete Works","Bridgeman Sample Taken"
"c8e65c78-d7d2-459d-9a2d-c53f9a7ea8e7","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Concrete Works","Supervisor Approval"
"f24a6443-0ada-4819-b44e-356ac4ff8848","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Post Pour Check"
"d882cc27-7ee2-4919-ba05-b92f531d1ae3","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Post Pour Check","Edge Detail"
"8eaa8746-7d97-430b-b5de-6e9b85860554","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Post Pour Check","Bar Projections"
"8317fab4-fe3b-400b-9d2a-c654f648c193","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Post Pour Check","Cast in items"
"887415ef-b88c-40db-b2d3-3657987e7040","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Stripping and Stacking"
"ee5490cb-81e9-44e6-bdec-c518d8ce5e01","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Panels 1 - 30","Panel -6","Stripping and Stacking","Stripping & Stacking"
