"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fe3737ec-9cbd-42e2-93e0-83b8cdbdeffe","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"cff6eccc-b398-4773-9c5b-b02791b3435b","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001"
"e81d2cda-eb5d-490c-9097-1d3f355d9403","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1"
"63f992cd-82ad-580a-aed0-e807bc92c56e","","checkpoint-group","pass","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Product Detail"
"9e5cb288-c699-5c95-b7c6-0140c85f07fc","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:b8c4f4f1-454e-4936-a39c-ed94b5d75f1e","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Weather steps orientation checked"
"513181ca-f3f2-5a75-84a4-5f28fa0edfb7","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26681f59-631d-4176-aa8e-8dcb2fcc9401","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Formwork","Form release applied correctly"
"bb58c861-51f8-5baf-842a-4cf39f2ac4c7","","checkpoint-group","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement"
"78491014-9a21-51cd-959b-49a97d5040ec","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:2f21ec73-92fc-4e82-836f-b3989297918d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement","Reinforcement mat as per shop drawings"
"55a37c42-4535-51e6-a3d4-75d40f7ea4e1","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:1e0aeba2-4fe3-4650-8304-d891167a56a9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement","Reo Mat Orientation"
"7adbcfec-2999-5a80-bfdf-88292805cd4d","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:0c210185-a25b-4466-84b2-1a5e37dcaa5d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement","Perimeter Bars Size Correct"
"8ecda83d-a668-5d5d-bf24-facce2452ba8","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:9a489e36-4f9d-4f76-b76d-f289d5e9e5b8","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement","Perimeter Bars No. Off Correct"
"6f123008-8152-5df2-a6ad-eed1620348d4","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:947f18c1-05a0-4f0e-9d2e-8b6895718245","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement","Additional Bars Correct"
"96a65322-cd20-5a4b-a4fe-2bd5ce9bc1cf","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:0921695a-8f0a-471f-b834-4beb5804a7a0","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement","Reo Changes Noted"
"f88c890f-dde7-5801-aace-9f3cc1a0e5b0","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:1adcf415-b514-4ed5-ab0b-4a5706df10d7","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement","Reo Changes Passed By PM"
"98996140-47ec-568d-a3b5-414e7e743b9d","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:2b194a7c-1046-4ad3-af5a-5e70144d6d87","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement","COGS / Laps As Per SD"
"40524bed-7d85-5753-ad40-4e90c2bf91f8","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:5dcaf330-b436-4a1a-a794-710950fb0b0a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement","Any Splice 40 x Dia Min"
"4fde19ef-eb16-53f6-8869-3c2a3d09c856","","checkpoint-status","pass","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:78b57408-913e-4838-8887-f9f714bfe8d9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Reinforcement","Rebar Photos"
"7a8def65-0d62-5814-b622-be16eab073fa","","checkpoint-group","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins"
"7275d78d-f982-570e-8528-c3002113886a","","checkpoint-status","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:2a353ad3-4ca2-4a79-a2ff-22f917e27dc8","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Ferrule Location Checked"
"cd5da2fb-00d5-563d-bb54-c5509f966d21","","checkpoint-status","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:976aa919-133c-4371-af4a-65684fe4851d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Ferrule Cross Bars Inserted"
"75af1680-61f5-5330-9abe-ca7d26631e33","","checkpoint-status","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:014bcf87-a1fd-4abd-ab69-4cf240288554","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifting Inserts as Per Lift Design"
"fb673a61-2503-59a4-8be4-bc63ab4d0a4b","","checkpoint-status","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:04949cef-6019-4944-9abf-bc21c636b45d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifter Type correct"
"8004f7dc-bf16-5085-bf4d-6425af9f5a4a","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:0e605e4f-634a-42b2-97b8-af21d479bcf2","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifting V Bars Inserted"
"0f8721eb-ea08-5aaf-863b-af20ce3c8cfe","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:c4ec3f31-2fc9-42de-882d-31d8f5f7c1a6","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Cast Plates Per Design"
"40b628e4-ae15-591e-9780-daae17d8f8ba","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:140de006-93d1-4cc6-8d8a-175509f130b2","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Cast Plate Location Checked"
"7c21a0c1-6cd6-56d1-9050-354295cfa10d","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:e4b203fb-fcb1-4e06-93dc-1fbccdd4ec34","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Additional Cast Plate Bars Inserted"
"b42fc108-8b73-52c0-8428-04a5f084b405","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:1ef55d89-2b7e-4009-81c3-5e8f3153538a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Starter Bars Correct Per SD"
"182ec365-7bfa-5813-beeb-7c480a4d73b1","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:e446f9b8-7a10-4207-93df-b1e230f0ec45","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Pertruding Bars Orientation"
"69110d7d-9d1e-5b1f-9efb-1db55b7b0304","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:a417c0c9-137f-42cb-a33e-36be0df4875b","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Grout Tube Size Checked"
"073d2b5a-90ac-5851-969d-9004bfe22b11","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:77f6b57d-9e42-4987-acff-cc1cfadef084","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Grout Tube Exit Orientation Checked"
"0283f7d6-f6ba-5e76-8c41-df6909716871","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:84a235aa-1b45-4714-9676-71e05dbd6e80","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Grout Tube Photo"
"31f39bc1-b7c1-57fc-a25a-68a0be5478fd","","checkpoint-status","pass","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:3814317c-2f36-41f8-90ff-3e82d38d9f19","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifting Insert Photo"
"64d5254e-15ac-5112-80f1-35cf91c8a69a","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:c1b2e65e-761e-4cbd-8e49-2327b604394e","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Cast In Plate Photo"
"2baf504e-a169-593d-b748-c00376cb5f9d","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:7f6e72fd-61e0-4019-aef5-f1811355e1b7","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Fixings / Cast Ins","Penetration Photo"
"5cdca52d-4fe1-5e93-87f7-8d0b6a146f68","","checkpoint-group","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Final Checks"
"d7ab312e-1d11-5334-8f48-739a756a7ad9","","checkpoint-status","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:6c8bbf16-a6ff-4bd9-8ed4-933a91d76417","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Final Checks","All SD Dimensions Shown"
"08ebc95c-983d-5b54-85a6-057d23561306","","checkpoint-status","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:9bfb6b82-4553-425d-8c5d-f7b11ccef887","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Final Checks","Photo of For ""Construction"" Shop Drawing"
"00238a9f-c238-55cb-b1b2-4405e98b1748","","checkpoint-status","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:f6a6f3c3-e8de-4f22-bb4b-82a888ed9b8d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Final Checks","Panel ID Tag Placed"
"465c1a6e-dd25-5efb-9807-888731aa78d9","","checkpoint-status","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:788889ae-a4ca-46d9-a1b6-b83c0a5d78c8","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Final Checks","Product Cleared For Pouring"
"c6cabfb1-be9a-52a3-bdd2-085873fa019c","","checkpoint-status","pass","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:c23f8dac-cfd1-4d5b-b829-38f3c8573c22","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1","Final Checks","Inspector sign off attached below"
"f45283d6-4e7b-4574-be04-9c636a5a6c21","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist"
"0975b73d-87b0-56c7-b751-2cf865513b01","","checkpoint-no-status","no-status-started","Concrete Delivery Checklist:592cb40a-40a3-495c-8cb3-7968eae2adbd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","Details"
"4565fc62-421e-5f68-993c-cbe80d2a14bd","","checkpoint-status","pass","Concrete Delivery Checklist:f969e7af-20ef-4487-963d-c470a2d67dfb","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","Picture of Concrete Docket"
"d7e0c0a7-a7e1-5c1f-a929-0f74edd1c39c","","checkpoint-status","pass","Concrete Delivery Checklist:3799c218-8671-41b2-ac33-8b7c3a0fd8fd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","Load size match order sheet"
"a9048742-6054-542e-8c76-d89d2d5dd240","","checkpoint-status","pass","Concrete Delivery Checklist:28400e61-b2ab-48eb-8ac4-1f8a446c2c3a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","Mix type match the order sheet"
"49f6029a-a666-54e3-a626-01917f638eee","","checkpoint-status","pass","Concrete Delivery Checklist:47a6ad5d-dae3-4128-b7b8-7965ecbb7ad0","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","Mix color match the order sheet"
"114c2b3f-288e-59fe-8843-d94a2377c693","","checkpoint-status","pass","Concrete Delivery Checklist:b9259093-0262-4fae-ba49-be674e4ba849","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","MPa match the order sheet"
"37141961-1f9b-5363-94d4-5934974dfcdf","","checkpoint-status","pass","Concrete Delivery Checklist:06c16106-c31c-42a1-9d01-49f1d28796d7","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","Spread / slump within range"
"20ec21da-54bd-51ae-9cfa-099950d80165","","checkpoint-status","pass","Concrete Delivery Checklist:2c14a410-ef01-4ef6-8ca3-963c09661c04","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","Water Added (N/A if no)"
"e65768ca-55e1-5f1f-93ea-d61a2ed45aef","","checkpoint-status","not-applicable","Concrete Delivery Checklist:033ab66e-528f-48f9-b427-2be90e1cd10f","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","Concrete test taken (N/A if no)"
"2f511211-c149-5aa3-82e4-929e381570c9","","checkpoint-status","pass","Concrete Delivery Checklist:76cb840b-5fea-44e1-93a7-8f38b56287b3","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","Picture of spread check before dispatch"
"0faf2815-4180-515c-9615-db8c6b22fcda","","checkpoint-status","pass","Concrete Delivery Checklist:644e4a08-4619-4900-8321-8dcea55cdb2f","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist","Inspector sign off attached below"
"926dbe80-a008-48aa-bd98-3f48bdb94757","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P002"
"125f247e-a418-4b5c-a454-30ac1a2d392a","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1"
"26a634ca-8fba-5433-b1c7-86ff2db0ba38","","checkpoint-group","pass","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Product Detail"
"e7ff8f69-5bac-5180-9c81-3ec3293244ba","","checkpoint-status","pass","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420:d90bfa34-8b4c-4a15-bb28-723c46deeef4","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Product Detail","Details"
"ee190365-82d6-53ef-9c26-a9f109904678","","checkpoint-group","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork"
"e15a309c-1f76-56e3-910e-b197ff3be797","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:3f0cdcab-4b3f-476d-b56b-b16ee107e388","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Check Length"
"3b406d51-da00-58ed-a778-59ab949da576","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:52ec7df5-ba4b-4cfb-a76e-660dcfff8f63","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Check Width"
"f60f9540-0f3d-5247-b4b9-4d8e5743dd8c","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:478266b9-d083-4b39-8262-306e351e2909","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Check Thickness"
"c6224a01-4199-599d-9c68-26d61de14995","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:dcc56b68-3340-44ea-92f1-17fa5704ae43","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Check Diagnonal"
"bad86c34-19ea-5671-9b32-0b51f083bfec","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:5320e261-0158-45f1-80f6-3ac8bfd372dd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Sideform Trueness"
"6f75ece4-4ab1-5ed1-b0a3-b70ab4e7634f","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:826c421c-3819-4e01-a290-04d4799f9553","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Magnets / Forms Secure"
"75ff2eba-6357-5aae-8a15-1c1aff1fd284","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:fbfd6b1e-be95-4fed-ace9-bd78d0e8e3f9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Splayed forms checked"
"c4622d8c-aedc-5de5-94ee-6e9c487eab74","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:809900d9-8079-4836-8656-f6783a846e5c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Penotration dimensions checked"
"dea94089-fa23-5526-8077-d6d6c62012c3","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:344dceb0-c2d3-4e2c-afd4-2f75ec739272","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Curves / Radius Checked"
"ab1eca2a-acab-51fc-ac9c-7ca1902e1e38","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26a843b1-0618-4e73-9fb7-82c2d06c617c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Rebates size and location checked"
"db9f6810-ee40-5b16-99fe-1c03635bc665","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:f2115ccc-c889-4060-9566-a6369573178a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Weather steps dimensions checked"
"bae2486a-d64a-5118-a5b0-049c74f29e3d","","checkpoint-status","not-applicable","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:b8c4f4f1-454e-4936-a39c-ed94b5d75f1e","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Weather steps orientation checked"
"747e06be-e4ca-5e8d-b412-c9e2f2417ff5","","checkpoint-status","pass","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26681f59-631d-4176-aa8e-8dcb2fcc9401","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1","Formwork","Form release applied correctly"
