"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ace8d8bb-4e7b-4d71-a761-645d4b1d717b","","folder-normal","not-started","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"5497033e-4588-43b9-bd75-8b2b5f1b23f7","","folder-normal","not-started","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5"
"b19afb5f-277b-4d60-8c9c-fde3e60205c7","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1"
"88f96a39-f938-5a3b-91e9-52e11ff1e712","","checkpoint-group","not-started","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Product Detail"
"9e6a1c40-ad62-5cdc-ab7d-deaf5e35fe7a","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:344dceb0-c2d3-4e2c-afd4-2f75ec739272","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Curves / Radius Checked"
"3856deb2-c98f-58d1-a264-d18ee19d63d3","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26a843b1-0618-4e73-9fb7-82c2d06c617c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Rebates size and location checked"
"1ddc1f00-5c5a-59da-8717-5f5239126038","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:f2115ccc-c889-4060-9566-a6369573178a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Weather steps dimensions checked"
"ccc8b022-4704-5219-a858-93b06824e331","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:b8c4f4f1-454e-4936-a39c-ed94b5d75f1e","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Weather steps orientation checked"
"dd678d2b-16eb-5e3f-bc05-343c081c5d69","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26681f59-631d-4176-aa8e-8dcb2fcc9401","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Formwork","Form release applied correctly"
"3565994c-2a07-5522-bf7d-02fbee609788","","checkpoint-group","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement"
"a012507a-4af6-57ae-9687-48b0a7a5922f","","checkpoint-status","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:2f21ec73-92fc-4e82-836f-b3989297918d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement","Reinforcement mat as per shop drawings"
"7e8f1357-9429-5077-8d12-4bdc50d50fc0","","checkpoint-status","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:1e0aeba2-4fe3-4650-8304-d891167a56a9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement","Reo Mat Orientation"
"9db1ade1-afa5-5720-a8a2-8a123ce1493d","","checkpoint-status","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:0c210185-a25b-4466-84b2-1a5e37dcaa5d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement","Perimeter Bars Size Correct"
"77ee24e2-38b2-5c71-936c-1a99cb83d48f","","checkpoint-status","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:9a489e36-4f9d-4f76-b76d-f289d5e9e5b8","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement","Perimeter Bars No. Off Correct"
"b716527d-357f-5e7f-a014-50ab228f687a","","checkpoint-status","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:947f18c1-05a0-4f0e-9d2e-8b6895718245","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement","Additional Bars Correct"
"7332af47-a5f5-5947-bf25-1c8499f1ce4b","","checkpoint-status","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:0921695a-8f0a-471f-b834-4beb5804a7a0","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement","Reo Changes Noted"
"c0db9402-c51f-5a53-992a-c357c5f15072","","checkpoint-status","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:1adcf415-b514-4ed5-ab0b-4a5706df10d7","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement","Reo Changes Passed By PM"
"74d2c87c-cc73-5f16-9558-9c283926eab1","","checkpoint-status","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:2b194a7c-1046-4ad3-af5a-5e70144d6d87","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement","COGS / Laps As Per SD"
"3cbf3982-5563-5853-867c-eca720478d5f","","checkpoint-status","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:5dcaf330-b436-4a1a-a794-710950fb0b0a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement","Any Splice 40 x Dia Min"
"facbec4c-aea1-5a42-8313-59a377ffe868","","checkpoint-status","not-started","Pre-Pour Checklist 1:67e25267-f2b1-4a07-855d-ecbd0989ca8f:78b57408-913e-4838-8887-f9f714bfe8d9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Reinforcement","Rebar Photos"
"435d750e-64ea-5875-811e-2444646a875e","","checkpoint-group","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins"
"afd66194-9c7d-590b-9c18-6cb3db9dc3da","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:2a353ad3-4ca2-4a79-a2ff-22f917e27dc8","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Ferrule Location Checked"
"88b8f482-17a3-52fa-aab4-d6182f97a224","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:976aa919-133c-4371-af4a-65684fe4851d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Ferrule Cross Bars Inserted"
"89e1b167-510c-5ed1-a2d0-c6193715c200","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:014bcf87-a1fd-4abd-ab69-4cf240288554","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifting Inserts as Per Lift Design"
"8ea324bc-935a-5f09-9dd4-ffd25f78705e","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:04949cef-6019-4944-9abf-bc21c636b45d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifter Type correct"
"5482a7f3-3d4a-5eb1-8a4e-b8e1a4668f82","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:0e605e4f-634a-42b2-97b8-af21d479bcf2","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifting V Bars Inserted"
"ec5d1b59-0633-51b7-beda-a0110be6a65c","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:c4ec3f31-2fc9-42de-882d-31d8f5f7c1a6","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Cast Plates Per Design"
"d6101933-c7d6-5609-bc4a-8918d2f80099","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:140de006-93d1-4cc6-8d8a-175509f130b2","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Cast Plate Location Checked"
"9d180e45-bb39-5dce-a855-f807ab26895d","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:e4b203fb-fcb1-4e06-93dc-1fbccdd4ec34","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Additional Cast Plate Bars Inserted"
"e6fceda2-81e9-5d70-8fff-c429489c5dc9","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:1ef55d89-2b7e-4009-81c3-5e8f3153538a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Starter Bars Correct Per SD"
"b57c22b4-2074-5918-8fbd-c937d2457976","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:e446f9b8-7a10-4207-93df-b1e230f0ec45","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Pertruding Bars Orientation"
"3980441f-dafa-5d4d-aa73-a0121c49e40e","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:a417c0c9-137f-42cb-a33e-36be0df4875b","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Grout Tube Size Checked"
"7d7db911-7c4d-5b41-83d0-6aa34bacf77c","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:77f6b57d-9e42-4987-acff-cc1cfadef084","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Grout Tube Exit Orientation Checked"
"09b122a7-24fa-5983-b1b7-aca738aadc63","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:84a235aa-1b45-4714-9676-71e05dbd6e80","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Grout Tube Photo"
"a055814d-620f-51ce-8fd5-a4880f1b3600","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:3814317c-2f36-41f8-90ff-3e82d38d9f19","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Lifting Insert Photo"
"08d88a7c-ab9e-5c04-bc5e-634e78744336","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:c1b2e65e-761e-4cbd-8e49-2327b604394e","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Cast In Plate Photo"
"24ff1411-c345-542a-9b6a-28cba474efdb","","checkpoint-status","not-started","Pre-Pour Checklist 1:6abd83fe-cb5a-4016-b8af-151bbb00796c:7f6e72fd-61e0-4019-aef5-f1811355e1b7","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Fixings / Cast Ins","Penetration Photo"
"73eb693b-dd07-5e02-bf6e-00ef82f1ba62","","checkpoint-group","not-started","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Final Checks"
"3ab746df-dfa1-594f-9127-8498673eb099","","checkpoint-status","not-started","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:6c8bbf16-a6ff-4bd9-8ed4-933a91d76417","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Final Checks","All SD Dimensions Shown"
"57ab0711-e2e0-5a96-8a9c-e0bb6bd893f4","","checkpoint-status","not-started","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:9bfb6b82-4553-425d-8c5d-f7b11ccef887","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Final Checks","Photo of For ""Construction"" Shop Drawing"
"16a2e77b-9b14-5a4e-aa0e-2cbf7becde10","","checkpoint-status","not-started","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:f6a6f3c3-e8de-4f22-bb4b-82a888ed9b8d","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Final Checks","Panel ID Tag Placed"
"2b88d4e5-c3f0-59dc-9a55-a6dc217c8883","","checkpoint-status","not-started","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:788889ae-a4ca-46d9-a1b6-b83c0a5d78c8","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Final Checks","Product Cleared For Pouring"
"9e90bf41-3a60-5d0c-957f-eeaa4038d2db","","checkpoint-status","not-started","Pre-Pour Checklist 1:21422afa-f6af-4343-83e4-64da9761b74d:c23f8dac-cfd1-4d5b-b829-38f3c8573c22","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Pre-Pour Checklist 1","Final Checks","Inspector sign off attached below"
"73b00548-f1fb-4a5d-91f4-c96cdf3f90b8","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist"
"32f0d7a3-8270-590e-a487-ac1970b39f14","","checkpoint-no-status","no-status-not-started","Concrete Delivery Checklist:592cb40a-40a3-495c-8cb3-7968eae2adbd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","Details"
"b81616c5-ccbd-52ea-9148-3612ea1e659d","","checkpoint-status","not-started","Concrete Delivery Checklist:f969e7af-20ef-4487-963d-c470a2d67dfb","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","Picture of Concrete Docket"
"0b1a7edb-b4c8-5eeb-85c3-2eb94c938176","","checkpoint-status","not-started","Concrete Delivery Checklist:3799c218-8671-41b2-ac33-8b7c3a0fd8fd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","Load size match order sheet"
"3e3bcacf-fd61-57ac-bb7a-4cf894f337fb","","checkpoint-status","not-started","Concrete Delivery Checklist:28400e61-b2ab-48eb-8ac4-1f8a446c2c3a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","Mix type match the order sheet"
"69d3f443-2f24-5b8e-bfd0-51b4335c8fe7","","checkpoint-status","not-started","Concrete Delivery Checklist:47a6ad5d-dae3-4128-b7b8-7965ecbb7ad0","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","Mix color match the order sheet"
"7dc1469e-c2c9-5126-bcbf-ce0ad38188b0","","checkpoint-status","not-started","Concrete Delivery Checklist:b9259093-0262-4fae-ba49-be674e4ba849","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","MPa match the order sheet"
"9fbe0560-bdd6-5e74-95bf-da341d2930ed","","checkpoint-status","not-started","Concrete Delivery Checklist:06c16106-c31c-42a1-9d01-49f1d28796d7","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","Spread / slump within range"
"9738851b-35fb-508f-96b1-a304ec0a3aa8","","checkpoint-status","not-started","Concrete Delivery Checklist:2c14a410-ef01-4ef6-8ca3-963c09661c04","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","Water Added (N/A if no)"
"c7541ee2-c43e-5770-859c-bf79ff8ae486","","checkpoint-status","not-started","Concrete Delivery Checklist:033ab66e-528f-48f9-b427-2be90e1cd10f","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","Concrete test taken (N/A if no)"
"efd61842-a9a3-5367-9fcf-d3e8d66d5726","","checkpoint-status","not-started","Concrete Delivery Checklist:76cb840b-5fea-44e1-93a7-8f38b56287b3","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","Picture of spread check before dispatch"
"a9f436fa-922f-562a-9eb7-6a4d93be3a5d","","checkpoint-status","not-started","Concrete Delivery Checklist:644e4a08-4619-4900-8321-8dcea55cdb2f","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/5","Concrete Delivery Checklist","Inspector sign off attached below"
"00b52e07-b145-4822-85f1-f787d3f6bf3b","","folder-normal","not-started","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/6"
"4807833a-1205-4029-ac18-5e7525fc5da5","","checklist-sectioned","not-started","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1"
"573edb39-3936-51f1-8f35-19a161a0c183","","checkpoint-group","not-started","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Product Detail"
"6f5f48c0-9842-57d7-be54-2e85e8770c3c","","checkpoint-status","not-started","Pre-Pour Checklist 1:1f5ad4e3-2440-49d1-8cc6-8da58cf41420:d90bfa34-8b4c-4a15-bb28-723c46deeef4","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Product Detail","Details"
"47e084ee-0538-5e56-8463-2d56a2b6b0c2","","checkpoint-group","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de","","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork"
"483bf79f-6e39-54b6-a9dc-39d9e6cf7e62","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:3f0cdcab-4b3f-476d-b56b-b16ee107e388","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Check Length"
"05d9a491-5f74-5e60-97ee-85e260b49272","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:52ec7df5-ba4b-4cfb-a76e-660dcfff8f63","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Check Width"
"9280f5ab-6fef-55aa-b36d-d06aea50f1c5","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:478266b9-d083-4b39-8262-306e351e2909","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Check Thickness"
"f3afab51-311b-56ec-bb98-9fb0653e2e64","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:dcc56b68-3340-44ea-92f1-17fa5704ae43","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Check Diagnonal"
"e854aa73-716e-5925-aa89-e68925c0d85b","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:5320e261-0158-45f1-80f6-3ac8bfd372dd","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Sideform Trueness"
"28ca4753-7579-5c3f-9437-4a42ff90f558","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:826c421c-3819-4e01-a290-04d4799f9553","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Magnets / Forms Secure"
"bb2944f4-fb0e-5200-80b8-fd84c0f36dbc","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:fbfd6b1e-be95-4fed-ace9-bd78d0e8e3f9","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Splayed forms checked"
"5a64ca3c-daa3-5a1e-b3d8-7329e30f8acb","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:809900d9-8079-4836-8656-f6783a846e5c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Penotration dimensions checked"
"378cffa3-fa71-574a-9974-eeebf8229b80","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:344dceb0-c2d3-4e2c-afd4-2f75ec739272","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Curves / Radius Checked"
"365f57d4-21dc-5a89-b819-4486a462c63d","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:26a843b1-0618-4e73-9fb7-82c2d06c617c","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Rebates size and location checked"
"73d9ca00-4d22-52ce-a5d1-a67bfdd4f9a3","","checkpoint-status","not-started","Pre-Pour Checklist 1:42c9fa11-750c-4886-a6b6-88596bff77de:f2115ccc-c889-4060-9566-a6369573178a","","TRUE","TRUE","PRE-POUR & CONCRETE DELIVERY","CP/6","Pre-Pour Checklist 1","Formwork","Weather steps dimensions checked"
