"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"77581052-a68c-4460-b1f6-3e0d12a5e5e5","","checklist-flat","work-in-progress","SYS - PT - Overall Pre-start","checklist-flat","FALSE","FALSE","Overall Pre-start"
"8ee6952f-f517-5813-b87d-df973bb3a1a9","","checkpoint-status","work-in-progress","","","TRUE","TRUE","Overall Pre-start","Overall Pre-start"
"f98ddab6-7bf7-561b-b8d5-5c7e525d52c2","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-start","System information:"
"5f88baf7-4aac-5552-a14e-d496e6753061","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","SSP Attached"
"4f833104-92d3-5fcc-b5f3-0345750edd72","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Task Analysis Attached"
"e572620d-5115-54d6-ac42-8f9b3a0203ae","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Relevant Drawings Attached"
"f68a8188-31a3-5718-8910-4b5fa57de70f","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-start","Pre-Start Photos"
"fd1db21b-db2f-43d3-834f-0f6043a7a3ad","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"1637eded-f9e3-4e76-8fe5-3dd0d4ffac27","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Tower 01"
"700aefee-2f64-4333-b882-2999202769c8","","folder-normal","not-started","","step","TRUE","FALSE","QA","Tower 01","1No UniRail System @ 9m - UNR 01"
"1370bfbf-b524-4c55-b52d-21b80e41dd28","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01","1No UniRail System @ 9m - UNR 01","Pre-Fit Off Checklist"
"304d140c-540b-57ea-aab5-9831cb4e1f06","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 23","Required number of photo(s) taken of installed anchor(s)"
"c558ad7f-d13c-56ec-8bf9-48ec52ba68e0","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 23","Installed as per PBI drawings supplied and manufacturer's requirements"
"e3698a27-a6f8-46ae-9497-a7c8ff95a80c","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 24"
"4be7018c-eb06-5f66-b81b-adb3ccdf47b2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 24","Required number of photo(s) taken of installed anchor(s)"
"e7e82613-a074-5fce-bddc-042f3a3fff41","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 24","Installed as per PBI drawings supplied and manufacturer's requirements"
"0eb0d05c-ba18-4190-a66d-e74d965ad0de","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 25"
"597744da-36f1-5356-9cb7-beaae0b98e15","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 25","Required number of photo(s) taken of installed anchor(s)"
"a05bc059-6a4e-51cf-8923-9da3ebcc7c96","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 25","Installed as per PBI drawings supplied and manufacturer's requirements"
"e4aecfe4-8466-4ba8-829f-fc5beb757278","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 26"
"acf4baf1-cbef-5d61-bd03-b29308a4f575","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 26","Required number of photo(s) taken of installed anchor(s)"
"8fb2c96a-ec15-53a7-9a4b-b1d9c486ecb8","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 26","Installed as per PBI drawings supplied and manufacturer's requirements"
"6d0843ab-1b63-421a-9790-2ffa9f0d4e29","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 27"
"2eb51e0b-c7cb-541b-9a69-abf539dd26c5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 27","Required number of photo(s) taken of installed anchor(s)"
"fd6806d7-71fb-5b6d-9e44-657562ce055a","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 27","Installed as per PBI drawings supplied and manufacturer's requirements"
"08c5ad55-5750-4c5a-a695-41099e4eb0d5","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 28"
"e5d29ab1-74f0-5103-84cd-91b3c8f1d5ab","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 28","Required number of photo(s) taken of installed anchor(s)"
"91e1dc23-e023-5405-a003-6137a638c60b","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 28","Installed as per PBI drawings supplied and manufacturer's requirements"
"33713f5a-ae03-4c41-8497-61bdda9aceac","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 29"
"fdd3ee9f-47b5-5944-bfbe-f297a4261b76","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 29","Required number of photo(s) taken of installed anchor(s)"
"0cc124bc-1456-52ec-abd8-98e2bf385810","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 29","Installed as per PBI drawings supplied and manufacturer's requirements"
"aba2c8d8-15a0-4198-bdee-7b1df9348dab","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 30"
"ffc955dd-4a02-5b87-909d-31b5508d6e30","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 30","Required number of photo(s) taken of installed anchor(s)"
"ea926e23-9d4e-54b0-a5ce-cbb46191346f","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 01","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 30","Installed as per PBI drawings supplied and manufacturer's requirements"
"408793e1-3fcb-45f8-861d-65f1c3bd2c16","","folder-normal","not-started","","step","TRUE","FALSE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors"
"389e3c8d-864c-4e90-8257-97b1d9c48327","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors","Pre-Fit Off Checklist"
"f1d7ac61-1750-5859-98f0-a80e7adf3751","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"dcbab908-78ed-5c68-924c-5e09646dae34","","holdpoint","not-started","","","TRUE","TRUE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors","Pre-Fit Off Checklist","EMAIL PM"
"dab52838-a85d-52fe-8ef7-f02b98702704","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"913dcc3b-f851-4ace-b4b1-0fc0b4236826","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors","Fit Off Checklist - Anchor 45"
"aaa9afc0-9d57-516a-8fa1-6ce14b7ac996","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors","Fit Off Checklist - Anchor 45","Required number of photo(s) taken of installed anchor(s)"
"fe9dcd8e-8227-58ef-b233-59002d5d3848","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors","Fit Off Checklist - Anchor 45","Installed as per PBI drawings supplied and manufacturer's requirements"
"afb7b528-5187-4dca-a135-f4ad0e60fa82","","checklist-flat","not-started","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors","Fit Off Checklist - Anchor 46"
"c4b1b1b1-5768-57bb-8bb4-3485c3d38508","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors","Fit Off Checklist - Anchor 46","Required number of photo(s) taken of installed anchor(s)"
"667e3c9d-1e47-50ef-860d-b8cbb11d9379","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 01","2No AP Type 03 Abseil Diversion Anchors","Fit Off Checklist - Anchor 46","Installed as per PBI drawings supplied and manufacturer's requirements"
"95a12a8a-64f1-41eb-89c7-62350f502a6b","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Tower 02"
"dc456a28-8797-4813-8bbb-635204efcfa3","","folder-normal","not-started","","step","TRUE","FALSE","QA","Tower 02","1No UniRail System @ 9m - UNR 02"
"1630c560-b4c9-4d10-8311-f1880d36388a","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02","1No UniRail System @ 9m - UNR 02","Pre-Fit Off Checklist"
"0c69a58a-bfca-5d8b-a920-f5ad868f2edc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","1No UniRail System @ 9m - UNR 02","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"0b073d7f-3e46-5d85-b899-1798abc37428","","holdpoint","not-started","","","TRUE","TRUE","QA","Tower 02","1No UniRail System @ 9m - UNR 02","Pre-Fit Off Checklist","EMAIL PM"
"9b1cd6c5-18fa-59f0-9b2e-7638008461a5","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","1No UniRail System @ 9m - UNR 02","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"cdc9366d-f827-4398-9a11-1c82cc82db8c","","checklist-flat","not-started","Rail Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02","1No UniRail System @ 9m - UNR 02","Rail Checklist - UNR 02"
"1206d97e-e4a6-5b24-9c3a-b5053cbda627","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","1No UniRail System @ 9m - UNR 02","Rail Checklist - UNR 02","Photo taken of Engraved Line Plate / ID Tag"
"e68783a3-91c3-5a5c-8e63-33064ce8fe36","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","1No UniRail System @ 9m - UNR 02","Rail Checklist - UNR 02","Video taken of system"
"3c0e3428-a5b7-5a26-965a-db464fb656d8","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","1No UniRail System @ 9m - UNR 02","Rail Checklist - UNR 02","Description input of location / person Rail systems shuttle left with"
"9a06c3ae-e89f-5435-af96-905a5ee2fecc","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","1No UniRail System @ 9m - UNR 02","Rail Checklist - UNR 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"cb4174cf-fd3a-470c-98b5-6456b3b9ea82","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors"
"b43d6f30-7536-40a8-bef5-38e97a9d6ea1","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist"
"c182536e-e08c-5ac1-9481-613bf6138c10","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"5ba6da1d-ba41-534f-b116-1e9707f8f222","","holdpoint","not-started","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist","EMAIL PM"
"59e04bd5-3fdb-569a-ad7b-d6a87b5ca8e6","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"e81b0cf7-da07-4b81-986c-ff0ddba68999","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 31"
"83a39fb3-4d14-56de-9bfe-4cc95375c735","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 31","Required number of photo(s) taken of installed anchor(s)"
"8bf6f1c5-a130-535f-a9b7-c24a3e4e9cea","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 31","Installed as per PBI drawings supplied and manufacturer's requirements"
"657b3fdf-9add-4a99-9cf1-4131122d0c13","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 32"
"b0cd442d-b8fb-508e-914f-aae38b5f8473","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 32","Required number of photo(s) taken of installed anchor(s)"
"3e4e0053-1d33-5bd3-be4c-193262363226","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 32","Installed as per PBI drawings supplied and manufacturer's requirements"
"e81b4ac3-d4c2-4ed6-9f68-b6fd8a57afd0","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 33"
"d5a9c1f7-479a-5c7c-8584-91214421481e","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 33","Required number of photo(s) taken of installed anchor(s)"
"878811ff-bc62-530f-bdd3-7e883bd5baa5","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 33","Installed as per PBI drawings supplied and manufacturer's requirements"
"574e7c69-b6b0-4597-8bcd-90e37990de90","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 34"
"076bbede-384c-5dc8-828b-d1fa0609afef","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 34","Required number of photo(s) taken of installed anchor(s)"
"8e6d963e-1de2-5caf-a172-4ff6e33f4c06","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 34","Installed as per PBI drawings supplied and manufacturer's requirements"
"67da5895-78f6-4918-8474-e18720cb8188","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 35"
"a8b7fa06-7cea-598c-90c6-194aa00a36b2","","checkpoint-status","not-started","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 35","Required number of photo(s) taken of installed anchor(s)"
"e5877676-c8ae-5bcc-bd1e-dd657dced677","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 35","Installed as per PBI drawings supplied and manufacturer's requirements"
"8c5d8279-422d-4e03-a435-6e42312c8581","","checklist-flat","work-in-progress","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 36"
"b598185f-83ae-5a77-b8ae-8d0ab407a2d4","","checkpoint-status","work-in-progress","","","TRUE","TRUE","QA","Tower 02","14No AP Type 01 Fall Arrest & Abseil Anchors","Fit Off Checklist - Anchor 36","Required number of photo(s) taken of installed anchor(s)"
