type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,
label,"Method/Description - Determination of the dry density & OMC determination - NZS 4402:Supplement No 1:1998, Test 4.1.2",,,,,,,,,,,,,,,,
label,"• Atterberg limits - NZS 4402:Supplement No 1:1998, Test 2.2, 2.3 & 2.4",,,,,,,,,,,,,,,,
label,• Triaxial (Single stage min. 3 samples) - BS 1377 Part 8: 1990. Methods of tests for Soils for civil engineering purposes – Test 7 or Test 8,,,,,,,,,,,,,,,,
label,"Test frequency - 1 test per 20,000m³",,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test Report",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,1.2.2 - Buttress Fill,,,,,,,,,,,,,,,,
label,"Method/Description - Determination of the dry density & OMC determination - NZS 4402:Supplement No 1:1998, Test 4.1.2",,,,,,,,,,,,,,,,
label,"• Atterberg limits - NZS 4402:Supplement No 1:1998, Test 2.2, 2.3 & 2.4",,,,,,,,,,,,,,,,
label,"Test frequency - 1 test per 20,000m3",,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test Report",,,,,,,,,,,,,,,,
checkpoint-status,1.2.3 - GAP 65,,,,,,,,,,,,,,,,
label,"Method/Description - Determination of the dry density & OMC determination - NZS 4402:Supplement No 1:1998, Test 4.1.2",,,,,,,,,,,,,,,,
label,• NZS 4402 Supplement No 1:1998 - Test 2.8.1 Determination of the particle size distribution Standard method by wet sieving,,,,,,,,,,,,,,,,
label,• NZS 4402 Supplement No 1:1998 - Test 2.8.3 Determination of the particle size distribution Standard method by hydrometer,,,,,,,,,,,,,,,,
label,• Laboratory Triaxial Hydraulic Conductivity - ASTM D5084 – 16a,,,,,,,,,,,,,,,,
label,• Large shear box (min 3 normal stresses) - BS 1377 Part 7: 1990. Methods of tests for Soils for civil engineering purposes – Part 7 : Shear strength tests (total stress).Test 5 – Determination of shear strength by direct shear (large shear box apparatus),,,,,,,,,,,,,,,,
label,Test frequency - Determination of the dry density/water content - 3 tests per source.,,,,,,,,,,,,,,,,
label,"• PSD - 3 no. tests per source + 1 test per 2,000m3.",,,,,,,,,,,,,,,,
label,"• Permeability, Large shear box (min 3 normal stresses) - 3 no. tests per source",,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test Report",,,,,,,,,,,,,,,,
checkpoint-status,1.2.4 - GAP 65,,,,,,,,,,,,,,,,
label,"Method/Description - PH, Chloride ion content, sulphate content, electrical resistivity, organic content. Refer to The Reinforced Earth Company technical specification (TAINZ-TS-0100; Table 2)",,,,,,,,,,,,,,,,
label,Test frequency - 3 no. tests per source and 1 test per 2000m3,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test Report",,,,,,,,,,,,,,,,
checkpoint-status,1.2.5 - MSE Fill,,,,,,,,,,,,,,,,
label,"Method/Description - Determination of the dry density & OMC determination - NZS 4402:Supplement No 1:1998, Test 4.1.2",,,,,,,,,,,,,,,,
label,"• Atterberg limits - NZS 4402:Supplement No 1:1998, Test 2.2, 2.3 & 2.4",,,,,,,,,,,,,,,,
label,• Triaxial (Single stage min. 3 samples) - BS 1377 Part 8: 1990. Methods of tests for Soils for civil engineering purposes – Test 7 or Test 8,,,,,,,,,,,,,,,,
label,"Test frequency - 1 test per 2,500m3",,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test Report",,,,,,,,,,,,,,,,
checkpoint-status,1.2.6 - MSE Fill,,,,,,,,,,,,,,,,
label,"Method/Description - PH, Chloride ion content, sulphate content, electrical resistivity, organic content. Refer to The Reinforced Earth Company technical specification (TAINZ-TS-0100; Table 2)",,,,,,,,,,,,,,,,
label,Test frequency - 3 no. tests per source and 1 test per 2500m3,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test Report",,,,,,,,,,,,,,,,
checkpoint-status,1.2.7 - Drainage blanket and AP 7,,,,,,,,,,,,,,,,
label,Method/Description - NZS 4402 Supplement No 1:1998 - Test 2.8.1 Determination of the particle size distribution Standard method by wet sieving,,,,,,,,,,,,,,,,
label,• NZS 4402 Supplement No 1:1998 - Test 2.8.3 Determination of the particle size distribution Standard method by hydrometer,,,,,,,,,,,,,,,,
label,• Laboratory Triaxial Hydraulic Conductivity - ASTM D5084 – 16a,,,,,,,,,,,,,,,,
label,Test frequency - PSD - 3 no. tests per source and 1 test per 1000m3,,,,,,,,,,,,,,,,
label,• Hydraulic conductivity - 3 no. tests per source,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,1.2.8 - Cement stabilised GAP 65,,,,,,,,,,,,,,,,
label,"Method/Description - Determination of the dry density & OMC determination - NZS 4402:Supplement No 1:1998, Test 4.1.2",,,,,,,,,,,,,,,,
label,• NZS 4402 Supplement No 1:1998 - Test 2.8.1 Determination of the particle size distribution Standard method by wet sieving,,,,,,,,,,,,,,,,
label,• NZS 4402 Supplement No 1:1998 - Test 2.8.3 Determination of the particle size distribution Standard method by hydrometer,,,,,,,,,,,,,,,,
label,• Unconfined compressive strength test - NZS 4402 Supplement No 1:1998 Test 6.3.1.,,,,,,,,,,,,,,,,
label,Test frequency - Determination of the dry density/water content - 3 nos. tests per source,,,,,,,,,,,,,,,,
label,"• PSD - 3 no. tests per source + 1 test per 2,000 m3",,,,,,,,,,,,,,,,
label,• UCS - 3 no. tests per source at adopted cement ratio.,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test Report",,,,,,,,,,,,,,,,
checkpoint-status,1.2.9 - Cement stabilised structural fill,,,,,,,,,,,,,,,,
label,"Method/Description - Determination of the dry density & OMC determination - NZS 4402:Supplement No 1:1998, Test 4.1.2",,,,,,,,,,,,,,,,
label,"• Atterberg limits - NZS 4402:Supplement No 1:1998, Test 2.2, 2.3 & 2.4",,,,,,,,,,,,,,,,
label,• Unconfined compressive strength test - NZS 4402 Supplement No 1:1998 Test 6.3.1.,,,,,,,,,,,,,,,,
label,Test frequency - Determination of the dry density/water content - 3 nos. tests per source,,,,,,,,,,,,,,,,
label,• Atterberg limit - 1 test per source and 1 test per 500 m3,,,,,,,,,,,,,,,,
label,• UCS - 3 no. tests per source at adopted cement ratio.,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test Report",,,,,,,,,,,,,,,,
checkpoint-group,"1.3.0 Geosynthetics, geogrid and basal reinforcement - Pre-construction",,,,,,,,,,,,,,,,
checkpoint-status,1.3.1 - Product name Name and address of producer/supplier Manufacturer’s compliance certificate,,,,,,,,,,,,,,,,
label,Method/Description - Document Review,,,,,,,,,,,,,,,,
label,Test frequency - Check each lot (1 roll),,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Lab test cert",,,,,,,,,,,,,,,,
checkpoint-status,1.3.2 - Tensile strength (machine direction) - geogrid and basal reinforcement,,,,,,,,,,,,,,,,
label,Method/Description - Document Review,,,,,,,,,,,,,,,,
label,Test frequency - 1 test per production batch,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Lab test cert",,,,,,,,,,,,,,,,
checkpoint-status,"1.3.3 - Visual inspection - separation geotextiles, basal reinforcement",,,,,,,,,,,,,,,,
label,"Method/Description - To inspect geotextile and basal reinforement is the proper type and no tears, rips or other signs of deterioration.",,,,,,,,,,,,,,,,
label,Test frequency - Check each lot (1 roll),,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Approval checklist",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,1.3.4 - Visual inspection - geogrids,,,,,,,,,,,,,,,,
label,"Method/Description - To inspect geogrid is the proper type and no tears, rips or other signs of deterioration.",,,,,,,,,,,,,,,,
label,Test frequency - Check each lot (1 roll),,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Approval checklist",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-group,1.4.0 Monitoring - Pre-construction,,,,,,,,,,,,,,,,
checkpoint-status,1.4.1 - Monitoring prior to preload,,,,,,,,,,,,,,,,
label,Method/Description - Baseline readings,,,,,,,,,,,,,,,,
label,"Test frequency - Settlement marker, extensometer, profilometer, and lateral deformation markers - 1 month before construction start. 2 consistent readings (24 hrs apart) post installation and one immediately prior to filling Vibrating wire piezometer - 1 month",,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Designer site diary - confirming baseline readings satisfactory",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-group,2.1.0 Pre-filling,,,,,,,,,,,,,,,,
checkpoint-status,2.1.1 - Set out extents of fill and check against design,,,,,,,,,,,,,,,,
label,Method/Description - Survey/visual,,,,,,,,,,,,,,,,
label,Test frequency - Prior to Commencement,,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
checkpoint-status,2.1.2 - Vegetation Clearance,,,,,,,,,,,,,,,,
label,Method/Description - Survey/visual,,,,,,,,,,,,,,,,
label,Test frequency - Fill area foot print,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Subgrade approval checksheet Designer site report (where advise given)",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,2.1.4 - Designer witness of in-situ subgrade prior to filling,,,,,,,,,,,,,,,,
label,Method/Description - Visual inspection,,,,,,,,,,,,,,,,
label,Test frequency - Prior to Filling,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Subgrade approval checksheet",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,2.1.5 - General Undercuts,,,,,,,,,,,,,,,,
label,Method/Description - Visual inspection,,,,,,,,,,,,,,,,
label,Test frequency - Prior to Filling,,,,,,,,,,,,,,,,
label,Contractor - I,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Subgrade approval checksheet",,,,,,,,,,,,,,,,
checkpoint-status,2.1.6 - Required undercuts for basal reinforcement installation,,,,,,,,,,,,,,,,
label,Method/Description - Visual inspection,,,,,,,,,,,,,,,,
label,Test frequency - Prior to Filling,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,2.1.7 - Basal reinforcement installation,,,,,,,,,,,,,,,,
label,"Method/Description - Visual inspection of directional placement, panel length, laps, and damage",,,,,,,,,,,,,,,,
label,Test frequency - During basal reinforcement installation and every 100m² of geotextile installed.,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,2.1.8 - Drainage blanket installation,,,,,,,,,,,,,,,,
label,Method/Description - Visual inspection,,,,,,,,,,,,,,,,
label,"Test frequency - Prior to filling, and every 100m2 of geotextile installed.",,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,2.1.9 - Construction of wick drains,,,,,,,,,,,,,,,,
label,Method/Description - Visual inspection and subcontractor record review,,,,,,,,,,,,,,,,
label,Test frequency - During wick drain construction,,,,,,,,,,,,,,,,
label,Contractor - I,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Wick drain check list",,,,,,,,,,,,,,,,
checkpoint-status,2.1.10 - Sub soil drainage,,,,,,,,,,,,,,,,
label,Method/Description - Inspection,,,,,,,,,,,,,,,,
label,Test frequency - During subsoil construction,,,,,,,,,,,,,,,,
label,Contractor - I,,,,,,,,,,,,,,,,
label,Designer - I,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Sub soil drainage ITP,",,,,,,,,,,,,,,,,
checkpoint-status,2.1.11 - Monitoring Equipment,,,,,,,,,,,,,,,,
label,Method/Description - Survey/ data logging,,,,,,,,,,,,,,,,
label,Test frequency - As outlined in MMA-DES-GEO-E1-SKT-4077,,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Drill logs",,,,,,,,,,,,,,,,
checkpoint-group,2.2.0 Fill Construction,,,,,,,,,,,,,,,,
checkpoint-status,2.2.1 - Filling operations,,,,,,,,,,,,,,,,
label,Method/Description - Visual inspection,,,,,,,,,,,,,,,,
label,Test frequency - Daily,,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test report",,,,,,,,,,,,,,,,
checkpoint-status,2.2.2 - Filling operations,,,,,,,,,,,,,,,,
label,Method/Description - Survey/visual,,,,,,,,,,,,,,,,
label,Test frequency - Daily,,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - test report",,,,,,,,,,,,,,,,
checkpoint-status,2.2.3 - Insitu fill testing,,,,,,,,,,,,,,,,
label,Method/Description - Plateau Test,,,,,,,,,,,,,,,,
label,"Test frequency - Structural Fill - 1 test per material type per earthworks zone,",,,,,,,,,,,,,,,,
label,• Buttress Fill - 1 test per material type per earthworks zone,,,,,,,,,,,,,,,,
label,• GAP65 - 1 test per material type per structure / location,,,,,,,,,,,,,,,,
label,• Cement Stabilised GAP65/ Structural Fill - 1 Test per material type per structure/ location,,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test report",,,,,,,,,,,,,,,,
checkpoint-status,2.2.4 - Insitu fill testing,,,,,,,,,,,,,,,,
label,Method/Description - In situ moisture content and density,,,,,,,,,,,,,,,,
label,Test frequency - Structural Fill - 1 test per 1 m lift per 100m length (approx 1 per 3000 m3) ; 1 test per lift per 50m length for top 1m of fill to subgrade level,,,,,,,,,,,,,,,,
label,"• Buttress fill - 1 test per 200m length, approx 1 per 6000 m3",,,,,,,,,,,,,,,,
label,• GAP65 - 4 tests per lift per structure,,,,,,,,,,,,,,,,
label,• Cement Stabilised GAP65 - 4 Tests per 0.5m lift per structure,,,,,,,,,,,,,,,,
label,• Cement Stabilised Structural fill - 1 test per 0.5m lift per 100m length,,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test report",,,,,,,,,,,,,,,,
checkpoint-status,2.2.5 - Insitu fill testing,,,,,,,,,,,,,,,,
label,Method/Description - Undrained shear Strength,,,,,,,,,,,,,,,,
label,Test frequency - Structural fill - 1 test per layer per 1000m2,,,,,,,,,,,,,,,,
label,• Buttress Fill - 1 Test per layer per 2000m2,,,,,,,,,,,,,,,,
label,• Cement Stabilised Structural Fill - 1 test per layer per 500m2,,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test report",,,,,,,,,,,,,,,,
checkpoint-status,2.2.6 - Subgrade Fill Testing,,,,,,,,,,,,,,,,
label,Method/Description - in situ moisture content and density (and/ or air voids) testing of compacted fill material,,,,,,,,,,,,,,,,
label,"Test frequency - Surcharged Fills - 1 test at subgrade formation level per 50m length, Cut Fill Transitions - 1 Test per 0.5m lift per 50m length for 1.0m subgrade depth",,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test report",,,,,,,,,,,,,,,,
checkpoint-status,2.2.7 - Subgrade Fill Testing,,,,,,,,,,,,,,,,
label,Method/Description - Scala Penetrometer Surcharged Fills,,,,,,,,,,,,,,,,
label,Test frequency - 435mm above Subgrade formation level to 1.5m depth. 3 tests per 20m chainage evenly across formation pavement width,,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test report",,,,,,,,,,,,,,,,
checkpoint-status,2.2.8 - Subgrade Fill Testing,,,,,,,,,,,,,,,,
label,Method/Description - Benkelman beam and FWD Testing,,,,,,,,,,,,,,,,
label,Test frequency - Surcharged Fills - At subgrade formation level 10m interval in each wheel path,,,,,,,,,,,,,,,,
label,"• Cut Fill Transitions - at three heights: 1.0m, 0.5m and 0m below subgrade formation level 10m interval in each wheel path",,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test report",,,,,,,,,,,,,,,,
checkpoint-status,2.2.9 - Subgrade Fill Testing,,,,,,,,,,,,,,,,
label,Method/Description - Laboratory Soaked CBR,,,,,,,,,,,,,,,,
label,Test frequency - Surcharged Fills and Cut Fill Transitions - 1 Test per 5000m2 at subgrade formation level,,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Test report",,,,,,,,,,,,,,,,
checkpoint-status,2.2.10 - Confirm testing requirements are meet for insitu fill,,,,,,,,,,,,,,,,
label,"Method/Description - Summarise, interpret and review test records",,,,,,,,,,,,,,,,
label,Test frequency - Every test result,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Review of testing records",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,2.2.11 - Failed test result and remedial approval,,,,,,,,,,,,,,,,
label,Method/Description - Review and approval of remedial action,,,,,,,,,,,,,,,,
label,Test frequency - Every failed test and prior to remedial works,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-group,2.3.0 Preload/Surcharge (for embankments requiring preload),,,,,,,,,,,,,,,,
checkpoint-status,2.3.1 - Visual inspection for rate of filling,,,,,,,,,,,,,,,,
label,"Method/Description - Inspection of fill height, rate of filling of 200mm/day (1m per week)",,,,,,,,,,,,,,,,
label,Test frequency - To be monitored daily,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - W,,,,,,,,,,,,,,,,
checkpoint-status,2.3.2 - After 1m of fill placement. Await approval from Designer before placing more fill.,,,,,,,,,,,,,,,,
label,Method/Description - Review data and TARP levels before releasing HOLD.,,,,,,,,,,,,,,,,
label,Test frequency - Before releasing hold periods and allowing filling to continue.,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Designer site diary",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,2.3.3 - Removal of preload/surcharge,,,,,,,,,,,,,,,,
label,Method/Description - Assessment of monitoring and instrumentation data,,,,,,,,,,,,,,,,
label,Test frequency - After completion of proposed hold period,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,2.3.4 - Removal of preload/surcharge,,,,,,,,,,,,,,,,
label,Method/Description - Preparation of preload/surcharge report,,,,,,,,,,,,,,,,
label,Test frequency - Every four weeks during earthworks operations and at the end and commencement of each earthworks season,,,,,,,,,,,,,,,,
checkpoint-group,2.4.0 Monitoring,,,,,,,,,,,,,,,,
checkpoint-status,2.4.1 - During earth filling/preloading/surcharging,,,,,,,,,,,,,,,,
label,Method/Description - Monitoring during earth filling/preloading/surcharging,,,,,,,,,,,,,,,,
label,"Test frequency - Plate settlement marker, extensometer, profilometer, water standpipe, and lateral deformation marker- twice weekly Vibrating wire piezometer - hourly reading via data logger, twice weekly download",,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
checkpoint-status,2.4.2 - During preload or surcharge hold period,,,,,,,,,,,,,,,,
label,Method/Description - Monitoring during preloading or surcharge hold period,,,,,,,,,,,,,,,,
label,"Test frequency - Plate settlement marker, extensometer and profilometer, and lateral deformation marker - twice weekly for the first month then weekly. Vibrating wire piezometer - hourly reading via data logger, twice weekly download",,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
checkpoint-status,2.4.3 - At surcharge removal or hold period release,,,,,,,,,,,,,,,,
label,Method/Description - Monitoring at surcharge removal or hold period release,,,,,,,,,,,,,,,,
label,"Test frequency - Plate settlement marker, extensometer and profilometer, lateral deformation marker, and vibrating wire piezometer - one reading 24 hours prior and one reading 24 hours following.",,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
checkpoint-group,2.5.0 Monitoring reports,,,,,,,,,,,,,,,,
checkpoint-status,2.5.1 - Preliminary inspection/monitoring report,,,,,,,,,,,,,,,,
label,Method/Description - Summary of site inspection / observation / measurement,,,,,,,,,,,,,,,,
label,Test frequency - Within one working day of site inspection/observation/measurement,,,,,,,,,,,,,,,,
label,Contractor - W,,,,,,,,,,,,,,,,
checkpoint-group,3.0 Post Construction,,,,,,,,,,,,,,,,
checkpoint-status,3.2 - Survey As-builts,,,,,,,,,,,,,,,,
label,Test frequency - During construction and at end,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - CAD files",,,,,,,,,,,,,,,,
checkpoint-status,3.3 - As-builts,,,,,,,,,,,,,,,,
label,Method/Description - Mark up of construction drawings to reflect completed works,,,,,,,,,,,,,,,,
label,Test frequency - End of Construction or after completion of preload/surcharge works,,,,,,,,,,,,,,,,
label,Contractor - H,,,,,,,,,,,,,,,,
label,Designer - H,,,,,,,,,,,,,,,,
label,"Verifying Records Checklists, Test and Supplier Certificates - Red pen mark ups",,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
