"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"060c9421-984a-45d9-bc6f-17963221038a","","folder-normal","pass","","step","TRUE","FALSE","Boundary"
"fb8e8219-30f2-48a3-b793-9a76da03208b","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 19 13/1/23"
"10a3d7dc-38dd-4b22-86d5-d2ff37c35fb4","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 20 16/1/23"
"0106578a-437d-4994-b618-e2a57f36db36","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 21  18/01/23"
"fd9c65fc-087f-4946-b6d9-90f31adc67e1","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 22 18/1/23"
"10e79c5e-8f41-4a8c-b6a0-65b0ccfba2bf","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 23 13/4"
"afd84a97-ae5a-4940-877c-eb38b1af032e","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 24 13/4"
"cda3ce5f-02b8-4808-b864-f3eb7edac919","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 25 18/4"
"799368b6-c0d7-41bf-99cd-4c3d7d5fee7d","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 26 18/4"
"f9863a42-4cbb-49fd-9bfb-f9d0fae58399","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 27 10/5"
"d7a3642e-22e5-4424-a8aa-7d6aeef34810","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 28 11/5"
"2a9a985b-5cbe-4898-92be-6a0d364ce68a","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 29 10/5"
"c482a872-0b45-4eae-b769-58df47452593","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 30 19/12"
"2dfcadff-d624-4181-aa8d-377cec0d5c65","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 31 21/12/22"
"867a97fa-15b4-4f4f-87f7-267d77b38c90","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 32 12/1/23"
"b3e9dbfd-f9b4-4174-a57c-8582e0fa8f67","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 33 16/1/23"
"c24b236a-bb33-4d14-b4c5-e04b819e3579","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 34 20/1/23"
"364f145b-d968-420d-9b27-7aadbdc41aa4","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 35 18/1/23"
"5b4c38bb-b004-43ab-bafb-c5bffb136dc3","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 36 27/4"
"f0f8282a-d65c-4818-88e5-bb9586c88d69","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 37 27/4"
"af013cbd-e31b-4467-83c9-15f7c8ca70a2","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 38 11/1/23"
"12b56099-88b7-46c3-8619-d79982d1d2f8","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 39 12/1/23"
"b8e0c73d-1c66-4cba-92d3-24027c0aed29","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 40 13/1/23"
"9989cef5-d41f-4d1a-95ad-84545d9c63fd","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 41 16/1/23"
"82c25d22-59c4-495d-9362-e60b0918db7a","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 42 26/1"
"35d2e201-a0c3-4a96-8a1e-d61ee66bb003","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 43 3/5"
"914e1ba5-3d73-439b-8e59-d9da9fef4767","","checklist-sectioned","not-started","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 44"
"b5642be3-fbf2-4831-9731-5e598098a24c","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 45 8/5"
"dcfaf74a-a676-4ddb-8132-950bdc650f46","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 46 5/5"
"dea2ccee-fac3-4bd0-bbd2-0826433d8236","","checklist-sectioned","not-started","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 47"
"97ccd055-3ff4-4faf-8fc2-47b0c5e12f37","","checklist-sectioned","not-started","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 48"
"7f15ff71-0cf1-4f03-91b2-6d2d2a9d70bc","","checklist-sectioned","not-started","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 49"
"1f2f23c8-6b92-4318-be36-2db2b5dbd372","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","House","MH - 2A 11/1/23"
"5a3e9591-0c0e-42e9-ac5f-1cc5422dfe74","","checklist-sectioned","pass","Panel Checklist","checklist","FALSE","FALSE","House","MH - 31A 11/1/23"
"a604d9c2-dbe7-4745-ba71-fbebf7aea4d2","","checklist-sectioned","pass","Panel Checklist","checklist","FALSE","FALSE","House","MH - 07A 21/4"
"23444cef-efc5-4359-8b85-93acbb11f382","","checklist-sectioned","pass","Panel Checklist","checklist","FALSE","FALSE","House","MH - 36A 21/4"
