"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"15daf0f2-1738-4077-ae28-db3c14bb55b9","","work-in-progress","","folder","TRUE","FALSE","Project Start-Up"
"b9e2961c-b8bc-4ca9-ba68-6c7c7217ce4a","","work-in-progress","","folder","TRUE","FALSE","Project Start-Up","Management Plans"
"d36cec92-728f-44c2-9930-83b8197348de","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP012 - ID 3 - Jobs, Skills and Industry Participation Management Plan"
"4294f686-c801-4bee-9b85-84535bb29143","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP013 - ID 1 - Workplace Relations Management Plan"
"d7587df5-8943-447f-a7e2-ecd8b2287e76","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP014 - ID 40 - Covid-19 Management Plan"
"86c88806-9225-4145-8557-d92901a780ae","","not-applicable","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP015 - ID 2 - Aboriginal Procurement Plan"
"f2d65f84-18c6-4140-bc4a-b01e0e72ecce","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP018 - ID 17 - Community and Stakeholder Engagement Plan"
"6084d224-31d4-4dcc-bf06-d6e766b68ade","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP019 - IDs 7, 8, 10.1, 10.2, 16 - Submission of CEMP Early Works and updated sub-plans"
"4cb8c4cc-7212-4d43-9acf-8ec9d58fe51e","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP021 - Earthworks Management Plan"
"f3a06c1d-0589-408f-a2b3-fb277d3ab396","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP022 - Submission of CTMP"
"69777ec1-9a49-41aa-bbc9-67f0491a6af6","","not-applicable","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP025 - Submission of CEMP (Main Works) (CANCELLED REFER HP065)"
"0901f081-1307-4cf5-b9b0-100f58867ad1","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP027 - Main Works - Clearing and Grubbing"
"9087c814-e90b-4ccf-835d-f72d0c392900","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP029 - Utility Management Plan"
"3980a51c-445e-4263-a692-17dc40e44f16","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP030 - Aboriginal Industry Participation and Procurement Plan"
"0f9be1cd-cbc8-44e2-81c3-6b455aaf43b6","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP033 - Weed and Pathogen Management Sub-Plan (Early Works) (CANCELLED REFER HP065)"
"9a30532a-a4a1-4af8-9776-15e51224af0e","","not-applicable","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP052 - Main Works - Heritage Management Sub-Plan (CANCELLED REFER HP065)"
"d4a917ab-390f-41d5-870f-d30e0e8bbf2b","","not-applicable","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP053 - Main Works - Soil and Water Management Sub-Plan (CANCELLED REFER HP065)"
"1dc8c283-7c8b-4fea-b601-f11acd1a9817","","not-applicable","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP054 - Main Works - Waste Management Sub-Plan (CANCELLED REFER HP065)"
"92e454d7-bab4-4012-bc3b-8e5160d9fab7","","not-applicable","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP055 - Main Works - Air Quality Management Sub-Plan (CANCELLED REFER HP065)"
"2bf6bd92-5169-4c8e-807b-880f56a1dcfd","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP065 - CEMP (Main Works) and associated Sub Plans "
"c2141612-4633-44a7-a6b2-dd3d7507b448","","work-in-progress","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP318 - Covid-19 Safe Management Plan (Phase VII) Revision 2"
"c300c8bc-5ceb-44fe-9b36-69672082222d","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP578 - Project Management Plan Rev 4"
"ee380e74-3258-4461-b392-324f4c670da5","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","(No HP) - 5/07/24 - Project Quality Plan Rev G & Records Management Plan Rev A"
"a2942d5f-4735-4650-a07e-0eebfa63d1b6","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","(No HP) -7/08/24 - Survey management plan rev 5"
"d9253564-f79a-4ff9-a44c-265eba9e6f02","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","(No HP) - 23/08/24 - Project Quality Plan Rev H & Records Management Plan Rev B"
"f00d3578-7344-4efc-a2e9-6b11cd7d0e64","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","(No HP) - 26/08/24 - Workplace Relations Management Plan (Aug-2024)"
"e47cb619-e403-4c41-b6e1-2333f7ecf47f","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","(No HP) - 26/08/24 - Review of various Management Plans (Feb-2024)"
"67bb1648-70bb-49ff-b3ab-49617c716cdf","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Management Plans","(No HP) - 18/09/24 - Project Quality Management Plan Rev I"
"50192b84-0d52-4611-a344-f0f7bbb221ef","","pass","Submission of Management Plan","checklist","FALSE","FALSE","Project Start-Up","Management Plans","(No HP) - 18/10/24 - Records Management Plan Rev C"
"5d8795b9-8401-4ab9-8bf9-8a4971d294fc","","work-in-progress","Project Startup Hold Point","checklist","FALSE","FALSE","Project Start-Up","Management Plans","HP1466 - Earthworks Management Plan Revision"
"34f037f0-a3c9-4bb4-8154-788460f6fc3f","","work-in-progress","","folder","TRUE","FALSE","Project Start-Up","Material and Subcontractor Approvals"
"1cd35c94-6c56-4277-843c-20d7774c733b","","pass","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP017 - Submission of Tender Docs for Primary Testing"
"bc03de8b-8d4b-4dfd-b2e7-b555ad5e114f","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP023 - Accepting of Primary Tester"
"e1a151e2-e0a7-4c57-9b1c-c9713824c66c","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP028 - ABFI Steel - QA documentation (Part 1)"
"f5beed73-d471-4c57-b102-a84ef02c19ae","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP031 - ABFI Steel - 1200 Pile Casing Prototype"
"3c27e8dc-92af-4397-9a96-307e39a46718","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP035 - Approval for Contestable Electrical Subcontractor (JLE)"
"6b2bbdd5-abf2-46e2-8e5f-8b501d94782f","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP042 - ABFI Steel - 900 Pile Casing Prototype"
"acb102fe-e5bd-485f-abc4-219c2cccb1b0","","pass","870d3625da5c3f440982678e93d3f454912080a88417350185608a4bda87e6b5","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","WP001 - ABFI Steel welding qualifications"
"9b3b6e59-cac0-43ac-bc8e-bc02d7cabb15","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP047 - Welding Procedure Specification"
"73a3e0a4-b3dd-4ea5-b188-db41afee2268","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP049 - Jemena provisional price"
"8515f71d-9296-45b6-8117-c55bbdcb1eb3","","pass","870d3625da5c3f440982678e93d3f454912080a88417350185608a4bda87e6b5","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","WP002 - Wagstaff Steel Welding Supervisor Qualifications"
"a7356896-6d66-4b80-a0f6-dc5c5595422e","","pass","870d3625da5c3f440982678e93d3f454912080a88417350185608a4bda87e6b5","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","WP003 - Wagstaff Steel Welding Supervisor Qualification"
"44e01cd7-c5a1-42ff-87ab-4d925a13073e","","pass","a125e648f8f5df6a39ddf54c003ebcf5407cab42d484f12d14c627643f094e6a","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","WP004 - Manufacture of weld procedure qualification test piece (Pile Splicing)"
"89c15813-cff2-444f-b899-f46b15691a9b","","pass","a125e648f8f5df6a39ddf54c003ebcf5407cab42d484f12d14c627643f094e6a","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","WP005 - Wagstaff Steel welding supervisor qualifications"
"0070808b-886d-451f-895f-0c77258e6c00","","pass","a125e648f8f5df6a39ddf54c003ebcf5407cab42d484f12d14c627643f094e6a","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","WP006 - Welding Inspector qualifications"
"8559c1e2-b598-46a4-8c53-29f4a9a180a1","","pass","","folder","TRUE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP107 - Submission of Mix Design - Piling 40-20-475. Mix ID TB942006X"
"3c80ad94-9efb-459c-9e21-6c28c9d9386f","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP107 - Submission of Mix Design - Piling 40-20-475. Mix ID TB942006X","HP107 Concrete Mix Design Piling 40-20-475. Mix ID TB942006X"
"25ce8b9f-e7d5-4c92-abb6-bafff2679b1e","","pass","","folder","TRUE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP128 - Submission of concrete Mix Design - B80 20-20-180 Mix ID N941506"
"af20de29-b1f3-4fad-9830-65511b7ab1f1","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP128 - Submission of concrete Mix Design - B80 20-20-180 Mix ID N941506","HP128 - Submission of concrete Mix Design - B80 20-20-180 Mix ID N941506"
"fa167b18-92cc-487b-b388-f78fd2c7557a","","pass","","folder","TRUE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP132 - Concrete Mix Design - B80 60-20-475 Mix ID Z6020FLOW475"
"b4e40aef-ec23-4813-8dfc-9ba6bfecbdf8","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP132 - Concrete Mix Design - B80 60-20-475 Mix ID Z6020FLOW475","HP132 - Concrete Mix Design - B80 60-20-475 Mix ID Z6020FLOW475"
"a2713e97-b88f-4ed3-8051-e18d60ee7356","","pass","","folder","TRUE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP134 - Concrete Mix Design - B80 60-20-650 Mix ID Z6020FLOW650"
"6ea1e231-e74a-4fbd-a835-c0ccfdab89c2","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP134 - Concrete Mix Design - B80 60-20-650 Mix ID Z6020FLOW650","HP134 - Concrete Mix Design - B80 60-20-650 Mix ID Z6020FLOW650"
"602ae91f-6980-44d1-9122-fe5752be93ff","","pass","","folder","TRUE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP135 - Submission of Concrete B80 Grey Cards WAGSTAFF"
"443d97a0-56e6-4b00-a3a0-5911ba58fb04","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP135 - Submission of Concrete B80 Grey Cards WAGSTAFF","HP 135 Submission of Concrete B80 Grey Cards WAGSTAFF"
"51a976da-5019-4ceb-b15c-95c057396446","","pass","","folder","TRUE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP 136 Submission of Concrete B80 Grey Cards ABERGELDIE"
"e431e5a8-c89d-47ba-8512-cac0c7378fc8","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP 136 Submission of Concrete B80 Grey Cards ABERGELDIE","HP 136 Submission of Concrete B80 Grey Cards ABERGELDIE"
"c0d9022d-54e8-4212-a62c-b1365ecdc603","","pass","","folder","TRUE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP 137 Submission of Concrete B80 Grey Cards FERFORM"
"75ccfa2c-19cc-4fa2-b4c8-7df9c58bad7b","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP 137 Submission of Concrete B80 Grey Cards FERFORM","HP 137 Submission of Concrete B80 Grey Cards FERFORM"
"cb553ae3-10fb-4538-94ab-1b07239de03b","","pass","","folder","TRUE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP 165 -Use of each Contractor nominated mix design -  Approval of DSG 20 "
"174ec033-59bc-4ee3-bd32-157a5548a601","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP 165 -Use of each Contractor nominated mix design -  Approval of DSG 20 ","HP 165 -Use of each Contractor nominated mix design -  Approval of DSG 20 "
"2a4c5b67-1ef5-43db-bbc4-4eed3650cec2","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP173 - Aus Steel Welding Procedure Specification"
"0e46494f-7144-4183-ac0e-c6821d5f44cf","","pass","a125e648f8f5df6a39ddf54c003ebcf5407cab42d484f12d14c627643f094e6a","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","WP008 Aus Steel Qualification of Welders"
"0d0afb85-a871-4dd8-b10d-18816182117b","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP180 - Welding Procedure Specification"
"c633e9d0-0252-4a02-99e6-e07c65dea8f9","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP192 - Certificate of Conformity for SW Pipes"
"cd75ce7a-076b-430a-bf56-9ebd4f8d2452","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP199 - SCI Concrete Grey Cards "
"b07b7162-4b4d-459a-bb8c-ef91f0df75f3","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP219 - Certificate of Conformity for Drainage Materials"
"62ae951c-0813-425d-a6f7-5bba535b0062","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP243 - B80 Grey Cards - Abergeldie part 1"
"c2fcb774-6c04-4c61-8155-86f371755047","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP245 - WPQR Aussteel Cages"
"2223603b-d880-4641-ba9e-8e90fe9ae5cf","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP251 - Miscellaneous Steel Procurement "
"1cb7b184-3bd5-4a88-9f7d-0cba3cd050b6","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP252 - WPS for Miscellaneous Steel"
"e5b9e060-6fd3-4508-992e-53cd6b9c35e6","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP275 - Submission of Concrete Grey Cards Wagstaff (Pile on Pier 11 to 14)"
"ab6f7b7e-b3ed-4412-b0d7-f59a2a53b645","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP282 - Proposed N Class Concrete mix design "
"c70ef6d8-2032-40fb-847d-4cd835ad0a46","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP300 - Proposed 10:1 Stab Sand Mix Design"
"7212df19-e6e6-4eac-85a0-2ccaac2a8683","","work-in-progress","a125e648f8f5df6a39ddf54c003ebcf5407cab42d484f12d14c627643f094e6a","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","WP095 - Welding of Dowel to Bottom attachment Plate"
"fb6e37ec-8ccf-4b5a-a9b9-43ad65d78525","","work-in-progress","a125e648f8f5df6a39ddf54c003ebcf5407cab42d484f12d14c627643f094e6a","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","WP096 - Welding of Dowel to bottom attachment plate (WPQR)"
"363582e8-6034-4b63-918b-8cbf17a5c487","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP444 - Shop Drawings (M&S)"
"06684c8b-c245-4544-8f4b-1e035d9adec5","","pass","Project Startup Hold Point","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP1054 - Fosroc Nitoseal SC800 Test Report"
"2ce9bffd-4027-4e8e-8f10-5580cd490eb5","","pass","Project Startup Hold Point","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP1227 - Submission of Nominated Mixes - B80 40MPa 20mm 100 Slump (Heidelberg Materials)"
"5e69f985-5bd1-46ab-a54f-ed335e01597a","","not-applicable","Project Startup Hold Point","checklist","FALSE","FALSE","Project Start-Up","Material and Subcontractor Approvals","HP1632 - Submission of Nominated Mixes - B80 40MPa 20mm 100 Slump"
"dc7255d4-a566-4c87-8235-56b244c6d598","","pass","","folder","TRUE","FALSE","Project Start-Up","Work Methodologies"
"08fce846-e14b-4d01-a4cc-73641784f47a","","not-applicable","d900b8d812fddd46a2846055106e127c9d0d66e49a52d8348dc252c22976b520","checklist","FALSE","FALSE","Project Start-Up","Work Methodologies","HP016 - G1 Cl 26 - Temporary Works Precast Pile Cap Shell"
"5492075c-0b74-4e98-8b2d-aa2e976c49a4","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","Work Methodologies","HP080 - Verification of Driving Method"
"94018e7a-6d36-4653-8569-1899911c6811","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Work Methodologies","HP115 - Formwork Design"
"1cdaa39c-d92e-4384-8ada-2a965710f389","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Work Methodologies","HP147 Piling - Concrete Pour Method Statement"
"d53bc5e7-5214-4048-9113-f25d3ad4772a","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Work Methodologies","HP 181 Welding Procedure Specification for Tack Welds"
"e6a9ad31-1c39-4137-850d-e43943a176b6","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Work Methodologies","HP186 FernFormConcrete Pour Method Statement"
"5575b42f-af99-43de-985c-1e3460d62c6b","","not-applicable","a125e648f8f5df6a39ddf54c003ebcf5407cab42d484f12d14c627643f094e6a","checklist","FALSE","FALSE","Project Start-Up","Work Methodologies","Backfill Methodology"
"98789408-3e3b-437e-8b54-2f1ec38aa494","","pass","336fa4871d0b340350484f9d5bdf43238b51d1859d164170d1d7cbc2b4d52715","checklist","FALSE","FALSE","Project Start-Up","Work Methodologies","HP314 - Details and Design Certification of Sheet Pile Cofferdam"
"3ef074f7-f596-4ad7-b60b-f54c3dadc906","","work-in-progress","","folder","TRUE","FALSE","Project Start-Up","G Specifications"
"d2fad042-4b58-417b-8d5a-7a109394a26c","","pass","","folder","TRUE","FALSE","Project Start-Up","G Specifications","G4 - Principal's Project Accom"
"d0eadb99-9dd3-438c-bdc3-d067a9cd209c","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","G Specifications","G4 - Principal's Project Accom","HP020 - Principal's Project Accom (G4 Cl 1.3)"
"9789736a-92fd-4f69-972d-f24a129f8f91","","work-in-progress","","folder","TRUE","FALSE","Project Start-Up","G Specifications","G1"
"5747ee03-1728-4623-b76c-134946b1bdba","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","G Specifications","G1","HP056 - (G1.29.2) - Main Works - Acceptance of Prior Work, Test Piles"
"39d8f5c5-7182-4a75-adf1-d3ac544f6afd","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","G Specifications","G1","HP059 - (G1.26) Submission of Piling Pad Design"
"d854a2a1-ea64-4fa0-84c9-2b8b434f4fd1","","pass","e6a376fe9a6aa3634bc2b4898747d69179463bdba810b5f257556b4781cdf317","checklist","FALSE","FALSE","Project Start-Up","G Specifications","G1","HP60 - (G1.26) Submission of Standard Lifting Design"
