"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2aab56db-2b2a-4a9f-8c72-dcd943cd864b","","folder-normal","","","step","TRUE","FALSE","Ryman"
"bb96bdf7-9e41-4319-94eb-12e97680a549","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 1"
"1cd10434-34bb-4564-a22c-0fe65d45ba17","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 1","SA 101"
"724a2c0e-58cd-41ba-8e93-535f755dc0bb","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 1","SA 102"
"362f5318-defa-46a9-b6ba-103cca26cc57","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 2"
"4bd82822-3f83-4e5d-9056-64c425497e80","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 2","SA 201"
"a16458ff-b1e3-4768-87ca-132dd0ead1a8","","folder-normal","","","step","TRUE","FALSE","Ryman","Level 2","SA 202"
"864ba456-1b31-4c0b-8e5d-eb9b477430c3","","folder-normal","","","step","TRUE","FALSE","Subcontractors"
"1824e717-8de5-475d-bb36-b0f149d16982","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1"
"957e8693-7878-4dd4-8ab8-4d62ad5b7185","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd"
"7f0f3f15-c412-4f05-8afd-3f141b08b799","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Level 1"
"6d99d5cb-769f-4289-9d9f-9884d72cf3f7","","checklist-flat","","Check List 5","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Technical - Teal Call Solutions Ltd","Building Commissioning"
"d87f8afa-2055-485f-a5c9-5c0b6bcead66","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd"
"626cce27-eb94-4d0c-99d8-3668ab8a852d","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1"
"b273360a-6035-4a8d-97a6-15313358eb15","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","SA 101"
"ac3959b1-47dc-404e-8b35-d0ae8e275e34","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","SA 102"
"ebca213b-1f98-4ed4-ab42-318fbd435637","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","SA 103"
"4ae8a2e3-0734-4d99-9771-8b4f6f49f939","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","SA 104"
"4415cc28-e4f4-4b11-99eb-a740fb0a7b16","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","SA 105"
"320e7d85-19d9-4316-96ef-47b956bcbe05","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","SA 106"
"47dbe783-8bb1-4558-b069-f35df68c46b6","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","SA 107"
"ca182320-451b-4998-91e6-65ad54495d07","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","SA 108"
"f55ea663-dc66-49a8-b538-4e860de2b4e1","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","Lift"
"a65ddd9a-4c99-499e-9421-bc04752b404c","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","Laundry"
"5038153a-bd08-4f43-b759-6fe9bfe27b0b","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","Dungeon"
"25b58eee-49ee-4aa6-8810-446723f52f12","","checklist-flat","","Check List 3","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","PA System"
"fc4f96df-b120-452c-b05f-30cbc1ff1635","","checklist-flat","","Check List 4","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 1","Communication Room"
"fd489649-c230-4930-ba0d-8fa28af9a05d","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2"
"500e5b0a-e387-439c-a823-130046486a24","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 202"
"d03ef915-e167-4260-af86-93995cbf3ec0","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 203"
"ee518f40-fa69-4c9a-b6f9-8e44ce5f4bd2","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 206"
"b680794c-7851-4e1f-9488-e371705a24c4","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 207"
"e5a850da-8d45-405f-8dcd-e5ae24ca5f8c","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 208"
"1c94cc5b-1d2e-4eb8-8876-6e0fa27ea735","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 209"
"f5551f4f-e1a7-42e5-b27f-d3e7a764f9f3","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 212"
"5976e74c-437f-44fc-b9f7-e0792d1234cf","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 213"
"42021d72-66c2-47c9-95e9-014592b9b50b","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 214"
"536dde0c-1e83-4933-b45b-5347ddafff60","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 215"
"d1fa1e4e-d795-41ab-a39c-a08e9fe92448","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 218"
"0df457fd-280e-4fa9-b9a5-8882720d41d5","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 219"
"e6fca3b3-f115-4184-b48c-384924428d23","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 220"
"cb7813c3-66a9-4762-adf8-d8ec4842e2d2","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 221"
"4baa33f0-09bd-4e56-9dc5-492de4ab7774","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 224"
"67acf115-0da0-44c0-927d-b2bd8fdc2f17","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","SA 225"
"a0419f7b-e1f8-4d5d-ac1a-ed984566938e","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","Lift"
"5ad25525-1d46-4fa0-be8c-56633dcf319a","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","Laundry O/S SA208"
"8fa496ed-9dea-4f89-aea8-8cc209cb1dbb","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","Laundry O/S SA 220"
"7ec3502b-a5fe-43a4-aafc-9bde150380f1","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","Staircase"
"d3a34b2d-b6f2-4d87-a65d-16b8742c49e8","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","Door O/S SA 206"
"bc57feae-9c34-4825-929a-522c2b21432b","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","Door O/S SA 212"
"8f86a5b0-5296-4d54-bc1d-d3f04bc55db7","","checklist-flat","","Check List 3","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 2","PA System"
"c956d35d-b2fe-4cb5-b8a9-efde5f9f2993","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3"
"78ee2e0e-443c-4d7e-a976-ab478e94c000","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","SA 301"
"c258330d-7cc4-4f82-b9c5-8106430929b1","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","SA 302"
"e38d57ce-7023-488f-aa5c-f452b96a6f2f","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","SA 303"
"cc2f4385-b78a-436b-a552-ab7f591e6657","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","SA 304"
"6e92cfbb-69a3-4dd8-893e-0a019f89efd4","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","SA 305"
"7ebf965b-7020-4943-9d0f-f12f2c750f2e","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","SA 306"
"1a73af2e-799d-476d-9158-255aab40b712","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","SA 307"
"b6ab1754-a7bd-4300-9d71-845878311494","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","SA 308"
"f4d0e73e-27fc-442b-82c8-d334be51d827","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","Lift"
"42f6eb4f-6811-40d4-8317-2631156ccac2","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","Laundry O/S SA302"
"a507250b-112e-4c0a-8408-8bf5a816e382","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","Laundry O/S SA 306"
"156cd11e-9a62-4f21-bcf2-d5a69ac2bd0a","","checklist-flat","","Check List 3","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Level 3","PA System"
"cc21fbf1-ce05-47d2-83aa-0f8f047be60a","","checklist-flat","","Check List 5","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Painting & Patching - Rainbow Painters Ltd","Building Commissioning"
"13ab272e-8830-44db-9b52-054f7574438b","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd"
"43d8b650-5a5c-4634-87bb-4bf41330aa2b","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1"
"895a582f-8442-409e-946f-2d98272d65d1","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","SA 101"
"7af4b452-7ea6-4507-aab1-267d8254bbce","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","SA 102"
"664f152f-e782-4eca-9458-d16fbf5212ba","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","SA 103"
"a12b91e8-b31c-44f9-bd17-63cbd226ada3","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","SA 104"
"a984f931-d361-40d2-9f6a-cb4e977a0948","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","SA 105"
"43059a19-b9fb-4fd7-a176-387dba19e3aa","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","SA 106"
"92482f9c-b4d9-4748-bc7a-1a0483298f61","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","SA 107"
"f6bfdd7c-464a-4273-b9d0-e4a92b188ae8","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","SA 108"
"f60b24f5-6d2b-4875-98f9-d2a920488fd6","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","Lift"
"322c80c2-d01a-4fe7-9339-2dcae04c22dc","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","Laundry"
"39f3fde7-6271-4adc-b900-80eec161af25","","checklist-sectioned","","Check List 2","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","Dungeon"
"55ef4a5f-3fa4-482a-bf92-f85f9a4eea46","","checklist-flat","","Check List 3","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","PA System"
"2b9fcecc-cc9b-4a3d-b32b-0d56b14af534","","checklist-flat","","Check List 4","checklist-flat","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 1","Communication Room"
"c9532b33-cfd6-404a-970e-85697810b0d3","","folder-normal","","","step","TRUE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 2"
"8088cb60-d3f8-4c1e-9b3d-4908746d585d","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 2","SA 202"
"2ea9d483-3c4c-4560-a356-712dcfed4b87","","checklist-sectioned","","Check List 1","checklist","FALSE","FALSE","Subcontractors","Option 1","Fire Rating - Healthcare Fireproofers Ltd","Level 2","SA 203"
