"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"68946fea-33a1-4d64-aa8b-cd6695295f77","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1"
"72f7db51-d00a-4358-b2e0-2fcf16fd4d79","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1","B01"
"34a6c912-8b68-4aef-88e7-8bfd5dbecad8","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1","B01","Ground Floor"
"14c27a31-947a-4856-bc57-a90841600708","folder-progress has incorrect meta.stepType folder-normal","folder-progress","not-started","","checklist","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)"
"c5174fae-b860-4d09-b1e6-873e1ddd1538","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas"
"7f5ff510-ae4c-4e2f-b39e-f0664e90f6d9","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 1"
"68b9d70f-46e5-4d91-860a-bc48cdd563f2","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Care G20C (Pre-wire)","Pre Wire"
"b0235c9f-60bf-4203-ad65-f014cce9f01b","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Care G20C (Pre-wire)","Terminated & Tested"
"b81f3fdf-9b6f-441c-bdcc-4488f26d8856","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Lounge 3 (Pre-wire)"
"ceff2946-6167-4b69-aece-4a839136e666","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Lounge 3 (Pre-wire)","Pre Wire"
"a2e5be51-857c-4e59-a99d-c4a6c94ed94b","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Outside Lounge 3 (Pre-wire)","Terminated & Tested"
"a414574b-ca62-475d-8680-51b236b78fa1","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 2 - Care"
"6b3ee890-cc80-4416-8c97-f0f245a8bef7","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 2 - Care","Pre Wire"
"76424acc-7a6c-4fce-a70a-a80ce67e3b80","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 2 - Care","Terminated & Tested"
"a2036693-7f75-41e1-8b7c-c2442a72ca20","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Lounge 2 - Care","Fit off"
"2d054120-2b10-4e3f-af31-accfd3301372","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Dining/Living (Dementia)"
"26445f81-002e-4953-a9ed-e373042fc1e1","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Dining/Living (Dementia)","Pre Wire"
"5b8ae13c-ba8f-4151-ae44-d597abcc9ea1","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Dining/Living (Dementia)","Terminated & Tested"
"131fee45-315b-4676-b330-a5344321c395","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Dining/Living (Dementia)","Fit off"
"89a0320b-aea9-4034-aa2e-b6afea8f6be2","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Treatment Room"
"b87a1e52-9c5a-42d4-b4bc-da3bc0fab1aa","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Treatment Room","Pre Wire"
"65785497-0ecb-45df-a55e-d2daa8eb6d87","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Treatment Room","Terminated & Tested"
"40f1310d-39e8-4882-bdbf-21bb82864a1e","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Treatment Room","Fit off"
"9ec4cd29-947d-400a-b1a3-e0479831e3a8","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Secure Lobby"
"568d3a6f-e50b-42a8-bd4d-4589042e326e","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Secure Lobby","Pre Wire"
"9a7f68af-9b18-4492-9786-deecf7a1f097","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Secure Lobby","Terminated & Tested"
"e056ce22-f351-4497-a5e1-937bab5f92e7","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Secure Lobby","Fit off"
"cad08b22-2e67-44b4-9ae3-2dad3303c612","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Corridor Area C"
"19ae2695-576d-47b7-af7f-81c7a4002fe7","","checklist-flat","not-started","Stage 1 - Common Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Corridor Area C","Pre Wire"
"c1becde2-f3ea-4122-80bf-cc73df653488","","checklist-flat","not-started","Stage 1 - Common Areas - Terminated & Tested","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Corridor Area C","Terminated & Tested"
"c292443e-49d1-4c56-ae3c-f94627cbfe54","","checklist-flat","not-started","Stage 1 - Common Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Common Areas","Corridor Area C","Fit off"
"e922eda5-f450-4f2d-b93e-f9fd453c345f","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas"
"27efba44-7d58-4434-8a6c-d615ed46f7e7","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G1C"
"7e55c904-4493-45f1-9815-41996b0f8f4f","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G1C","Pre Wire"
"39c16353-3fd7-4452-89e3-e33183a0751c","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G1C","Install DB"
"47a12925-7cb0-476b-8314-faea8b92a215","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G1C","Fit off"
"362dbdab-bea7-486f-85d0-dad62168602c","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G2C"
"697fbf6d-1199-4487-989d-94a1a07d7d6f","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G2C","Pre Wire"
"36391e5c-c4da-44ed-bf91-7e139ec28a67","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G2C","Install DB"
"171f3a75-6f8c-4f39-bbee-21deed5d2e77","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G2C","Fit off"
"19613c7a-0f1a-45cf-9c2b-57dd9187969e","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G3C"
"06b43fe7-a6cc-4b35-bb7d-785b11233c44","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G3C","Pre Wire"
"99ae1f52-8bad-403f-ab03-3c9ff956f268","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G3C","Install DB"
"5e9e0fed-e302-454c-8393-4060ffebbea3","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G3C","Fit off"
"c06ea404-b99e-4d24-bd66-abae7a86b9bf","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G4C"
"d9d0b89b-9002-4816-a80b-80947e376fb2","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G4C","Pre Wire"
"9d4dbb7f-b402-40e8-94f8-b7d88a1e7330","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G4C","Install DB"
"d34113c0-ebc8-485d-9681-2a4282f6b425","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G4C","Fit off"
"688a0da6-7f4e-4244-abce-68a56dd496ed","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G5C"
"0e0b2c98-c312-422d-863d-6378d288d809","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G5C","Pre Wire"
"79955872-46d9-436e-8212-6ac7e8a137e4","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G5C","Install DB"
"625d4230-ccf6-49f5-a6da-d22a455d3912","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G5C","Fit off"
"f02a04bd-785b-4c85-8a46-aef2347ef5c8","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G6C"
"fb9fd8b3-2c99-46d4-80f7-acc5efe9f8e0","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G6C","Pre Wire"
"0a8922e7-13c9-409a-bd23-19f3e5f43ab8","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G6C","Install DB"
"462ea43f-3823-405f-87c9-e28b5a648d15","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G6C","Fit off"
"9f52e205-d796-490c-bca6-bccce6e7637b","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G7C"
"16237b25-fc39-4d5e-a7e2-9848ee0752ad","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G7C","Pre Wire"
"7ee86145-e8df-4224-9680-8f5cbf5c966b","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G7C","Install DB"
"938b7329-c26d-4e20-a120-692103be8ac5","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G7C","Fit off"
"8f763a68-df4f-409e-81d6-fa2ed9bbd872","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G8C"
"76a16c58-dbf6-46b1-849b-6ac3074f57cb","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G8C","Pre Wire"
"47528e26-49f3-4999-bd9e-62ed0be9c213","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G8C","Install DB"
"cc6d1a19-4145-4fb8-aeea-768195492232","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G8C","Fit off"
"4fca6b88-6360-41b1-b171-bc953c3995a7","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G9C"
"90d23f3f-abd1-4da6-9bcb-52e30ccf6172","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G9C","Pre Wire"
"d33aa480-32ba-4a02-966b-6e9076ccf1fd","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G9C","Install DB"
"aa619397-f6c8-46de-a9a0-c88e6f8beacc","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G9C","Fit off"
"a2fb640f-4bb7-4ff0-8657-a6e4635f11e2","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G10C"
"d847300f-a3d6-438e-90d9-2a3fa84807dc","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G10C","Pre Wire"
"e6e5cb7b-a21b-493c-9804-e31f30d25661","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G10C","Install DB"
"48a9aa2c-2f9f-4b72-babe-bbb2ead1a599","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G10C","Fit off"
"ab382c06-5586-4a94-88ce-b4102224f1a5","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G11C"
"e9ab0796-dd0e-47fa-85c3-491aa2769c42","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G11C","Pre Wire"
"23ce2a91-bdbc-42d2-8ce3-ff89ec8ec788","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G11C","Install DB"
"5ebfd388-6c57-4187-b3e3-f502ae5c22c1","","checklist-flat","not-started","Stage 1 - Residential Areas - Fit off","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G11C","Fit off"
"effdb803-401f-4166-8e6a-49b4d18c469d","","folder-normal","not-started","","step","TRUE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G12C"
"f4314b35-1790-4ef7-b27c-e985bdf9a4ef","","checklist-flat","not-started","Stage 1 - Residential Areas - Pre Wire","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G12C","Pre Wire"
"22dd5868-1a3e-4591-b2cc-b04118917e8e","","checklist-flat","not-started","Stage 1 - Residential Areas - Install DB","checklist-flat","FALSE","FALSE","Stage 1","B01","Ground Floor","Care (Special Care)","Residential Areas","Care G12C","Install DB"
