"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"da561f66-468b-4668-b8cf-af4a54730ce6","","folder-normal","","","step","TRUE","FALSE","Site QA"
"59a26190-f724-4c06-a6d3-6e7178afcd79","","folder-normal","","","step","TRUE","FALSE","Site QA","Block A"
"c2f1fea6-4e2e-4f6e-8785-28a1215916ed","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 22"
"d0eec14d-1a7b-4fcf-9cc3-9f96bc1dcef9","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 23"
"322045c5-c4a9-4aac-bbce-3affe7db805e","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 24"
"85c51a96-42fb-45a4-bde9-4aea97474a16","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 25"
"7f7740a0-6d19-476d-a094-dd6b22b2cf7a","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 26"
"1b6b4268-9715-42ed-9236-2ad48b0e72a9","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 27"
"87c6b059-c682-4622-b1b2-b15bf3df5729","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 28"
"83b8651b-76de-4d29-876d-8dba41044660","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 29"
"9eb589f9-cd14-4de0-9e54-d98a488861d0","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 30"
"6dd8f07e-7f22-444b-a866-800e602a845f","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block C","Unit 31"
"e5462701-bb43-4bb6-bb2e-51f1d8bb78c2","","folder-normal","","","step","TRUE","FALSE","Site QA","Block D"
"6fdf8268-6963-4859-9aad-bf692c80949e","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 32"
"f18557c7-e7d9-49db-a29c-a41ed26f89ab","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 33"
"a795697b-454b-4f25-a0aa-c033dfb164da","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 34"
"449ee119-6326-4040-9c03-3b684561e1f6","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 35"
"a8db04ba-39e6-442e-ac3e-fb5268fea4ba","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 35.1"
"e271a174-880c-4bc8-a789-70ddbdb0c23c","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 36"
"f5f0a381-8eaa-4e23-a8f8-61111aaf9f10","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 36.1"
"6f1a46f9-5040-4ddb-98d9-c17fff4d07c9","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 37"
"068f1e13-f539-45c2-ab13-e2f1795879ca","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 37.1"
"7353b95c-57a7-47e5-b3f6-38ae41c2d5c0","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 38"
"13aeb994-0ab7-443e-9ebf-b95d92fb73fa","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 38.1"
"e831b697-bc27-4f57-ba29-c2432ef9525e","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 39"
"c1661690-24e1-4e59-8b2e-3119f2097a67","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 39.1"
"501c1950-e591-46bc-a1d9-2f6b970e8987","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block D","Unit 40"
"f5967c94-dfe4-457e-a2e0-c4575f97014c","","folder-normal","","","step","TRUE","FALSE","Site QA","Block E"
"c3f9148a-f427-4408-9196-4b667e0bc131","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 41"
"3f646df4-c77f-49a0-853a-76b25ad081d7","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 42"
"11a8e0e5-eccd-4994-b3f8-42f0f3b9adeb","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 42.1"
"9432608e-ba3c-41c6-9ebf-67f469b889e0","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 43"
"acb5f12b-4d45-4ef2-9156-518a29b4039e","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 44"
"05757d74-63e0-4458-ba60-6c0e3c121b01","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 45"
"ee48631d-47f8-42fb-a053-78b73e01c7f7","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 46"
"25e0607e-a51a-4d34-be88-9213d283c88d","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 47"
"184d80c8-d160-4115-9763-38a47ecfad9e","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 47.1"
"072b47f8-7545-4cc7-be08-80d18dbb6296","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 48"
"a7f86370-6d8c-44af-8d87-fc547f7c8597","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 48.1"
"37078295-03ba-4483-a9e7-36e34e52baa1","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 49"
"35618d00-b5b6-4bc1-aad5-29ad8b6e2dc0","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 50"
"4d6afdc9-e65c-4dfe-9736-f04d0a329142","","checklist-sectioned","","Bathroom Checklist","checklist","FALSE","FALSE","Site QA","Block E","Unit 51"
