"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d7c7f120-5948-460d-845a-458e08b63e35","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"58baf044-ce54-48d8-a5f6-88694af1cd4f","","work-in-progress","","folder","TRUE","FALSE","Site QA","Accommodation Building"
"7c7457ef-cde4-4701-85f8-405e89ec050a","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level"
"32393b93-48c5-4660-88ac-428f22d2b4b6","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing"
"7640d7c4-014e-4f1e-8921-6eed3f8c3424","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Penetrations (Wall)"
"6d08a6e3-6f12-436e-9b95-884485e3ea9d","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Staff Room","Installation Water Service (Rough-ins)"
"ccff0401-d67e-4b4e-a1d3-0fdac57a5bc7","","not-started","Fit-off Kitchen Sink & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Staff Room","Fit-off Kitchen Sink & Tapware"
"8fd6cf10-62ef-43bd-8066-ef5e10710db1","","not-started","Fit-off Dishwasher","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Staff Room","Fit-off Dishwasher"
"f65f11f4-d280-4af9-bf69-eaf881ffcbc7","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Staff Room","Fit-off Toilet & Cistern"
"ee9b9669-23f8-45b8-ab8b-18f6a63b7b42","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Staff Room","Fit-off Wash Basin & Tapware"
"fab1bade-d328-45ba-819c-e24534a4cb44","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Staff Room","Fit-off Shower & Tapware"
"051cf6f6-426a-474c-94ec-478887915532","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard East"
"ce2f5035-8765-4e91-8861-a58981b09c59","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard East","Installation Downpipes & Overflows"
"bbe6e892-4105-4ed8-bbcd-2e51bcd550a0","","not-started","Installation Water Service (Mains/Risers)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard East","Installation Water Service (Mains/Risers)"
"1acf8ae4-dfb1-4338-af48-7c6c3aebd93e","","not-started","Installation Gas Service (Mains/Risers)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard East","Installation Gas Service (Mains/Risers)"
"5050bc72-0d70-4081-8495-b4bea001d3ad","","not-started","Installation Potable/Rain Water Storage Tank","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard East","Installation Potable/Rain Water Storage Tank"
"2afc8257-ae39-4945-ab3f-3c445f06bf15","","not-started","Installation Potable/Rain Water Pressure Pump","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard East","Installation Potable/Rain Water Pressure Pump"
"d2eb2635-00f9-40a7-9520-41d80291f0c9","","not-started","Installation Hot Water Plant/Unit","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - General Plumbing","Service Yard East","Installation Hot Water Plant/Unit"
"93c24254-ebb9-48a3-8181-43d2ad3d0234","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms"
"23290d14-3aab-4b10-9db5-2d4fc3ebf89d","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.01"
"1fa0358b-80fb-48c6-9f83-1dfdacf92ae0","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.01","Installation Sewer/Trade Wastes & Vents"
"8e573550-15a5-4ba7-ba2e-c52cd4b75a84","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.01","Installation Downpipes & Overflows"
"4ff7dba9-fb27-43de-bbe1-c47937b513c7","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.01","Installation Water Service (Rough-ins)"
"6cae4a0f-3d88-4d8c-a931-21d340079a78","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.01","Fit-off Toilet & Cistern"
"683b2e80-bc00-461e-aa5a-cbd91fcad1a0","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.01","Fit-off Wash Basin & Tapware"
"ab5afc60-6166-42cd-b466-b23b6214c382","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.01","Fit-off Shower & Tapware"
"58c304ef-d290-44f8-9b52-149e3adb0633","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.01","Fit-off Bath & Tapware"
"0fa98aac-4867-4e60-8357-ee78417a2341","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.02"
"04e0f9f5-593f-437a-835f-1318f2baa611","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.02","Installation Sewer/Trade Wastes & Vents"
"374ef5bc-c104-4bca-ad91-290565f9e56c","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.02","Installation Downpipes & Overflows"
"965f5ce5-1c7c-4e89-939f-9749d5635de4","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.02","Installation Water Service (Rough-ins)"
"50e48dc8-2691-45cd-bd12-4d9739e65547","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.02","Fit-off Toilet & Cistern"
"7691e3bc-360a-40f2-9235-089e6a8ffc75","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.02","Fit-off Wash Basin & Tapware"
"77ab7abf-05df-42b9-935c-dd678577f30e","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.02","Fit-off Shower & Tapware"
"be39f1ee-9e60-44e3-94fb-81e81fb0da64","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.02","Fit-off Bath & Tapware"
"22a4f058-1cf8-4489-8965-2287ae672cde","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.03"
"f5d0e42c-081a-45db-9cbe-82120227e1d0","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.03","Installation Sewer/Trade Wastes & Vents"
"267e3f63-86ef-4539-b5d9-604d399b07e0","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.03","Installation Downpipes & Overflows"
"7c957986-d066-4f64-b8e9-258cb0b77664","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.03","Installation Water Service (Rough-ins)"
"64994d37-3190-4201-b526-dad21acecbaa","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.03","Fit-off Toilet & Cistern"
"da240276-1fb9-4153-b0c5-1fb2e453b2a7","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.03","Fit-off Wash Basin & Tapware"
"656faf96-bd5e-4ca1-b59e-f4999810f053","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.03","Fit-off Shower & Tapware"
"389e05bb-37d0-4b04-a173-3d20d9d62670","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.04"
"10c2d51c-6659-46a6-b9d9-e3a37d9c315e","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.04","Installation Sewer/Trade Wastes & Vents"
"0d8c1f2b-c9f4-4996-9ceb-13eac2be0901","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.04","Installation Downpipes & Overflows"
"21d4b13e-9f5d-4fbb-8410-a5d18ad53778","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.04","Installation Water Service (Rough-ins)"
"807757d6-0f24-40d9-86b2-707a87eaaaf1","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.04","Fit-off Toilet & Cistern"
"3d50a8a8-b7d8-46f3-b4b2-9828c007df86","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.04","Fit-off Wash Basin & Tapware"
"989257d9-9d79-4d43-b421-94400cc1d8fc","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.04","Fit-off Shower & Tapware"
"632f051f-3aa5-4b56-8fe3-1c92701900b4","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.04","Fit-off Bath & Tapware"
"964a33c3-eb74-4f17-ac87-354f3ade38d6","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.05"
"720ba388-9bd3-469a-9bf5-682d790af0f3","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.05","Installation Sewer/Trade Wastes & Vents"
"d2932ae7-c371-4a1e-8402-6c638accc422","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.05","Installation Downpipes & Overflows"
"512c6396-4889-4af5-87a1-c5a960a0a3b8","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.05","Installation Water Service (Rough-ins)"
"ca3557be-2ecc-438d-9cb2-77a1102588ed","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.05","Fit-off Toilet & Cistern"
"dc6abe32-4287-4a5e-8cd0-2cbe2ba7c06c","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.05","Fit-off Wash Basin & Tapware"
"0e9eba67-618b-4ff7-84df-63d3bb4eabae","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.05","Fit-off Shower & Tapware"
"043f2023-bd8f-4c13-9d61-2ea8dd62d67d","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.06"
"ee7b90e1-95f0-48ad-9774-d461f5064bf5","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.06","Installation Sewer/Trade Wastes & Vents"
"5fa204ba-efc9-48cb-889b-a8e1737317f6","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.06","Installation Downpipes & Overflows"
"da7bd23d-3ea5-469f-bd53-996563c68f55","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.06","Installation Water Service (Rough-ins)"
"c3e5bf77-7775-4888-9ee6-ef5d2c367723","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.06","Fit-off Toilet & Cistern"
"3f4bf1b3-c6ec-4637-b666-893a90f16c59","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.06","Fit-off Wash Basin & Tapware"
"3722e54d-2e0e-4ee9-99b0-08eab80cf092","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.06","Fit-off Shower & Tapware"
"0c5aaf3d-dc59-4572-a67b-c377b0c2afd5","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.06","Fit-off Bath & Tapware"
"dddd3a0c-dc0e-4b7b-ac29-9a603a833e21","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.07"
"70f32b67-7ba6-4c65-bc65-45ea5e9643a7","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.07","Installation Sewer/Trade Wastes & Vents"
"75e90826-a861-4c85-9080-250f7882a4dc","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.07","Installation Downpipes & Overflows"
"b7fe7778-b3e3-4997-90c3-6cf759b97104","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.07","Installation Water Service (Rough-ins)"
"1c889532-6514-4efb-aedf-1717639294f8","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.07","Fit-off Toilet & Cistern"
"dd427c8f-e6c2-4ebd-b0c5-9271efaba11f","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.07","Fit-off Wash Basin & Tapware"
"f722b1c7-4457-4494-914e-b2d817ac7fe0","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.07","Fit-off Shower & Tapware"
"efebbc54-03c5-4e4b-9e5d-e9a6df64918d","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.08"
"7acd62e3-b238-40e4-846a-ba1258777418","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.08","Installation Sewer/Trade Wastes & Vents"
"85c46a1d-9545-4a08-8c2d-939319eccc63","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.08","Installation Downpipes & Overflows"
"0cb01372-dee9-406d-a571-638a38fdd065","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.08","Installation Water Service (Rough-ins)"
"dd43d931-df0f-4c49-a2d6-0f8b96934e51","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.08","Fit-off Toilet & Cistern"
"f718a7b8-023f-4c80-94e9-447f54947a00","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.08","Fit-off Wash Basin & Tapware"
"554fcc9a-74a4-4930-ac58-50c161113c1d","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.08","Fit-off Shower & Tapware"
"0837dfdb-060c-411a-851a-c7237cb3be41","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.08","Fit-off Bath & Tapware"
"9f1fef2c-e291-4790-a1aa-1ed256458a4f","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.09 (DDA)"
"0deb16fb-886b-4eea-965e-1d9ad64a46c9","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.09 (DDA)","Installation Sewer/Trade Wastes & Vents"
"dba12ffc-c366-4a86-8b83-5eb5063048a5","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.09 (DDA)","Installation Downpipes & Overflows"
"07aa7762-54b7-46ac-ac97-ded512faaca7","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.09 (DDA)","Installation Water Service (Rough-ins)"
"725401f1-46bd-4b11-a6b5-28cfd90b536f","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.09 (DDA)","Fit-off Toilet & Cistern"
"2a2a8525-dd3a-435e-a060-1047ff605097","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.09 (DDA)","Fit-off Wash Basin & Tapware"
"cf24b1c3-0b1b-4e9f-9d62-3adb91a88145","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.09 (DDA)","Fit-off Shower & Tapware"
"a55bd753-aa19-4a6c-a061-0158c4ee6e67","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.10"
"2fb35cc8-bd45-4724-8904-db5f5b1af0a9","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.10","Installation Sewer/Trade Wastes & Vents"
"33a262b1-9cf7-430b-890f-81eef0330b1e","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.10","Installation Downpipes & Overflows"
"d793d2fc-a338-4dfa-9fa0-61411522842f","","not-started","Installation Water Service (Rough-ins)","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.10","Installation Water Service (Rough-ins)"
"186b5810-9121-4e53-9bbc-e5dba846aa14","","not-started","Fit-off Toilet & Cistern","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.10","Fit-off Toilet & Cistern"
"fc1e282b-967f-4024-8fee-fd87619373c0","","not-started","Fit-off Wash Basin & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.10","Fit-off Wash Basin & Tapware"
"2c0c176b-993f-4471-90cb-3623f1f9898f","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.10","Fit-off Shower & Tapware"
"b037a496-c7db-4843-933d-32abca58eda0","","not-started","Fit-off Shower & Tapware","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.10","Fit-off Bath & Tapware"
"1b58aac2-9b92-457d-b0f5-358ab24f5517","","not-started","","folder","TRUE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.11"
"b60506c4-f880-49b1-a45d-e0b756fc6ae0","","not-started","Installation Sewer/Trade Wastes & Vents","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.11","Installation Sewer/Trade Wastes & Vents"
"7687380e-e84c-4e16-a9e9-ce0155c0af6b","","not-started","Installation Downpipes & Overflows","checklist","FALSE","FALSE","Site QA","Accommodation Building","Ground Level","GL - Guest Rooms","G.11","Installation Downpipes & Overflows"
