Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,,,,,,,,
label,c883785b-c7af-5527-b359-90eb9c585284,,note,Conformance Criteria - Measurements match the design kerb dimensions,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,4 - Kerb Foundation,,,,,,,,,,,,,,,,,,,,,
label,94091e79-3d19-5b02-ab15-af8aa4ce7499,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,,,
label,2b5b3535-b26a-597d-939b-724c26ba06ef,,note,Detail - Ensure Sub base construction is completed,,,,,,,,,,,,,,,,,,,,,
label,29aebc11-61ee-5685-ab01-47350539ab15,,note,Frequency - Prior to commencement,,,,,,,,,,,,,,,,,,,,,
label,285ab1fc-b214-5f5e-939f-962fcf922b3f,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,,,
label,779d61c0-42b2-5305-bcc5-fe57ab272084,,note,Conformance Criteria - Pavement depth and type under the kerb varies depending on location,,,,,,,,,,,,,,,,,,,,,
label,6ed7938e-f167-5c29-92fc-fe076c2292f1,,note,Records - CS-4045 Kerb Construction Record Check Sheet,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,5 - Stringing,,,,,,,,,,,,,,,,,,,,,
label,ef6aeaa9-533f-5198-8c5e-60c26368db4a,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,,,
label,90a0a50b-248b-5ede-9de5-149818062a0c,,note,Detail - Check weather forecast and avoid adverse conditions,,,,,,,,,,,,,,,,,,,,,
label,15ff8af8-7c56-5ab0-8c77-18a828be5ac2,,note,Frequency - Prior to commencement,,,,,,,,,,,,,,,,,,,,,
label,8e739954-e216-5b1a-abb9-dd8ba2a39b4e,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Document review",,,,,,,,,,,,,,,,,,,,,
label,18d243e8-7237-5c17-a9ae-b55a648a6608,,note,Conformance Criteria - No concrete to be placed in adverse weather conditions,,,,,,,,,,,,,,,,,,,,,
label,76d956bd-0ae5-5c5a-bebc-edf500c16334,,note,Records - CS-4045 Kerb Construction Record Check Sheet,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,6 -,,,,,,,,,,,,,,,,,,,,,
label,c1b09587-634b-5ef9-9543-c8bfa13e8ffa,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,,,
label,67c82388-b619-5b2e-b2e2-2caf9524b276,,note,Detail - Kerbing Subcontractor to set out steel pins and string line to design levels and identify catchpit locations,,,,,,,,,,,,,,,,,,,,,
label,f203367b-f8b8-5d55-a626-f6b0b7fb1d7b,,note,Frequency - Prior to commencement,,,,,,,,,,,,,,,,,,,,,
label,f12ace9e-07a6-5f1e-8a6f-1209bcfb4743,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection and Measurement",,,,,,,,,,,,,,,,,,,,,
label,d1f89205-0ea0-5fda-b827-ea9dbfdea9c0,,note,"Conformance Criteria - Ensure tolerances are maintained. Vertical +/-5mm, Profile +/-30mm but the width between parallel kerbs shall be +/-20mm of the required width",,,,,,,,,,,,,,,,,,,,,
label,3bc572a5-e9b4-5d0f-916a-0a896a028565,,note,Records - CS-4045 Kerb Construction Record Check Sheet,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,7 -,,,,,,,,,,,,,,,,,,,,,
label,82796926-c960-5ed5-be47-cfe624593f25,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,,,
label,f4a03c9b-f2c2-57d4-b1b3-e4b7bfc216dc,,note,Detail - Subcontractor String line to be checked by Site Engineer to ensure Horizontal and vertical smooth transition and to ensure the channels flow towards the catchpits.,,,,,,,,,,,,,,,,,,,,,
label,43c35cad-df23-55eb-9b4f-3cf8f65c7916,,note,Frequency - Prior to commencement,,,,,,,,,,,,,,,,,,,,,
label,1e6a0494-6207-5ae5-ac16-9497064f47d4,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection and Measurement",,,,,,,,,,,,,,,,,,,,,
label,e3c3d5a5-4115-57f3-80c7-e8809700c09e,,note,"Conformance Criteria - Ensure tolerances are maintained. Vertical +/-5mm, Profile +/-30mm but the width between parallel kerbs shall be +/-20mm of the required width",,,,,,,,,,,,,,,,,,,,,
label,cf20fddd-a4cb-5e6a-bd0e-5ec10d0fc07c,,note,Records - CS-4045 Kerb Construction Record Check Sheet,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,8 - Slip forming,,,,,,,,,,,,,,,,,,,,,
label,68126dbb-f9cc-5fe5-878e-91cd074893dd,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,,,
label,d28efda9-f1b9-554f-9106-0c008e1f3b9e,,note,Detail - Check correct Kerb & Channel profile is installed onto kerb Machine,,,,,,,,,,,,,,,,,,,,,
label,5c7f7a7c-c7db-515e-b2da-edc50e301ed8,,note,Frequency - Prior to slip forming,,,,,,,,,,,,,,,,,,,,,
label,d0050eb6-121f-5f49-9553-9537f0efc9b3,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection and Measurement",,,,,,,,,,,,,,,,,,,,,
label,10f62909-cf2a-5176-8405-0f9b87937e41,,note,Conformance Criteria - To ensure the correct kerb types are installed at the correct locations,,,,,,,,,,,,,,,,,,,,,
label,fa39b0b0-bd8b-5764-bde8-6c98172074af,,note,Records - CS-4045 Kerb Construction Record Check Sheet,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,9 -,,,,,,,,,,,,,,,,,,,,,
label,d04f3a92-a6ac-5a94-93e2-8d6f956f9931,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,,,
label,271dda04-c147-5b73-8063-c04d143233dc,,note,Detail - Kerbing Subcontractor to order concrete as per design Mix and to ensure the concrete is tested,,,,,,,,,,,,,,,,,,,,,
label,6d8e2dc0-c10a-5d43-b31d-627bd005f50f,,note,Frequency - During Slip forming,,,,,,,,,,,,,,,,,,,,,
label,480c22fd-30d4-5e7a-af44-4c3f27fc629e,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Document review",,,,,,,,,,,,,,,,,,,,,
label,5218d382-78b3-5d86-a972-68edaf0f62e1,,note,Conformance Criteria - To ensure the correct concrete mix is delivered,,,,,,,,,,,,,,,,,,,,,
label,6ce66b10-8223-5e74-980f-d29c1a60b3d9,,note,Records - Concrete Delivery Dockets and lab test results,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,10 -,,,,,,,,,,,,,,,,,,,,,
label,df408c63-170e-517d-8832-ce7572900434,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,,,
label,4b7d689c-f5c8-5f7b-b542-3adb7e269f8e,,note,Detail - Expansion joints to be formed at 5m centres,,,,,,,,,,,,,,,,,,,,,
label,561c56e4-a48a-5d9b-8def-fdcb47a790dc,,note,Frequency - During Slip forming,,,,,,,,,,,,,,,,,,,,,
label,ca9aa79b-d557-50e2-9613-c53b4ce98c86,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,,,
label,4563ef5f-700b-5792-a378-50a22f806706,,note,Conformance Criteria - Kerbing Specification,,,,,,,,,,,,,,,,,,,,,
label,ba4b8b07-cc5b-5b1d-abfb-c5129c1752c2,,note,Records - CS-4045 Kerb Construction Record Check Sheet,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,11 - Tie-in with pre-cast components,,,,,,,,,,,,,,,,,,,,,
label,8f98a052-decb-549f-a18c-702f2bfb08db,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,,,
label,c34dfcc9-0f67-565f-8423-dc35a72a0856,,note,Detail - Subcontractor to ensure Slip form Kerb & channel to be cut and tied-in with pre-cast components.,,,,,,,,,,,,,,,,,,,,,
label,0d0b7377-715a-536e-94d6-87f0ee8d8060,,note,Frequency - During Slip forming,,,,,,,,,,,,,,,,,,,,,
label,c9ec5894-a6f6-59ac-b142-437d4c6c403e,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,,,
label,65f7dc66-2fc0-54c1-afec-aaf8f419f320,,note,Conformance Criteria - Consistency with Work Instruction,,,,,,,,,,,,,,,,,,,,,
label,b1cb43b5-531a-5326-a58b-fc599f2421c8,,note,Records - CS-4045 Kerb Construction Record Check Sheet,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,12 - Protection,,,,,,,,,,,,,,,,,,,,,
label,c884ad58-3d7e-5d2b-af00-bb718932d275,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,,,
label,c318eecc-fec5-58f0-bcd7-caaf0d46be7b,,note,Detail - Backfilling behind kerbs to commence only after a curing time of 72 hours,,,,,,,,,,,,,,,,,,,,,
label,a79321b8-685f-59a9-8826-1fa5a3a821a2,,note,Frequency - Prior to backfilling,,,,,,,,,,,,,,,,,,,,,
label,82e7d284-4875-50a3-bad6-e465a6f6e1de,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,,,
label,024fb1f5-0fbb-5309-9030-0aa4d252d3b7,,note,Conformance Criteria - Backfilling to commence only after 72 hours,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,13 - As-builts,,,,,,,,,,,,,,,,,,,,,
label,940c45ba-beb8-54c9-a630-d1810802fe54,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,,,
label,3fd34caf-c625-523b-89a7-0f20cb0a836a,,note,Detail - Red pen mark up drawings to be included in QA file,,,,,,,,,,,,,,,,,,,,,
label,29ff40f2-53c2-5d90-8e80-3ad862353796,,note,Frequency - At the completion of the Lot of work,,,,,,,,,,,,,,,,,,,,,
label,fa6564b4-f659-584b-ac9b-d67749252084,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Drawings",,,,,,,,,,,,,,,,,,,,,
label,9f4822a5-7d91-5171-b499-df7cefac04db,,note,Records - As-built Drawing,,,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,14 - Completion Sign Off From Fields Below,,,,,,,,,,,,,,,,,,,,,
label,a806c201-1e08-5bcf-8ac2-e604f5e63f3e,,note,Records - Signatures,,,,,,,,,,,,,,,,,,,,,
