Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,5 - Sub Base Construction,,,,,,,,,,,,,,,,,,,
label,233ca137-22db-5fb8-81f4-669e086721d5,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,1dc4985d-17e7-5997-b784-91869c3b730a,,note,Detail - Material is spread from truck & trailers and any contamination is removed or loads are to be rejected if material is non compliant,,,,,,,,,,,,,,,,,,,
label,adac4c1d-15a1-59ea-aa33-b3f9fafcd404,,note,Frequency - During construction,,,,,,,,,,,,,,,,,,,
label,8c0b4743-7710-5434-85bc-dad070c906cd,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual Inspection",,,,,,,,,,,,,,,,,,,
label,bf6c4ed9-631e-5929-a3ed-979f5b261c55,,note,Records - Photos,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,6 -,,,,,,,,,,,,,,,,,,,
label,9694fe49-bf19-5cbc-b268-7fa3ed010325,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,6acf8cef-859c-591a-aac2-cd5b4f82cd2c,,note,Detail - Carry out a Level Check on the trimmed Basecourse,,,,,,,,,,,,,,,,,,,
label,6f6be30e-49fa-55fb-bc2a-0f232becd24e,,note,Frequency - 1/100m if machine control is used or 1/20m if no machine control,,,,,,,,,,,,,,,,,,,
label,f1514366-323a-5de0-a0b1-66480376e69e,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Measurement",,,,,,,,,,,,,,,,,,,
label,b3ef84e5-dc26-57f8-aa4d-cdac88eb48fd,,note,Conformance Criteria - Tolerance = -5mm/+15mm,,,,,,,,,,,,,,,,,,,
label,c086a417-7078-58f9-b0bf-744014e95f92,,note,Records - QA measurement Sheet,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,7 -,,,,,,,,,,,,,,,,,,,
label,d4ef6132-f8ce-50af-a26a-e60a3f98b7ac,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,74d8d24f-a126-51b9-9346-ffeab15498b2,,note,Detail - Degree of Compaction,,,,,,,,,,,,,,,,,,,
label,d2f6d690-19c5-575d-a1db-d7e37fdf58c5,,note,Frequency - 5 per Lot,,,,,,,,,,,,,,,,,,,
label,598df6bc-12ea-5e0b-9290-c5c919920d8a,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - NDM Lab Testing",,,,,,,,,,,,,,,,,,,
label,fdf0c47b-be49-5e67-aaca-d489f4d2dd75,,note,Conformance Criteria - Avg. >= 95% MDD and Min. >= 92% MDD,,,,,,,,,,,,,,,,,,,
label,cee8562d-2f3c-58c3-b396-21e74944cfe7,,note,Records - Pavement Lab Testing Spreadsheet,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,8 -,,,,,,,,,,,,,,,,,,,
label,f5c0a594-3734-5369-adaf-3b0b39e2e224,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,9ff3ffb0-c117-5265-8f0a-2918f3aaad18,,note,Detail - Surface shape check,,,,,,,,,,,,,,,,,,,
label,aa71dc6c-be3e-5ffe-9611-077d05d8e69f,,note,Frequency - Prior to base course Construction,,,,,,,,,,,,,,,,,,,
label,e822b3ac-5eac-5b04-b86a-53d4031b5378,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Measurement",,,,,,,,,,,,,,,,,,,
label,17392b6c-ee71-5708-99aa-b6bf45a1babc,,note,Conformance Criteria - No point of the surface shall vary more than 10mm over a 3m long straight edge,,,,,,,,,,,,,,,,,,,
label,ce183eab-6664-57e2-8448-92ffd416ee1a,,note,Records - QA measurement Sheet,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-group,,,section,Base Course Construction,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,9 - Material Compliance,,,,,,,,,,,,,,,,,,,
label,e055c6c1-1b3c-5215-b488-a6b3218d0040,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,6f65e327-c81e-54cd-b090-5c68dad172c5,,note,Detail - Aggregate material compliance for base Course stockpiles,,,,,,,,,,,,,,,,,,,
label,14a38f51-dda3-55e8-bae8-4dd8d5030cc5,,note,Frequency - Prior to commencement,,,,,,,,,,,,,,,,,,,
label,58cad80f-8f29-5abe-af6c-8b6a981f4987,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Lab Testing",,,,,,,,,,,,,,,,,,,
label,a279cfee-b023-510b-acb3-76b50c20cc80,,note,Conformance Criteria - Aggreate shall comply with TNZ M/4,,,,,,,,,,,,,,,,,,,
label,b0e75ff2-7f22-5df3-8ee6-74572ab5550f,,note,Records - Notice to Supplier and Lab Test results for the stockpiles used during construction,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,10 -,,,,,,,,,,,,,,,,,,,
label,1e2416dc-58c1-55e4-821d-e1e04ca3a27a,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,bec6f2d5-6540-5aa6-ae83-167d92da04bf,,note,Detail - All aggregate loads coming to site to have delivery dockets checked to ensure material is coming from the correct stockpile. Site Engineer to keep a running tally of material delivered to site and docket number,,,,,,,,,,,,,,,,,,,
label,78b97c41-5ef8-51fc-9a70-bb6a56225203,,note,Frequency - During construction,,,,,,,,,,,,,,,,,,,
label,da1a8f4f-f094-5ae8-b0f4-92c660573281,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Measurement and recording",,,,,,,,,,,,,,,,,,,
label,fcfe2d2c-c224-5f5d-8367-25b410c92a55,,note,Conformance Criteria - Comply with TNZ M/4 Specification. Traceability of all materials deliveresd to site,,,,,,,,,,,,,,,,,,,
label,1fc76703-e212-5ea0-aab5-381e6ba6f58f,,note,"Records - Delivery Dockets, Aggregate Deliveries Register",,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,11 - Base Course Construction,,,,,,,,,,,,,,,,,,,
label,9eb0f2e5-cbb3-5e19-888d-d2208ae8b0cf,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,8a94034e-7f81-59b5-9bbb-a3d1647056ee,,note,Detail - Mat sampling of Basecourse Material,,,,,,,,,,,,,,,,,,,
label,07e68a9a-e8f0-55cc-a2e6-c82692da8320,,note,Frequency - 1 mat sample for the job. Pavement CPS Engineer for further instruction,,,,,,,,,,,,,,,,,,,
label,a953f07f-97d2-5d3d-a9a9-306fbc52b72e,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Lab testing",,,,,,,,,,,,,,,,,,,
label,6c0c080b-4187-5321-be22-f8c0803175ab,,note,Conformance Criteria - Grading to comply with specification,,,,,,,,,,,,,,,,,,,
label,84a059f0-a434-5743-aae1-6eea68119956,,note,Records - Mat sample lab test result,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,12 -,,,,,,,,,,,,,,,,,,,
label,66a4b2d6-ad70-5382-a00c-3fc0cc8c337d,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,9f9668f6-f09f-5cc0-8407-005218022ffb,,note,Detail - Material is spread from truck & trailers and any contamination is removed or loads are to be rejected if material is non compliant,,,,,,,,,,,,,,,,,,,
label,78e1af79-193e-543c-878a-2eab3f4d1d31,,note,Frequency - During construction,,,,,,,,,,,,,,,,,,,
label,70fe6f5a-a66d-592d-8ca9-653d6277605c,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual Inspection",,,,,,,,,,,,,,,,,,,
label,8210bdad-d62e-5a93-9983-089f81d8143b,,note,Records - Photos,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,9 -,,,,,,,,,,,,,,,,,,,
label,230d28bd-dae7-520c-8737-8e53b0fdc9d3,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,afa39e0a-828b-5167-95e1-76ee0235bfa8,,note,Detail - Carry out a Level Check on the trimmed Basecourse,,,,,,,,,,,,,,,,,,,
label,f35b1c5c-fda7-51b5-a3d5-5c499b3b181b,,note,Frequency - 1/100m if machine control is used or 1/20m if no machine control,,,,,,,,,,,,,,,,,,,
label,3d7dfd3e-1803-5216-8828-f05b627dcf3f,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Measurement",,,,,,,,,,,,,,,,,,,
label,441a1e2e-91a7-53f5-b484-763f322fbbf5,,note,Conformance Criteria - Tolerance = -5mm/+15mm if constrained (kerb) Tolerance = -5mm/+5mm,,,,,,,,,,,,,,,,,,,
label,20ac5e2c-f7a9-5dde-9e65-52c5f8c7413a,,note,Records - QA measurement Sheet,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,10 -,,,,,,,,,,,,,,,,,,,
label,6152c7b6-57d1-5012-b68d-9c57ee56cbe4,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,2d124f8f-e608-516f-aa8a-dda751c85ecd,,note,Detail - Degree of Compaction,,,,,,,,,,,,,,,,,,,
label,a620f6ed-5677-58c4-9b46-bddbbe852e14,,note,Frequency - 5 per Lot,,,,,,,,,,,,,,,,,,,
label,381aad5f-7daf-511f-b7b1-5d1fe47b9124,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - NDM Lab Testing",,,,,,,,,,,,,,,,,,,
label,e8a4d1c0-2ada-5f1f-8d15-2a3dfb7b7f54,,note,Conformance Criteria - Avg. >= 98% MDD and Min. >= 95% MDD,,,,,,,,,,,,,,,,,,,
label,2df809c9-1b32-5e87-aeaf-274c68f62345,,note,Records - Pavement Lab Testing Spreadsheet,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,11 -,,,,,,,,,,,,,,,,,,,
label,608fce49-f222-5850-98ab-8fc1d292c7d8,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,802c8387-88f9-5a58-98fc-9d69c5c7af91,,note,Detail - Surface shape check,,,,,,,,,,,,,,,,,,,
label,a8bdf62f-1bbc-528a-b437-10c0aaa2c267,,note,Frequency - Prior to sealing,,,,,,,,,,,,,,,,,,,
label,7ba5b0b4-ae70-5c43-ab6f-eb496fb05ba4,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Measurement",,,,,,,,,,,,,,,,,,,
label,508ac4c9-a92b-5d61-90d4-204bdebb8bdb,,note,Conformance Criteria - No point of the surface shall vary more than 10mm over a 3m long straight edge,,,,,,,,,,,,,,,,,,,
label,b2b306a8-3dc1-55bd-8d9b-06af36a65008,,note,Records - QA measurement Sheet,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,12 -,,,,,,,,,,,,,,,,,,,
label,09863528-ec79-57b1-8cad-a8fb2926b26e,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,1e4d11af-dd9c-5b1f-9f19-ffa25f1e8034,,note,Detail - Surface finish check,,,,,,,,,,,,,,,,,,,
label,dbc60e43-9104-5cb4-bbfa-1c3e440f163d,,note,Frequency - Prior to sealing,,,,,,,,,,,,,,,,,,,
label,96d52e5f-e26f-53bb-96d8-c402c2108391,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection by CPS Engineer after site sweeping",,,,,,,,,,,,,,,,,,,
label,71030b1a-91d3-504e-838f-de20cf6d37c9,,note,Conformance Criteria - The large and small aggregates are held in place and the matrix does not displace under normal trafficking or sweeping,,,,,,,,,,,,,,,,,,,
label,373a8be4-036e-5bed-89f4-89da5862b370,,note,"Records - Site photos, Emails",,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-group,,,section,Sealing,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,13 - Seal design,,,,,,,,,,,,,,,,,,,
label,ad39c149-3ca6-547b-8400-0717408b539b,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,8115f3f7-6365-5737-9038-317f044d8c35,,note,Detail - Seal design to be reviewed prior to sealing,,,,,,,,,,,,,,,,,,,
label,5ddf09c2-6339-52ae-ad9e-bbc21678c92c,,note,Frequency - Prior to Sealing,,,,,,,,,,,,,,,,,,,
label,e9df74b1-a029-5985-88a8-52ba1f59b38d,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Review",,,,,,,,,,,,,,,,,,,
label,432bd01b-34a2-5a27-8f30-aa589bd6caba,,note,Records - Emails/NTE,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,14 - Location/Size Confirmation,,,,,,,,,,,,,,,,,,,
label,b359946d-224f-5d5c-9bd2-0bb7633e073f,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,485661b6-3aff-5fba-8015-8045b180727a,,note,Detail - Mark up extent of chipseal,,,,,,,,,,,,,,,,,,,
label,3ee77a7b-11e4-5e4d-9bfb-53ac6175796b,,note,Frequency - Prior to Sealing,,,,,,,,,,,,,,,,,,,
label,02280ee2-9674-5f9d-848f-2c6d26490ebd,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Markout",,,,,,,,,,,,,,,,,,,
label,6a154bd2-fecd-556a-81be-f0c13d699ad9,,note,Records - Photos,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,15 - Surface Cleanliness,,,,,,,,,,,,,,,,,,,
label,38a8cffa-5c64-5d08-b700-59016737a967,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,23c48578-b4df-5d1e-bc0b-d1f594228825,,note,Detail - To confirm that all loose material is removed from the surface and surrounding area.,,,,,,,,,,,,,,,,,,,
label,26fb3d07-3a30-5eea-b057-f8d169bf839e,,note,Frequency - Prior to application of binder,,,,,,,,,,,,,,,,,,,
label,2874f116-084b-510e-b7a3-4048f62cfbae,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual inspection",,,,,,,,,,,,,,,,,,,
label,2931bdc8-f659-5284-9646-4cd7a68e1da9,,note,Records - Photos,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,16 - Binder Application,,,,,,,,,,,,,,,,,,,
label,636fcd3a-937d-59d8-a051-558dbb1405de,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,27330b5e-79e9-585f-bd89-e4896001851e,,note,Detail - Ensure the Binder application is according to the seal design,,,,,,,,,,,,,,,,,,,
label,4c71d3d6-079d-546e-a1a3-af957bb51db1,,note,Frequency - During sealing,,,,,,,,,,,,,,,,,,,
label,f74e14e4-9b62-5dd8-9a27-e6acd9686249,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Measure",,,,,,,,,,,,,,,,,,,
label,02dff363-c013-5cbf-9424-95a68c60387d,,note,Conformance Criteria - According to seal design,,,,,,,,,,,,,,,,,,,
label,071019b2-1840-5752-826c-d83983d4b9bd,,note,Records - Sealing sheet,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,17 - Chip Application,,,,,,,,,,,,,,,,,,,
label,6060fbc4-701c-501d-bab4-4836d52e3590,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,6e323dd8-4bd9-5470-be25-bd7a92c3b354,,note,Detail - Ensure the Chip application is according to the seal design,,,,,,,,,,,,,,,,,,,
label,866675df-e7d4-5d95-8d32-36f0db1fc2d8,,note,Frequency - During sealing,,,,,,,,,,,,,,,,,,,
label,9a043b31-a570-5900-9e62-b524acb6246d,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Measure",,,,,,,,,,,,,,,,,,,
label,6e5a5804-1f2b-52d8-b130-9bb94704792e,,note,Conformance Criteria - According to seal design,,,,,,,,,,,,,,,,,,,
label,7ee75279-30f8-55e9-a60f-26b455ea13ed,,note,Records - Sealing sheet,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,18 - Compaction,,,,,,,,,,,,,,,,,,,
label,102000db-2e2a-590e-8d0a-ae4e02373726,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,7563fff2-3234-5d59-a25a-8f42892a4b5b,,note,Detail - At completion of rolling,,,,,,,,,,,,,,,,,,,
label,32f85830-575d-5432-9211-a5ed90b0e0a0,,note,Frequency - During sealing,,,,,,,,,,,,,,,,,,,
label,eb6de82e-acdd-5ee4-812e-a0d6bc9dcad5,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual",,,,,,,,,,,,,,,,,,,
label,0e15bc6d-2713-58d3-b8be-192da04592b8,,note,Conformance Criteria - Ensure sufficient passes with roller to embed chip (typically 4-5 passes),,,,,,,,,,,,,,,,,,,
label,30e11b46-8e94-5d6b-89fc-7012f66b922b,,note,"Records - Photos,QA measurement Sheet",,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,19 -,,,,,,,,,,,,,,,,,,,
label,7da55e0f-30c5-55e0-80af-dee71565413a,,note,"ACTION (Hold, Monitor, Witness) - W",,,,,,,,,,,,,,,,,,,
label,2e9a508f-e39b-5641-b4a0-c91f55514f5e,,note,Detail - Removal of excess chip,,,,,,,,,,,,,,,,,,,
label,a85f0e80-df11-586a-a8a4-d51bb5a7f920,,note,Frequency - Within 48 Hours of Sealing,,,,,,,,,,,,,,,,,,,
label,9687a92b-a03a-5998-887c-03550625dc70,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual",,,,,,,,,,,,,,,,,,,
label,cd8c7c76-9775-53f1-9aa8-0b34340cc4bd,,note,Conformance Criteria - Ensure all excess chip removed from site. No chip windrows left on site in Shoulders.,,,,,,,,,,,,,,,,,,,
label,79ce4688-a624-52cd-a066-0994e25b19dc,,note,"Records - Photos, Site logs",,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,20 -,,,,,,,,,,,,,,,,,,,
label,1d512069-6da0-5eae-a91d-6328352f312e,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,69819213-f331-5c17-9007-e5a2ae7cf179,,note,Detail - Surface finish check,,,,,,,,,,,,,,,,,,,
label,455df514-f7ab-5405-94a5-174486db4165,,note,Frequency - After sealing,,,,,,,,,,,,,,,,,,,
label,a26ae8cf-1dd7-591f-b9ed-5540123d0a2a,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Visual",,,,,,,,,,,,,,,,,,,
label,84602eb7-57ac-5daf-9eb3-e2dc7f9eafb1,,note,Conformance Criteria - Engineers Acceptance,,,,,,,,,,,,,,,,,,,
label,d7b2acfc-4ce5-5cf6-9a5d-5eaf901d091a,,note,Records - Photos Email,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,21 - As-builts,,,,,,,,,,,,,,,,,,,
label,a203f543-ae86-5b9d-a67f-29c48cffab8e,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,3fe5c3c8-b236-5617-a7e8-41b8c3f23992,,note,Detail - Red pen mark up drawings to be included in QA file,,,,,,,,,,,,,,,,,,,
label,b0f60817-c727-596f-8d35-932c18c0f281,,note,Frequency - At the completion of the Lot of work,,,,,,,,,,,,,,,,,,,
label,f5cadd40-8ded-550c-9155-34744cb09d25,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Drawings",,,,,,,,,,,,,,,,,,,
label,0bd74447-db38-5c1a-9265-07beea54a51d,,note,Records - As-built Drawing,,,,,,,,,,,,,,,,,,,
holdpoint,,,signoff,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
checklist-flat,,,checklist,ITP - E1401A - Captain's Culvert Inlet Remediation - Subsoil Drainage,itp,,,,Yes,ITP - E1401A - Captain's Culvert Inlet Remediation - Subsoil Drainage,75e8ab36-4838-4cce-a723-1c1edd15ebc7,,,,,,,,,,,,
checkpoint-status,,,checkpoint,Project Site reps.,,,,,,,,,,,,,,,,,,,
text,e2237771-6e5c-5960-a3ea-b80b5570a4a0,,textbox,CPS Eng.,,,,,,,,,,,,,,,,,,,
text,7e54a6b3-f8ad-5c6e-865c-600bb193bd9c,,textbox,Site Engineer,,,,,,,,,,,,,,,,,,,
text,55689a6d-df15-5278-ab5e-19db4a45206c,,textbox,Quality Eng.,,,,,,,,,,,,,,,,,,,
checkpoint-status,,,checkpoint,1 - Setout,,,,,,,,,,,,,,,,,,,
label,4b4cf16d-4273-5473-85d0-52f4d54f8584,,note,"ACTION (Hold, Monitor, Witness) - H",,,,,,,,,,,,,,,,,,,
label,9652d364-67a1-521b-bad7-04857dc17a9e,,note,Detail - Engineer to confirm the extend of sub soil drain on site,,,,,,,,,,,,,,,,,,,
label,4d1bbb12-1cd6-57f3-9f0d-bfb00a55cf55,,note,Frequency - Prior to commencement,,,,,,,,,,,,,,,,,,,
label,1306f084-b451-55ef-a955-b51fbd0a1b1b,,note,"Inspection / Test Method submission, visual inspection, testing, measure, review - Markout",,,,,,,,,,,,,,,,,,,
label,b6ccca7d-dda6-5583-b5da-ab77a7f1c461,,note,Conformance Criteria - Engineer acceptance,,,,,,,,,,,,,,,,,,,
