"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"67ba4b33-2636-4b06-a434-e90f12310246","","pass","Precast Components ITP","checklist","FALSE","FALSE","INSPECTION TEST PLAN / CHECK LIST"
"57398d74-a7f3-42bb-83ea-98990c4423a4","","pass","","folder","TRUE","FALSE","Checkers Checklist"
"816ffb34-8b03-4ece-b397-bf42b2c809d0","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B11"
"38c7d4d7-6c79-40c8-945b-861dbc01667c","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B12"
"11c50b09-f8e7-4c91-ab1a-8e0bcbba37e5","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B13"
"f163c5c4-b27d-4140-bdba-01c26a861bb4","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B14"
"ced1ba62-2147-4361-b5e6-5847ef16ccb9","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B15"
"1b8cef35-d43b-49e7-89f1-146e9540d4f8","","pass","Checkers Checklist - Type B - Fortade Bridge Plank","checklist","FALSE","FALSE","Checkers Checklist","FD-B16"
"c06c827e-9cbc-428d-b943-5949f38c826b","","pass","Checkers Checklist - Fortade Abutment Base -BB","checklist","FALSE","FALSE","Checkers Checklist","FAb-BB1"
"3f32f80b-c29f-431e-b9b9-14cb36fbc329","","pass","Checkers Checklist - Fortade Abutment Base -BB","checklist","FALSE","FALSE","Checkers Checklist","FAb-BB2"
"1a0a988d-6980-4d07-8473-071deef423b8","","pass","Checkers Checklist - Fortade Upper Wall -BB","checklist","FALSE","FALSE","Checkers Checklist","FUW- BB1"
"4224af17-015c-41b6-9792-8f502b8db1ee","","pass","Checkers Checklist - Fortade Upper Wall -BB","checklist","FALSE","FALSE","Checkers Checklist","FUW- BB2"
"f0aedbc2-62c9-4016-b941-056d406e362b","","pass","","folder","TRUE","FALSE","Installers Checklist"
"5910dbfb-5a47-4909-bbd5-169dbf6ece35","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B1"
"db8849e2-598d-4dcb-8b38-f2e4004d4cc1","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B2"
"6d8dbce4-e786-4a9a-9efe-a6ca190b4931","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B3"
"c0eaf827-f55c-4996-973f-43083631a50d","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B4"
"83942637-c069-4828-b1fe-2d85847576c4","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B5"
"d21f05de-e704-459e-9c35-b6cb03d87798","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B6"
"8cd44813-1f71-4c89-b00a-a9f2c379f5e4","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B7"
"d6a379c8-8acf-45bd-a8d4-d98f5e5e205d","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B8"
"ae81f040-1795-41ce-9d4d-32d8d4246a9a","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B9"
"f3ba8285-42fc-4fe9-a1fe-0e286451bdb3","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B10"
"43baf232-c8da-47ea-8701-01751c2ccde2","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B11"
"84043b62-2f62-4163-b518-d0d68293397e","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B12"
"0e3916d6-260b-4c0f-a9f9-8ff8fbd7914c","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B13"
"7bc34a93-09b9-4ef3-b9bb-858d5812e6cf","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B14"
"83920915-4739-4b96-a4b5-8aa987df7a5c","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B15"
"215b4be9-01e6-4989-bf8d-a5d0dfe663b4","","pass","Installers Checklist - Type B - Bridge Plank","checklist","FALSE","FALSE","Installers Checklist","FD-B16"
"01956095-1800-4fdb-b03c-a63549d6358e","","pass","Installers Checklist - Abutment Base - BB","checklist","FALSE","FALSE","Installers Checklist","FAb-BB1"
"4910e72c-c424-41c6-8509-09422fbbbc83","","pass","Installers Checklist - Abutment Base - BB","checklist","FALSE","FALSE","Installers Checklist","FAb-BB2"
"2b4afa2c-81a0-4876-b946-1f7afd9b32bc","","pass","Installers Checklist - Upper Wall - BB","checklist","FALSE","FALSE","Installers Checklist","FUW- BB1"
"7e0927cc-6cf1-4f08-b51f-75da8c3be454","","pass","Installers Checklist - Upper Wall - BB","checklist","FALSE","FALSE","Installers Checklist","FUW- BB2"
