resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 132,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 131,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,Area B,,,,,,,,,,,
,step,,,,,,,IA 130,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 129,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 128,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 127,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 126,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,,,,IA 125,,,,,,,,,,
PRE - S - First Fix - Plumbing,checklist,,,,,,,,Plumbing - First fix,,,,,,,,,
POST - S - Second Fix - Electrical,checklist,,,,,,,,Plumbing - Second Fix,,,,,,,,,
,step,,,,Completion Documents,,,,,,,,,,,,,
CST - S - Completion Documents,checklist,,,,,Completion Documents,,,,,,,,,,,,
