type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,
label,Standard / Specification - RSV - GS - 1.1,,,,,,,,,,,,,,,,
label,Verifying Document - Approved Surface,,,,,,,,,,,,,,,,
label,Frequency - Prior to Pour,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,8.01.03 - Wall Type 3 & 4 Subgrade Preparation,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Any soft soil or silts to be removed from site and subgrade to be inspected. Fill to underside of foundation with AP40 or approved fill. Fill to be compacted in 200mm layers.,,,,,,,,,,,,,,,,
label,Standard / Specification - RSV - GS - 1.1,,,,,,,,,,,,,,,,
label,Verifying Document - Approved Subgrade,,,,,,,,,,,,,,,,
label,Frequency - Prior to Pour,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,8.01.04 - Return Wall Subgrade Preparation,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Ground excavated to footing level. Backfill as required with AP40 or approved fill. Fill to be compacted in 200mm layers.,,,,,,,,,,,,,,,,
label,Standard / Specification - RSV - GS - 1.1,,,,,,,,,,,,,,,,
label,Verifying Document - Approved Backfill,,,,,,,,,,,,,,,,
label,Frequency - Prior to Pour,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-group,8.02 Concrete Pour (Pre and Post Pour Checksheet),,,,,,,,,,,,,,,,
checkpoint-status,General Details,,,,,,,,,,,,,,,,
text,Pre Pour Date,,,,,,,,,,,,,,,,
text,Concrete Strength (mPa),,,,,,,,,,,,,,,,
text,Volume (m3),,,,,,,,,,,,,,,,
text,Mix Design,,,,,,,,,,,,,,,,
text,Additives,,,,,,,,,,,,,,,,
checkpoint-status,Reinforcing has been checked and conforms to the drawings included:,,,,,,,,,,,,,,,,
text,"Bar Size & Grade, Lap Lengths, Lap Locations, Bar Supports, Bar Spacing, Cover",,,,,,,,,,,,,,,,
checkpoint-status,8.02.01 - Construction Joint Locations,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Proposed location of construction joints to be submitted to the engineer for review prior to concrete pour.,,,,,,,,,,,,,,,,
label,Standard / Specification - RSV - CS - 1.15,,,,,,,,,,,,,,,,
label,Verifying Document - Approval,,,,,,,,,,,,,,,,
label,Frequency - Prior to Pour,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
checkpoint-status,8.02.02 - Grouting of Bars,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Reinforcement installed into existing concrete shall be epoxied into the cured concrete with Hilti HIT RE 500 V3 epoxy mortar to the depth shown on the drawings and all strictly installed to the manufacturers written instructions.,,,,,,,,,,,,,,,,
label,Standard / Specification - RSV - CS - 1.18,,,,,,,,,,,,,,,,
label,Verifying Document - Photos,,,,,,,,,,,,,,,,
label,Frequency - Prior to Pour,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint-status,8.02.03 - Reinforcement Washdown,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Washdown all steel reinforcement prior to pouring concrete to remove salts.,,,,,,,,,,,,,,,,
label,Standard / Specification - RSV - CS - 1.19,,,,,,,,,,,,,,,,
label,Verifying Document - Pre-Pour Checksheet,,,,,,,,,,,,,,,,
label,Frequency - Prior to Pour,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint-status,8.02.04 - Pre-Pour Inspections,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Pouring of any concrete must be inspected by the Engineer prior to further work being carried out in the area.,,,,,,,,,,,,,,,,
label,Standard / Specification - P&G 14,,,,,,,,,,,,,,,,
label,Verifying Document - Signed Pre-Pour,,,,,,,,,,,,,,,,
label,Frequency - 48 Hours Notice Prior to Each Occurrence,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint-status,Pour Details,,,,,,,,,,,,,,,,
text,Weather:,,,,,,,,,,,,,,,,
checkpoint-status,8.02.05 - Delivery Dockets,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - The delivery docket of each batch delivered certifying the mix designation, cement type, specified strength, slump, date, mixing time, water added during batching and maximum aggregate size.",,,,,,,,,,,,,,,,
label,Standard / Specification - RSV - CS - 1.9,,,,,,,,,,,,,,,,
label,Verifying Document - Dockets,,,,,,,,,,,,,,,,
label,Frequency - Each Pour,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - PE,,,,,,,,,,,,,,,,
checkpoint-status,8.02.06 - Slump Testing,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Slump tests shall be taken for each delivery of concrete and the results recorded by the Contractor.,,,,,,,,,,,,,,,,
label,Standard / Specification - RSV - CS - 1.12,,,,,,,,,,,,,,,,
label,Verifying Document - Pre Pour,,,,,,,,,,,,,,,,
label,Frequency - Each Pour,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - PE,,,,,,,,,,,,,,,,
checkpoint-status,8.02.07 - Compression Testing,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - A set of specimens for concrete tests shall consist of four specimens from each major pour of concrete, one of which shall be tested at 7 days and the remaining three at 28 days after casting.",,,,,,,,,,,,,,,,
label,Standard / Specification - RSV - CS - 1.12,,,,,,,,,,,,,,,,
label,Verifying Document - Test Results,,,,,,,,,,,,,,,,
label,Frequency - Each Pour,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - PE,,,,,,,,,,,,,,,,
checkpoint-status,Post Pour Acceptance and Survey,,,,,,,,,,,,,,,,
checkpoint-group,8.03 Pre-Past Concrete Placement,,,,,,,,,,,,,,,,
checkpoint-status,8.03.01 - Bearing for Precast Concrete Tolerances,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - In addition to the requirements of NZS 3109 insitu concrete surfaces to provide a bearing for precast concrete work shall be cast with a level tolerance of +0mm and -3mm.,,,,,,,,,,,,,,,,
label,Standard / Specification - RSV - CS - 1.17,,,,,,,,,,,,,,,,
label,Verifying Document - Survey,,,,,,,,,,,,,,,,
label,Frequency - Prior to Placement,,,,,,,,,,,,,,,,
label,Activity - D,,,,,,,,,,,,,,,,
label,By - SV,,,,,,,,,,,,,,,,
