"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d87e8bfd-90fd-41fd-84bd-d9352e59ccf5","","no-status-not-started","","folder","TRUE","FALSE","Site QA"
"39d22343-37ee-4c3d-9215-6c39ba9455f0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Whole Site"
"65662464-a8ae-48f7-80f0-28e6fc3572d4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","04.04 - Ground Surface Treatment"
"011771f8-98bc-487e-aeb7-e2b40c99a850","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","04.05 - Embankment"
"3ea0dd69-dea1-4cdf-893a-03ea95d0e8e3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","04.06 - General Excavation"
"6e811152-dac7-409a-93e6-06b09fe4a3fa","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","04.08 - Stripping of Topsoil"
"54aae206-a6e2-44ef-9126-57a9740c9db0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","04.09 - Subgrade"
"747014c9-f374-462a-9939-0370f85b7601","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","3.HD - Horizontal Drains"
"ad215680-49c8-4efa-ab08-bb34a0928303","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","3.MM - Mac Mat R"
"e9fe86b8-5b6d-4066-a0ea-01b1c8d0e95c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","04.10 - Backfill"
"10b541ae-c32b-4569-8e62-42ffbf10856a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","04.11 - Fencing and Gates"
"7ec75bea-bd06-4109-ad0d-249f1bc85a2c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","04.18 - Subgrade Testing"
"2ed28a35-d4e5-43b1-aa35-6bf31b894ab9","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","05.01 - Placement of Unbound Pavement"
"8784ef6a-019b-452b-91a3-1a1b22ad5c45","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","05.02 - Supply of Unbound Material"
"1d8548f0-4d8a-4e91-be5e-9810721750a5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"7d4443c0-00b9-4582-bfaa-258841c3f67f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","14.01 - Supply and Installation of Road Signs"
"e5d1e5a2-527a-4a63-852e-c823f4117e52","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","14.08 - Demolition of Road Furniture"
"4f134b35-0a76-4b66-b214-93ddef34fa8b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","16.01 - Landscape and Revegetation Works"
"e3b1170c-c276-4b1e-a8e0-2709eb610f49","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","16.02 - Installation of Turfed Areas"
"ec3cb3e1-89af-4540-b13f-cf71ce92aa9d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","27.01 - Geotextile"
"d81c8ae2-b172-41a5-a1da-2ef3d8624924","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","28.01 - Contractor's Camp and Site Facilities"
"b58190a1-3132-4849-829c-389fb5f45368","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","51.00 - Environmental Management Systems"
"583d4ab7-f66f-42a1-8b03-ea55b9fb3e8e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","52.01 - Erosion and Sediment Control"
"e907688a-dab7-464f-bed8-f303dc559080","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","70.01 - Placement of Concrete"
"2a610040-cac7-4415-a760-c0daa8ee9f5f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","70.03 - Supply of Concrete"
"d9b996cd-3190-48f7-ace7-fad410e3282b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section A","71.01 - Reinforcing Steel"
"f091c5ed-8fd6-47d5-adb0-166d549c7552","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B"
"f21bcd23-3ab6-46a4-8ec9-dafa2a537cc0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","02.01 - Traffic Management"
"55cf67d2-a997-49c6-a27f-933918321478","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","3.HD - Horizontal Drains"
"3e5e982f-ae4c-4a45-91f8-d86caa3a74e3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","3.MM - Mac Mat R"
"687379b8-ce71-4bda-8f93-cfd6fe62d0de","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","03.41 - Rock Protection"
"918bb263-c23c-4703-86f7-d009e1ee68af","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","03.49 - Soil Nails"
"3803246b-2e31-47be-b4c2-aba10f56ff38","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","04.01 - Clearing & Grubbing"
"cc0880c6-ce90-4c16-aec9-c7d3349d693f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","04.04 - Ground Surface Treatment"
"7bf710fa-3f4b-4ef5-abeb-fcccc90f3e50","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","04.05 - Embankment"
"69421abc-75b2-4d32-9c38-f54f566f4918","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","04.06 - General Excavation"
"54dd428e-e5f1-49fa-b1e5-528d528c16d4","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","04.08 - Stripping of Topsoil"
"95dfbba6-3489-4cd4-86e4-282bcefbeb40","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","04.09 - Subgrade"
"8308f19d-d847-4deb-b531-d2dde4b0a687","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","04.10 - Backfill"
"466cf280-79b4-4735-acc0-613bce3c5f39","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","04.11 - Fencing and Gates"
"9d1154c7-9a85-4889-a1e5-e6f351be581b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","04.18 - Subgrade Testing"
"71cbd3ef-10bc-4c2c-9199-15c4d147a5c8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","05.01 - Placement of Unbound Pavement"
"3f930732-b070-4bad-96bb-9454ac854514","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","05.02 - Supply of Unbound Material"
"b8c2a870-6e66-4dcc-bf51-15ce86b53b64","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"5bc4a687-43ed-4ab4-a736-79dc8e18770b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","14.01 - Supply and Installation of Road Signs"
"5092f2d3-716d-4f61-b669-ffc6ea9c4cad","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","14.08 - Demolition of Road Furniture"
"b7294f45-fcaa-4602-a3c7-a8539a59090f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","16.01 - Landscape and Revegetation Works"
"9fdc27ae-1db7-4f44-a768-9f15dbbc3d43","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","16.02 - Installation of Turfed Areas"
"f7bc11df-4f25-4477-a757-76524c7e596d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","27.01 - Geotextile"
"a098cebc-2465-434c-964e-964f33b7026d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","28.01 - Contractor's Camp and Site Facilities"
"81a3262a-a296-4e07-abc3-6d35174b9112","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","51.00 - Environmental Management Systems"
"b31d3a25-81e8-401e-8979-81d13239efae","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","52.01 - Erosion and Sediment Control"
"0eccafdf-88fa-4295-89aa-1806ef1e2446","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","70.01 - Placement of Concrete"
"5f067e7c-f28c-41e6-9967-9584c9ebc5b5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","70.03 - Supply of Concrete"
"e826a35d-b3ca-4318-bfd4-8255b1e13b2b","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Section B","71.01 - Reinforcing Steel"
"59214ad1-c7c3-44af-85ac-d585cbdf3b7c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway"
"bffa2eb7-70fa-4e23-bf34-80cce37e1b00","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","3.HD - Horizontal Drains"
"a120060d-dd3b-4bb4-b50e-9ed413fa3ad6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","02.01 - Traffic Management"
"b23f093d-9228-426d-a9a3-504c0ff0cb23","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","03.41 - Rock Protection"
"b5719205-e96e-4c88-8c91-6a0ff011fe42","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","03.49 - Soil Nails"
"3c264e66-8f0a-4daa-814c-768a6452dd6d","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","04.01 - Clearing & Grubbing"
"8b8c8f25-afd0-40da-a9b0-ba8361fcdac0","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","04.04 - Ground Surface Treatment"
"e79a55f9-a9e0-4e25-92d0-16a29b0a1996","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","04.05 - Embankment"
"aa07cb51-3ba4-47af-827c-bc0175311e9a","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","04.06 - General Excavation"
"d3d19986-efae-4411-b4a3-e311b4228fe6","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","04.08 - Stripping of Topsoil"
"8c286912-a05b-4bd2-b3f8-e0e13bf53032","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","04.09 - Subgrade"
"83c6d4ed-fa03-4be1-998a-f1ee38e9f40f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","04.10 - Backfill"
"34d506bc-6461-48d7-a6f3-40137028be69","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","04.11 - Fencing and Gates"
"ddf3e9c7-64d8-4f82-adf4-003245a380e3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","04.18 - Subgrade Testing"
"7d5c49be-2a33-420d-b759-e34932e2be18","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","05.01 - Placement of Unbound Pavement"
"2f51c1c2-84e2-4896-9d80-ce5329587fb2","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","05.02 - Supply of Unbound Material"
"c178652c-2adc-4cab-8853-e35d75119cd3","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","10.01 - Plant Mixed Lightly Bound (Cemented) Pavements"
"2beae307-b015-46f7-903d-4d654e958468","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","14.01 - Supply and Installation of Road Signs"
"d99c2c78-f5fe-443d-ba29-772ef0991755","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","14.08 - Demolition of Road Furniture"
"98f76b30-426d-4772-812b-6a422c8c3eca","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","16.01 - Landscape and Revegetation Works"
"0ff542f9-9948-4b0c-991c-88ce2c7efc04","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","16.02 - Installation of Turfed Areas"
"5fe69e4b-caad-4cd7-857c-e2ef73470ff8","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","27.01 - Geotextile"
"fa6c553f-7a9c-4ec9-b1db-8e3f64de4e1c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","28.01 - Contractor's Camp and Site Facilities"
"f61854ea-af46-4e6d-8707-d453567a1515","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","3.MM - Mac Mat R"
"66db6ab1-05dc-4f93-8728-9d2510a7dd7c","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","51.00 - Environmental Management Systems"
"135b6231-4e55-48e9-8db3-560990be2816","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","52.01 - Erosion and Sediment Control"
"fc86b4c4-2e7f-4940-b646-5da008e5351f","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","70.01 - Placement of Concrete"
"fdce79aa-f517-49bf-8abd-3cd3fe29145e","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","70.03 - Supply of Concrete"
"82bcd510-cf8f-4b52-824a-2b6ae20c1fb7","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Roadway","71.01 - Reinforcing Steel"
