"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ee2d1a87-5029-57cd-b79b-36b33c1abd7d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Building A"
"9173777d-2f26-5536-ad82-6db060a31654","","folder-normal","pass","","step","TRUE","FALSE","Building A","Foundations"
"3f3d9f08-fbb4-5bf6-b254-4c979c9ec28e","","folder-normal","pass","","step","TRUE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing"
"57937ae8-dbcf-514e-9f5f-32f99561b62e","Child Concrete - Pre Pour(482ce240-5f0a-5b5b-8e0b-2288a3283565) -- Reinforcing checked and correct(fa961180-cfd9-5057-b146-e8137ec1950e): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checklist-sectioned","pass","f691c14580ed2eacb1c89be9d572fdd4af587cba9139f74d6d7569ec2b31fcd5","checklist","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit"
"482ce240-5f0a-5b5b-8e0b-2288a3283565","Child Reinforcing checked and correct(fa961180-cfd9-5057-b146-e8137ec1950e): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Lift pit","Concrete - Pre Pour"
"15393abb-ddad-5830-b95e-29b43f47893c","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"01d1a721-e706-57db-8b77-63c30c564ac2","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"9fffd467-dadc-5294-82f8-71156eacaaa6","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"8b0a521c-bcb0-5a98-94d5-72ee4f0c68f5","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"8489d9c0-37d8-5a22-ba98-35d86e951fbf","DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour","Reinforcing checked and correct"
"810ea13a-24ce-5d84-9e9b-2fd74932994a","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour","Waterproofing (checked and correct)"
"892f40bb-1f20-5e6b-ad13-d48af430a3c2","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour","Bottom of concrete pour is clean and free of debris/roughened"
"9ddf2b95-0590-5eec-abd8-acf56364d7c0","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour","Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)"
"85d2dcda-2bf5-5759-9d18-7fbdb239cfa2","","holdpoint","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pre Pour","Request Signoff"
"9d2f9b38-5013-521c-868d-db4974d60c6b","","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pour /Post Pour"
"04d92a68-7816-59b8-aa3e-c9060cb099ac","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pour /Post Pour","Concrete checked on arrival & correct (slump, MPa etc)"
"88e60c4c-5ff8-52e4-956c-d313c339c458","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pour /Post Pour","General photos/comments/observations during placement"
"6ccb08a4-26c4-51fc-9f3c-711c557eb92f","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pour /Post Pour","Concrete surface finish to specifications"
"3bbe1e81-2ccd-5df1-93cb-10c5a3c33627","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete foundation raft on AA","Concrete - Pour /Post Pour","Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)"
"9f5272e9-59ec-5dc1-8e0b-364abca1757d","Child Concrete - Pre Pour(3ea9912a-bcf0-503d-b155-2c5af3edbee4) -- Reinforcing checked and correct(1ba14b51-9d09-5261-9a3d-5341e6fc8dda): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checklist-sectioned","pass","f691c14580ed2eacb1c89be9d572fdd4af587cba9139f74d6d7569ec2b31fcd5","checklist","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up"
"3ea9912a-bcf0-503d-b155-2c5af3edbee4","Child Reinforcing checked and correct(1ba14b51-9d09-5261-9a3d-5341e6fc8dda): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour"
"d024ebbb-fa6c-542f-bd03-db23554dc816","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour","Area Accessible & Approval to start"
"55071481-886a-5eaf-8f1a-9cd49f1794f2","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"ac6f0b59-6798-58c3-a2f8-7f80cb8e59d1","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"5d06b78a-3039-543f-9a02-bc9efea78f1d","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"5d43b8d2-2042-5d42-8f40-1a4b2a7da5ed","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"1ba14b51-9d09-5261-9a3d-5341e6fc8dda","DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour","Reinforcing checked and correct"
"f8ffbe35-4554-55a1-940e-f42d92c4c27e","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour","Waterproofing (checked and correct)"
"034b2876-f9a8-503f-8d91-7fc7bc829d7f","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour","Bottom of concrete pour is clean and free of debris/roughened"
"936d1566-627c-56eb-a52e-44917030486c","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour","Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)"
"120305c6-571d-59c2-890f-4607f0d0aa60","","holdpoint","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pre Pour","Request Signoff"
"b736ec85-d671-5b51-9825-d8b495523919","","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pour /Post Pour"
"dbb23c5c-92ff-505e-886f-5f2e308acf1c","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pour /Post Pour","Concrete checked on arrival & correct (slump, MPa etc)"
"e7643cf0-357a-5cc0-9fb3-f3cfdb572399","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pour /Post Pour","General photos/comments/observations during placement"
"788f82b3-c874-5be4-a68e-97ae20449220","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pour /Post Pour","Concrete surface finish to specifications"
"face9765-815c-5fb4-9da6-df96131f5cb4","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour 2nd as per mark up","Concrete - Pour /Post Pour","Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)"
"d04025f1-7afc-5ba8-8941-87e54f0bf752","Child Concrete - Pre Pour(9d3208c1-8ac6-549c-a663-a2b22c2f61db) -- Reinforcing checked and correct(395aa018-3cb1-5add-935d-e40dc66ba4e2): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checklist-sectioned","pass","f691c14580ed2eacb1c89be9d572fdd4af587cba9139f74d6d7569ec2b31fcd5","checklist","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up"
"9d3208c1-8ac6-549c-a663-a2b22c2f61db","Child Reinforcing checked and correct(395aa018-3cb1-5add-935d-e40dc66ba4e2): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour"
"1513aac9-f546-59ee-8620-03f6c77e9ad6","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour","Area Accessible & Approval to start"
"a9a56afe-86c9-55f1-a372-8b0dab4de14b","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"ffd50984-1f8a-5b7d-884f-0f4917bed9db","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"e89a5e14-0fbb-5f58-ae0d-0a9f45931fa5","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"5ff36d60-38e7-5ae3-97eb-d7fbdcbb920c","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"395aa018-3cb1-5add-935d-e40dc66ba4e2","DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour","Reinforcing checked and correct"
"b83fec23-b650-5db9-9a26-e6a2e8967f38","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour","Waterproofing (checked and correct)"
"5c84aa6e-8c84-5e17-9dd3-cfb929613715","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour","Bottom of concrete pour is clean and free of debris/roughened"
"b0ee8824-482a-5ac6-a82d-b608473c7184","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour","Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)"
"6777097c-b8d2-581b-8080-8a5ebeec4807","","holdpoint","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pre Pour","Request Signoff"
"7297277a-e1ee-5110-8cc6-d0c77dc0fbf5","","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pour /Post Pour"
"c185671d-bdf8-513f-8cf6-c7f5c1c48361","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pour /Post Pour","Concrete checked on arrival & correct (slump, MPa etc)"
"d0282030-6e91-50ea-a77e-764c9bdbaa20","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pour /Post Pour","General photos/comments/observations during placement"
"bd804ec3-4b5e-5069-b0c2-6d8139c368a9","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pour /Post Pour","Concrete surface finish to specifications"
"0d6a5366-aad9-5148-8211-5a2a0580e746","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up","Concrete - Pour /Post Pour","Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)"
"7030fcbc-80b9-5817-a991-e1c1b3fb0f26","Child Concrete - Pre Pour(a51f433b-1758-534f-8263-54042ff9a3a4) -- Reinforcing checked and correct(070920fb-ed06-582e-ad8e-5e0db7a2ba88): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checklist-sectioned","pass","f691c14580ed2eacb1c89be9d572fdd4af587cba9139f74d6d7569ec2b31fcd5","checklist","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up "
"a51f433b-1758-534f-8263-54042ff9a3a4","Child Reinforcing checked and correct(070920fb-ed06-582e-ad8e-5e0db7a2ba88): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour"
"05f85db3-f1ab-5617-a050-87b173285401","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Area Accessible & Approval to start"
"16a48b6c-0187-5a2f-89d1-5c1a122967ae","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"daac480f-5eb3-5cf3-9f4d-9806ddc88f67","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"0f61cf5c-bf70-56b3-bdac-683165d25901","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"887d4b52-bd44-5f4e-9b1a-5275b8ebb534","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"070920fb-ed06-582e-ad8e-5e0db7a2ba88","DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Reinforcing checked and correct"
"46002cb4-60ef-5181-be2e-6f08f8b2a423","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Waterproofing (checked and correct)"
"9d3ab1b5-34f5-5a2d-a876-7d18df236e2e","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Bottom of concrete pour is clean and free of debris/roughened"
"5115ee4a-ecdf-5a45-9716-62aad7936325","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Engineer informed of pour checks completed (see consultant folder and ensure observations are closed out)"
"0a5e9b21-4a8a-5f07-8023-d17e350c2ca2","","holdpoint","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Request Signoff"
"07fed3fc-c6fb-51eb-8725-8c3ae1a5fee7","","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pour /Post Pour"
"8b7f9240-80c0-55af-bcf8-ca0681f97404","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pour /Post Pour","Concrete checked on arrival & correct (slump, MPa etc)"
"9686d296-be84-5fd3-908b-43b5b8e8b954","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pour /Post Pour","General photos/comments/observations during placement"
"2025e8bc-0877-581c-8749-add1e4b4739d","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pour /Post Pour","Concrete surface finish to specifications"
"fa26a7f9-8de0-5f8a-8561-c10683050b72","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pour /Post Pour","Concrete Pour completed correctly to specification & within tolerance in respective area(s) (photographic evidence provided below)"
"264e80c3-5024-5e97-a19d-cfe142a0f971","Child Concrete - Pre Pour(e16d832f-9981-5267-a7a4-be7277c07990) -- Reinforcing checked and correct(d798ccd4-d62a-5223-97e5-8ca4d6ff5453): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checklist-sectioned","pass","f691c14580ed2eacb1c89be9d572fdd4af587cba9139f74d6d7569ec2b31fcd5","checklist","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up "
"e16d832f-9981-5267-a7a4-be7277c07990","Child Reinforcing checked and correct(d798ccd4-d62a-5223-97e5-8ca4d6ff5453): DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-group","pass","","","FALSE","FALSE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour"
"0c6960f3-a21f-571b-965b-cf4411e75e7d","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Area Accessible & Approval to start"
"bbc52192-f581-553b-bc69-34b3db115dd2","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Formwork - Correct Dimensions & Heights"
"79056091-c5df-5877-b565-24119a39e80d","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Formwork cleaned, oiled and braced sufficiently"
"287c8da0-7ea5-5124-890b-467dc82c2bf0","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Any/All cast in items checked / correct (location and size)"
"c63752e7-8ff8-5c6a-a071-70425fbdeb1c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Penetrations correctly formed/located, checked and accurate"
"d798ccd4-d62a-5223-97e5-8ca4d6ff5453","DataPoint Size and type correct to specification(4746d3b9-af2c-53ca-bef1-03ee77a1ca28) is missing 'button' values","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Reinforcing checked and correct"
"2e93e659-3253-5a24-a7b5-5a3a85646aae","","checkpoint-status","pass","","","TRUE","TRUE","Building A","Foundations","Concrete Pours/Reinforcing","Concrete Pour as per mark up ","Concrete - Pre Pour","Waterproofing (checked and correct)"
