"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"28062c4c-357a-494e-a704-4868522d2224","","checklist-flat","not-started","Job Details Checklist","checklist-flat","FALSE","FALSE","Job Details"
"9e5183dd-d548-56e1-afbc-7b9dfaa541fd","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Project details entered below"
"86dd241c-d1ee-43cb-9bf9-704e1ba68964","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA"
"ba4b7a60-5de9-49fd-ae8f-181986639bed","","folder-normal","not-started","","step","TRUE","FALSE","Panel QA","Panels"
"457c6233-507f-42dd-baa1-5536373201ab","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","P-01"
"0a6c9eeb-0540-5dc6-8ff8-39920cb2d8e0","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-01","Precast Element Details"
"c161aeea-0935-5576-be64-2dc016bcea60","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-02","Formwork Set Up Checks"
"94ce8ec9-728a-571b-a5e7-a77ac06791d0","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"7a76fdb0-221b-548f-92ac-2fb6d29a2895","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Formwork Set Up Checks","Edge Details & Rebates"
"53ee4740-424d-51bd-8ebd-b513fa8acf2b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"ec3c956d-e113-5dbd-9d7b-429b5897f52c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Formwork Set Up Checks","MF roughening's"
"19176d77-c4a4-592a-b7e4-914a386cb72f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"e5c5f37c-ac8b-505a-acfb-52f32632836c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Formwork Set Up Checks","Mould Face Clean"
"eaabac22-832e-55da-a952-2d0fcdca57ec","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-02","Prepour Checks"
"6e8af7f4-fa4e-5162-a23c-57e6461965a6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","Mould Cleaned & Oiled"
"25940ae4-853c-5f4f-bbf1-7ab7c7f81c00","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"871298de-7c17-5ada-a588-0a962e96b505","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","Check covers on all sides, MF and TF"
"af8617d0-484c-5f45-92c5-cfbaec956882","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"1bffbdb9-9061-5296-b43a-141e266610cd","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"6e04ad67-07f2-5675-a1bd-7bc0353b22fc","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"6e14a86e-c5f9-5dc2-9cef-278112ca9e32","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","Lifters"
"cdac87cf-47d8-540e-b6ec-8e7fc12b5c02","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","Tie wire Trimmed"
"f740b219-d4ff-5e1d-98fc-2875aec30030","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","Panel fully clean"
"4216561e-3db0-50da-833e-36c5e576aa78","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","General Photos Attached"
"4a208f01-7608-50b4-9388-1209c6b58379","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"68783d7b-23c6-52aa-84b2-a17986f75cfc","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-02","Demould Inspection"
"34258dc8-0754-589e-b16e-4abf56e3bb6d","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Demould Inspection","Demould Inspection complete"
"2958b63a-ef76-53d7-afa6-33939cc6b17e","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-02","Loading Out"
"cdfb58dc-e7e3-5a31-aae6-324907b86641","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Loading Out","Photo take of Panel on Truck"
"314865d1-31b4-5b81-a01f-304a6d44980b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Loading Out","No remedial work required on site"
"bfc1929b-41ca-55ee-aa0e-6097dd0f1363","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-02","Test Results, Certificates and Documentation"
"84a5ce4f-0409-518a-82ab-7e900cf6384c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"a326c59d-d636-5ea1-9a2c-da4a6cca2e2f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Test Results, Certificates and Documentation","Concrete Docket Attached"
"dcc2a477-1ee0-5551-ad94-bf26d9e35fe8","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Test Results, Certificates and Documentation","Upload Concrete test results"
"413179c7-8464-53f9-9c86-bbaf9021f1e2","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"f60704b3-98ba-59ae-9b04-fd14d5d164b5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-02","Test Results, Certificates and Documentation","Upload Lift Designs"
"3a38fb57-53dc-47a3-b444-fc4f3a82563a","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","P-03"
"487c5937-71b0-5df6-8cf9-8f15868bf84a","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-03","Precast Element Details"
"194f26d8-9450-54fa-8bed-4dbaa2c9d9d0","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Precast Element Details","Concrete Details Complete"
"2151fdbf-ce9a-5b38-a0b9-b7143c5c64ef","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-03","Formwork Set Up Checks"
"2f3865dd-3bfb-5900-a466-3263f35f9389","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"6580f386-4db3-57fa-9857-a6913bdcb2e0","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Formwork Set Up Checks","Edge Details & Rebates"
"ac441f9e-8f82-5e43-a9ce-0a784d441b13","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"416f320e-08d2-5ba6-869e-929d80e1e741","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Formwork Set Up Checks","MF roughening's"
"66a9918a-dc87-5719-890f-374ebbedd24a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"4d0d7df0-4f35-5fea-bfc8-8e2739a337c5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Formwork Set Up Checks","Mould Face Clean"
"089cae86-6900-52c8-8e47-2201ee419eec","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-03","Prepour Checks"
"d21a0898-f76b-582a-815e-55bc1da73507","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","Mould Cleaned & Oiled"
"2a2407f7-7105-5556-a9b9-c55e450ce28e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"02ffb239-8a3f-501e-9ea8-5601078fe8bb","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","Check covers on all sides, MF and TF"
"1619241e-0c62-59a4-a801-89ef009c793f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"c7199e76-74b2-5ecc-a909-3e4ed2e3cefc","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"cfc1316c-3f62-59df-a94c-172f0b26c293","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"d9a23580-dbb7-5bed-9993-83af6b59b30f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","Lifters"
"f28c6a87-83ce-50b7-9731-57a37897ad77","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","Tie wire Trimmed"
"0838e211-08a5-59b9-8c73-b91126c2d288","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","Panel fully clean"
"6b2e01e1-eaa3-5097-bd84-be5a25332834","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","General Photos Attached"
"44e3bb10-590e-593d-8086-b327f5892c3e","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"7bb63aea-4c80-5cfc-b1c8-003562f322aa","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-03","Demould Inspection"
"f5f5cfc9-f104-56d4-8bba-c79d3712da41","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Demould Inspection","Demould Inspection complete"
"0a5cdefd-c040-52b7-b14d-e3ee4fc290e1","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-03","Loading Out"
"a3f9b28c-ff9a-5e41-a7cb-95f501165386","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Loading Out","Photo take of Panel on Truck"
"5b55ffd2-e285-52b3-afea-b747adbe5aaf","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Loading Out","No remedial work required on site"
"0aa6643a-ab3c-5591-87b0-2fde781671f9","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-03","Test Results, Certificates and Documentation"
"981fc529-fc9c-5c4d-a78d-62f3d38c23e3","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"fa76e7bd-f880-5d0c-b0bc-12d84ee572b1","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Test Results, Certificates and Documentation","Concrete Docket Attached"
"fb17c408-7ede-5fbb-8cdd-473122e297f0","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Test Results, Certificates and Documentation","Upload Concrete test results"
"5796d338-35f3-578c-bce4-324fb58f4e6f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"1331f70c-7990-5c01-acb8-585d81918cc2","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-03","Test Results, Certificates and Documentation","Upload Lift Designs"
"63ab2ae0-ca5c-47e0-9d6b-222358d37872","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","P-04"
"666b2494-3404-5029-8218-44f38e97fa6d","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-04","Precast Element Details"
"16535992-f50c-5b20-9fdb-e424ebc10edf","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Precast Element Details","Concrete Details Complete"
"14b1e061-1fd6-508a-a728-c7efcc68d584","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-04","Formwork Set Up Checks"
"5ec31f1f-12e5-5fdf-b9f6-a5ce52f86a43","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"22256d5a-ec79-5b3f-acf9-f1ba82fd567a","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Formwork Set Up Checks","Edge Details & Rebates"
"13009c16-69e6-5a99-8c3e-3b248f2fc701","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"16dd9ed9-7f49-5d8c-9b1a-fc0c02034c57","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Formwork Set Up Checks","MF roughening's"
"438f740d-d9bb-53fd-b075-a420e7b539ac","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"a94b2e7e-84d8-5e63-a78d-289876ebcb48","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Formwork Set Up Checks","Mould Face Clean"
"a668bccc-7fd6-5dd6-abf2-5aaa1b2c0c79","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-04","Prepour Checks"
"8643921c-967c-5f85-a22b-a886cb4db160","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","Mould Cleaned & Oiled"
"81417b1e-c559-52c1-8d93-620417357240","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
"115fd58c-2451-5acd-810c-6fed503e433f","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","Check covers on all sides, MF and TF"
"1232b4b6-cf38-5f4a-adbf-9abea318a726","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","There is sufficient cover to rebates around openings or weatherproofing details"
"a3183b0b-3585-591c-affe-958b63cb7a59","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","Starters (Size, Grade, Setout and Length)"
"0e479eb8-cadc-513f-a923-418c2219a1f7","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","Inserts on TF (Weld plates, RB's, TIM's, Penetrations, DB's, Rebates)"
"3b1896b3-2f75-588c-9943-f445051e73c6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","Lifters"
"50a78916-7a23-5fc7-bc2c-9981ec23a2e6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","Tie wire Trimmed"
"72e9faa3-c36d-511b-be8f-d9fe5d24ff17","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","Panel fully clean"
"e177ee60-cfdd-5092-9b3e-0c9d273a7c18","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","General Photos Attached"
"f0c5940f-e948-5ec3-be81-5fee790ce256","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Prepour Checks","Shop Drawing Checked Off (attach photo)"
"b55a9297-6197-5faa-9ede-00163a08dde5","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-04","Demould Inspection"
"e679e133-5242-5802-8f4e-407dfa4faaf6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Demould Inspection","Demould Inspection complete"
"6e0d6bfe-4b26-5447-8b70-6b006da9c049","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-04","Loading Out"
"827ab16f-f61d-57a0-b80a-da8f1f6f1d28","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Loading Out","Photo take of Panel on Truck"
"d5d3be00-86da-5bec-ba13-59612dbdc7a5","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Loading Out","No remedial work required on site"
"55293cdd-c0c4-50cf-9925-7dcb78c6e9ca","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-04","Test Results, Certificates and Documentation"
"d2f2ce99-bdf4-5aec-a0fa-333ce9541591","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Test Results, Certificates and Documentation","Upload reinforcing detail sheets"
"ab889842-0c98-502a-993e-ecaa98edab47","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Test Results, Certificates and Documentation","Concrete Docket Attached"
"7f525804-0edb-506d-9ef6-4869d251b7db","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Test Results, Certificates and Documentation","Upload Concrete test results"
"352bd18d-cbea-58d7-b14a-f226d70c7708","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Test Results, Certificates and Documentation","Upload Photo of Reinforcing Cast # Tracking"
"422fa521-92eb-5c63-96d2-a2eb9f0d12f2","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-04","Test Results, Certificates and Documentation","Upload Lift Designs"
"9f0a95c7-cc07-4352-b1ec-e57c3c8fd122","","checklist-sectioned","not-started","Precast Panel QA (V1)","checklist","FALSE","FALSE","Panel QA","Panels","P-05"
"626fa947-c565-550a-a22c-7106561b432d","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-05","Precast Element Details"
"de79d335-0062-52cf-aa32-ef331669a61c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-05","Precast Element Details","Concrete Details Complete"
"fce6451e-edec-5b85-a7e9-1fdd7e2a648b","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-05","Formwork Set Up Checks"
"8144f6f4-e86b-56a8-a6c1-77d229bcce23","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-05","Formwork Set Up Checks","Length/Width/Thickness/Cutouts/Diagonals"
"7abe5dc8-1782-5998-a5ea-b269f3087bec","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-05","Formwork Set Up Checks","Edge Details & Rebates"
"db5e65c8-761e-5a98-8572-a92f4c405d16","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-05","Formwork Set Up Checks","Inserts on MF (Weld plates, RB's, TIM's, Penetrations, DB Bottoms)"
"fc7f9541-6b8d-5342-b499-bd4f8b236bae","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-05","Formwork Set Up Checks","MF roughening's"
"85a372fd-7e74-55d0-98ed-f68fef188b4c","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-05","Formwork Set Up Checks","Sides Straight & Magnets Fastened"
"a2e2f237-3f54-502d-8213-7285f7cd19d6","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-05","Formwork Set Up Checks","Mould Face Clean"
"12995154-766f-5587-8dae-3582ffad4685","","checkpoint-group","not-started","","","FALSE","FALSE","Panel QA","Panels","P-05","Prepour Checks"
"1e9a61e8-61a6-5f97-9aea-55ed726ccff3","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-05","Prepour Checks","Mould Cleaned & Oiled"
"84a2f594-e0fb-5617-b935-b42df76f781b","","checkpoint-status","not-started","","","TRUE","TRUE","Panel QA","Panels","P-05","Prepour Checks","Reinforcing details checked/highlighted off against shop drawing (Bar sizes, grades and spacings)"
