Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,,,
,,Tundish directional flow correct,,Tundish directional flow correct,Drain,,,,,,,,,,
,,Drain terminated at tundish,,Drain terminated at tundish correctly (photo),Drain,,,,,,,,,,
,,Drain terminated at indoor unit,,Drain terminated at indoor unit correctly (photo),Drain,,,,,,,,,,
,,Access to test drain,,Access to test drain,Drain,,,,,,,,,,
,,Drain tested,,Drain tested,Drain,,,,,,,,,,
,,Photo of model & serial number,,Take photo of model and serial number,Indoor Unit,,,,,,,,,,
,,Unit installed correctly,,Unit installed correctly,Indoor Unit,,,,,,,,,,
,,Pipes fully insulated,,Pipes fully insulated,Indoor Unit,,,,,,,,,,
,,Visible duct installed,,Visible duct installed correctly and free of obstruction,Indoor Unit,,,,,,,,,,
,,Fan operating,,Fan operating and free of vibration,Indoor Unit,,,,,,,,,,
,,Grilles installed correctly,,Grilles installed correctly,Grilles,,,,,,,,,,
,,Grilles air-balanced,,Grilles air-balanced to design airflows,Grilles,,,,,,,,,,
,,Strings removed from damper,,Strings removed from damper,Grilles,,,,,,,,,,
,,Operating Temperatures/Pressures,,Correct Operating Temperatures and Pressures (provide 1 x temp read),System Operation,,,,,,,,,,
,,Additional Comments & Notes,,Additional Comments and Notes,Additional Comments,,,,,,,,,,
,,Apartment Completed,,Apartment is Completed to ASC satisfaction and ready for handover,Summary,,,,,,,,,,
,,,,,,,,,,,,,,,
