"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6e936bb5-606b-41a3-82ff-7ee237f22eeb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour"
"1c801ddb-0943-4ac6-937c-c18fa3233f16","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Basement - Shotcrete"
"211a1596-5b1e-4bb8-bc3f-8aedb6a67a63","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - Slab ","Pour 4"
"fa316823-04bb-4dbb-a465-f989f1d8c857","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Basement - In-situ walls"
"b66cf5bb-4952-4e69-a340-76da061869cd","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - In-situ walls","Basement - Raft 5"
"3556516d-ef67-4bbf-b575-f18a88c55ee2","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - In-situ walls","Basement - substation wall and cover"
"5714861e-ff0c-442b-bf7c-306576ef6f0a","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - In-situ walls","Basement - Raft 1 (CW3.3)"
"bc8fcead-961e-4bf3-941b-9c3d3ea8be35","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - In-situ walls","Basement - Raft 2 (CW2.4 & CW2.5)"
"513e7023-9509-45d1-9a7a-a9836cb0400a","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - In-situ walls","Basement - Raft 2 (CW2.3)"
"75b77ae3-2651-4791-b8b5-957d062a4031","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - In-situ walls","Basement - Raft 3 (CW1.6)"
"85fcd4c6-99b6-4d24-a2cf-261e33f4039a","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Basement - In-situ walls","Basement - Raft 3 (CW1.2, CW1.3, CW1.5)"
"2c6cbdd5-f237-4a9b-8a6d-0d7ed2d4397e","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Ground works - Pad Footings"
"15435241-931e-48a9-ad25-da31e02f4796","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Pad Footings","Concrete Pre-Pour - 10/8"
"13dd35e0-11b6-459b-9eef-d969154c2da7","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Pad Footings","Concrete Pre-Pour - 16/8"
"3fd771ee-a03e-49e8-809e-af8422fe9c44","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Pad Footings","Concrete Pre-Pour - 17/8"
"200d3852-9c71-407a-afa1-91ea843d9fcc","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Pad Footings","Concrete Pre-Pour - 20/8"
"1abf228b-0455-4ea2-bffa-d53285465ccc","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Pad Footings","Concrete Pre-Pour - 27/8"
"5f060c8e-113b-49b4-b99a-8c777014d357","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Pad Footings","Concrete Pre-Pour - 30/8"
"16926095-78da-41b4-91bf-622e4909a46b","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Pad Footings","Concrete Pre-Pour - 2/9"
"31b1fc2b-a723-4223-92e4-d696c4ee8c1d","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Ground works - Strip footings"
"054f513d-5463-45a6-93b9-b69e952a474e","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Strip footings","Strip footing 20/8"
"e2ed376b-6e11-4274-b9b6-340aa46e091c","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Strip footings","Strip Footing - 26/8"
"d70a4789-640d-4f03-88a0-c027b418d7c6","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Strip footings","Strip Footing - 31/8"
"c0366908-f92b-489b-b285-2af61fedf800","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Strip footings","Strip footing 9/9"
"4cf292b7-5598-425a-95fb-3ebcbd5c9b08","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground works - Strip footings","Strip Footing -14/9"
"1d084a6e-d7fe-4eba-b2d9-91d1b7cab540","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","T250 - Ground Beam"
"4fa6b214-0cd5-4b37-bcd0-a2ff58a15de2","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","T250 - Ground Beam","Ground Beam (T250) 11/9"
"885b596e-e414-4267-9cc9-6cdb3764bc3e","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","T250 - Ground Beam","Ground beams (T250) 6/10"
"353dfae8-2f0f-4bec-89cd-be51baeaade1","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","T250 - Ground Beam","Ground beam (T250) 15/10 "
"eed8841d-c720-4e42-9b29-e0fc1608bfbd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Ground Floor"
"895b299b-4979-4728-aac4-8f9424706228","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Ground Floor","Pour 1 "
"a8a2763d-3a1b-42db-a7b2-4688bc9680e8","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 1 ","Ground - Pour 1 (pre-pour)"
"7b45585c-9d28-46fb-aba1-c835e62fab55","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Ground Floor","Pour 2 "
"544d856c-2488-4524-8032-454c9decb70b","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 2 ","Ground - Pour 2 (pre-pour) "
"a3625820-37cd-4351-a39e-f7ea9aa595c7","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Ground Floor","Pour 3 "
"76c2eb27-3b92-44e4-84a5-3758447c5c4d","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 3 ","Pour 3a (Pre-pour) "
"513417c6-4807-4f1c-84e3-75f904c05584","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 3 ","Ground Pour 3b and 3c"
"473ac04a-9af0-4c5e-aae2-f510d502936b","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Ground Floor","Pour 4 "
"2ea271af-6795-4e90-adfa-412ac6e8f070","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 4 ","Pour 4 (Pre-pour)"
"aa9f462a-6efe-4787-bd86-b276ac2317cf","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Ground Floor","Pour 5"
"0fe57e38-0758-4ebb-be27-3f6e5480d17a","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 5","Ground - Pour 5 (Pre-pour)"
"b222e99b-a891-460c-8edb-574608ab8929","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Ground Floor","Pour 6"
"5d052c25-ccf3-4a6a-979d-7ef6006768b3","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 6","Pour 6A (Pre-pour)"
"4989687c-0779-4418-ad54-108e55075033","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 6","Infill Section (Southern portion of pour 6)"
"37457c13-a39a-438b-b18d-487e06aac56e","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 6","Ground Level - Pour 6B Lower section"
"b3b439a9-b941-4548-9b1a-c3b7e5230bb9","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 6","Ground Level - Pour 6C Lower section"
"b70a4dc3-088d-49ec-b293-1ac3ec89bf7a","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 6","Pour 6"
"1b20548e-bfa6-4dae-bfd5-a95d0490b369","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Ground Floor","Pour 7 "
"64ba9ec5-46b1-483f-9b65-87b69db37e59","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 7 ","Ground - Pour 7 Lower Section (Pre-pour)"
"d94a784f-845a-4c15-9586-c13481c58733","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 7 ","Ground - Pour 7 Upper Section - (Pre-pour)"
"c538f12b-f15b-4c78-90b9-14caf0d3f143","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Ground Floor","Pour 8 "
"984746fe-6fa5-4a22-b349-8aed48c8e14c","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Pour 8 ","Ground - Pour 8 (Pre-pour)"
"f8a3163a-ce38-4b2d-95bb-6c46645c8e5e","","checklist-sectioned","not-started","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Downturn Wall "
"8ebb36f3-9e8f-48b5-83f4-e9fb94112892","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Ground Floor","Foyer Stairs "
"331eae2b-95d7-4e19-988d-c2cfaa52d263","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Level 1"
"40a15193-ba53-415d-8f85-db327e388153","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 - Pour 1 (Pre-pour) "
"51e57906-9fb8-4033-8d88-561abfe976e0","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 - Pour 2 (pre-pour)"
"f8f191dd-bdbd-4451-ac10-ebc92b3e0b6c","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 - Pour 7 (Pre-pour)"
"4335dbe7-ca7d-4469-966a-f6473c7c16d9","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 - Pour 4"
"3ac17100-50d5-47c5-85ca-0448f6284223","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 - Pour 7 Upper section"
"7cc70231-7f04-4b7f-a3e7-aa8a5032056d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Level 1","Level 1 - Insitu Walls "
"2c33cdd6-ca64-4a82-a08e-1c2b428684de","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 - Insitu Walls ","Level 1 - (CW1.3, CW1.5 & CW1.6)"
"740b04f0-dab8-4bcf-b890-d856b9d85ac9","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 - Pour 5 & 6"
"ec0ae1b5-e3fe-4496-a848-79861414045a","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 T250 insitu wall."
"13915273-fb14-43ca-8b7b-11285eb2ac66","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 - Pour 8 (pre-pour)"
"56a322a5-5952-4d01-af19-baf7487fc9b2","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 - Pour 3 (Pre-pour)"
"df3e54ce-e4b3-4d3d-8dcd-cec9afebe0dd","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 1","Level 1 - Stair landing "
"a130430f-e4ae-4324-b30a-112280d91395","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Level 2"
"a7b582b0-4142-4141-aecf-82365f73c35f","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Level 2","Pour 2 "
"92472557-f72a-425e-b879-082b4dce74f8","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 2","Pour 2 ","Level 2 - Pour 2 (Pre-pour)"
"8f41598f-4820-4d7c-a52a-2fe14fd81ccb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Level 2","Pour 3"
"d6356084-0cc6-48b5-9d33-24bf0c8850dd","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 2","Pour 3","Level 2 - Pour 3B"
"1be61f3f-5319-4a0e-9ec8-b0f87f59b0d4","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Level 2","Pour 4"
"56250fd4-7ba2-4e4b-be44-155a0c5b57b8","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 2","Pour 4","Pour 4 (Pre-pour)"
"8a4fa4bf-807c-4a32-8c14-86f77fc8fbdd","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Level 2","Pour 5"
"31bb6174-fa4d-4876-aead-6d58b3449f86","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 2","Pour 5","Level 2 - Pour 5"
"6256f512-1742-4c7d-8aa3-cad2a4a4b02f","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Level 2","Pour 6"
"7406ef40-7868-46fc-817d-fdf0581d7f5a","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 2","Pour 6","Level 2 - Pour 6 (t250 mezzanine)"
"2177e5df-96fe-4c94-b21c-091ecce8fa4c","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 2","Level 2 Infill"
"e0490b27-0841-405d-8e4b-a3e0e18a2cef","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Level 3"
"5a6f25f8-bf48-4830-a496-6a595afc58f1","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 3","Level 3 - Pour 3B (Pre-pour) "
"c070a815-855c-45c9-886e-6e511fcef261","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 3","Level 3 - pour 1a"
"a2af0455-31b9-4021-9bba-52b28baced7e","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 3","Level 3 - Pour 5"
"b3069476-c6bb-4439-aa45-0412aa70a339","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 3","Level 3 - Pour 2A"
"10319095-bd92-4da0-b0f5-872d9fe6c6e6","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 3","Level 2 - Pour 3A"
"70631317-e787-46a1-858d-b39a40b587f7","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 3","Level 3 pour 6"
"0e24f68d-b5cc-404f-a552-fe865a177e17","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 3","Level 3 - Pour 3 "
"3628c1b0-fb15-45f0-85ca-b457b81ba595","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 3","Level 3 Upstand Wall"
"d5b712d3-2659-402d-b93b-5449fd479bb6","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 3","Level 3 Pour 5"
"2c278719-71a4-4ffb-8d84-adb8202f5944","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 3","Level 3 - Pour 2B Composite"
"1adc7233-5acd-4927-aefd-c45fde9bfaae","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Level 4"
"c6e29717-85d1-42e5-b257-dd77d96d559a","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 4","Level 4 - Pour 1 Beam"
"59212e8a-eafb-4f75-90c1-27f193d9d748","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 4","Level 4 - Pour 1 Composite "
"01f3a444-be03-443d-9f32-ae657e8b905d","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 4","Level 4 Pour 2 - Composite"
"76dfc2a3-258b-41e7-a5e9-f22a787387c0","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 4","Level 4 - Pour 4 "
"9aacfe81-53b1-4748-bcc2-2a606583c71b","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 4","Level 4 - Pour 5 "
"2894ad63-e874-4647-a2eb-1d8380706ef8","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 4","Level 4 - Pour 3 (Composite)"
"f40ac195-efbf-4bd4-b14b-46363e5923cc","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Level 4","Level 4 SE core infill slab"
"fe315a28-801f-4c70-a7e9-bad0a736f0a9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Stairs"
"e189ec98-cf0c-4d7d-aed2-d6efd5ed4b17","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Stairs","Raft 2"
"1e542c79-2f83-40dc-b217-f95058ef5bc5","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Stairs","Raft 3"
"47793556-b7e7-4ab9-b37d-daccf983e041","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Stairs","Core 1 - GF-L1"
"b72f5a9a-fa99-4f77-ab3f-526c7178c867","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Stairs","Core 3 - GF-L1"
"d9c3dbb8-b1ef-455c-998a-bcafde84eef6","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Stairs","Core 4 - G-L1"
"829792f6-95af-4d17-8a8f-7ce5ef166519","","checklist-sectioned","work-in-progress","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Stairs","Core 3 - L1-L2"
"706875d2-0625-47b6-9f38-b5f4751d8c72","","checklist-sectioned","not-started","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Stairs","Core 1 - L1-L2"
"92947bee-a15e-4f50-b7c9-bda0b8b8e4b0","","folder-normal","pass","","step","TRUE","FALSE","Structure - Prepour","Columns"
"9b65871a-da85-4df8-ae89-6a926bb9d96a","","checklist-sectioned","pass","Concrete Pre-Pour Checklist (Issue No1.1-V.280416)","checklist","FALSE","FALSE","Structure - Prepour","Columns","C20 - 15/2"
"9e8a443f-3807-4149-8364-2abeb5bfe828","","folder-normal","work-in-progress","","step","TRUE","FALSE","Structure - Prepour","Stage 3B"
