"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b81f74e5-97a6-4f1d-bb47-d6cf30a45d81","","folder-normal","","","step","TRUE","FALSE","QA Plan"
"047a6082-88e8-4963-800d-6a091e6c910d","","checklist-flat","","88e8843258c71c465b6d60f20691bf8da6ce131a3205db107d7f1b77dd93351d","checklist-flat","FALSE","FALSE","QA Plan","Sewer BG"
"2f79c6ab-f579-43f0-b878-e33d43ee11b8","","checklist-sectioned","","f58a938bcea0f6781ce589dd49bcb38277e6388ca2f6b53f42f64c3a1cea4ade","checklist","FALSE","FALSE","QA Plan","Fix 1"
"c970c1c9-8d78-4e03-8241-ef74649edff3","","checklist-sectioned","","f30d2997cdba026003f2e93e2053bd3ae52c57ab1bfe63588a7207827ab7b009","checklist","FALSE","FALSE","QA Plan","Fix 2"
"dfdf3740-b720-4304-aafa-759aa84b133d","","checklist-sectioned","","d6490537a45f7d8394bcc9943cd5b26f637895aa4b49b866b3d14042d164a770","checklist","FALSE","FALSE","QA Plan","Corridor"
"862dfa4e-007b-4e0b-b87c-3220d1e48c07","","checklist-flat","","d86f8e1458789e5fd4368f00350f6b0005a1e6cc67d29c9c9cd3dc718b31041f","checklist-flat","FALSE","FALSE","QA Plan","Slab Penetration"
"0f96e7a1-5d90-4175-b535-e7e6c29dbd60","","folder-normal","","","step","TRUE","FALSE","QA"
"9f2112be-27bf-4033-8435-705290c6db92","","folder-normal","","","step","TRUE","FALSE","QA","Civil"
"9d2e2863-1865-47b8-97e2-8df2f5e69cd6","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)"
"8d8fb26d-ddd9-453d-8580-f433bb304f74","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pipework"
"5cb780f7-76cb-4769-a1c1-71ab040978ea","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Stormwater Pump Station (1)"
"faa78d86-d7be-4630-9e18-4c42c03abc8c","","checklist-flat","","Pump / Macerator Station","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Stormwater Pump Station (1)","Pump / Macerator Station"
"1dfd5227-aff8-4de0-8421-ec8db64dc86b","","checklist-flat","","Commissioning Pump / Macerator Station","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Stormwater Pump Station (1)","Commissioning Pump / Macerator Station"
"0c1c2bd5-b8d2-4f29-9d55-24cc050788c1","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (South)","Pits"
"409cdcf4-8eb4-435c-8d91-3c788bb59b9e","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Pits","Pit (2)"
"5c8e13a4-fea0-48c4-8e90-67b6fd51699e","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Pits","Pit (2)"
"24b77fa6-7eab-45fd-ae40-69ed67b485f7","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Pits","Pit (3)"
"3273d0dd-678d-47c9-b8c0-a430c76d50e7","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Pits","Pit (4)"
"dc2f418c-95e4-4ccc-bab0-2d1fecedcf0b","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Pits","Pit (5)"
"7b0dc26c-ca90-46e9-aa23-eda6a8f11b19","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Pits","Pit (6)"
"c170f824-cc3a-4c96-ba36-020be30281ff","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Pits","Pit (7)"
"0c37ff7a-9611-4f15-b507-0165a716c03d","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (South)","Pits","Pit (8)"
"2e083a43-ab4c-46f0-adf5-e93ad58f2fd1","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (North)"
"98dbee3c-75bc-44c9-8483-d75ab44c4079","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (North)","Pipework"
"d081aabe-70f5-4aa3-9ccf-c3cbe8e98fe2","","checklist-flat","","Stormwater BG","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (North)","Pipework","South to Pit (12)"
"89da7089-769b-4baa-b190-08ca9975c78c","","checklist-flat","","Stormwater BG","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (North)","Pipework","Pit (12) to Stormwater Pump Station (10)"
"a64a5de7-656f-4230-947c-0ee46e5c6830","","checklist-flat","","Stormwater BG","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (North)","Pipework","Stormwater Pump Station (10) to Pit (11)"
"51b060c5-7259-4cf0-b4f5-399fbd4dff9b","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (North)","Stormwater Pump Station (10)"
"9ad1a504-39ac-417c-98c5-8f9121478f5b","","checklist-flat","","Pump / Macerator Station","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (North)","Stormwater Pump Station (10)","Pump / Macerator Station"
"8fe951bf-2b24-4aa1-8307-354ee992dbef","","checklist-flat","","Commissioning Pump / Macerator Station","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (North)","Stormwater Pump Station (10)","Commissioning Pump / Macerator Station"
"8ea9e0e3-7e9b-407f-a292-978900ec8f68","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Basement 01 (North)","Pits"
"81d6802f-238e-4eb8-aa30-afbbd457bca6","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (North)","Pits","Pit (11)"
"a410f80b-62bb-4d95-bb6e-2008a8a6a13b","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Basement 01 (North)","Pits","Pit (12)"
"5a1dd25a-8e79-45ca-baff-8d7ecd5f687a","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Ground Floor (Sheet 1)"
"4065ca6e-3ebe-4898-b69e-08a6a0e4f0e2","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Ground Floor (Sheet 1)","Pipework"
"50a65840-e899-4cfc-b1d8-ba27cdf447c9","","checklist-flat","","Stormwater BG","checklist-flat","FALSE","FALSE","QA","Civil","Ground Floor (Sheet 1)","Pipework","Basement to Pit (13)"
"05ece1d9-7f2f-45ec-b845-0c50d5a42497","","checklist-flat","","Stormwater BG","checklist-flat","FALSE","FALSE","QA","Civil","Ground Floor (Sheet 1)","Pipework","Pit (13) to Existing Pit (Authority)"
"0efb021b-8a6b-4b29-ba55-ec9426dd6a94","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Ground Floor (Sheet 1)","Pits"
"78ca0b4e-a3b5-49d2-b5f7-992edd908222","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Ground Floor (Sheet 1)","Pits","Pit (2)"
"6380cd19-e6bc-411f-8ff4-19480300dbdb","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Civil","Ground Floor (Sheet 1)","Pits","Pit (Authority)"
"282de334-ccdf-4ad7-9fc1-d339a5783019","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Ground Floor (Sheet 2)"
"ab9b86f3-f5ff-49cd-870e-5938995abfef","","folder-normal","","","step","TRUE","FALSE","QA","Civil","Ground Floor (Sheet 2)","Pipework"
"1f911039-d33b-4a55-a7ae-fe430964dfe3","","checklist-flat","","Stormwater BG","checklist-flat","FALSE","FALSE","QA","Civil","Ground Floor (Sheet 2)","Pipework","Trench Grate to Existing GPs"
"11be9e42-c967-440f-90d2-7998e8ad91be","","checklist-flat","","Trench Grate","checklist-flat","FALSE","FALSE","QA","Civil","Ground Floor (Sheet 2)","Trench Grate"
"edc26344-4fdc-4645-a745-824f7c40fa6f","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics"
"cc73d0cd-5e82-4bea-812b-9b76cc4302de","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Basement 01 (South)"
"2580400b-3796-46af-9731-a12a368ebe97","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Basement 01 (South)","Overall Floor Plan"
"94d67c2d-d870-43fe-98d2-040942a26682","","checklist-flat","","Sewer BG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Overall Floor Plan","Sewer BG"
"e5610318-720a-4680-9da2-bb34f3955779","","checklist-flat","","Sewer AG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Overall Floor Plan","Sewer AG"
"4a7ca408-d455-42a6-82f4-b6c3d5aca98a","","checklist-flat","","Stormwater AG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Overall Floor Plan","Stormwater AG"
"48ca3641-b0e9-470a-a43c-f4a15f8007e3","","checklist-flat","","Cold Water Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Overall Floor Plan","Cold Water Checklist"
"0cd7f1de-91f8-4a6b-81d1-ac430be1916c","","checklist-flat","","Rainwater","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Overall Floor Plan","Rainwater"
"eb419f35-20c2-4cf4-979c-75b98e54f270","","checklist-flat","","Hot Water","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Overall Floor Plan","Hot Water"
"2ea7ccbb-dd96-4ff7-8396-9dccf08b6718","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)"
"7f18b07d-004b-486e-953e-cc4c38a8d02d","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Sewer BG"
"a63e6fa4-d6d6-4a89-9cc2-ca8c4cae20e8","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Sewer Pump Station"
"7af40e56-0f55-4861-a9d4-7eb7df45eb5a","","checklist-flat","","Pump / Macerator Station","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Sewer Pump Station","Pump / Macerator Station"
"acf38464-cbaf-4715-97ae-37b651582592","","checklist-flat","","Commissioning Pump / Macerator Station","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Sewer Pump Station","Commissioning Pump / Macerator Station"
"43a9f4e6-02da-4259-9281-dca46ded921b","","checklist-flat","","Sewer AG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Sewer AG"
"e42ff394-c748-4c3b-a014-7698a05982a1","","checklist-flat","","Greasy AG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Greasy AG"
"4c04e6d6-7bd7-4615-9143-47b750020886","","checklist-flat","","Stormwater AG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Stormwater AG"
"30e7cfb4-f8ee-4b7b-8436-47e94fe06087","","checklist-flat","","Storage Tanks","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Cold Water Tank"
"7d875374-143d-418b-817c-691255720007","","checklist-flat","","Storage Tanks","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Rainwater Tank"
"7b1ce065-1a76-47e8-b992-e04283078a28","","checklist-flat","","Storage Tanks","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Trade Waste Tank"
"ce610ec3-2be8-4fd0-a178-a579a6cb5645","","checklist-flat","","Upload Commissioning Sheets","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Cold Water Pumps"
"f85494da-949c-4cf7-85d8-e6bc319d064e","","checklist-flat","","Upload Commissioning Sheets","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Rainwater Plant"
"f2e5322b-c6fc-453c-8203-270923e1a4bf","","checklist-flat","","Upload Commissioning Sheets","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Hot Water Plant"
"0a4509e3-8be4-4ee2-a614-a2f1207f2778","","checklist-flat","","Sewer BG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Sewer BG"
"d5ffe1a7-66c2-4ac4-b801-8195376b684b","","checklist-flat","","Cold Water Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Cold Water Checklist"
"58091813-6769-4013-a5cb-3065733be9b1","","checklist-flat","","Hot Water","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Hot Water"
"15bf0aca-9a77-489f-99d7-e5bed9ac8b8f","","checklist-flat","","Rainwater","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Rainwater"
"cc8bb824-39ee-45da-9dd1-1d257c31e0ff","","checklist-flat","","Water Meter Validation","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Authority Main"
"bc6c4875-fb72-450a-ad0a-d3249dc62719","","checklist-flat","","Water Meter Validation","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Cold Water Tank"
"55b1c245-13b9-43bb-8724-fe4b7cd54bcd","","checklist-flat","","Water Meter Validation","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Pump & Tanks_B1 (B024)","Rainwater Plant Bypass"
"061315e2-a3e8-47f5-bacb-ee1eb1d3e310","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Basement 01 (South)","Lift Area"
"6f28aaf5-d131-4eac-ba68-e326ffbf0a02","","checklist-flat","","Cold Water Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Lift Area","Cold Water Checklist"
"4b07ff73-9d84-492e-a719-a178f441bf33","","checklist-flat","","Hot Water","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Lift Area","Hot Water"
"0c7cce18-6f78-4f4c-ae42-b78e5ebe2439","","checklist-flat","","Upload Commissioning Sheets","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (South)","Lift Area","Hot Water Plant"
"007cb964-7734-4c1f-a191-4f654d665c80","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Basement 01 (North)"
"062eba05-f43d-4653-b6f9-e4fc3b76fb2e","","checklist-flat","","Sewer AG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (North)","Sewer AG"
"e42fc0f3-6dc8-4444-960f-be042c671bb0","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Basement 01 (North)","Sewer Pump Station"
"d90f5d95-fb6f-497d-a791-c9083b1f8db7","","checklist-flat","","Pump / Macerator Station","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (North)","Sewer Pump Station","Pump / Macerator Station"
"1e1bf992-65d3-4bc7-abc1-69e49e19a917","","checklist-flat","","Commissioning Pump / Macerator Station","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (North)","Sewer Pump Station","Commissioning Pump / Macerator Station"
"bde1acce-7698-428a-986c-e096db5915cc","","checklist-flat","","Cold Water Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Basement 01 (North)","Cold Water Checklist"
"84d23fac-7028-43b1-9cb2-3c0b82b9c9f7","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Ground Floor"
"ca75edfa-db0a-4c39-8dc4-cd1bac589f97","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Ground Floor","Site"
"0feb5329-2ed7-49c8-898c-d66de188ddd7","","checklist-flat","","Cold Water BG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","Site","Cold Water BG"
"f712a397-3ba2-4ec0-b54f-3b6344d4a6dd","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Ground Floor","Riser 2 G031"
"119e0dcf-7445-4cb2-a499-0ecb38b37c8e","","checklist-flat","","Cold Water Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","Riser 2 G031","Cold Water Checklist"
"5c8078ac-79ad-4c67-b4bc-8fad5f421301","","checklist-flat","","Rainwater","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","Riser 2 G031","Rainwater"
"51251f79-3449-4ff6-8f73-3479c5a8c01c","","checklist-flat","","Hot Water","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","Riser 2 G031","Hot Water"
"60a1071d-e1b3-4749-bf04-41597cf2a475","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Ground Floor","GH Decant WC G019"
"90fcc434-4786-4f16-bf80-70897c508031","","checklist-flat","","Rough In Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","GH Decant WC G019","Rough In Checklist"
"f6121884-1760-428f-8ecd-60727d1c81f1","","checklist-sectioned","","Service Log - Thermostatic Mixing Valves (TMV)","checklist","FALSE","FALSE","QA","Hydraulics","Ground Floor","GH Decant WC G019","Service Log - Thermostatic Mixing Valves (TMV)"
"f188c82f-2107-4021-a733-99ab0275f361","","checklist-sectioned","","Fix 2 checklist","checklist","FALSE","FALSE","QA","Hydraulics","Ground Floor","GH Decant WC G019","Fix 2 checklist"
"c4f10e21-c59b-440a-ac47-5bd2ba74bb01","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Ground Floor","Overall Floor Plan"
"5e838474-f9f0-40e5-8bf1-e48168cb3035","","checklist-flat","","Sanitary","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","Overall Floor Plan","Sanitary"
"b0dfe51f-fb8e-4ac4-a443-48603a284378","","checklist-flat","","Greasy AG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","Overall Floor Plan","Greasy AG"
"183724fc-45f1-4737-9168-3f75bf1ba971","","checklist-flat","","Stormwater AG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","Overall Floor Plan","Stormwater AG"
"70ff1368-4d5e-4ee7-a3d0-9f2eac52da2a","","checklist-flat","","Trench Grate","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","Overall Floor Plan","Trench Grate"
"03dec455-e39b-4d51-bcb5-a98d63e60c97","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Ground Floor","Overall Floor Plan","Pits"
"33415061-55bc-4e5d-b9af-37d6d6dd9c1b","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","Overall Floor Plan","Pits","Pit (1)"
"c7333564-a9cb-4e76-9c3f-5dfb1276e335","","checklist-flat","","Pit","checklist-flat","FALSE","FALSE","QA","Hydraulics","Ground Floor","Overall Floor Plan","Pits","Pit (2)"
"076f37c3-a445-4917-b770-19abe00e98c2","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Level 1"
"31457c5b-ed53-4525-a4cf-4cbe1b0673b0","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Level 1","Overall Floor Plan"
"82dd6700-ed3f-433b-95c7-2d817aa49043","","checklist-flat","","Sanitary","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Overall Floor Plan","Sanitary"
"c266811d-4749-44cb-bc89-7873951453b8","","checklist-flat","","Greasy AG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Overall Floor Plan","Greasy AG"
"59359266-6fc1-4eba-9b74-812e52517dd0","","checklist-flat","","Stormwater AG","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Overall Floor Plan","Stormwater AG"
"3691f55b-46a2-47d7-bac3-76b6227d4e17","","checklist-flat","","Cold Water Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Overall Floor Plan","Cold Water Checklist"
"9c10b242-2bf3-49b1-a143-384526ce0a96","","checklist-flat","","Rainwater","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Overall Floor Plan","Rainwater"
"77246226-fab8-46cf-addc-7503f06de16c","","checklist-flat","","Hot Water","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Overall Floor Plan","Hot Water"
"a0938b7c-d80a-45b7-9df5-30ac4825a8e6","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Level 1","Student Common & Bev Bay 1042"
"8152326f-c3cc-4a59-b5e3-c304ae2dba62","","checklist-flat","","Rough In Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Student Common & Bev Bay 1042","Rough In Checklist"
"42fe1efc-0e2c-4444-88c0-5516a3a68751","","checklist-sectioned","","Fix 2 checklist","checklist","FALSE","FALSE","QA","Hydraulics","Level 1","Student Common & Bev Bay 1042","Fix 2 checklist"
"7503e72d-e85e-4654-870a-dc5bd128944a","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Level 1","Skills - Mock Ward 1032"
"5bf9435d-406c-423a-b755-9c4758a13a95","","checklist-flat","","Rough In Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Skills - Mock Ward 1032","Rough In Checklist"
"2933e671-55cc-4dce-a30a-780fe09f2f47","","checklist-sectioned","","Service Log - Thermostatic Mixing Valves (TMV)","checklist","FALSE","FALSE","QA","Hydraulics","Level 1","Skills - Mock Ward 1032","Service Log - Thermostatic Mixing Valves (TMV)"
"aa1fa896-56cf-4a14-987c-bf4563e56529","","checklist-sectioned","","Fix 2 checklist","checklist","FALSE","FALSE","QA","Hydraulics","Level 1","Skills - Mock Ward 1032","Fix 2 checklist"
"3f9c378d-d933-4c35-8886-001fc6d5f93b","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Level 1","Sims 1030"
"9ded23cf-419a-49de-9eeb-dd70fa7dc0f9","","checklist-flat","","Rough In Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Sims 1030","Rough In Checklist"
"308d511d-02c2-4053-8776-a34a241c2e87","","checklist-sectioned","","Service Log - Thermostatic Mixing Valves (TMV)","checklist","FALSE","FALSE","QA","Hydraulics","Level 1","Sims 1030","Service Log - Thermostatic Mixing Valves (TMV)"
"9b3e68fe-82d0-4664-9b04-bf9c9236c6e7","","checklist-sectioned","","Fix 2 checklist","checklist","FALSE","FALSE","QA","Hydraulics","Level 1","Sims 1030","Fix 2 checklist"
"47000430-f465-454d-b1d5-f9d5333109c9","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Level 1","Teapoint 1026"
"78319a51-53b4-4064-b40c-5510fbb22f7a","","checklist-flat","","Rough In Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Teapoint 1026","Rough In Checklist"
"d691ce02-569d-4de6-9613-7a7d65d76c63","","checklist-sectioned","","Fix 2 checklist","checklist","FALSE","FALSE","QA","Hydraulics","Level 1","Teapoint 1026","Fix 2 checklist"
"e63bc977-9d00-4bca-89fb-34143d3fc33a","","folder-normal","","","step","TRUE","FALSE","QA","Hydraulics","Level 1","Cleaner 1016"
"c0642e0e-25bf-4068-9786-bd69a0560668","","checklist-flat","","Rough In Checklist","checklist-flat","FALSE","FALSE","QA","Hydraulics","Level 1","Cleaner 1016","Rough In Checklist"
"88abd7fd-9b7e-430b-a3aa-53158a8220ec","","checklist-sectioned","","Fix 2 checklist","checklist","FALSE","FALSE","QA","Hydraulics","Level 1","Cleaner 1016","Fix 2 checklist"
"19114bc1-3415-4487-9ce3-1f53e76c2f90","","checklist-sectioned","","Service Log - Thermostatic Mixing Valves (TMV)","checklist","FALSE","FALSE","QA","Hydraulics","Level 1","Cleaner 1016","Service Log - Thermostatic Mixing Valves (TMV)"
