resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,G55,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,G56,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,G57,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,Common Areas,,,,,,,,
,step,,,,,,Lift Lobby,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,,,Stairwell,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,,,Corridor ,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,Level 1,,,,,,,,,
,step,,,,,Apartments ,,,,,,,,
,step,,,,,,150,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,151,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,152,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,153,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,154,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,155,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,156,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,157,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,Common Areas,,,,,,,,
,step,,,,,,Lift Lobby,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,,,Stairwell,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,,,Corridor ,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,Level 2,,,,,,,,,
,step,,,,,Apartments ,,,,,,,,
,step,,,,,,250,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,251,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,252,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,253,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,254,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,255,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,256,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,257,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,Common Areas,,,,,,,,
,step,,,,,,Lift Lobby,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,,,Stairwell,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,,,Corridor ,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,Level 3,,,,,,,,,
,step,,,,,Apartments ,,,,,,,,
,step,,,,,,350,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,351,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,352,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,353,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,354,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,355,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,356,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,357,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,Common Areas,,,,,,,,
,step,,,,,,Lift Lobby,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,,,Stairwell,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,,,Corridor ,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
,step,,,,Level 4,,,,,,,,,
,step,,,,,Apartments ,,,,,,,,
,step,,,,,,450,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Vanity Units,,,,,,
"POST - S - Joinery and Cabinets Installation - Kitchen, Ensuite, Bathroom and Wardrobes",checklist,,,,,,,Mirrored Cabinetry ,,,,,,
,step,,,,,,451,,,,,,,
PRE - S - Steel Stud Framing,checklist,,,,,,,Steel Stud Framing,,,,,,
PRE - S - Nogs,checklist,,,,,,,Nogs,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Cavity Sliders,,,,,,
POST - S - Internal door installation ,checklist,,,,,,,Internal Doors,,,,,,
POST - S - Skirting/ Architraves & Trims ,checklist,,,,,,,Skirting/Architraves & Trims,,,,,,
