"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0ce0c316-d1d1-4fe5-a05b-60dd5b06efa5","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"4c149d69-79d7-4149-9809-e4f5321f14c3","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"7bdbea9a-7ab9-4a15-9956-008b08711b87","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"94c45872-c0db-4f68-81d9-726b2c48a94b","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"822f1b9d-e38b-48d5-8c05-80cb3809318a","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"f40992dd-b53b-454e-addb-dcf5b62f137c","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"40888868-a2d0-48bc-b3db-b9491506159d","","folder-normal","pass","","step","TRUE","FALSE"," QA"
"76893853-be68-425f-a267-0ec0a230e14f","","folder-normal","pass","","step","TRUE","FALSE"," QA","BM1"
"40768b4e-e7c6-4846-a1de-5fc8dc2fb83d","","folder-normal","pass","","step","TRUE","FALSE"," QA","BM1","RoofSafe Cable Line 01"
"f75594d4-9bf6-4954-99b2-1425b91aa02c","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","BM1","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01"
"6440e2c4-38be-4f98-a3ce-b5b10d205da3","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"397c949a-73ea-4791-a5f1-087dcda4b2e2","","folder-normal","pass","","step","TRUE","FALSE"," QA","BM1","9no FA Anchors"
"a6dcc50c-20c8-4484-b8a5-bba4671f46ed","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","BM1","9no FA Anchors","Pre-Fit Off Checklist - FA Anchors 1 -9"
"aa761174-978a-4d14-915e-1d20e881b69b","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Pre-Fit Off Checklist - FA Anchors 1 -9","Confirm structure is in accordance to the details provided"
"14df05f4-3866-413c-950d-aa9ea6f297ee","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Pre-Fit Off Checklist - FA Anchors 1 -9","EMAIL PM"
"08061ecb-6b04-43f0-b9a1-c946b15ccfe9","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Pre-Fit Off Checklist - FA Anchors 1 -9","Plinths/ bases/post installed in accordance with details provided"
"5f62c928-1ba0-472d-ae0b-a0a3cd854f34","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Pre-Fit Off Checklist - FA Anchors 1 -9","Photos taken"
"8f7af05e-a4a6-4bac-b6e7-d23bb1bfcd20","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 01"
"732d4702-a216-4779-b6dc-4211a8cf3cae","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 01","Confirm the structure is in accordance with the details supplied by PBI"
"ccbe0783-612e-45ba-837d-03fa52fef0e9","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 01","EMAIL PM"
"39866053-b293-4d32-9776-ce7ad73b7f5d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 01","Required number of photo(s) taken of installed anchor(s)"
"076de588-b4d4-4ca5-a5b0-7d225f2956b6","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"36e737a5-28f7-4818-bda5-b259e4aec1dc","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 02"
"5ec82989-d2a4-4e23-a7c2-874af213e9d2","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 02","Confirm the structure is in accordance with the details supplied by PBI"
"1ac25ff5-b60f-463b-a4de-9dbddc96492d","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 02","EMAIL PM"
"b6998aee-aefd-4089-958e-5b6f8f57e0b9","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 02","Required number of photo(s) taken of installed anchor(s)"
"71c8648b-10f8-4970-8443-3bf8025be9f1","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"f45076af-5873-4b5b-a3f0-4b1f32bec541","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 03"
"16ac634a-510d-49ba-9526-0b463f65eb7e","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 03","Confirm the structure is in accordance with the details supplied by PBI"
"a16b34e9-c999-4a5a-8336-72fa13e5e1b8","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 03","EMAIL PM"
"1af76c5e-ee04-4c83-9778-5f719ec2bdc3","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 03","Required number of photo(s) taken of installed anchor(s)"
"37adcf06-22e8-418f-b72c-32185dc5830b","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 03","Installed as per PBI drawings supplied and manufacturer's requirements"
"b1c051e0-5dcc-4118-bab6-5f3e8aeeed71","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 04"
"fe9a3295-bbc0-4a0d-8d97-0c2d8554c783","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 04","Confirm the structure is in accordance with the details supplied by PBI"
"8b3cdce5-38f1-4b36-b9c5-afdc7f6eba75","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 04","EMAIL PM"
"ab4d5488-8981-4dd4-ae02-38599aecfa5d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 04","Required number of photo(s) taken of installed anchor(s)"
"f47ea9d0-499c-4ebc-9a17-52486d90e18e","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 04","Installed as per PBI drawings supplied and manufacturer's requirements"
"09d874bf-15d3-41d7-a922-67d801357852","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 05"
"474b514c-a982-4e3d-8e8e-3aeafafdc054","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 05","Confirm the structure is in accordance with the details supplied by PBI"
"16874611-ed8c-488c-9dfb-b47a7d080bd1","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 05","EMAIL PM"
"3f2dbde7-e660-4343-8275-cf4e950bb2dd","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 05","Required number of photo(s) taken of installed anchor(s)"
"26c1a0a9-822b-4467-b617-458204221b43","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 05","Installed as per PBI drawings supplied and manufacturer's requirements"
"15f37332-dc2f-4203-90e8-0f2e1434e764","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 06"
"fefdcdb0-2af9-4ad3-bc81-c35806f56481","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 06","Confirm the structure is in accordance with the details supplied by PBI"
"d462ff08-52ee-41dd-bea2-19cefc7a1155","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 06","EMAIL PM"
"3f56d922-bd33-44f7-b3fc-ef4a55dd8673","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 06","Required number of photo(s) taken of installed anchor(s)"
"ee39e2f4-2318-4c2f-884a-983b3fed420f","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 06","Installed as per PBI drawings supplied and manufacturer's requirements"
"121f363f-14ce-4f49-b0b3-ebf237e804a8","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 07"
"e72b2384-2b5f-4970-a219-2e49778bb245","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 07","Confirm the structure is in accordance with the details supplied by PBI"
"e98d506d-f4fc-4cc3-9085-08d48dfcbaad","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 07","EMAIL PM"
"17d6fc17-14f1-444d-8b52-ff90c1b5603b","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 07","Required number of photo(s) taken of installed anchor(s)"
"d1a2b44f-553d-407a-ad48-438ddd653322","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 07","Installed as per PBI drawings supplied and manufacturer's requirements"
"68c4d261-af30-48e3-9ed7-d6378dd2b998","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 08"
"797f4d21-34e0-47ae-9ff7-aeb736c7ceec","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 08","Confirm the structure is in accordance with the details supplied by PBI"
"dbffcd75-7d5e-4574-bb93-6e5d4242c10a","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 08","EMAIL PM"
"69f27746-4c61-49ce-9205-945e456ddc26","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 08","Required number of photo(s) taken of installed anchor(s)"
"a938f907-7f8d-4fd9-b62b-8b2cb604db08","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 08","Installed as per PBI drawings supplied and manufacturer's requirements"
"a0f8ce7d-d06e-4ee4-bf9c-b26e29307f13","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 09"
"9bb9e6be-1b0a-4641-8928-4f0c0c2efbf6","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 09","Confirm the structure is in accordance with the details supplied by PBI"
"946a6ce2-c72f-40ea-a9f9-c4be3a0c6265","","holdpoint","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 09","EMAIL PM"
"dd048aee-5874-4955-8ce2-b216fadba525","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 09","Required number of photo(s) taken of installed anchor(s)"
"70b10971-c9b2-4310-857e-d8cdd1edc396","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM1","9no FA Anchors","Fit Off Checklist - Anchor 09","Installed as per PBI drawings supplied and manufacturer's requirements"
"f4fd15d1-1297-4331-9131-bd57f0ced097","","folder-normal","pass","","step","TRUE","FALSE"," QA","BM2"
"b74ba82d-bcf4-4b00-9371-bc18879f4798","","folder-normal","pass","","step","TRUE","FALSE"," QA","BM2","RoofSafe Cable Line 02"
"10cff974-8f72-417a-8796-48fb6cf38798","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","BM2","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02"
"2bb5ddbb-f4bd-4eaa-bc7c-8f73eab64769","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","Confirm structure is in accordance to the details provided"
"fda957c8-ad84-47fb-9077-03727b878394","","holdpoint","pass","","","TRUE","TRUE"," QA","BM2","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","EMAIL PM"
"cc43a4e5-0ecb-4b77-b4ab-4dbd29ec81ef","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","Plinths/ bases/post installed in accordance with details provided"
"067f1cbe-03af-452b-a2d0-326a1966f9c2","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","Photos taken"
"4d2a72a6-3423-43f5-8880-cdb8ebbfd2c8","","checklist-flat","pass","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","BM2","RoofSafe Cable Line 02","Fit Off Checklist - Line 02"
"24b09f59-0907-4f56-95dd-9acf9ae2ee35","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Confirm the structure is in accordance with the details supplied by PBI"
"b6d0c272-e8ef-45eb-b629-bf77d6dd0efd","","holdpoint","pass","","","TRUE","TRUE"," QA","BM2","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","EMAIL PM"
"3a30d511-5da2-4c2c-82b3-0174147de396","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test and swages"
"ce1085ac-948e-4c89-8537-0587555d1b9f","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"64e0dc60-8d40-46ff-bc82-8813c50a8bca","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Video taken of system"
"d8ec7dbb-50b0-4668-b4cd-b3771654747e","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"33c7cfc8-71da-4205-ac46-c388bb702c8c","","folder-normal","pass","","step","TRUE","FALSE"," QA","BM2","9no FA Anchors"
"614ee1ed-c8c4-4f34-a424-323149413191","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","BM2","9no FA Anchors","Pre-Fit Off Checklist - FA Anchors 10 -18"
"cdbb8365-6249-4ca0-a870-3ad1e0547fc5","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Pre-Fit Off Checklist - FA Anchors 10 -18","Confirm structure is in accordance to the details provided"
"6ba37ae9-3c34-426f-ac53-136623ad8811","","holdpoint","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Pre-Fit Off Checklist - FA Anchors 10 -18","EMAIL PM"
"9bf2f436-2ed4-4c2a-a702-0b5014dd1bb4","","checkpoint-status","not-applicable","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Pre-Fit Off Checklist - FA Anchors 10 -18","Plinths/ bases/post installed in accordance with details provided"
"39863eb8-4d9a-46f7-a1aa-0eeb9e39dd5f","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Pre-Fit Off Checklist - FA Anchors 10 -18","Photos taken"
"31a11c29-fe7f-40a4-9104-0986393f6445","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 10"
"f6789ab2-53f2-44c2-9c82-7261bcaaba86","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 10","Confirm the structure is in accordance with the details supplied by PBI"
"967b81cc-568e-4f65-89b7-17a7913f05ec","","holdpoint","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 10","EMAIL PM"
"dc098b89-f88a-4264-b411-533d13f92ada","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 10","Required number of photo(s) taken of installed anchor(s)"
"526f0813-51a2-4836-a924-077ef2b99da5","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 10","Installed as per PBI drawings supplied and manufacturer's requirements"
"da1a8f76-7c15-470a-8a18-212a00ff200f","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 11"
"9f22994d-40ca-4c9e-b2d3-527aec8d81af","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 11","Confirm the structure is in accordance with the details supplied by PBI"
"e338cb8b-ff38-4469-9bcc-d671a6cf5613","","holdpoint","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 11","EMAIL PM"
"19301701-8edf-471d-a2cf-56ba0830cd90","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 11","Required number of photo(s) taken of installed anchor(s)"
"2f8e185a-fc13-4e21-8848-70cb313e9b38","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 11","Installed as per PBI drawings supplied and manufacturer's requirements"
"a49082a5-4f86-4d96-9b88-0cd4c47750ff","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 12"
"75d6b20a-07ef-4086-b314-5d832810f6f8","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 12","Confirm the structure is in accordance with the details supplied by PBI"
"c4c01aa2-fd86-4961-a2b9-84dbc294b6f4","","holdpoint","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 12","EMAIL PM"
"deef5617-ae6c-446f-b7f6-5f885c904e5d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 12","Required number of photo(s) taken of installed anchor(s)"
"27c204cc-d579-4b84-93ac-cab2fdf636f4","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 12","Installed as per PBI drawings supplied and manufacturer's requirements"
"bef8a6b8-f55d-452c-854e-30c8137cc883","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 13"
"086373b8-8bc8-4c5d-b733-7e36dfbf6067","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 13","Confirm the structure is in accordance with the details supplied by PBI"
"ee425d37-8b89-421f-80d6-619afc531615","","holdpoint","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 13","EMAIL PM"
"644913d5-9bb1-4b12-a4c9-8c2dbb41f86f","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 13","Required number of photo(s) taken of installed anchor(s)"
"5d2bc374-34de-40f0-9584-f63096060e77","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 13","Installed as per PBI drawings supplied and manufacturer's requirements"
"ff702d60-1ae8-4d79-a37e-ee5699acc912","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 14"
"07ef6aa6-db42-40ce-88e3-dad7b556a4bc","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 14","Confirm the structure is in accordance with the details supplied by PBI"
"6a67e023-1589-4ca3-8bde-afcce2a8f22f","","holdpoint","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 14","EMAIL PM"
"886b4431-77ff-4643-b4d8-a2910ba23861","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 14","Required number of photo(s) taken of installed anchor(s)"
"f8e93b48-5f49-422f-89de-3bcec71212dc","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 14","Installed as per PBI drawings supplied and manufacturer's requirements"
"01d3d58b-92b3-497e-a213-849aedab2d73","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 15"
"45db9d61-23b1-4ca0-9765-a8545a2ac920","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 15","Confirm the structure is in accordance with the details supplied by PBI"
"08e6df53-3d93-4294-8960-e74b4f4ea334","","holdpoint","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 15","EMAIL PM"
"200b1331-4e88-42b1-bbcc-bf26f92b5a34","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 15","Required number of photo(s) taken of installed anchor(s)"
"ac97dfb5-9039-44ea-9350-f9ecd4d6c9ac","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 15","Installed as per PBI drawings supplied and manufacturer's requirements"
"22b1a805-1665-4474-9269-c724ede99bd7","","checklist-flat","pass","Fit Off Checklist - Anchor","checklist-flat","FALSE","FALSE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 16"
"43c39973-5ad5-430d-84fe-ee8d85d1c81d","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 16","Confirm the structure is in accordance with the details supplied by PBI"
"0f3c233c-a3ab-4f03-831a-08569d684a68","","holdpoint","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 16","EMAIL PM"
"dcbdd51a-dbcc-4f60-af56-8c5ec7e84725","","checkpoint-status","pass","","","TRUE","TRUE"," QA","BM2","9no FA Anchors","Fit Off Checklist - Anchor 16","Required number of photo(s) taken of installed anchor(s)"
