"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"eaeb3639-144c-4697-ba9a-eb9d347b0985","","checklist-flat","not-started","62704a049dd677552a734504db8d241c90c356cc5b215f556be0ff7a150d0d41","checklist-flat","FALSE","FALSE","Job Details"
"c65b507f-3bb8-480c-9777-5c71c1f90f41","","checkpoint-status","not-started","","","FALSE","FALSE","Job Details","Project details entered below"
"826e6c0f-1aa7-4d76-b08b-09d7d08b7995","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"6890135a-01e0-4436-b4c0-fe5c091ead45","","checklist-sectioned","pass","2e38763aea9cfef5386e9c397d1b9c4d03d3f1e56a7b082a6dc0712abde9da76","checklist","FALSE","FALSE"," Precast Manufacture","Weld plate details"
"28b4f8b6-fbe3-49cd-8f77-a6793d29e5ae","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","Weld plate details","weld plate details"
"2f69b0d6-f8c0-4a0a-b7f4-9245feef965e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Weld plate details","weld plate details","Edge Detail"
"69a57162-2217-4b11-84ba-f0a9082283d9","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Weld plate details","weld plate details","Bar Projections"
"64886292-4cda-494d-ba08-f4ddc86592f4","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","Weld plate details","weld plate details","Cast in items"
"ac8b4463-8b3f-4039-a39f-94995bd1002b","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture","LOT - 1"
"42426843-cee5-4976-b058-8a73cad6be23","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","LOT - 1","Panel - 1P01"
"8e42227e-8431-4a78-b6e5-8eec45c46944","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01","Pre-Pour Check"
"9d050714-da0c-4351-b612-1d36d2a7b589","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01","Concrete Works","Wilco Sample Taken"
"b874a03e-9ac6-42e1-a33e-37fc430c6d68","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01","Concrete Works","Bridgeman Sample Taken"
"cd7b45a6-9f85-4e17-9e59-e84316162dff","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01","Concrete Works","Supervisor Approval"
"7891b446-eb96-4ecc-b695-20c6f3834f02","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01","Post Pour Check"
"f652b510-749f-4b9b-9ac8-f4e880f7cf61","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01","Post Pour Check","Edge Detail"
"6538c82b-2084-43a6-a75e-24a6df8b0b17","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01","Post Pour Check","Bar Projections"
"8e76aa65-6217-476f-a99e-773ab522081a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01","Post Pour Check","Cast in items"
"e490df91-7375-4f76-81ff-502d37e46483","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01","Stripping and Stacking"
"1cf0add6-8f2b-4852-bd22-325e417ebe58","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01","Stripping and Stacking","Stripping & Stacking"
"fc249121-0446-4c7b-bfef-3921f6e974a7","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","LOT - 1","Panel - 1P01A"
"e02595f0-a943-4c89-bc80-4fb3b277f0ab","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Pre-Pour Check"
"a64e921a-c253-4125-bf15-20a713cb046b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Pre-Pour Check","Dimensions"
"571e791f-b40b-4a9f-8df9-0ef4635c101e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Pre-Pour Check","Mould Clean"
"9b8a7dd4-b839-41f4-8835-80db9253354e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Pre-Pour Check","Mould Oiled"
"05dda6fb-4ff8-491e-ad69-a9a12a73e4b2","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Pre-Pour Check","Mould - Workmanship"
"06eff7d7-4053-4776-b05c-cdda82ebec87","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Pre-Pour Check","Reinforcing"
"a1d19a42-9db7-4540-9272-c2edcbb1b592","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Pre-Pour Check","Cast In Items"
"863abf8d-aa78-455c-9172-75a44a60bd6f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Pre-Pour Check","Marker Position and No."
"038b324a-571c-44a1-be26-a00a63e0248b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Pre-Pour Check","Make mould to Green Status"
"c57267c0-cb01-4f70-9455-a1ea0f3c52f6","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Concrete Works"
"64a35858-a668-40c4-832d-c84d3293cb82","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Concrete Works","Concrete Works Details"
"e17fa74a-af50-4e9b-9bf4-4fff4b1ffc7a","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Concrete Works","Wilco Sample Taken"
"111819ff-35f4-471f-8a8b-a6fb6753d2c7","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Concrete Works","Bridgeman Sample Taken"
"99934979-153c-49f1-9dff-055c65d192a7","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Concrete Works","Supervisor Approval"
"bdf64d19-5da9-4776-be06-0eb0b52c4bc7","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Post Pour Check"
"ecaa9e3c-0dd2-4169-970c-546648a959cb","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Post Pour Check","Edge Detail"
"8891fc7f-4676-41d4-9f5b-8647a1ee0e7d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Post Pour Check","Bar Projections"
"e078f3ef-0896-4d12-aa6c-364294d71129","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Post Pour Check","Cast in items"
"f505cc73-da80-4d7b-8a6b-a132f711885b","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Stripping and Stacking"
"a18ac521-c374-4a33-92e1-b48997de0b69","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P01A","Stripping and Stacking","Stripping & Stacking"
"6a4f2007-8e9b-46d5-845d-f2516984617b","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","LOT - 1","Panel - 1P02"
"5385d917-30c6-4e7f-9977-c37c2528ec79","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Pre-Pour Check"
"21cca432-5a37-41c8-9547-7a317456ed87","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Pre-Pour Check","Dimensions"
"43f690d6-8dd3-49c2-be1c-0d8b4de3eb7d","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Pre-Pour Check","Mould Clean"
"45a00fb0-c63d-4aa1-bd76-70185bfa1083","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Pre-Pour Check","Mould Oiled"
"b9c2322d-18f2-4a74-93ec-27e3cae77ef0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Pre-Pour Check","Mould - Workmanship"
"a59f4789-a67a-4a9a-841b-be67fa96d965","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Pre-Pour Check","Reinforcing"
"ddb14f5c-c5fb-479c-aa59-8232e2f34e2a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Pre-Pour Check","Cast In Items"
"4978c1ff-b00c-435f-94a7-b6f4056c14f5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Pre-Pour Check","Marker Position and No."
"09c4ba23-abd5-42e4-a0ed-126e469381de","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Pre-Pour Check","Make mould to Green Status"
"f30ed180-f773-4d29-9a58-50c223fe09d2","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Concrete Works"
"f06514bf-a72d-4a35-9afd-6c2b7dbb5f93","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Concrete Works","Concrete Works Details"
"fa492235-c5ce-4d4f-8f38-12aa17035514","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Concrete Works","Wilco Sample Taken"
"ae822f71-e2c5-43cd-8c37-9b069f2d7251","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Concrete Works","Bridgeman Sample Taken"
"32f1bfb5-a239-4c82-976d-82766ecd0e29","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Concrete Works","Supervisor Approval"
"f9efb810-cdba-4d0b-a9f2-fd568154ed52","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Post Pour Check"
"815f4294-b709-4be8-99bf-d411f85a6957","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Post Pour Check","Edge Detail"
"243bd221-0cf9-40d3-9618-84320273fa9c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Post Pour Check","Bar Projections"
"a2084100-07c0-4f3d-883f-c68f6a20c4d0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Post Pour Check","Cast in items"
"a33fb6b9-c105-43d4-96d6-c4a5605c835d","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Stripping and Stacking"
"67b3f904-ea23-4679-9d30-af2482a39666","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P02","Stripping and Stacking","Stripping & Stacking"
"cd91c08b-a035-4521-a8df-4368d086f339","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","LOT - 1","Panel - 1P03"
"c4a4b65d-feb3-4005-8624-2d21dfd471f1","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Pre-Pour Check"
"9cefe43c-0a8d-4419-9362-c91b37d26ba3","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Pre-Pour Check","Dimensions"
"d4bc7889-ca42-475c-bd83-6815cb55c2bd","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Pre-Pour Check","Mould Clean"
"7f9694c6-ab15-486b-93dd-14714cb0c894","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Pre-Pour Check","Mould Oiled"
"aa4b2ab5-aa03-4f4b-a16a-6ea6b840f720","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Pre-Pour Check","Mould - Workmanship"
"b373ed19-93b9-405a-ac06-9743f6bc3fc5","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Pre-Pour Check","Reinforcing"
"fadd05ec-8bf6-4517-a265-8c77de4a4600","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Pre-Pour Check","Cast In Items"
"20d845fe-e293-4f49-91f4-9d070be9c111","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Pre-Pour Check","Marker Position and No."
"818c3baa-f5d0-4751-903a-257763f1754e","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Pre-Pour Check","Make mould to Green Status"
"e479adc2-d38f-4d8f-9879-0ce0a61689dc","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Concrete Works"
"7c2b1f1f-c40a-4855-ab9a-fc1904690189","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Concrete Works","Concrete Works Details"
"206c97ba-d315-4468-8daa-6969f6230dcb","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Concrete Works","Wilco Sample Taken"
"5e7a7a2b-7613-48df-802c-42beecd548ad","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Concrete Works","Bridgeman Sample Taken"
"d27afc16-2ae5-481a-947e-f9b56b53a751","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Concrete Works","Supervisor Approval"
"0e79fe8b-8c5e-450d-9bba-5307b2e9ed46","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Post Pour Check"
"d789350e-fd7d-4e6a-b6c9-337460a96a45","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Post Pour Check","Edge Detail"
"d7f5534b-6b03-4ee9-ab2f-58b654bb75a2","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Post Pour Check","Bar Projections"
"54d4648d-c33c-47b0-8841-64f3d3b941e7","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Post Pour Check","Cast in items"
"dbae3ee2-9e9d-4ee6-a0df-1271a2ada945","","checkpoint-group","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Stripping and Stacking"
"2aa68e4e-5b07-4d40-b59b-8a1efd3cd67a","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P03","Stripping and Stacking","Stripping & Stacking"
"83a7ebf4-0588-4879-a64a-c25adee09a28","","checklist-sectioned","work-in-progress","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","LOT - 1","Panel - 1P04"
"ceabf286-9101-421b-b2f9-8dad627725a6","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Pre-Pour Check"
"7062815d-e393-4c04-8ee2-a9f104e7bf27","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Pre-Pour Check","Dimensions"
"33958526-41b7-4689-86cc-740a2eec536a","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Pre-Pour Check","Mould Clean"
"eeb5d158-f89d-45e1-892b-81148017dd4b","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Pre-Pour Check","Mould Oiled"
"c20be0f3-ed75-4aa7-b183-2aee0fbae9bc","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Pre-Pour Check","Mould - Workmanship"
"eaece3aa-f69b-4714-bbcf-c67be0990708","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Pre-Pour Check","Reinforcing"
"2302f144-3793-4517-9b6d-efd048a15c26","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Pre-Pour Check","Cast In Items"
"e8db2321-3eb2-47c2-8d75-3deac87045ed","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Pre-Pour Check","Marker Position and No."
"3a3ffa4b-0033-4fe7-aa4f-66037535146f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Pre-Pour Check","Make mould to Green Status"
"0cd8ed41-d055-4f10-a7d2-4a8e38aee332","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Concrete Works"
"5b87b599-ed70-4dac-836a-171456faae7f","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Concrete Works","Concrete Works Details"
"8121094a-d7f1-4c3b-a493-d2ed8986e263","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Concrete Works","Wilco Sample Taken"
"9ff52f26-4ccd-4641-b4ec-fac0ebb4f926","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Concrete Works","Bridgeman Sample Taken"
"474bf699-0a4c-4509-9e7a-93e1b4737926","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Concrete Works","Supervisor Approval"
"80498217-1191-47cc-a860-2507d36b5528","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Post Pour Check"
"c79e6756-96be-46f2-9e13-a8566f1b15ae","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Post Pour Check","Edge Detail"
"b5e30461-5298-4470-b204-af9d827b06e1","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Post Pour Check","Bar Projections"
"1482f4ba-2ca3-40ac-ae7c-d4a6a72c8bc7","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Post Pour Check","Cast in items"
"98342305-b6c4-486a-8a5d-1c8d4cece9d9","","checkpoint-group","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Stripping and Stacking"
"10e84211-cf07-4792-8b46-a20d6407789f","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P04","Stripping and Stacking","Stripping & Stacking"
"d82361c8-bf5c-4f62-91ac-8486560fcab5","","checklist-sectioned","pass","c2a401113ea2a6c910e13b22e51d11ac8959dfd9c7a21ffdb5c00d9d68a71100","checklist","FALSE","FALSE"," Precast Manufacture","LOT - 1","Panel - 1P05"
"3c3db9ca-f598-4018-b7d7-72515fd8aa4b","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Pre-Pour Check"
"2956440b-9975-4bfd-aa47-ae2fdfacf7ea","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Pre-Pour Check","Dimensions"
"57aff55e-20bc-431c-bffa-9a1c87c607ca","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Pre-Pour Check","Mould Clean"
"32b00bdb-8790-45ef-81ac-0e5012a28f31","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Pre-Pour Check","Mould Oiled"
"2a960c22-8059-4691-a24b-59a8cf636561","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Pre-Pour Check","Mould - Workmanship"
"8dab793d-0e9f-4d80-b98a-64108a71cc8c","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Pre-Pour Check","Reinforcing"
"7e045d4e-8603-445b-90e9-b20b86a8ce32","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Pre-Pour Check","Cast In Items"
"2b4f60e1-0685-4ea0-8d48-1e67db789a49","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Pre-Pour Check","Marker Position and No."
"45484cb5-fdc7-4dfe-b669-5f763ab2d067","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Pre-Pour Check","Make mould to Green Status"
"771d117f-7ee3-4047-8d68-50d404b9b412","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Concrete Works"
"320adaf8-3ddf-425d-b74d-9c9c212398ae","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Concrete Works","Concrete Works Details"
"dcc69d4b-38aa-4f51-8790-7436d41f46d1","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Concrete Works","Wilco Sample Taken"
"650d153f-2aae-416c-aae4-bf21c5103e53","","checkpoint-status","not-applicable","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Concrete Works","Bridgeman Sample Taken"
"e9ce20b4-e6f5-4e2d-8eec-42ade8f672ce","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Concrete Works","Supervisor Approval"
"964d03fc-2ba7-468d-898c-1a42ae7fcae4","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Post Pour Check"
"841ca88c-191b-4381-bd2c-e55aed56aca7","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Post Pour Check","Edge Detail"
"5f17c184-f733-4563-9bb8-3f035b453a03","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Post Pour Check","Bar Projections"
"74cc5f55-b3bb-49ed-9cb3-2bd329e0eff0","","checkpoint-status","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Post Pour Check","Cast in items"
"d04c32ea-c395-41db-a8a8-1abd978c37f9","","checkpoint-group","pass","","","TRUE","TRUE"," Precast Manufacture","LOT - 1","Panel - 1P05","Stripping and Stacking"
