"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d937442b-4018-4d42-b8c0-caadabe62c8a","","checklist-flat","not-started","Job Details","checklist-flat","FALSE","FALSE","Job Details"
"f1b556bb-9dec-4aca-8685-15e98b3e01f8","","checkpoint-status","not-started","Job Details:eb09983a-2e71-472e-90cd-231129859fcc","","FALSE","FALSE","Job Details","Project details entered below"
"007d726a-3616-4852-bfb6-5d460fec8746","","folder-normal","work-in-progress","","step","TRUE","FALSE"," Precast Manufacture"
"86ef93b4-c72f-49e8-b5f7-d07e54635616","","folder-normal","pass","","step","TRUE","FALSE"," Precast Manufacture","Barriers BR03"
"4a2e9eac-ddec-403c-8272-31a98f10fe36","","checklist-sectioned","pass","SYS - Add Panel (v2) [old version]","checklist","FALSE","FALSE"," Precast Manufacture","Barriers BR03","BR03-1"
"39034d2b-fcdb-46b5-801e-69896b03f25f","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-1","Pre-Pour Check"
"361b08e7-291d-4350-85e6-d3d6d8574f24","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:9ff58403-6c25-402b-9f37-2e287866b6fb","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-2","Concrete Works","Supervisor Approval"
"dd2a14bc-8294-41b5-8d45-a73dbdcbe559","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-2","Post Pour Check"
"7f71ef96-82e9-431b-ab92-5549a3cd8735","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:fc0c3f4a-d4f9-41dd-b546-1b983fbb307d","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-2","Post Pour Check","Edge Detail"
"8ac02479-3640-4528-b7bb-97afae41157d","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:6e3f3f1e-8a20-4043-98be-48de49917aa9","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-2","Post Pour Check","Bar Projections"
"e13a218c-d75b-4124-bbb4-8599cd624e8a","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:ea59b6b3-498e-4f64-9c9c-32a14ddd6eb1","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-2","Post Pour Check","Cast in items"
"af6dae9b-693d-4fd1-b2b9-4bd755656ffb","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-2","Stripping and Stacking"
"b8c988f7-f4f0-4a0e-b3e0-519ba1705c1e","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086:065e5fad-f2ef-447f-a912-439dd75c83ed","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-2","Stripping and Stacking","Stripping & Stacking"
"2ddb3888-2b75-494a-a5cc-3d077fd38a89","","checklist-sectioned","pass","SYS - Add Panel (v2) [old version]","checklist","FALSE","FALSE"," Precast Manufacture","Barriers BR03","BR03-3"
"e6e1ec86-b6d5-491c-a513-5f02e03fc006","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Pre-Pour Check"
"83d1636c-9c7f-4b9a-ad67-986f0e83b290","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:5757d01a-c6a6-4582-b765-051563118a04","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Pre-Pour Check","Dimensions"
"4f557969-9f38-4426-b71f-ab748f234b53","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:06437515-1423-488a-90d4-d2b8a66ff034","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Pre-Pour Check","Mould Clean"
"4b375434-69c8-47d2-baf8-549d045cc9c2","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:cd9d17bd-fc50-4ad8-ab67-7a37a9afc275","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Pre-Pour Check","Mould Oiled"
"7be7e57b-6fbe-4a67-b712-71014a522a36","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:fdff7411-3909-4be4-a089-3460d5def8be","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Pre-Pour Check","Mould - Workmanship"
"c0c61251-06f7-4fdc-939c-2f7096a595b9","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:26f0370f-1702-41aa-9ef3-7b41a49d8593","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Pre-Pour Check","Reinforcing"
"5d106990-abb4-4e56-ae32-1e379433f08a","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:697558e0-522e-4231-a857-e33ea4249422","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Pre-Pour Check","Cast In Items"
"a2654b65-c4bf-4078-805b-24a2cf3143bd","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:f88df7c6-8851-42fe-ba1a-ce2eccad4958","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Pre-Pour Check","Marker Position and No."
"8cd844aa-8fdb-4f9b-b7c8-3d1bbf7c3013","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:36ebd842-22b8-45bb-90b1-242be7619e65","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Pre-Pour Check","Make mould to Green Status"
"96819710-e2af-402d-b049-548c05248e6d","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Concrete Works"
"9488b234-054b-4b75-931d-c2cfdead330e","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:ff615882-67b2-4134-b4df-7410118fcd9c","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Concrete Works","Concrete Works Details"
"fe1b8865-ba6a-4bdb-983c-fb948edf250a","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:16dceb70-a166-4d30-9f94-d27fde296a23","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Concrete Works","Wilco Sample Taken"
"451c1584-ec99-4845-bb0a-ef979cfbb6e5","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:a721c96c-029e-492e-ba0c-d17af09f439f","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Concrete Works","Bridgeman Sample Taken"
"b9e97c26-7fc0-4e5e-bbdb-922ea060c0a4","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:9ff58403-6c25-402b-9f37-2e287866b6fb","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Concrete Works","Supervisor Approval"
"a546e6dc-f2ee-471a-9720-c5db204cb4b1","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Post Pour Check"
"f878052c-3846-4564-9eb5-c08c64c97230","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:fc0c3f4a-d4f9-41dd-b546-1b983fbb307d","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Post Pour Check","Edge Detail"
"a6a02ac5-454f-4725-b840-5fe193050c76","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:6e3f3f1e-8a20-4043-98be-48de49917aa9","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Post Pour Check","Bar Projections"
"cae70fa2-b759-48b9-b4d9-c945a4c23123","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:ea59b6b3-498e-4f64-9c9c-32a14ddd6eb1","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Post Pour Check","Cast in items"
"e21d7413-75c6-4d04-9518-da8216a3d665","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Stripping and Stacking"
"bc02c53b-4cf1-48ab-b424-95eadfac18a4","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086:065e5fad-f2ef-447f-a912-439dd75c83ed","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-3","Stripping and Stacking","Stripping & Stacking"
"311a4508-4698-4fb7-bb59-ab1f12ac20cc","","checklist-sectioned","pass","SYS - Add Panel (v2) [old version]","checklist","FALSE","FALSE"," Precast Manufacture","Barriers BR03","BR03-4"
"1f0f18e9-d20e-44c7-a1a0-9ca3a82ebf81","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Pre-Pour Check"
"e32a7e8f-1d95-46ef-826c-3b5e4535a6f2","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:5757d01a-c6a6-4582-b765-051563118a04","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Pre-Pour Check","Dimensions"
"13537acc-1a9b-4bb1-ab41-ceba8b131cb4","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:06437515-1423-488a-90d4-d2b8a66ff034","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Pre-Pour Check","Mould Clean"
"4e23d41e-ffd3-4d06-af36-75d42f950c14","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:cd9d17bd-fc50-4ad8-ab67-7a37a9afc275","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Pre-Pour Check","Mould Oiled"
"06310d3c-5389-45fe-8d51-6d36542397d1","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:fdff7411-3909-4be4-a089-3460d5def8be","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Pre-Pour Check","Mould - Workmanship"
"685cf520-541f-40b5-8619-4ac7ed819558","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:26f0370f-1702-41aa-9ef3-7b41a49d8593","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Pre-Pour Check","Reinforcing"
"d8a0af6e-0681-4b7f-ba38-ed73c6b98738","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:697558e0-522e-4231-a857-e33ea4249422","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Pre-Pour Check","Cast In Items"
"353d3faa-922e-4fb1-9e82-38f3129964a3","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:f88df7c6-8851-42fe-ba1a-ce2eccad4958","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Pre-Pour Check","Marker Position and No."
"d8e364ce-2f58-431d-b881-f8da85aa89d8","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0fc12751-796a-4e18-8b91-911a57350d34:36ebd842-22b8-45bb-90b1-242be7619e65","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Pre-Pour Check","Make mould to Green Status"
"3eac6a1a-9393-4b46-a15d-2becaf4841c2","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Concrete Works"
"8f95cf6e-11e4-4c15-9bb0-8db749fda39e","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:ff615882-67b2-4134-b4df-7410118fcd9c","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Concrete Works","Concrete Works Details"
"93b94498-dcc6-4025-8057-15ca357950e4","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:16dceb70-a166-4d30-9f94-d27fde296a23","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Concrete Works","Wilco Sample Taken"
"b51dd9bc-69b7-4fd3-a802-185f1c6f6585","","checkpoint-status","not-applicable","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:a721c96c-029e-492e-ba0c-d17af09f439f","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Concrete Works","Bridgeman Sample Taken"
"79f7ef8d-5fdd-414d-8f0f-cb4f03010688","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f3c8982-bb92-4d6a-aff0-f45e833721ff:9ff58403-6c25-402b-9f37-2e287866b6fb","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Concrete Works","Supervisor Approval"
"93ec4bd9-862c-4da5-bf08-ce83b5eabb95","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Post Pour Check"
"dde56039-90a5-433a-93f7-ac1d8b9989cc","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:fc0c3f4a-d4f9-41dd-b546-1b983fbb307d","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Post Pour Check","Edge Detail"
"648d6963-b9c4-4773-bb24-bf413b25be81","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:6e3f3f1e-8a20-4043-98be-48de49917aa9","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Post Pour Check","Bar Projections"
"0d09e580-bd75-4155-a678-eeca4e8439da","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:7a7c8184-f9a7-4290-b413-080da158d0fc:ea59b6b3-498e-4f64-9c9c-32a14ddd6eb1","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Post Pour Check","Cast in items"
"b1db907d-6b7e-41df-a28a-1eb158e44467","","checkpoint-group","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Stripping and Stacking"
"34fe023f-4432-494e-b1b7-e17370c88645","","checkpoint-status","pass","SYS - Add Panel (v2) [old version]:0f0c1337-675a-44e7-a00c-17761a995086:065e5fad-f2ef-447f-a912-439dd75c83ed","","TRUE","TRUE"," Precast Manufacture","Barriers BR03","BR03-4","Stripping and Stacking","Stripping & Stacking"
"349ac642-61b1-4d94-a001-9a5f9adf669a","","checklist-sectioned","pass","SYS - Add Panel (v2) [old version]","checklist","FALSE","FALSE"," Precast Manufacture","Barriers BR03","BR03-5"
