"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6aa6e359-a16c-457b-9e87-d1a59ff65e75","","folder-normal","not-started","","step","TRUE","FALSE","Project QA"
"bf75550f-602e-4239-b045-1dfd91e570a9","","checklist-flat","not-started","Underslab Checklist","checklist-flat","FALSE","FALSE","Project QA","Underslab"
"ed04fbe5-f3cc-51ae-aeae-a78b35c80531","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Pipework Material as specified/scheduled/drawn"
"fe82b198-6e7a-5717-ac45-bdfa635bed45","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Grid lines and fitting dimensions confirmed"
"b2699167-5109-534a-80e7-71b5000e6b78","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Drain invert checked"
"b54294fd-c8a8-5b8b-ab6f-9f45885dca54","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Gully position checked"
"d07e01f6-f8dd-5cfa-a83b-5914b51b094c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Floor levels established"
"8aeff24c-6f25-5cc8-bed7-761b131128d0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Falls checked"
"7c6be5a1-fd50-51cc-9b53-81701ac92671","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Drainlayer/Plumber interface Points established"
"72610179-752b-51c3-81fe-5c778a24eab9","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Penetrations co-ordinated with main contractor"
"68daeda3-24cd-536d-8d49-ffd815bef6e1","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Pipework backfilled correctly"
"8571f999-2aa5-54ba-9b74-d33bafbdfb8c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Identification strip installed if required"
"4145ed49-dfe8-5202-b8bb-34ce15574ee9","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Open ends of pipework capped off to prevent dirt ingress"
"1fe7b5d4-68f8-58ec-8c8e-3b8710648171","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Work completed and photos attached"
"c0148957-e83e-57e0-b0b9-2c8cf22dc67b","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Underslab","Area left clean and tidy"
"c5bab25e-23ed-44b5-880a-9808c398f1df","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Preline"
"a2c38a24-de13-40f1-b2ad-980c8b07ccde","","checklist-sectioned","not-started","Preline Checklist","checklist","FALSE","FALSE","Project QA","Preline","Male bathroom"
"5a538f00-3d47-53d4-8a3d-aea6402ebffd","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Male bathroom","Preline QA"
"f20e2982-b8e1-5a7a-b577-a08a7c544c6e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Handover","Area left clean and tidy"
"ec4a3bd3-004e-5e84-a027-5284a1d4f620","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Handover","Local Authority Verification"
"c8fbb4a6-1591-5de4-be2f-b36dbb6f47db","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Handover","Plumbing inspection complete and passed as satisfactory"
"f311d246-eaae-5ff5-ac35-e9c306fd23e4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Handover","ContractorVerification"
"8dba8a47-19de-5994-a6d8-c909c0d4b1a9","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Handover","Plumbing Complete and ready for lining"
"375f5420-e438-52e9-be67-ceaa82143746","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Handover","Main Contractor verification"
"05659902-7ae9-58a6-9447-18e5d7a5ad09","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Male bathroom","Handover","Plumbing Complete and ready for lining"
"32c149a7-c604-45e0-8b37-da1468108e00","","checklist-sectioned","not-started","Preline Checklist","checklist","FALSE","FALSE","Project QA","Preline","Female bathroom"
"10ecc5ab-aed9-5b14-9ab0-588181f877cc","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Female bathroom","Preline QA"
"e500b979-994e-56e8-95b6-3a42fe8e4e4c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Area Accessible"
"1e5393a7-f8d0-5539-81ed-fdffe3c0e0ff","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Service (please tick all applicable)"
"62ff0f42-e510-5e10-8f30-835b1d999ab4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Pipework securely clipped"
"bdfbaad4-813a-50fc-b361-de7920feb90d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Lagging installed"
"3ab2559f-9305-56ae-91d8-932c6308ac9f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Seismic restraints installed"
"882a1945-7702-5ce1-ba97-b74cb29f825f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Penetrations sealed through floors"
"6cddfe23-e9d4-5fd8-a1d4-ca28fb827903","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Outlet positions checked for"
"4af18751-f904-5f40-b450-c6bfb72d0313","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Heights – Finished floor height verified with Main Contractor"
"20e9fa99-7efc-50fa-aa22-416d425b9ea5","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Projection of valves, shower mixers and the like correct for second fix"
"6a4315de-51da-5fc3-b91f-3f972b739be2","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Nogs installed for second fix installation"
"83a34204-004a-52af-ad48-73bb4a24d5ff","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Preline QA","Pipework identification installed if required"
"fe588619-840b-5187-af3d-11e35920ed92","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Female bathroom","Testing"
"2562e1c8-54c0-5052-b96d-bbd7fb81b0b0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Testing","Hot & Cold Water"
"a109a018-fce5-55eb-abd3-92d3ba107c6f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Testing","Soil/Waste Pipes"
"4c25b4c9-c0a2-520c-834e-b1ab8f40e645","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Testing","Other"
"ab10acbb-7e04-59ae-8ae8-a9b25d6309f1","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Female bathroom","Handover"
"64b9aec3-8f5b-5a31-b6ad-151927313631","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Handover","Area left clean and tidy"
"a0a318bd-ff24-58e3-8fbd-246436f82f04","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Handover","Local Authority Verification"
"8b490269-431e-54f2-ac29-622bc55dd6ac","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Handover","Plumbing inspection complete and passed as satisfactory"
"14621a59-9b2d-557c-bd45-7e11dec88430","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Handover","ContractorVerification"
"8ead6880-5493-5291-a0be-044e81a4058c","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Handover","Plumbing Complete and ready for lining"
"339b5586-184a-5d9c-9a52-c574bab3bed4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Handover","Main Contractor verification"
"0c7f2245-9209-54c5-89cf-75d5b19de3c0","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Female bathroom","Handover","Plumbing Complete and ready for lining"
"61970468-6837-4caf-b62b-3024c13081f9","","checklist-sectioned","not-started","Preline Checklist","checklist","FALSE","FALSE","Project QA","Preline","Cleaners cupboard"
"9e53f97b-cdaf-5a82-93cc-37daddfcaa40","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Cleaners cupboard","Preline QA"
"614ab8da-7bbd-582e-9cad-82c952ec8f22","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Area Accessible"
"26fb3be8-ec70-5d54-8a1d-5a925f160e7f","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Service (please tick all applicable)"
"df51db15-f777-5d42-93a8-ec34f8724bfa","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Pipework securely clipped"
"d6be0128-d296-5b14-9a3c-1fcd989005a9","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Lagging installed"
"a1fc6cb8-3663-50b8-bbda-0d43b8a735cf","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Seismic restraints installed"
"97e81892-e2ed-5666-bcab-94865de28b35","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Penetrations sealed through floors"
"cd430f10-528a-59cc-b7f0-934719e5cf56","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Outlet positions checked for"
"f1a2125c-7ccc-5d6b-beff-a3303eac2c77","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Heights – Finished floor height verified with Main Contractor"
"18a5800f-ef40-5598-8bae-3424da195657","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Projection of valves, shower mixers and the like correct for second fix"
"29c95dfc-cbd6-50d4-9b1d-a66d1fe1ecf7","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Nogs installed for second fix installation"
"4f831fec-efd1-52ef-9c83-8a235cdf13ed","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Preline QA","Pipework identification installed if required"
"0ba6e829-0c34-5c88-a368-b2e2319ebb58","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Cleaners cupboard","Testing"
"c77453a7-89a0-513d-a604-2a439a7a2115","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Testing","Hot & Cold Water"
"cfc13891-10bf-537c-bbf8-7d41732e6d5e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Testing","Soil/Waste Pipes"
"6a3f6441-c54c-54b6-a58c-4d7805d68a77","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Testing","Other"
"be19a08c-6f9b-5c31-9c75-3e466c9d1f04","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Cleaners cupboard","Handover"
"8491aac1-afe6-5f72-a95a-daa496b6b468","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Handover","Area left clean and tidy"
"2238220f-c962-5c8d-97d0-16bfeca5a665","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Handover","Local Authority Verification"
"c6417272-0917-5285-9e52-72aca230450a","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Handover","Plumbing inspection complete and passed as satisfactory"
"5251d74c-59d1-55b1-9635-9bd21976fb49","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Handover","ContractorVerification"
"6d24a46f-e253-58cd-b292-749c9fca2395","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Handover","Plumbing Complete and ready for lining"
"fc555e6b-e10c-55e2-9a7f-1a113a8fe402","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Handover","Main Contractor verification"
"35718ad9-c1d1-5424-b4a2-52a2dc4b744f","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Cleaners cupboard","Handover","Plumbing Complete and ready for lining"
"6c167862-9b92-46b1-86d7-f877f51a2534","","checklist-sectioned","not-started","Preline Checklist","checklist","FALSE","FALSE","Project QA","Preline","Accessible bathroom"
"53ee565c-aa55-54da-b4e7-aca650bbefbb","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Accessible bathroom","Preline QA"
"459c60ab-c1ed-5ffc-bff5-7b7809c752b8","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Area Accessible"
"c0ba0ef7-6caf-5880-8f1e-752001f88e02","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Service (please tick all applicable)"
"dd2a6664-8645-5b16-b6d0-487b7d7e90f8","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Pipework securely clipped"
"e8f4485e-9c8d-5e03-8e7c-e585f7eaaca5","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Lagging installed"
"dbc76118-2103-5003-b168-41009b9e4e24","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Seismic restraints installed"
"f52cb598-9247-5ae3-bd40-ca959cfdde5e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Penetrations sealed through floors"
"5f0d7db2-c600-51ce-8fbe-6bed0cfc1d94","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Outlet positions checked for"
"23f9a39c-e57c-5c7e-8e86-1058cf30b8c4","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Heights – Finished floor height verified with Main Contractor"
"4f699d40-c5d2-5ad0-a2aa-65f1ec5e6712","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Projection of valves, shower mixers and the like correct for second fix"
"3bfd1e9d-acd5-50d5-8fee-741b1fb6a87e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Nogs installed for second fix installation"
"902e7ada-f152-5736-b9b2-562bc4ca5c67","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Preline QA","Pipework identification installed if required"
"f2790abc-a07f-5d78-8d6d-e5099e51d23c","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Accessible bathroom","Testing"
"c40b6070-788a-5c20-aded-a9fc233398ab","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Testing","Hot & Cold Water"
"9509e75f-ea5f-5b27-9f29-e0413200cfd8","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Testing","Soil/Waste Pipes"
"635f5ffa-39d2-5dd2-a1f3-6d39c4d2b83d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Testing","Other"
"7225ffe9-f01b-5a9f-bbdc-4068d4964e25","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Accessible bathroom","Handover"
"f75d15b2-86f6-55c4-875b-c2d5f5b43862","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Handover","Area left clean and tidy"
"f23338b4-a72a-558b-b732-ea3adc2a024a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Handover","Local Authority Verification"
"7ff35a31-0fe3-5a0a-aee7-073f0eacf0b7","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Handover","Plumbing inspection complete and passed as satisfactory"
"afeea237-b8c2-5cf3-9904-6e29ee82da00","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Handover","ContractorVerification"
"bd30c30c-7a45-508b-93c7-9bcd92f8bff6","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Handover","Plumbing Complete and ready for lining"
"273007f9-3ac2-5540-aba7-a2c01119986a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Handover","Main Contractor verification"
"db8a44ad-3510-5d03-be19-ea4076e1d52b","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Accessible bathroom","Handover","Plumbing Complete and ready for lining"
"a55d2721-e4fe-47df-8fb8-2ebc31bebe41","","checklist-sectioned","not-started","Preline Checklist","checklist","FALSE","FALSE","Project QA","Preline","Lunchroom"
"67b558e0-372d-59e5-a34d-8534a0444cf8","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Lunchroom","Preline QA"
"e0194f3d-5ea3-5833-9fc7-79f80f6b0f51","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Area Accessible"
"7dd4c7c9-d681-5a57-b5ef-ee4039de87bb","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Service (please tick all applicable)"
"2dc72321-db22-5e76-ac09-4b6f0ab574e7","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Pipework securely clipped"
"757a8b94-c79c-52ec-9dcf-dcaf5b73d97e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Lagging installed"
"a4eb532c-1e3d-51a0-ae94-7a9a3008c4a6","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Seismic restraints installed"
"91724e12-b629-5f54-ba08-12328c1b8ce0","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Penetrations sealed through floors"
"070d2052-bb29-5a1a-a871-8925d2b2d25c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Outlet positions checked for"
"5ce74674-598a-53a2-ba81-69f026a7cd50","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Heights – Finished floor height verified with Main Contractor"
"377c5abe-7d78-59dd-97bc-31cec0ca7a4e","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Projection of valves, shower mixers and the like correct for second fix"
"776a1b67-b0c5-5a6b-a523-e5b18ca00aa9","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Nogs installed for second fix installation"
"e6336313-ee63-5b95-a052-c7fa2d94d66c","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Preline QA","Pipework identification installed if required"
"9c97c2cc-d186-5786-83f5-3f5ad1f370e5","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Lunchroom","Testing"
"41c22beb-3545-5ef5-bdea-aca1b9b357ee","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Testing","Hot & Cold Water"
"38e49fda-608e-5b9f-8bd8-96836aa461ef","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Testing","Soil/Waste Pipes"
"8e7468e8-2d08-5a59-9b47-299037276879","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Testing","Other"
"361a72e7-a314-5c46-b0f8-746ef068d956","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Preline","Lunchroom","Handover"
"5d136845-e2de-5aa0-803a-137924ef9f08","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Handover","Area left clean and tidy"
"e0bd6d40-a8d0-5d01-8cc9-3228dfd8012d","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Handover","Local Authority Verification"
"d528f924-6c35-5bf9-b24c-2d1a94987290","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Handover","Plumbing inspection complete and passed as satisfactory"
"59565bf6-8897-5970-8d2b-2e587fdcf2fb","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Handover","ContractorVerification"
"1a9c62e6-b1c5-57b9-aaf9-08bb41a94c6f","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Handover","Plumbing Complete and ready for lining"
"b8d79496-377b-5fcd-a0af-fe780074b0a6","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Handover","Main Contractor verification"
"32870a9e-746e-54f1-affb-4490425e771f","","holdpoint","not-started","","","TRUE","TRUE","Project QA","Preline","Lunchroom","Handover","Plumbing Complete and ready for lining"
"7e1326c8-4c21-46fb-8197-3781233f8bad","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Fitoff"
"0c1c7134-3637-4a2f-9956-82110654ad6c","","checklist-sectioned","not-started","Fitoff Checklist","checklist","FALSE","FALSE","Project QA","Fitoff","Male bathroom"
"623f0259-5e9c-5155-8a7e-d59f54196bb9","","checkpoint-group","not-started","","","FALSE","FALSE","Project QA","Fitoff","Male bathroom","Wash Hand Basin"
"a48905c9-1351-5c8e-aac0-135644f57b6a","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Fitoff","Male bathroom","Wash Hand Basin","Basin level and secure"
"78bc274e-3c09-54f2-a9fb-04417c8c2898","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Fitoff","Male bathroom","Wash Hand Basin","Waste connection watertight, plug supplied"
"f4227eac-04c2-5fcb-8816-445e2b6002a1","","checkpoint-status","not-started","","","TRUE","TRUE","Project QA","Fitoff","Male bathroom","Wash Hand Basin","Water connection watertight, tap secure"
