"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0a2ef68f-234f-4489-bf49-dbad693ac7dd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"0eed8881-9539-426c-ae07-54f99fd3fc01","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Documents for Reference"
"5a392417-1968-41f8-abb0-3ef9d1d26582","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Welder Certificates"
"10aded33-3c82-5163-80d4-c31281c16e56","","checkpoint-status","pass","Add Reference Document:ac683752-d805-4d0c-946f-7a5dfa54dcee","","TRUE","TRUE","Site QA","Documents for Reference","Welder Certificates","Please attach document here"
"146e238b-3017-4bf6-956c-4d5f0a72ff59","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Extruder Calibrations & Conformity"
"e5b52272-3964-5a06-8039-b9a81bc3178a","","checkpoint-status","pass","Add Reference Document:ac683752-d805-4d0c-946f-7a5dfa54dcee","","TRUE","TRUE","Site QA","Documents for Reference","Extruder Calibrations & Conformity","Please attach document here"
"00563a5c-4b02-4e95-9d5f-8cbd2c39a5bf","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Extruder Serial Numbers"
"36f526c9-4c51-587a-beca-717285bdd01f","","checkpoint-status","pass","Add Reference Document:ac683752-d805-4d0c-946f-7a5dfa54dcee","","TRUE","TRUE","Site QA","Documents for Reference","Extruder Serial Numbers","Please attach document here"
"d1532e47-1b04-43ad-8001-12fb6c49ddb8","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","LEISTER Tool Serial Numbers - Weldplast "
"7afb8a54-6a37-5ea0-a665-a777304edf49","","checkpoint-status","pass","Add Reference Document:ac683752-d805-4d0c-946f-7a5dfa54dcee","","TRUE","TRUE","Site QA","Documents for Reference","LEISTER Tool Serial Numbers - Weldplast ","Please attach document here"
"24eca42d-d299-4b34-903f-0909d118411c","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Goodburn Spark Tester"
"478d1a02-83ec-5a0c-9796-2d9fc6b36ec1","","checkpoint-status","pass","Add Reference Document:ac683752-d805-4d0c-946f-7a5dfa54dcee","","TRUE","TRUE","Site QA","Documents for Reference","Goodburn Spark Tester","Please attach document here"
"64829cba-c0ac-4a08-8bb7-80c892b7810c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings."
"c9a11949-58e8-42c9-811d-dfe8d22e3480","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500"
"9dbd897b-1d95-4bf5-8466-d8dbc9d6856c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25"
"e66be270-6253-4536-8210-c9836126231d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25","Prestart"
"0168dcc9-e9e9-5253-b920-3ec5b4e3eb41","","checkpoint-status","not-started","QA - Welding Record:01962c1b-4082-4fd0-81b7-716a30b77df9","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 2","Welding parameters - Hot air"
"e2aa7439-0f6c-5960-948b-1e2f4dbd3c4e","","checkpoint-status","not-started","QA - Welding Record:a8ae7620-6f0a-4a8e-9840-1c23b707bd2b","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 2","Welding parameters - Speed"
"5dcbed0c-6ef9-5bec-b9cf-99758d86b046","","checkpoint-status","not-started","QA - Welding Record:1d4bbbe4-7a6b-45ce-bbf4-32dee9b162a9","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Welding Record - Phase 2","General Comments"
"42c25b22-a1f0-4a09-b025-f3c7e8e38041","","checklist-flat","not-started","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 1"
"ee90df93-b639-55be-9047-e5a0a1350db9","","checkpoint-status","not-started","QA - Electronic Testing:0b2a8e1a-d192-45c7-8e94-1f70f08bc73b","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 1","Weld shape - does the weld conform to the Variant 2 profile"
"7aaa8705-71bb-5271-b26b-4568720a579d","","checkpoint-status","not-started","QA - Electronic Testing:de8ed336-a93c-4dea-9eaf-149a255b5a4a","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 1","Nominal thickness less than 6mm"
"e54bcdd5-ecbc-5719-bbcc-fd727eaeefc0","","checkpoint-status","not-started","QA - Electronic Testing:ec88f59f-2e4e-4649-bf4b-3888f94cd981","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 1","Visual inspection complete"
"de197685-8165-5a4b-9791-b6648965b639","","checkpoint-status","not-started","QA - Electronic Testing:19453674-2ea3-4669-9724-e1c6a622c590","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 1","All joints within the requirements of DVS 2227-1 Variant 2"
"75631217-fbe1-59f5-bab5-9b5cacbaa4f4","","checkpoint-status","not-started","QA - Electronic Testing:e51263d5-f9a7-4c9a-99bc-6b405e53f549","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 1","Spark tester on site calibration completed every 2 days"
"864aa014-1884-551b-8e3f-6406f8f45706","","checkpoint-status","not-started","QA - Electronic Testing:c8f16169-00ee-4bc2-87e2-d3f8dd5d9712","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 1","Electronic leak testing (high voltage) carried out with Buckley's PST-100 spark tester"
"39300564-8d65-54d3-bde4-158dbd4cf9fb","","checkpoint-status","not-started","QA - Electronic Testing:4d708c74-3dc3-4666-8af8-6f43e02c19a7","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 1","Mark up panel layout of joints completed in Phase 1"
"c3a7890a-c7e0-50be-a8af-ae9eb416942d","","checkpoint-status","not-started","QA - Electronic Testing:15ea735b-3cff-4adf-8161-678694828b00","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 1","Maximum asperities not greater than 6mm"
"ff2a9569-768f-4165-8159-15d84e31e866","","checklist-flat","not-started","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 2"
"227b4bd3-04a1-513e-82b4-700f928aa268","","checkpoint-status","not-started","QA - Electronic Testing:0b2a8e1a-d192-45c7-8e94-1f70f08bc73b","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 2","Weld shape - does the weld conform to the Variant 2 profile"
"10c4edfd-85ac-5ecd-8f95-0b03ee35263e","","checkpoint-status","not-started","QA - Electronic Testing:de8ed336-a93c-4dea-9eaf-149a255b5a4a","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 2","Nominal thickness less than 6mm"
"0f5e523e-73d6-5fe9-8978-48fc7e15d3f4","","checkpoint-status","not-started","QA - Electronic Testing:ec88f59f-2e4e-4649-bf4b-3888f94cd981","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 2","Visual inspection complete"
"004b939e-bad2-5a19-8abd-b7a7d345b451","","checkpoint-status","not-started","QA - Electronic Testing:19453674-2ea3-4669-9724-e1c6a622c590","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 2","All joints within the requirements of DVS 2227-1 Variant 2"
"2503de70-2f2d-5a81-b9fa-e02bc9790af0","","checkpoint-status","not-started","QA - Electronic Testing:e51263d5-f9a7-4c9a-99bc-6b405e53f549","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 2","Spark tester on site calibration completed every 2 days"
"5fce3f59-6423-50a1-9913-30c5558ba387","","checkpoint-status","not-started","QA - Electronic Testing:c8f16169-00ee-4bc2-87e2-d3f8dd5d9712","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 2","Electronic leak testing (high voltage) carried out with Buckley's PST-100 spark tester"
"d40de14d-06c3-5494-961c-e27d52382b7d","","checkpoint-status","not-started","QA - Electronic Testing:4d708c74-3dc3-4666-8af8-6f43e02c19a7","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 2","Mark up panel layout of joints completed in Phase 1"
"f621d6d8-94a9-5e9e-a40a-42bfd413dfaf","","checkpoint-status","not-started","QA - Electronic Testing:15ea735b-3cff-4adf-8161-678694828b00","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","1 to 25","Electronic Testing - Phase 2","Maximum asperities not greater than 6mm"
"6c9a0214-3926-4b91-be3e-d9d4778f26e9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25","Defect Repair"
"38da800c-6f71-4149-9b27-0411dd9af041","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","26 to 50"
"b9930336-8e05-4f18-b910-db8f48ea4b8e","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","26 to 50","Prestart"
"28c549ef-6a06-4594-ad73-3600cc821866","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","26 to 50","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"09a11fbd-7431-5b7e-b5cb-c74a61e03389","","checkpoint-status","not-started","QA - Daily Prestart Checklist:b5a9a753-61bc-42fe-b0d6-ff4a0ccd84d1","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Prestart","Daily Prestart - Date: DD/MM/YYYY","Are all electrical tools and leads tagged and safe to use?"
"6d0ed441-76dc-5908-89a6-130e854e71cc","","checkpoint-status","not-started","QA - Daily Prestart Checklist:2fc64f3c-d7ac-4920-82dd-8a1b710f87d3","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Prestart","Daily Prestart - Date: DD/MM/YYYY","Has the Daily Calibration of the electronic spark tester been completed?"
"0101722c-c96e-53ea-8d5c-153c71832e6f","","checkpoint-status","not-started","QA - Daily Prestart Checklist:3ec57a31-9037-4421-bd0b-faec769fe45c","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Prestart","Daily Prestart - Date: DD/MM/YYYY","Are the Extruders calibration certs current?"
"59ee78da-edca-535f-8387-61a0d1dbdd70","","checkpoint-status","not-started","QA - Daily Prestart Checklist:e17bf073-2d02-46c9-8a3b-418f00d7a739","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Prestart","Daily Prestart - Date: DD/MM/YYYY","Air temp"
"318a8b19-7190-5513-af67-abf5db4e0521","","checkpoint-status","not-started","QA - Daily Prestart Checklist:27784ca0-5eb6-484e-a63a-b04e192b8ba4","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Prestart","Daily Prestart - Date: DD/MM/YYYY","Surface temp"
"88babb96-5efd-5c91-9d42-3ce43ff19cee","","checkpoint-status","not-started","QA - Daily Prestart Checklist:82347384-c20f-4eb9-a369-ec1e1106375c","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Prestart","Daily Prestart - Date: DD/MM/YYYY","Dew point"
"7a989312-e27b-5de4-ac78-e46f54d9568f","","checkpoint-status","not-started","QA - Daily Prestart Checklist:ce0ca008-93d1-42fc-b4c2-b41451486c2b","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Prestart","Daily Prestart - Date: DD/MM/YYYY","Trial weld completed sucessfully and numbered?"
"b7cf8059-5834-4390-a629-f19bc193f540","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 1"
"95438720-3e7d-51a2-bf40-6af3aacf903f","","checkpoint-status","not-started","QA - Welding Record:e6a6dc66-9fcd-4e2c-be20-c37655ebda69","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 1","Rings"
"73911abd-b1a1-55e9-a6de-c47931885fdf","","checkpoint-status","not-started","QA - Welding Record:e4c8f605-3ee2-42b4-8adf-32d54b4455a7","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 1","Material information"
"08c660c6-aab7-51c6-948d-aa3d447b68b5","","checkpoint-status","not-started","QA - Welding Record:423f5873-fbe5-4e1b-b327-dc533a9e98f2","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 1","Ambient conditions"
"9aac30b0-3d5d-5d17-8cfc-46f3e84c21b2","","checkpoint-status","not-started","QA - Welding Record:adfb5182-35af-47a8-b94c-769660946539","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 1","Panel"
"8e6993c9-679d-5c87-ba4c-ae9cc3ba4923","","checkpoint-status","not-started","QA - Welding Record:8f61b87b-422a-4555-abd5-31402321b485","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 1","Welding parameters - Extrudate"
"d79680e0-d26e-5cc0-b6a1-56f99c5c3672","","checkpoint-status","not-started","QA - Welding Record:01962c1b-4082-4fd0-81b7-716a30b77df9","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 1","Welding parameters - Hot air"
"3f720848-d9d0-5007-ab5c-128292c46592","","checkpoint-status","not-started","QA - Welding Record:a8ae7620-6f0a-4a8e-9840-1c23b707bd2b","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 1","Welding parameters - Speed"
"98b83519-14cf-56cf-8502-3763123c9611","","checkpoint-status","not-started","QA - Welding Record:1d4bbbe4-7a6b-45ce-bbf4-32dee9b162a9","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 1","General Comments"
"5b6186bb-b179-4ef7-85e6-65a5ca36b2da","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 2"
"b28c40f1-db08-5c41-bcd2-669c4a3fa308","","checkpoint-status","not-started","QA - Welding Record:e6a6dc66-9fcd-4e2c-be20-c37655ebda69","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 2","Rings"
"a2667eb4-a5a1-54f4-838a-6d60ccbd67d7","","checkpoint-status","not-started","QA - Welding Record:e4c8f605-3ee2-42b4-8adf-32d54b4455a7","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 2","Material information"
"1f636bc3-fa65-5495-a23d-dbfd6fe80d9b","","checkpoint-status","not-started","QA - Welding Record:423f5873-fbe5-4e1b-b327-dc533a9e98f2","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 2","Ambient conditions"
"d483bcba-3ca3-5ec9-b0e1-dca36cc0307f","","checkpoint-status","not-started","QA - Welding Record:adfb5182-35af-47a8-b94c-769660946539","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 2","Panel"
"bd39e44a-292d-522e-9b8d-31b93372dcfb","","checkpoint-status","not-started","QA - Welding Record:8f61b87b-422a-4555-abd5-31402321b485","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 2","Welding parameters - Extrudate"
"065ad963-53b9-5ffa-a650-d67c9bfca6a8","","checkpoint-status","not-started","QA - Welding Record:01962c1b-4082-4fd0-81b7-716a30b77df9","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 2","Welding parameters - Hot air"
"a7b722aa-6c44-50ac-80a8-1d7d367bcde2","","checkpoint-status","not-started","QA - Welding Record:a8ae7620-6f0a-4a8e-9840-1c23b707bd2b","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 2","Welding parameters - Speed"
"aa0a8d4f-e2e0-5649-a0b5-3c534a5cbab5","","checkpoint-status","not-started","QA - Welding Record:1d4bbbe4-7a6b-45ce-bbf4-32dee9b162a9","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 2","General Comments"
"1e816c37-7c61-4253-a0e7-426fffe96450","","checklist-flat","not-started","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","26 to 50","Electronic Testing - Phase 1"
"658c2afc-6b99-56bf-bad4-ad145b069ebc","","checkpoint-status","not-started","QA - Electronic Testing:0b2a8e1a-d192-45c7-8e94-1f70f08bc73b","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Electronic Testing - Phase 1","Weld shape - does the weld conform to the Variant 2 profile"
"f83986a0-23ce-56e6-ba22-564f37dfa159","","checkpoint-status","not-started","QA - Electronic Testing:de8ed336-a93c-4dea-9eaf-149a255b5a4a","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Electronic Testing - Phase 1","Nominal thickness less than 6mm"
"c22e0e76-36e1-5a03-875c-5dfd4c55709a","","checkpoint-status","not-started","QA - Electronic Testing:ec88f59f-2e4e-4649-bf4b-3888f94cd981","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Electronic Testing - Phase 1","Visual inspection complete"
"5195e4c7-7cc9-5c6b-bf09-4a09e9495dd2","","checkpoint-status","not-started","QA - Electronic Testing:19453674-2ea3-4669-9724-e1c6a622c590","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Electronic Testing - Phase 1","All joints within the requirements of DVS 2227-1 Variant 2"
"2c3fa8b5-beaf-5502-9dc6-8556ce993e23","","checkpoint-status","not-started","QA - Electronic Testing:e51263d5-f9a7-4c9a-99bc-6b405e53f549","","TRUE","TRUE","Site QA","Rings.","Rings 1-500","26 to 50","Electronic Testing - Phase 1","Spark tester on site calibration completed every 2 days"
