"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0a2ef68f-234f-4489-bf49-dbad693ac7dd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"0eed8881-9539-426c-ae07-54f99fd3fc01","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Documents for Reference"
"5a392417-1968-41f8-abb0-3ef9d1d26582","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Welder Certificates"
"146e238b-3017-4bf6-956c-4d5f0a72ff59","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Extruder Calibrations & Conformity"
"00563a5c-4b02-4e95-9d5f-8cbd2c39a5bf","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Extruder Serial Numbers"
"d1532e47-1b04-43ad-8001-12fb6c49ddb8","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","LEISTER Tool Serial Numbers - Weldplast "
"24eca42d-d299-4b34-903f-0909d118411c","","checklist-flat","pass","Add Reference Document","checklist-flat","FALSE","FALSE","Site QA","Documents for Reference","Goodburn Spark Tester"
"64829cba-c0ac-4a08-8bb7-80c892b7810c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings."
"c9a11949-58e8-42c9-811d-dfe8d22e3480","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500"
"9dbd897b-1d95-4bf5-8466-d8dbc9d6856c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","1 to 25"
"5b6186bb-b179-4ef7-85e6-65a5ca36b2da","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","26 to 50","Welding Record - Phase 2"
"1e816c37-7c61-4253-a0e7-426fffe96450","","checklist-flat","not-started","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","26 to 50","Electronic Testing - Phase 1"
"17fd3a4d-a45b-48bd-948f-a094c1fa184c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","26 to 50","Defect Repair"
"a262a446-ea32-4d66-8401-f547c0aa4c28","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","51 to 75"
"61f85880-34ee-41fc-bfb4-d35e31e167c3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","51 to 75","Prestart"
"56f6d9d7-1020-4b5b-a64b-cabc63b51543","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","51 to 75","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"386dc85d-7b3a-4bb4-97e7-0633a18c344e","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","51 to 75","Welding Record - Phase 1"
"83746562-782e-4784-be53-bdf46e005d19","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","51 to 75","Welding Record - Phase 2"
"a817de5d-6ac0-462a-b59d-5766121f8d4b","","checklist-flat","not-started","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","51 to 75","Electronic Testing - Phase 1"
"195304f8-c725-4c85-a2ab-73114a9108f6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","51 to 75","Defect Repair"
"a07146be-e2bd-401f-8d2c-242c46765599","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","76 to 100"
"ad840d1c-7f8d-4cb3-ad3b-48769b5de240","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","76 to 100","Prestart"
"bb9fa669-afb6-4580-815b-fb9f1fdc7624","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","76 to 100","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"062a52a8-508d-4b81-b912-4a659e1864b7","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","76 to 100","Welding Record - Phase 1"
"16d5b2ff-2561-415b-9931-f0446461ec78","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","76 to 100","Welding Record - Phase 2"
"34533bf6-4ec4-45c0-8f7b-610336c38949","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","76 to 100","Electronic Testing - Phase 1"
"ff051871-3bf5-4233-8372-647ccbe3ad55","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","76 to 100","Defect Repair"
"526b92f4-dec8-478d-89e3-5f310d1086ca","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","76 to 100","Daily Prestart - Date:09/05/2023"
"1a447785-24da-4fff-b9e5-55d7482320a7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","101 to 125"
"8f19bda7-35c4-4690-9824-714daaa0b6b1","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","101 to 125","Prestart"
"3ffddeb8-d5bb-4ec1-a157-ee3490d9fb52","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","101 to 125","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"17cf1822-9dd2-4da2-9fe9-9f51877fea7f","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","101 to 125","Welding Record - Phase 1"
"f1d3d384-96e2-4508-9fe7-a549eeb09b38","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","101 to 125","Welding Record - Phase 2"
"96fa1020-00d1-46e1-b7b4-e48ccdaa5e25","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","101 to 125","Electronic Testing - Phase 1"
"e48b23e1-9572-4f6f-8c5c-12552c7d18aa","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","101 to 125","Defect Repair"
"9197aaac-dee3-4e18-a80b-19bddcd8aaf3","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","101 to 125","Daily Prestart - Date:11/05/2023"
"16d7886c-003e-4e97-be81-d7bcc7dca874","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","126 to 150"
"d935a6e7-6e59-4116-bb6b-b3314c9f3156","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","126 to 150","Prestart"
"011de1af-842e-44e3-a276-f7918b03890a","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","126 to 150","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"9817c1fd-7106-471e-ac1d-fb1feec8bccf","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","126 to 150","Welding Record - Phase 1"
"00c194bd-8a30-48f2-88e2-1444330a2a3d","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","126 to 150","Welding Record - Phase 2"
"8bf2677a-f055-49f0-89b1-60bbd1b65ac6","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","126 to 150","Electronic Testing - Phase 1"
"1b6dc61c-062d-424f-91a6-6bd91f53ac29","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","126 to 150","Defect Repair"
"37d93552-6821-4609-80c2-e85309ce864e","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","126 to 150","Daily Prestart - Date:15/05/2023"
"7426e6d6-a1ec-46e7-846e-b458b1d77fa3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","151 to 175"
"a775f920-29d5-4b26-bb31-686157d45a9d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","151 to 175","Prestart"
"34bc19cb-b6c2-4184-8712-e7a9771d50ca","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","151 to 175","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"af7d58a1-f931-4c45-b347-2fc4dbc63627","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","151 to 175","Welding Record - Phase 1"
"3f4736b1-4237-45b8-ade9-545969f147d7","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","151 to 175","Welding Record - Phase 2"
"2472de92-ce60-4416-8b74-eb866c66edb7","","checklist-flat","not-started","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","151 to 175","Electronic Testing - Phase 1"
"a7f8246f-8006-4f5c-b695-1b46196cd152","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","151 to 175","Electronic Testing - Phase 2"
"38902c54-0f0e-4302-9865-86bb1a6f53e6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","151 to 175","Defect Repair"
"63d0ea15-a820-4f1f-89f2-cc9a7b96e643","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","151 to 175","Daily Prestart - Date:16/05/2023"
"07677945-8f75-4d54-b34a-af7090aa8f23","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","176 to 200"
"c027abb3-7957-4dd5-8e8c-1510494bb396","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","176 to 200","Prestart"
"f6ff6057-964b-423f-b451-1add5a54816a","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","176 to 200","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"5e67674d-6dc3-4f24-b974-e633d73b6532","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","176 to 200","Welding Record - Phase 1"
"312d0dce-dd94-4618-9c71-a87b1e37a624","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","176 to 200","Welding Record - Phase 2"
"aa29856c-a0ab-4afe-abd7-8f7a7b4a3de1","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","176 to 200","Electronic Testing - Phase 1"
"11de224b-3733-46bc-864c-cab2e992dc13","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","176 to 200","Defect Repair"
"5148e883-afaa-41ba-b3e1-4ba8d0a0ae7a","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","176 to 200","Daily Prestart - Date:18/05/2023"
"b4c3773a-3374-436a-a07c-5b66d9c15b4a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","201 to 225"
"afeb2fbe-62fa-44c8-b2e5-f255f43812bf","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","201 to 225","Prestart"
"ce4e70c4-ac0e-4d96-9fba-454ccdeb677f","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","201 to 225","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"ccc4d929-b1b0-42e4-9087-d53aff7707d6","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","201 to 225","Welding Record - Phase 1"
"a81395c9-03c3-4dff-bd07-24671278a6c9","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","201 to 225","Welding Record - Phase 2"
"fac19de4-7842-44e2-ad86-fb056263eb7f","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","201 to 225","Electronic Testing - Phase 1"
"0877e44e-d091-45a1-8ce7-312c51a0c0f6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","201 to 225","Defect Repair"
"ae5e4cc9-2b57-4e9f-b854-70205c46c9b4","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","201 to 225","Daily Prestart - Date:19/05/23"
"44014040-82bb-4fb9-bb7e-26962a723d80","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","226 to 250"
"d04eaf7e-c41a-4e81-9cec-86b7883b42b0","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","226 to 250","Prestart"
"3c698d7e-46ab-426d-ae2a-7eb6af70a665","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","226 to 250","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"e94e077e-3a5e-458f-a68f-b702381ff72e","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","226 to 250","Welding Record - Phase 1"
"1a95e79f-a06a-4eca-bd76-e236e3da3d84","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","226 to 250","Welding Record - Phase 2"
"370040f1-e86a-4fd4-b4d3-bbd7e1c926fa","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","226 to 250","Electronic Testing - Phase 1"
"31c3f585-1947-4c42-afb9-29503e8e28e0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","226 to 250","Defect Repair"
"0aec8a81-5e88-4d6c-9f21-47c952fa783d","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","226 to 250","Daily Prestart - Date: 23/5/2023"
"fe5b1138-922d-4547-b245-e092abd08ad6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","251 to 275"
"7684953d-b4ac-4634-b64b-36407bc6b5fb","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","251 to 275","Prestart"
"3f68dcc3-7c9f-4e99-b859-b463ddfaf1a1","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","251 to 275","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"29b96dea-f81c-4fbd-bc5e-c31034fbcbeb","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","251 to 275","Welding Record - Phase 1"
"2371dd30-cc6d-4962-a737-ebf730e7847f","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","251 to 275","Welding Record - Phase 2"
"9b936043-c236-4686-9dfb-fbf94e6728f1","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","251 to 275","Electronic Testing - Phase 1"
"d3ec62c1-1e59-4df8-8050-3054d2d3d355","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","251 to 275","Defect Repair"
"3ab2c600-aa58-4b6b-8b9d-e362ff44db5f","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","251 to 275","Daily Prestart - Date:24/05/23"
"0186ae59-74cd-428d-89af-ca927b8736c4","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","276 to 300"
"33fe4f5d-8c09-428f-8e09-9845c04a6c9d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","276 to 300","Prestart"
"9bf385fa-b3a3-4e05-a9cb-a535b76f9015","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","276 to 300","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"b5ef663b-65be-4ae1-a424-0b1f60031070","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","276 to 300","Welding Record - Phase 1"
"a9f656cf-9d9a-41fd-a44a-8b57e1e74883","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","276 to 300","Welding Record - Phase 2"
"f00a65cf-42a3-41bc-9fff-8755aef81c33","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","276 to 300","Electronic Testing - Phase 1"
"f22b857b-a780-4e41-b3b1-662a4834a1a6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","276 to 300","Defect Repair"
"2ce7f98d-349e-478b-afba-fe8311611e64","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","276 to 300","Daily Prestart - Date:25/05/23"
"35634c70-e90d-4c06-831a-73d4c4df0ffd","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","301 to 325"
"9ef32b6c-7cad-416b-9064-ce91670bfa45","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","301 to 325","Prestart"
"56794642-dc2d-43dc-ac3d-3831be0e4f5a","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","301 to 325","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"c984cbbb-954e-4b4f-b5b9-a18156798c3f","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","301 to 325","Welding Record - Phase 1"
"cc733e1a-91cb-4548-87be-b464afc91e88","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","301 to 325","Welding Record - Phase 2"
"3a82608c-aa34-48d6-8118-3471343f76d1","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","301 to 325","Electronic Testing - Phase 1"
"b044fcab-9b8e-43bd-85a4-f950bc814966","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","301 to 325","Defect Repair"
"b51d5ea6-01ae-4637-b326-e24af55840f7","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","301 to 325","Daily Prestart - Date:26/5/23"
"ef4c1275-48bb-4075-aa05-3daf19dd11f1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","326 to 350"
"d5cb395f-647b-41de-8830-09c87c8119b9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","326 to 350","Prestart"
"bb34f038-07ff-4bb4-bbc9-5119e239b6f6","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","326 to 350","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"b4d50284-80a0-4645-8b21-e29a02f6ba70","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","326 to 350","Welding Record - Phase 1"
"75257f83-dc03-44ad-bc45-4b56c3d3c599","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","326 to 350","Welding Record - Phase 2"
"3829e866-f098-4781-a736-d9690f6799ad","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","326 to 350","Electronic Testing - Phase 1"
"8764cb3b-30a9-4878-86d5-536c53ba0a18","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","326 to 350","Defect Repair"
"224773fe-b6d3-4fa6-bd8e-633b78af51a4","","checklist-flat","pass","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","326 to 350","Daily Prestart - Date:29/5/23"
"458b6d77-e008-464a-b5ff-74e04218bdde","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","351 to 375"
"d2294be2-9b25-4d25-801b-8aee423980d7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","351 to 375","Prestart"
"49835229-b004-4e76-991a-839b217a4b78","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","351 to 375","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"29c05f2d-92c4-46f9-b0a3-63e0b58264b7","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","351 to 375","Welding Record - Phase 1"
"a1646599-449a-48c7-8893-84a0d0d9aa13","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","351 to 375","Welding Record - Phase 2"
"cb6bbb20-f95d-4d18-865a-fe25c262438b","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","351 to 375","Electronic Testing - Phase 1"
"ef99354b-e49f-4f34-b661-932438db0c7c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","351 to 375","Defect Repair"
"abee5e28-57f6-4339-9a2e-9b908fbb3281","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","376 to 400"
"0e9c2474-2ab7-49c3-84bf-5633f9d4ff5c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","376 to 400","Prestart"
"8dd06e92-62da-4347-a76b-6889cc820908","","checklist-flat","not-started","QA - Daily Prestart Checklist","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","376 to 400","Prestart","Daily Prestart - Date: DD/MM/YYYY"
"f63c2ae4-ac9b-4cbb-862f-5d6d8b968a04","","checklist-flat","pass","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","376 to 400","Welding Record - Phase 1"
"666d6464-a1ca-46ff-9b2b-979c69078f01","","checklist-flat","not-started","QA - Welding Record","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","376 to 400","Welding Record - Phase 2"
"c25fad1a-cb1d-4e76-b10e-d1381b5c1467","","checklist-flat","pass","QA - Electronic Testing","checklist-flat","FALSE","FALSE","Site QA","Rings.","Rings 1-500","376 to 400","Electronic Testing - Phase 1"
"26eee43f-4b3d-4791-ac86-96dbd92816e0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Rings.","Rings 1-500","376 to 400","Defect Repair"
