type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,
label,Acceptance / Conformance Criteria - Unsuitable material shall be excluded from the construction works and be placed in a disposal area as directed by the Engineer in loose layer thicknesses not exceeding 500 mm and be track rolled with a minimum of two passes. ,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.14.7 ,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - When encountered,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint,5.03.10 - Bulk Excavation ,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Excavation within the buttress footprint shall be to intact rock, which is anticipated to be weak siltstone. ",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.8,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - During Works,,,,,,,,,,,,,,,,
label,Activity - I,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint,5.03.11 - Bulk Excavation Protection,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - No compaction or trafficking on the exposed rock shall be undertaken, as it is likely that the surface will be sensitive to disturbance and deterioration. ",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.8,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - During Works,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint,5.03.12 - Subgrade Inspection,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - On completion of the bulk excavation, inspection and testing of the subgrade shall be performed by the Engineer.",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.8,,,,,,,,,,,,,,,,
label,Verifying Document - Hold Point Release,,,,,,,,,,,,,,,,
label,Frequency - 48 Hours Notice Prior to Each Occurrence,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,5.03.13 - Inspection Prior to Filling,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Before fill is placed in any area, the Engineer shall be notified so that he may inspect the stripping and/or removal of unsuitable materials to see that this prior work meets with the specified requirements. No filling shall be undertaken until inspections have been made and the Engineer has approved the commencement to fill.",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.11,,,,,,,,,,,,,,,,
label,Verifying Document - Hold Point Release,,,,,,,,,,,,,,,,
label,Frequency - Prior to Filling,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
checklist,DS2672-ITP-S122 - Earthworks - Section 2 to 9 - Inspection and Test Plan - Rev 1,itp,,,,,DS2672-ITP-S122 - Earthworks - Section 2 to 9 - Inspection and Test Plan - Rev 1,,,,,,,,,,
section,"5.03 Clearing, Stripping, and Excavation",,,,,,,,,,,,,,,,
checkpoint,5.03.05 - Tree and Bush Clearing,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - No trees or bush shall be cleared without approval from the Engineer.,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.7.2,,,,,,,,,,,,,,,,
label,Verifying Document - Hold Point Release,,,,,,,,,,,,,,,,
label,Frequency - Prior to Removal,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,5.03.03 - Organic Material Removal,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - All organic material shall be removed from the areas subject to excavation or filling. Turf, topsoil, and any scrub shall be removed to expose soil containing insignificant amounts of organic material.",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.7.1,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - When encountered,,,,,,,,,,,,,,,,
label,Activity - A,,,,,,,,,,,,,,,,
label,By - PE,,,,,,,,,,,,,,,,
checkpoint,5.03.02 - Excavated upper dam shoulder Inspection (Section 2 to 9),,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Excavated upper dam shoulder, each subsequent 20m wide section prior to placement of filter and drainage materials must be inspected by the Engineer prior to further work being carried out in the area.",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.3 ,,,,,,,,,,,,,,,,
label,Verifying Document - Hold Point Release,,,,,,,,,,,,,,,,
label,Frequency - 48 Hours Notice Prior to each subsequent 20m wide section,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,5.03.04 - Topsoil Stockpiling,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - All significant volumes of topsoil shall be stockpiled for later re-use. Materials containing insufficient amounts of topsoil for practical separation shall be disposed of in dump areas to be designated by the Engineer.,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.7.1,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - When encountered,,,,,,,,,,,,,,,,
label,Activity - A,,,,,,,,,,,,,,,,
label,By - PE,,,,,,,,,,,,,,,,
checkpoint,5.03.06 - Surface Water Control,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - All earthworks shall be carried out in the dry. Both cut and fill areas shall be sloped adequately during construction so that they do not pond water and temporary drains shall be provided as necessary to ensure the effective removal of stormwater from the areas of operation into the site drainage system.,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.7.3,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - During Works,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint,5.03.08 - Water in Excavation,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - The excavation shall be free of water at all times,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.10,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - Daily,,,,,,,,,,,,,,,,
label,Activity - M,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint,5.03.09 - Dewatering Sump Backfilling,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Sumps formed for the purposes of dewatering shall be backfilled and compacted in layers with suitable fill to the approval of the Engineer.,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.10,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - Each Sump,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,5.03.07 - Unsuitable Material Removal,,,,,,,,,,,,,,,,
label,Acceptance / Conformance Criteria - Unsuitable material shall be excluded from the construction works and be placed in a disposal area as directed by the Engineer in loose layer thicknesses not exceeding 500 mm and be track rolled with a minimum of two passes. ,,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.14.7 ,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - When encountered,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint,5.03.10 - Bulk Excavation ,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Excavation within the buttress footprint shall be to intact rock, which is anticipated to be weak siltstone. ",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.8,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - During Works,,,,,,,,,,,,,,,,
label,Activity - I,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint,5.03.11 - Bulk Excavation Protection,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - No compaction or trafficking on the exposed rock shall be undertaken, as it is likely that the surface will be sensitive to disturbance and deterioration. ",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.8,,,,,,,,,,,,,,,,
label,Verifying Document - Site Records / Photos,,,,,,,,,,,,,,,,
label,Frequency - During Works,,,,,,,,,,,,,,,,
label,Activity - R,,,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,,,
checkpoint,5.03.12 - Subgrade Inspection,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - On completion of the bulk excavation, inspection and testing of the subgrade shall be performed by the Engineer.",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.8,,,,,,,,,,,,,,,,
label,Verifying Document - Hold Point Release,,,,,,,,,,,,,,,,
label,Frequency - 48 Hours Notice Prior to Each Occurrence,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,5.03.13 - Inspection Prior to Filling,,,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Before fill is placed in any area, the Engineer shall be notified so that he may inspect the stripping and/or removal of unsuitable materials to see that this prior work meets with the specified requirements. No filling shall be undertaken until inspections have been made and the Engineer has approved the commencement to fill.",,,,,,,,,,,,,,,,
label,Standard / Specification - 14AED/AD4-C - 030.11,,,,,,,,,,,,,,,,
label,Verifying Document - Hold Point Release,,,,,,,,,,,,,,,,
label,Frequency - Prior to Filling,,,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
