"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7c056999-2355-5580-bd76-9df71524fb46","","fail","","folder","TRUE","FALSE","Trial - How to use CONQA Checklist"
"2997ac18-876f-506d-861b-c7afa6a28f9b","","fail","SYS - How to CONQA","checklist","FALSE","FALSE","Trial - How to use CONQA Checklist","How to CONQA"
"b3cec972-ae47-5608-960a-4f29e8ede6fb","","fail","","section","FALSE","FALSE","Trial - How to use CONQA Checklist","How to CONQA","Details"
"fde72dce-b943-5307-8ec8-2843f621ef44","","no-status-not-started","","checkpoint-no-value","TRUE","TRUE","Trial - How to use CONQA Checklist","How to CONQA","Details","Open this checklist in the web app with the -> Open Checklist button above"
"639887db-e0f8-51f9-bc98-3bc545d65a97","","pass","","checkpoint","TRUE","TRUE","Trial - How to use CONQA Checklist","How to CONQA","Details","1.1 Pass this checkpoint"
"ab64c9f3-01e2-5e59-bd55-7439e40758e2","","fail","","checkpoint","TRUE","TRUE","Trial - How to use CONQA Checklist","How to CONQA","Details","1.2 Fail this checkpoint"
"77cc56cb-3524-5bd6-92d2-d7c5159ba4aa","","not-applicable","","checkpoint","TRUE","TRUE","Trial - How to use CONQA Checklist","How to CONQA","Details","1.3 NA this checkpoint"
"f61befd6-1847-5bfc-b36c-e9715a022534","","not-applicable","","checkpoint","TRUE","TRUE","Trial - How to use CONQA Checklist","How to CONQA","Details","1.4 Add a photo this checkpoint"
"6dddc2bd-546e-5341-a8f7-37fecd630d37","","no-status-started","","checkpoint-no-value","TRUE","TRUE","Trial - How to use CONQA Checklist","How to CONQA","Details","1.5 Add a comment to this checkpoint"
"70f604ee-c85e-5d8a-8d72-d10c48fc9037","","pass","","checkpoint","TRUE","TRUE","Trial - How to use CONQA Checklist","How to CONQA","Details","1.6 Attach a signature to this checkpoint"
"142a219a-dcb2-5309-9f6d-645d1df01dba","","fail","","checkpoint","TRUE","TRUE","Trial - How to use CONQA Checklist","How to CONQA","Details","1.7 Attach a file to this checkpoint"
"5cf8d430-488a-504d-a4e3-2384093ac09c","","no-status-started","","checkpoint-no-value","TRUE","TRUE","Trial - How to use CONQA Checklist","How to CONQA","Details","Congrats on completing your first checklist! Now download the CONQA app with the QR code."
"fb5d9537-eb93-59bf-b972-ad356f043d40","","fail","","folder","TRUE","FALSE","Site QA"
"3eecd042-d0de-5b47-96a3-dfb2b44fbd05","","pass","","folder","TRUE","FALSE","Site QA","Lot 1"
"319dc620-4f5f-5acd-b816-882b80e2c621","","pass","","folder","TRUE","FALSE","Site QA","Lot 1","Earthworks"
"328f9a08-d48f-5201-b1a9-10055e830fc3","","pass","QA - Detailed Excavation -","checklist","FALSE","FALSE","Site QA","Lot 1","Earthworks","Detailed Excavation"
"af90d97c-6ff5-5810-b176-c2ed2ceb0cd1","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Services Located"
"688e0181-db7a-5f02-848c-c06b9916d643","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Location accurate"
"535068e4-5a8b-5bcf-8dc7-9a44a102f9e3","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Topsoil stripped completely"
"ac723129-498f-576a-b96d-a01d628e3e5d","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Building pads set out correctly with RLs as required for cut/fill"
"1d543949-a6c9-5f2c-99f1-4a5d4d3cc43e","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Correct cut back for walls/foundations"
"0e1a14d6-8e4b-5ff6-bf53-90ef1af22209","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Geotech Engineer Inspection"
"3dfd0121-6b73-50a2-aa86-6bfc5a57cf13","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Earthworks","Detailed Excavation","Detailed excavation completed, reviewed and approved"
"40f9df5c-9dab-5d32-90e9-d1251c781583","","pass","","folder","TRUE","FALSE","Site QA","Lot 1","Stormwater"
"259c11fe-4ec2-59be-9955-93d0e5390968","","pass","QA - Pipeline Installation Checklist","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1"
"7a4ddf0d-3252-5b0e-b3eb-92cbc98779da","","pass","","section","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation EXSWMH to B/1","Pipe Laying"
"f2b0fe3b-fb5c-537c-abe8-f489b5416a0a","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Ground conditions checked & acceptable"
"140ad4fb-bd95-5880-8d0c-36fe8ff8ed06","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Bedding depth and material correct & compacted (Photo Required)"
"cb12b25d-df3d-5ceb-a9d9-aff02241c323","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Cut in Manhole Shearbands ( Photos required)"
"09686015-63ed-5a6a-9d5f-1c1c9af52999","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Manhole Risers epoxyed (if applicable Photo required)"
"80f3b998-4cfd-5d0e-a18f-d7c7378ec57e","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Inside of starters epoxyed all the way around"
"08d1f5ff-af92-54b3-9013-003d420eb0f2","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Manhole benching completed and acceptable (Photo required)"
"7ab5bd53-5d8f-5cab-b43b-c3f43a8fd692","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Concrete Lid Installed, Correct orientation and sealed"
"d5adf408-f10a-5348-a8b0-9db2ed398d98","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Cast Iron Lid Raised and Installed at 90 degrees to steps"
"1c650c5f-c314-5c90-8904-f8ae7adc0e87","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Epoxy completed inside lid and "
"edc528db-281e-5654-8add-c21030bd8615","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Stormwater lids to be spray painted blue"
"6b2cffbb-a14d-5f82-b4e9-0b97ebfcae1f","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/1","Manhole Install","Sewer manhole safety grille installed"
"173a2a3a-cc64-54de-8da6-c717e8c42ba0","","pass","QA - Pipeline Installation Checklist","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2"
"2c7e2d8c-4b3b-59ce-9494-c5225947dafb","","pass","","section","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying"
"50d31a5b-5c3f-5141-a11d-03441b03b853","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Latest consented drawings"
"88581bac-d1e4-515c-8826-44038e32ed09","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Setout completed checked and accurate"
"c3a9ea15-9256-5ddc-a77f-a32fb6365327","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Services Located and before you dig plans checked"
"aa03c088-e2c9-5ec2-aee5-887a87bf94de","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","All junctions marked out and run through with operator"
"04c61a15-24e6-5841-8d68-5800921ede63","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Laser grade checked. Correct +/-. Benching required if >1.5m"
"9f1f1e63-2486-540a-ac15-00b23c26a2c2","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Laser checked for line with string line"
"779240a4-56f5-5659-8c54-7d36731945f3","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Correct trench width for pipe size"
"af3cd0a6-d26a-55bc-8100-52bc6870c235","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Starter checked for fall. Starter epoxyed to seal from water."
"e1008dc2-5ea6-5ff8-bf27-2985b53d3a8e","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Corbel installed with suitable bedding around pipe (Photo Required)"
"5b6360f4-cefe-52d6-9848-68ad2675dd78","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Ground Conditions Checked & Acceptable"
"a0b828f2-30a7-55ad-b3f6-4c9d09faa9b5","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","General photos during pipe laying"
"11f6b710-eed6-5964-9192-f0fa30697787","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","Pipe Laying Completed"
"0eb17343-4575-51ed-9833-af60219064b5","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation B/1 to B/2","Pipe Laying","CCTV Completed"
"52e23309-0f04-56b2-8377-2dd79026efeb","","pass","SYS - Drainage - Manhole Install PUB SWMH B/1","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2"
"4080157c-954b-5cec-9366-aa0e222b91ad","","pass","","section","FALSE","FALSE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install"
"bc6aaa56-255c-5343-a782-900ae8141431","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Latest consented drawings"
"0c354652-72df-5e73-9529-5f97597cdce0","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Setout an manhole sizing checked"
"30e93f19-b2df-5b9b-b1b7-840939c97033","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Services Located and before you dig plans checked"
"7dfb757b-5d65-503a-af49-4f833b5aa3b1","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","MHS measured onsite. Prep height determined from Lid Level. "
"636c2bf5-5355-55ae-9f68-2630f154729d","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Benching/shield required if >1.5m"
"92e45514-cf50-5176-8bae-a9fcea3edc53","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Ground conditions checked & acceptable"
"28198ee6-c567-5329-b563-59265ab6f8e9","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Bedding depth and material correct & compacted (Photo Required)"
"e33dbfc9-3c59-50be-817a-8dba4a43139d","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Cut in Manhole Shearbands ( Photos required)"
"f522c0f2-6c70-501b-ad24-55881a948d57","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Manhole Risers epoxyed (if applicable Photo required)"
"5d181f45-56ef-5fdd-bc18-b21c67bd634b","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Inside of starters epoxyed all the way around"
"fe30f1fe-d8bd-5294-9177-44a9e6474fc2","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Manhole benching completed and acceptable (Photo required)"
"37f3553d-b110-57ce-ac42-5f3a2878638f","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Concrete Lid Installed, Correct orientation and sealed"
"dd08a25c-46b7-5616-aeeb-1b1a12769784","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Cast Iron Lid Raised and Installed at 90 degrees to steps"
"bf753d1f-e7fb-5a26-a75b-c7ac2f4b3c46","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Epoxy completed inside lid and "
"94b52978-a0da-5822-8b62-3c8a41503432","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Stormwater lids to be spray painted blue"
"0852abf5-458c-5dfe-85c4-8219c921dacf","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Drainage - Manhole Install PUB SWMH B/2","Manhole Install","Sewer manhole safety grille installed"
"c6d6cc5f-0de8-5f58-8690-d69a8d3e0939","","pass","QA - Pipeline Installation Checklist","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02"
"621c6505-ef0f-52bc-a0eb-12864cde3b04","","pass","","section","FALSE","FALSE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying"
"a9676904-a8c2-5212-82c0-cb11005b6a64","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Latest consented drawings"
"a262cedb-aceb-5fec-8931-5b2d5d52e67b","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Setout completed checked and accurate"
"67d63a99-ee47-52ac-85fe-0f8e8978c99d","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Services Located and before you dig plans checked"
"b0cc7203-7f7a-55a2-873d-bfc4944f18b7","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","All junctions marked out and run through with operator"
"51f1dd52-4704-5bbb-883d-bba78120d275","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Laser grade checked. Correct +/-. Benching required if >1.5m"
"fc469af3-14d7-5263-946d-f0e969813399","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Laser checked for line with string line"
"6a809092-c103-5846-943b-0eaf58097b04","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Correct trench width for pipe size"
"418e6f69-19c6-5697-8833-b1c9ebafc1e6","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Starter checked for fall. Starter epoxyed to seal from water."
"00cfe203-8a1f-581c-a326-91ccb795f673","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Corbel installed with suitable bedding around pipe (Photo Required)"
"971e6d59-b9b3-58af-862e-7cf0eed0b64f","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Ground Conditions Checked & Acceptable"
"c9597995-1254-5ed9-b4cc-a96e64e1c8e3","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","General photos during pipe laying"
"7e829e17-3346-5486-8d3a-30c2c518dad6","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","Pipe Laying Completed"
"34b77db4-04c3-5fcc-98dc-a066420ca10a","","not-applicable","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Pipeline Installation SWMH B/2 to SWCP02","Pipe Laying","CCTV Completed"
"29c8f569-0634-5b30-973d-953a207f02d0","","pass","SYS - Cesspit Installation SWCP02","checklist","FALSE","FALSE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02"
"507da668-5d41-51f5-87e8-6e0d91b8e715","","pass","","section","FALSE","FALSE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install"
"e75f3554-6018-52ab-8a26-875c551a468c","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","Latest consented drawings"
"a079c47b-6a98-5c6e-b75d-85cf815532b4","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","Services Located and before you dig plans checked"
"8c9c0b57-d6ac-53b3-95df-d9033eb61d11","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","Cesspit correct distance off edge of driveway or kerb line "
"09c7aa0a-c4a4-5caa-8115-1d110248bf20","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","MHS measured onsite. Prep height determined from Lid Level. "
"c80865ab-75d3-55d4-b14a-a67b4fa177e7","","pass","","checkpoint","TRUE","TRUE","Site QA","Lot 1","Stormwater","Cesspit Installation SWCP02","Cesspit Install","Ground conditions checked & acceptable"
