,,"Table drains shaped to allow water to flow freely and best marry into existing surfaces.",,"table drains shaped to allow water to flow freely and best marry into existing surfaces."
,,"Proof roll subgrade: If foundation fails TSC to be notified and to site instruction required - ...",,"proof roll subgrade: if foundation fails tsc to be notified and to site instruction required - hold point required"
,,"Road base Material: Material source along with conforming material NATA test certificates have been submitted ...",,"road base material: material source along with conforming material nata test certificates have been submitted and approved by the principal (material stockpile lot)"
,,"If testing required - Layers compacted to 100% Standard compaction for full formation width. ..",,"if testing required - layers compacted to 100% standard compaction for full formation width. compaction testing to be done 1 test per 500m2, minimum of 3 test taken at a time (per lot) or as directed otherwise."
,,"Levels of gravel marry into existing and deviation does not exceed 12mm over the length of a 3m straight edge.",,"levels of gravel marry into existing and deviation does not exceed 12mm over the length of a 3m straight edge."
,,"Geotextile – A34 Geotextile separator placed prior to rock placement IF DIRECTED or WITHIN SCOPE",,"geotextile – a34 geotextile separator placed prior to rock placement if directed or within scope"
,,"Rock Placement - Rock to be placed in completed drain profile as per agreed scope. Correct Rock Size Placed",,"rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"40-70mm - Quantity","40-70mm - Quantity","rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"150-250mm - Quantity","150-250mm - Quantity","rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"300-500mm - Quantity","300-500mm - Quantity","rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"600-900mm - Quantity","600-900mm - Quantity","rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"Other","Other","rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"Existing rock to be grouted as per agreed scope",,"existing rock to be grouted as per agreed scope"
,,"Approx m2","Approx m2","existing rock to be grouted as per agreed scope"
,,"Rocks to be cleaned down at end of grouting for neat finish",,"rocks to be cleaned down at end of grouting for neat finish"
,,"Excavation & Preparation - Suitable subgrade material and prepared to suitable surface",,"excavation & preparation - suitable subgrade material and prepared to suitable surface"
,,"Formwork & Reinforcement - Dimensions and positions of forms shall be carefully checked...",,"formwork & reinforcement - dimensions and positions of forms shall be carefully checked after the forms are erected. forms shall be aligned accurately and the location of all fittings, hold formers etc. checked prior to placing of concrete."
,,"Formwork & Reinforcement - Placing of reinforcement as per agreed scope,..",,"formwork & reinforcement - placing of reinforcement as per agreed scope, with reference to typical construction details. reinforcement to maintain a 50mm vertical and horizontal cover unless directed otherwise."
,,"TSC Approval","TSC Approval","formwork & reinforcement - placing of reinforcement as per agreed scope, with reference to typical construction details. reinforcement to maintain a 50mm vertical and horizontal cover unless directed otherwise."
,,"Ready Mix Concrete - The concrete shall be mixed and delivered in accordance with the requirements of AS 1379 -",,"ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - plese attach or take photos of last dockets from each pour"
,,"Concrete Mix Used:","Concrete Mix Used:","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - plese attach or take photos of last dockets from each pour"
,,"20/20/80","20/20/80","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - plese attach or take photos of last dockets from each pour"
,,"25/20/80","25/20/80","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - plese attach or take photos of last dockets from each pour"
,,"32/20/80","32/20/80","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - plese attach or take photos of last dockets from each pour"
,,"32/20/100","32/20/100","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - plese attach or take photos of last dockets from each pour"
,,"40/20/80","40/20/80","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - plese attach or take photos of last dockets from each pour"
,,"Grout","Grout","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - plese attach or take photos of last dockets from each pour"
,,"Shotcrete Shotcrete w/ poly-fibre","Shotcrete Shotcrete w/ poly-fibre","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - plese attach or take photos of last dockets from each pour"
,,"Other","Other","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - plese attach or take photos of last dockets from each pour"
,,"Concrete Placement - Concrete finished to TSC Standard",,"concrete placement - concrete finished to tsc standard"
,,"Two pairs of test specimens shall be moulded for each 15 cubic metres of concrete, or part thereof, ...",,"two pairs of test specimens shall be moulded for each 15 cubic metres of concrete, or part thereof, one pair being intended for the 7-day test if required and the other pair for a 28-day test."
,,"Stormwater components installed as per scope of works - HOLD POINT REQUIRED",,"stormwater components installed as per scope of works - hold point required"
,,"Size & quantity of pipe & pits installed","Size & quantity of pipe & pits installed","stormwater components installed as per scope of works - hold point required"
,,"Other","Other","stormwater components installed as per scope of works - hold point required"
,,"Density testing of pipeline required if within roadway:- 100% compaction to be achieved",,"density testing of pipeline required if within roadway:- 100% compaction to be achieved"
,,"Site left tidy & DM spray mark removed",,"site left tidy & dm spray mark removed"
,,"Site Handover: All works complete, demobilised and site handed back to TSC",,"site handover: all works complete, demobilised and site handed back to tsc"
,,"Date of handback","Date of handback","site handover: all works complete, demobilised and site handed back to tsc"
,,"Verify conformance including close out of NCR’s",,"verify conformance including close out of ncr’s"
,,"NCR NO:","NCR NO:","verify conformance including close out of ncr’s"
,,"Damage No. (DM) signed off and closed by PM or representative",,"damage no. (dm) signed off and closed by pm or representative"

"Package 2 Progress"
,"Scope",,
,"Rows"
,,"Byrrill Creek Road","dynamic","byrrill creek road","package 2","site completion report"
,,"Manns Road","dynamic","package 2","manns road","site completion report"
,,"Kunghur Creek Road","dynamic","kunghur creek road","package 2","site completion report"
,,"Mount Burrell Road","dynamic","package 2","mount burrell road","site completion report"
,,"Palmers Road","dynamic","package 2","palmers road","site completion report"
,,"Mount Warning Road","dynamic","package 2","mount warning road","site completion report"
,,"Smiths Creek Road","dynamic","package 2","smiths creek road","site completion report"
,,"Minto Place","dynamic","package 2","site completion report","minto place"
,,"Ryans Road","dynamic","package 2","site completion report","ryans road"
,,"Benelong Place","dynamic","package 2","benelong place","site completion report"
,,"Adcocks Road","dynamic","package 2","adcocks road","site completion report"
,,"Kookaburra Court","dynamic","package 2","site completion report","kookaburra court"
,,"Tunnel Road","dynamic","package 2","site completion report","tunnel road"
,,"Nolans Road","dynamic","package 2","nolans road","site completion report"
,,"Mcconnells Road","dynamic","mcconnells road","package 2","site completion report"
,,"Stokers Road","dynamic","stokers road","package 2","site completion report"
,,"Commercial Road","dynamic","package 2","commercial road","site completion report"
,,"Kyogle Road","dynamic","kyogle road","package 2","site completion report"
,,"Bakers Road","dynamic","package 2","site completion report","bakers road"
,,"Glenock Road","dynamic","package 2","site completion report","glenock road"
,,"Braeside Drive","dynamic","package 2","site completion report","braeside drive"
,,"Clarrie Hall Dam Road","dynamic","package 2","site completion report","clarrie hall dam road"
,"Columns"
,,"Possession of Site",,"possession of site"
,,"Date of possession:","Date of possession:","possession of site"
,,"Dial Before You Dig (DBYD) and Permit to Excavate completed and signed onto by personnel",,"dial before you dig (dbyd) and permit to excavate completed and signed onto by personnel - hold point required"
,,"TSC Scope Agreed",,"tsc scope agreed"
,,"(Upload scope doc here)","(Upload scope doc here)","tsc scope agreed"
,,"Variations to Scope",,"variations to scope"
,,"Details any Variations below and confirm if these have been uploaded to Assigner:","Details any Variations below and confirm if these have been uploaded to Assigner:","variations to scope"
,,"Testing required for the scope:",,"testing required for the scope:"
,,"Concrete testing","Concrete testing","testing required for the scope:"
,,"Density Testing","Density Testing","testing required for the scope:"
,,"Gravel Testing Other","Gravel Testing Other","testing required for the scope:"
,,"Other","Other","testing required for the scope:"
,,"Traffic Control – TGS approved and appropriately selected for the works",,"traffic control – tgs approved and appropriately selected for the works"
,,"TGS No",,"tgs no"
,,"Erosion and Sediment Control:",,"erosion and sediment control:"
,,"Silt Boom Earth Bund","Silt Boom Earth Bund","erosion and sediment control:"
,,"Sediment Fence","Sediment Fence","erosion and sediment control:"
,,"Other","Other","erosion and sediment control:"
,,"Minor clearing of vegetation undertaken – where applicable.",,"minor clearing of vegetation undertaken – where applicable."
,,"Demolition works / Spoil Removal undertaken and spoil removed from site to Quirks Quarry",,"demolition works / spoil removal undertaken and spoil removed from site to quirks quarry - hold point required"
,,"Is subgrade or sub base suitable",,"is subgrade or sub base suitable"
,,"Table drains shaped to allow water to flow freely and best marry into existing surfaces.",,"table drains shaped to allow water to flow freely and best marry into existing surfaces."
,,"Proof roll subgrade: If foundation fails TSC to be notified and to site instruction required",,"proof roll subgrade: if foundation fails tsc to be notified and to site instruction required - hold point required"
,,"Road base Material: Material source along with conforming material NATA test certificates have been submitted and approved by the Principal",,"road base material: material source along with conforming material nata test certificates have been submitted and approved by the principal (material stockpile lot)"
,,"If testing required - Layers compacted to 100% Standard compaction for full formation width...",,"if testing required - layers compacted to 100% standard compaction for full formation width. compaction testing to be done 1 test per 500m2, minimum of 3 test taken at a time (per lot) or as directed otherwise."
,,"Levels of gravel marry into existing and deviation does not exceed 12mm over the length of a 3m straight edge.",,"levels of gravel marry into existing and deviation does not exceed 12mm over the length of a 3m straight edge."
,,"Geotextile – A34 Geotextile separator placed prior to rock placement IF DIRECTED or WITHIN SCOPE",,"geotextile – a34 geotextile separator placed prior to rock placement if directed or within scope"
,,"Rock Placement - Rock to be placed in completed drain profile as per agreed scope. Correct Rock Size Placed",,"rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"40-70mm - Quantity","40-70mm - Quantity","rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"150-250mm - Quantity","150-250mm - Quantity","rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"300-500mm - Quantity","300-500mm - Quantity","rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"600-900mm - Quantity","600-900mm - Quantity","rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"Other","Other","rock placement - rock to be placed in completed drain profile as per agreed scope. correct rock size placed"
,,"Existing rock to be grouted as per agreed scope",,"existing rock to be grouted as per agreed scope"
,,"Approx m2","Approx m2","existing rock to be grouted as per agreed scope"
,,"Rocks to be cleaned down at end of grouting for neat finish",,"rocks to be cleaned down at end of grouting for neat finish"
,,"Excavation & Preparation - Suitable subgrade material and prepared to suitable surface",,"excavation & preparation - suitable subgrade material and prepared to suitable surface"
,,"Formwork & Reinforcement - Dimensions and positions of forms shall be carefully checked after the forms are erected...",,"formwork & reinforcement - dimensions and positions of forms shall be carefully checked after the forms are erected. forms shall be aligned accurately and the location of all fittings, hold formers etc. checked prior to placing of concrete."
,,"Formwork & Reinforcement - Placing of reinforcement as per agreed scope, with reference to Typical Construction Details...",,"formwork & reinforcement - placing of reinforcement as per agreed scope, with reference to typical construction details. reinforcement to maintain a 50mm vertical and horizontal cover unless directed otherwise."
,,"TSC Approval","TSC Approval","formwork & reinforcement - placing of reinforcement as per agreed scope, with reference to typical construction details. reinforcement to maintain a 50mm vertical and horizontal cover unless directed otherwise."
,,"Ready Mix Concrete - The concrete shall be mixed and delivered in accordance with the requirements of AS 1379...",,"ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - please attach or take photos of last dockets from each pour"
,,"Concrete Mix Used:","Concrete Mix Used:","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - please attach or take photos of last dockets from each pour"
,,"20/20/80","20/20/80","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - please attach or take photos of last dockets from each pour"
,,"25/20/80","25/20/80","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - please attach or take photos of last dockets from each pour"
,,"32/20/80","32/20/80","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - please attach or take photos of last dockets from each pour"
,,"32/20/100","32/20/100","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - please attach or take photos of last dockets from each pour"
,,"40/20/80","40/20/80","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - please attach or take photos of last dockets from each pour"
,,"Grout","Grout","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - please attach or take photos of last dockets from each pour"
,,"Shotcrete Shotcrete w/ poly-fibre","Shotcrete Shotcrete w/ poly-fibre","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - please attach or take photos of last dockets from each pour"
,,"Other","Other","ready mix concrete - the concrete shall be mixed and delivered in accordance with the requirements of as 1379 - please attach or take photos of last dockets from each pour"
,,"Concrete Placement - Concrete finished to TSC Standard",,"concrete placement - concrete finished to tsc standard"
,,"Two pairs of test specimens shall be moulded for each 15 cubic metres of concrete, or part thereof, one pair being intended for the 7-day test if required...",,"two pairs of test specimens shall be moulded for each 15 cubic metres of concrete, or part thereof, one pair being intended for the 7-day test if required and the other pair for a 28-day test."
,,"Stormwater components installed as per scope of works - HOLD POINT REQUIRED",,"stormwater components installed as per scope of works - hold point required"
,,"Size & quantity of pipe & pits installed","Size & quantity of pipe & pits installed","stormwater components installed as per scope of works - hold point required"
,,"Other","Other","stormwater components installed as per scope of works - hold point required"
,,"Density testing of pipeline required if within roadway:- 100% compaction to be achieved",,"density testing of pipeline required if within roadway:- 100% compaction to be achieved"
,,"Site left tidy & DM spray mark removed",,"site left tidy & dm spray mark removed"
,,"Site Handover: All works complete, demobilised and site handed back to TSC",,"site handover: all works complete, demobilised and site handed back to tsc"
,,"Date of handback","Date of handback","site handover: all works complete, demobilised and site handed back to tsc"
,,"Verify conformance including close out of NCR’s",,"verify conformance including close out of ncr’s"
,,"NCR NO:","NCR NO:","verify conformance including close out of ncr’s"
,,"Damage No. (DM) signed off and closed by PM or representative",,"damage no. (dm) signed off and closed by pm or representative"

