"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c1c5e793-757f-5880-a852-a8f9e0eae756","","checklist-flat","no-status-not-started","0cf04e6c756f37a201c6f5eae2c46b46dec2e750a569888c5a58be2e010803e9","checklist-flat","FALSE","FALSE","Job Details"
"149208f0-d8dc-4d2a-8073-feedb637a356","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"60f93354-8a20-496a-baa1-2bbb686ef22e","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1"
"73534c06-71a1-4cd7-89a9-d4b9d76e5fb5","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1","B01"
"7317c6d4-9453-4715-b2fe-ede2fae1cfc5","","checklist-flat","pass","0d253509d430f673a50088a66451e1dbc9c1729c88f9c10f06562a0298fa562b","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Pre-Commencement Checks"
"e36e49ac-5681-4617-bf6c-c2eb42b2f449","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite"
"8ff6eb56-b4ac-4ad2-9b34-71de64fa274d","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite","Basement"
"107d9e60-b550-4d8d-a168-5bb2e40f5a12","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 1"
"7ac240d8-db98-4dc0-911b-277f923ccaee","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Manhole"
"c6e19262-f3a8-4257-8f88-fdac83c6edf3","","checklist-flat","pass","5c8b7b4ede85d3a7b9fa3b629f095c9dcf01e11f55cb346a9a890de54e867a3b","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Waterbar Gridlines C7 "
"2d779b18-9915-5cbf-9830-d668d08c5549","","checklist-flat","pass","Add Sealant QA ","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Sealant Panels Pour 9B"
"134914b2-b87d-5f77-a6be-bbad32f7ee42","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Footings for Pour 9B"
"d19c8766-dcd6-58ae-b9ca-ff7fe8461f26","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Pour 9B Floor Slab"
"f2bb2d16-6e6a-5223-b3d7-404c72fe785b","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Footings for Pour 9A"
"923b6fcc-96fb-5f40-934b-8f4246eb24ca","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Pour 6A Floor Slab"
"9ac306c5-fbcc-534a-b277-88968b07b300","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Pour 6B Floor Slab"
"ddf69960-260c-5ef0-b02f-6bfd4b92119a","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Precast Panels Pour 9A"
"56fb1032-a328-54d3-9df0-9344e2b2a2f5","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Precast Panels Pour 6"
"5016ecfe-9b8b-5d0b-87bf-3367b24d7f62","","checklist-flat","pass","Add Sealant QA ","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Sealant Panels Pour 9A"
"57a30297-54c5-4f7e-885e-3ea8a5e59f35","","checklist-flat","pass","QA - Waterstop","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 4 ","Waterstop Pour 6B lift pit"
"22cb382d-3fd4-476a-8678-c16141d22cd2","","folder-progress","pass","","checklist","TRUE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 5 "
"135872bf-fed1-4b0b-9e0a-24b37ed15e20","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 5 ","Footings for Panels"
"4211d8ae-2b3b-43e8-98e1-5f1f59617355","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 5 ","Floor Slab Pour 8"
"43781218-1c4a-4849-baaf-f0ab5f85b51d","","checklist-flat","pass","f6bbf109ea635f497fb56ddfb242124bb60d06e1838a2e11917baea829e012ec","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 5 ","Precast Panels"
"96f0b554-8435-49c3-8f61-294f118d4abe","","checklist-flat","pass","5c8b7b4ede85d3a7b9fa3b629f095c9dcf01e11f55cb346a9a890de54e867a3b","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 5 ","Waterbar pour 8 Gridlines CG"
"0e337f76-70b2-5aaa-862d-c26ff7da5074","","checklist-flat","pass","Add Bentonite QA","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 5 ","Floor Slab Pour 7"
"85cb3d0f-26b3-5629-a4db-6d08cb2113ce","","checklist-flat","pass","Add Sealant QA ","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Bentonite","Basement","Area 5 ","Sealant QA Pour 8/7"
"ced1385b-968d-4670-9aff-4b07c9aee304","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams"
"d5271823-af24-4a8f-8987-b4cbf305ef84","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams","Façade"
"eba09040-f636-44b6-9722-83d949f3f08c","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","NW - Wing"
"e0c3775b-301e-4fd6-ac34-4f937983fd28","","checklist-flat","not-started","ST - S - Bentonite","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","NW - Wing","Bentonite"
"df0e59ae-1a88-44d9-8b6d-72ddc0558298","","checklist-flat","not-started","ST - S - Sikalastic","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","NW - Wing","152 Sikalastic"
"22d4d3a3-4654-44c7-bee7-4a953c028885","","checklist-flat","not-started","9a14abe6cc7df71aa3b78f16f7136ff75843f7e24c04669d2379797e525ece78","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","NW - Wing","Epoxy"
"3c562511-3d92-4d88-b89a-0c1fb90d9521","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","Central East - A4-A6 & A9-A11 (Facing NE/SE Wings)"
"f21ad6e0-a7b6-4488-a9c6-0878bc71f93b","","checklist-flat","not-started","ST - S - Bentonite","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","Central East - A4-A6 & A9-A11 (Facing NE/SE Wings)","Bentonite"
"c1690652-aaa0-404f-be48-5a46e581fdab","","checklist-flat","not-started","ST - S - Sikalastic","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","Central East - A4-A6 & A9-A11 (Facing NE/SE Wings)","152 Sikalastic"
"265cda7f-240b-4977-8423-e773ad4b7113","","checklist-flat","not-started","9a14abe6cc7df71aa3b78f16f7136ff75843f7e24c04669d2379797e525ece78","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","Central East - A4-A6 & A9-A11 (Facing NE/SE Wings)","Epoxy"
"3f7548b7-bdbb-4029-a364-de1f884fd97d","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","North - AG-CE (Facing B07/B08)"
"0e1513e5-3269-4643-a3b1-23712a314730","","checklist-flat","not-started","ST - S - Bentonite","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","North - AG-CE (Facing B07/B08)","Bentonite"
"051df38b-ac07-45b3-b764-6ed2020e3e03","","checklist-flat","not-started","ST - S - Sikalastic","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","North - AG-CE (Facing B07/B08)","152 Sikalastic"
"16886bae-69a9-4273-ba33-31bce2967776","","checklist-flat","not-started","9a14abe6cc7df71aa3b78f16f7136ff75843f7e24c04669d2379797e525ece78","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","North - AG-CE (Facing B07/B08)","Epoxy"
"4ad70912-18c8-4397-8d7e-bfa12a101824","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","NE - Wing"
"3ec24527-f728-4667-91d8-f5826ee6a122","","checklist-flat","not-started","ST - S - Bentonite","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","NE - Wing","Bentonite"
"198987ed-6e45-4e1e-a292-822437663032","","checklist-flat","not-started","ST - S - Sikalastic","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","NE - Wing","152 Sikalastic"
"720ba00c-57d2-490e-9d78-adcd500af725","","checklist-flat","not-started","9a14abe6cc7df71aa3b78f16f7136ff75843f7e24c04669d2379797e525ece78","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","NE - Wing","Epoxy"
"a081d3f2-822e-4358-9559-96a57e736a04","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","East - C4-C15 (Facing B09/B10)"
"683f64a9-234f-4e3c-9127-d668afaebd5f","","checklist-flat","not-started","ST - S - Bentonite","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","East - C4-C15 (Facing B09/B10)","Bentonite"
"79ad0080-cf9d-4808-9ab1-a95f8923eda2","","checklist-flat","not-started","ST - S - Sikalastic","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","East - C4-C15 (Facing B09/B10)","152 Sikalastic"
"9a4363d8-a78f-49e6-a638-eb44672db8b5","","checklist-flat","not-started","9a14abe6cc7df71aa3b78f16f7136ff75843f7e24c04669d2379797e525ece78","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","East - C4-C15 (Facing B09/B10)","Epoxy"
"6872d588-3aae-4b12-9480-f93530207c7e","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","SE - Wing"
"7cf37a06-7fa4-4a4d-8903-37c3c4435799","","checklist-flat","not-started","ST - S - Bentonite","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","SE - Wing","Bentonite"
"047a80db-245d-40f3-b70f-d99946e42408","","checklist-flat","not-started","ST - S - Sikalastic","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","SE - Wing","152 Sikalastic"
"343ff1a2-4a7f-4750-b1d1-274a9a8f7090","","checklist-flat","not-started","9a14abe6cc7df71aa3b78f16f7136ff75843f7e24c04669d2379797e525ece78","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","SE - Wing","Epoxy"
"84c504f4-d6d8-44bc-8ddc-d69a892ae9b0","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","South - AG-CE (Facing B03/B02)"
"97c25fcb-00f6-446d-b8c6-69e1190165c0","","checklist-flat","not-started","ST - S - Bentonite","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","South - AG-CE (Facing B03/B02)","Bentonite"
"18af5a80-8c43-4443-8e3e-3f31bb6d311d","","checklist-flat","not-started","ST - S - Sikalastic","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","South - AG-CE (Facing B03/B02)","152 Sikalastic"
"0fa1f379-4d39-432d-b94e-5656eba4fc95","","checklist-flat","not-started","9a14abe6cc7df71aa3b78f16f7136ff75843f7e24c04669d2379797e525ece78","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","South - AG-CE (Facing B03/B02)","Epoxy"
"e27b658e-53f3-40bd-a1ac-9990734680c6","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","SW - Wing"
"02f73e28-5fad-45f6-9248-64d7af1bb21f","","checklist-flat","not-started","ST - S - Bentonite","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","SW - Wing","Bentonite"
"26b376ee-233e-4848-afa8-0c88efc63ba5","","checklist-flat","not-started","ST - S - Sikalastic","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","SW - Wing","152 Sikalastic"
"efde6a1a-0f50-4086-9a5e-3aa19a9d67d2","","checklist-flat","not-started","9a14abe6cc7df71aa3b78f16f7136ff75843f7e24c04669d2379797e525ece78","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","SW - Wing","Epoxy"
"29359616-3019-4da5-9419-21c34c89e441","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","West - A4-A11 (Facing B04/B05)"
"b3b29137-1729-41d3-8610-1d26868ba189","","checklist-flat","not-started","ST - S - Bentonite","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","West - A4-A11 (Facing B04/B05)","Bentonite"
"80966597-bc72-43a1-8848-89f0c69d4005","","checklist-flat","not-started","ST - S - Sikalastic","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","West - A4-A11 (Facing B04/B05)","152 Sikalastic"
"ba63d75a-bc04-4839-b2d2-af5864ae19ff","","checklist-flat","not-started","9a14abe6cc7df71aa3b78f16f7136ff75843f7e24c04669d2379797e525ece78","checklist-flat","FALSE","FALSE","QA","Stage 1","B01","Shell Beams","Façade","West - A4-A11 (Facing B04/B05)","Epoxy"
"29fe0c63-69a0-43f4-9845-eb51edb7e731","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1","B01","Façade"
"af557311-9815-4d33-8d6a-7e7446c8735e","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1","B01","Façade","Sarnafill"
"c179c5ba-911c-4a85-9534-30ed75990ca3","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Ground Level"
"e92d5dd2-c35f-4307-ad13-1e25e40982f3","","checklist-sectioned","work-in-progress","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Ground Level","North West wing"
"bbbd61f1-219d-4375-9b2e-91da9ad14942","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Ground Level","Central East - A4-A6 & A9-A11(Facing NE/SE wings)"
"916e558f-b4bc-4a2e-88bd-e5d5f61b31fd","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Ground Level","North - AG-CE(Facing B07/B08)"
"2a59fc15-3d72-455d-b3fd-9ab732429dff","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Ground Level","North East wing"
"a68feee9-3652-420c-9e38-f2ab578ca0b2","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Ground Level","East - C4-C15(Facing B09/B10)"
"ae12f6a1-cb5b-4945-9ec4-230dfc5aa745","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Ground Level","South East wing"
"84369fa3-3ecf-40ec-ab57-ce1df5240372","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Ground Level","South - AG-CE(Facing B03/B02)"
"69fec3ac-4950-4af5-8a4d-7ef000f5b5cb","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Ground Level","South West wing"
"d6a641c5-580b-4b80-acde-b883a19f1102","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Ground Level","West - A4-A11(Facing B04/B05)"
"e3c59f1e-3a9b-48df-a4a5-23df36762a9f","","folder-normal","not-started","","step","TRUE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1"
"1ae8e342-15ff-4e41-a95c-8af4adfbf3a8","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 156A"
"65e53b6e-846d-45f5-ace3-a3610b66d344","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 155A"
"75aa3b3f-0563-487d-84d3-7c2085295661","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 154A"
"64c3dc13-d5db-435d-8637-c8984ae78992","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 153A"
"f1d6bd67-f3b7-4058-ba33-563d682a308d","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 152A"
"099b1ed1-f67d-43d0-9d2b-61e26059f560","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 151A"
"58a565ab-b306-4856-b8b8-cfc4a643da27","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 157A"
"051ad11e-0a3d-45c7-a171-651941efadab","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 158A"
"ad63b92c-832e-4e5b-a983-13cedc87189d","","checklist-sectioned","not-started","SYS - ST - S - Sarnafil (old version)","checklist","FALSE","FALSE","QA","Stage 1","B01","Façade","Sarnafill","Level 1","ALS - 159A"
