"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"355ef459-b353-4bd8-8662-10c122f66761","","folder-normal","fail","","step","TRUE","FALSE","QA"
"be662c48-8e32-49c7-a243-9edd3ffb8210","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA","Foundations"
"d2e622a3-4b9c-49f0-83b2-1afef7b2e0a6","","folder-normal","not-started","","step","TRUE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)"
"d4272bb5-d005-42b1-a428-f277e51cf633","","checklist-sectioned","not-started","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)"
"91558a18-b950-4297-9166-aa9a4f74d7b4","","checkpoint-group","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d","","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Stormwater (Main Line)","Pipe Laying"
"fb9ddd01-9f73-56f4-ab01-98817a605c7b","","checkpoint-group","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)","Pipe Laying"
"23512eb1-8039-5459-b1de-9fa0f1e9df1f","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:bf77c808-69f1-4b4c-9011-e6bf2314c17f","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)","Pipe Laying","Latest construction drawings referenced and followed"
"999927c8-09cb-57c9-bd21-6947bbe16582","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:4bcb3e9b-1cbb-45e3-999b-0fdfaae15e3c","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)","Pipe Laying","Setout & Excavation completed checked and accurate"
"d02a676d-8d42-5ae9-a682-a4e4ea9198f7","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:47a6d050-3800-48e9-9326-a54a12f24da9","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)","Pipe Laying","Ground Conditions Checked & Acceptable"
"43082b7b-7327-51f8-abd1-3b60a951f0e6","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:7f7a4b17-3d41-4ea7-aa22-4f8d84c7c76f","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)","Pipe Laying","Bedding depth and material correct (photos & any relevant testing attached)"
"63ef14fd-3ee1-5ea2-884b-7ee1b4a1e2c6","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:a289760c-f0f5-4f93-89f8-b94c8eaee033","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)","Pipe Laying","Correct pipe (size, material & class) laid to specified level, grade and jointed as specified"
"ad3aa393-4ab7-5c8f-97f7-f18e2ec1b5bf","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:a7f8c7f4-9f0c-4882-8a18-dd24382f868d","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)","Pipe Laying","Connections to manholes complete, correct and approved"
"ab2b03d8-8b14-588d-a237-1b2faa516353","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:03deb6d2-9158-4ea9-97a6-495cea2e05eb","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)","Pipe Laying","Relevant tests, photos & as-built information provided"
"7be6375a-e969-5629-a106-7c7dde04891d","","checkpoint-group","not-started","Add Waster Water Mainline:54f8daa8-d9bb-4add-954a-d95d6a9155c3","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)","Backfill"
"a36395de-3f4c-5ad5-8786-2b66496346af","","checkpoint-status","not-started","Add Waster Water Mainline:54f8daa8-d9bb-4add-954a-d95d6a9155c3:21583bec-a3a3-47ab-9dc5-05f536f3da66","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Waste Water (Main Line)","Backfill","Backfill completed & compacted as specified"
"d8b4ad6a-f1a3-5e54-b1a9-970a0cc81d7b","","checklist-sectioned","not-started","Add Water Main","checklist","FALSE","FALSE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main"
"b5caddbd-04d9-528f-85d4-c80000cba8ea","","checkpoint-group","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main","Pipe Laying"
"8a27a747-b43b-5e3b-b35d-81fbd5e627f4","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:92bcef2b-ec6d-41b8-82a1-ef85fa7dfd25","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main","Pipe Laying","Latest construction drawings referenced and followed"
"915bcd53-1a17-5559-9965-73978b62ff45","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:d5421fba-d7dd-48bb-b90a-4ac9b718ed7a","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main","Pipe Laying","Setout & Excavation completed checked and accurate (minimum cover considered)"
"f5df69fb-8513-5cb2-936d-e3d7fe666088","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:1eccad3e-69f7-47ea-babe-e93c51178550","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main","Pipe Laying","Ground Conditions Checked & Acceptable"
"5530c994-f2ef-5204-b85f-7854b84ff910","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:e565f854-8233-4e1f-b41d-6e581f6fcf52","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main","Pipe Laying","Bedding depth and material correct (photos & any relevant testing attached)"
"8177c6ea-5684-5a70-a658-264b3e668ab3","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:5097e76f-7815-4b23-8fae-2a8b4152d3ab","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main","Pipe Laying","Correct pipe (size, material & class) laid to specified level, grade and jointed as specified"
"f95fe492-1c1f-54f3-aca4-f762eb2dc624","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:64be2f60-6442-4bc8-8036-e9ef37e49144","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main","Pipe Laying","All connections complete, correct and approved (photograph of each connection required)"
"c6258498-87e7-532d-923b-a0ec4e57e840","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:e6b07ea4-bdd7-41d0-aa1f-4e5ea5814f87","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main","Pipe Laying","Relevant tests, photos & as-built information provided"
"7991a6ef-681c-551d-8a23-849303e25113","","checkpoint-group","not-started","Add Water Main:704b5ac4-ad31-4e87-bcb4-23462df9d8ce","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main","Backfill"
"3a94fe9e-0c2a-5326-ad6f-8f6657818993","","checkpoint-status","not-started","Add Water Main:704b5ac4-ad31-4e87-bcb4-23462df9d8ce:26365925-b8d2-4549-bb21-239d08ad728e","","TRUE","TRUE","QA","Foundations","Zone 1 - (Grids 1-6 & A-F)","Water Main","Backfill","Backfill completed & compacted as specified"
"f4b2a81f-9d23-4d24-9277-fdccaf3ea6b1","","folder-normal","not-started","","step","TRUE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)"
"cc6db528-f6fe-414c-8641-780ce15e3b3b","","checklist-sectioned","not-started","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)"
"2eec6140-22a1-4738-b35d-7d3bb76e3794","","checkpoint-group","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d","","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)","Pipe Laying"
"caff2aab-86d6-4723-ad4d-bfb1ccddafa5","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:c555e057-3f00-4ce6-8a24-1d790ebc2029","","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)","Pipe Laying","Latest construction drawings referenced and followed"
"0ab8bbb5-1e48-449a-9c1d-d90f35987a59","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:69f5badd-d755-4822-a31b-f0d8149116d5","","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)","Pipe Laying","Setout & Excavation completed checked and accurate"
"522c5195-1443-423c-9ac0-4719abbf513b","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:72639b77-ae08-411e-976d-a964ecfaf0bb","","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)","Pipe Laying","Ground conditions checked & acceptable"
"430a3ed9-1deb-432f-b53d-738ba6139c21","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:8313c17a-bf79-487a-bce6-e2759f3d0348","","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)","Pipe Laying","Bedding depth and material correct (photos & any relevant testing attached)"
"6639d90c-caa1-419d-af03-f013d7d1744b","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:0680da1f-bb61-421a-a31a-54ff28cab98f","","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)","Pipe Laying","Correct pipe (size, material & class) laid to specified level, grade and jointed as specified"
"b4c574d0-d435-464a-bcfd-6bab8627711d","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:5d53e5c0-d037-4295-af6e-a790fe189546","","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)","Pipe Laying","Connections to manholes complete, correct and approved"
"65b5bb69-aaea-4fdf-a1e8-a6e2ce7fc543","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:58b0a68c-cb45-4a8c-b14c-eacd041ec188","","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)","Pipe Laying","Relevant tests, photos & as-built information provided"
"2cd7cfb9-612f-4834-8368-a4cc00997782","","checkpoint-group","not-started","Add Stormwater Mainline:c84db9ef-b5d1-464d-8e46-98480c033f75","","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)","Backfill"
"98ae39fd-3642-4a4a-b4ba-a66ab278b749","","checkpoint-status","not-started","Add Stormwater Mainline:c84db9ef-b5d1-464d-8e46-98480c033f75:1df7dbfd-de63-45d5-a509-6f073adcbb64","","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Stormwater (Main Line)","Backfill","Backfill completed & compacted as specified"
"cb08542f-37d4-51c2-96d6-cae2feb28c7e","","checklist-sectioned","not-started","Add Waster Water Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)"
"e51054a5-c813-590f-87ab-cc9be73cb62f","","checkpoint-group","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)","Pipe Laying"
"3517834c-95e1-547c-ab93-486362e8cd3d","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:bf77c808-69f1-4b4c-9011-e6bf2314c17f","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)","Pipe Laying","Latest construction drawings referenced and followed"
"1d58bf4a-6d74-5fee-b786-d4f0cfe4756d","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:4bcb3e9b-1cbb-45e3-999b-0fdfaae15e3c","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)","Pipe Laying","Setout & Excavation completed checked and accurate"
"59ae4470-d53d-5653-89b9-396ab938b6a3","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:47a6d050-3800-48e9-9326-a54a12f24da9","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)","Pipe Laying","Ground Conditions Checked & Acceptable"
"36339d51-1412-59f9-abad-35d95767485b","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:7f7a4b17-3d41-4ea7-aa22-4f8d84c7c76f","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)","Pipe Laying","Bedding depth and material correct (photos & any relevant testing attached)"
"e68f4e67-cc56-5b55-94ec-264579aa9ad7","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:a289760c-f0f5-4f93-89f8-b94c8eaee033","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)","Pipe Laying","Correct pipe (size, material & class) laid to specified level, grade and jointed as specified"
"0cdab201-35df-50ca-ac88-d2599ab273cd","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:a7f8c7f4-9f0c-4882-8a18-dd24382f868d","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)","Pipe Laying","Connections to manholes complete, correct and approved"
"1f575d1e-11c0-5d0a-a851-7e5bef3a1b7f","","checkpoint-status","not-started","Add Waster Water Mainline:e8ca86b6-b62d-419e-8dfd-3c4aff0af2da:03deb6d2-9158-4ea9-97a6-495cea2e05eb","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)","Pipe Laying","Relevant tests, photos & as-built information provided"
"541d6f23-dad0-59d1-83f0-9f4634e27581","","checkpoint-group","not-started","Add Waster Water Mainline:54f8daa8-d9bb-4add-954a-d95d6a9155c3","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)","Backfill"
"a7265763-c19d-5b86-98a2-0f0074b92add","","checkpoint-status","not-started","Add Waster Water Mainline:54f8daa8-d9bb-4add-954a-d95d6a9155c3:21583bec-a3a3-47ab-9dc5-05f536f3da66","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Waste Water (Main Line)","Backfill","Backfill completed & compacted as specified"
"36049f44-97c7-5929-b6bf-153e8b17e364","","checklist-sectioned","not-started","Add Water Main","checklist","FALSE","FALSE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main"
"98177abf-b289-5a17-ac1e-5d2bcff9c265","","checkpoint-group","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main","Pipe Laying"
"1708b4f4-a117-5558-984d-1b1f443ff2b2","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:92bcef2b-ec6d-41b8-82a1-ef85fa7dfd25","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main","Pipe Laying","Latest construction drawings referenced and followed"
"b905d484-14be-5e22-96e0-894894bbc3a5","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:d5421fba-d7dd-48bb-b90a-4ac9b718ed7a","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main","Pipe Laying","Setout & Excavation completed checked and accurate (minimum cover considered)"
"584ae6b1-b419-5ede-8203-375b6cab9b07","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:1eccad3e-69f7-47ea-babe-e93c51178550","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main","Pipe Laying","Ground Conditions Checked & Acceptable"
"ab573ee6-74ce-559e-88de-52bac918d634","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:e565f854-8233-4e1f-b41d-6e581f6fcf52","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main","Pipe Laying","Bedding depth and material correct (photos & any relevant testing attached)"
"b313b673-79a0-5253-b66a-0656591eef33","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:5097e76f-7815-4b23-8fae-2a8b4152d3ab","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main","Pipe Laying","Correct pipe (size, material & class) laid to specified level, grade and jointed as specified"
"d3177677-6096-5392-8f28-2e3b07e418bc","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:64be2f60-6442-4bc8-8036-e9ef37e49144","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main","Pipe Laying","All connections complete, correct and approved (photograph of each connection required)"
"af78b4a0-40df-5403-9e91-fc19501567a4","","checkpoint-status","not-started","Add Water Main:10a9d1a7-da0f-4f4d-b907-01a8c6a0347f:e6b07ea4-bdd7-41d0-aa1f-4e5ea5814f87","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main","Pipe Laying","Relevant tests, photos & as-built information provided"
"be2265e4-ed35-5aac-ada4-7d912862d0a4","","checkpoint-group","not-started","Add Water Main:704b5ac4-ad31-4e87-bcb4-23462df9d8ce","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main","Backfill"
"7377d397-c44e-5ed1-8d20-d16e8b6a4f86","","checkpoint-status","not-started","Add Water Main:704b5ac4-ad31-4e87-bcb4-23462df9d8ce:26365925-b8d2-4549-bb21-239d08ad728e","","TRUE","TRUE","QA","Foundations","Zone 2 - (Grids 6-12 & A-F)","Water Main","Backfill","Backfill completed & compacted as specified"
"b2ebdd49-4d37-4788-a741-116039c49f26","","folder-normal","not-started","","step","TRUE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)"
"af4b9e0a-b773-4517-a430-0451ada15f93","","checklist-sectioned","not-started","Add Stormwater Mainline","checklist","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)"
"0dd335e0-3265-40f6-b309-98b47f245aed","","checkpoint-group","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d","","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)","Pipe Laying"
"9f8a8264-34cc-4b93-8804-a68a1c370aa0","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:c555e057-3f00-4ce6-8a24-1d790ebc2029","","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)","Pipe Laying","Latest construction drawings referenced and followed"
"d690692b-210a-4185-80ef-ea46275155b1","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:69f5badd-d755-4822-a31b-f0d8149116d5","","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)","Pipe Laying","Setout & Excavation completed checked and accurate"
"f48e5a04-e7a0-4a50-942a-c2af78a61155","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:72639b77-ae08-411e-976d-a964ecfaf0bb","","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)","Pipe Laying","Ground conditions checked & acceptable"
"86f61e95-bd5d-4007-bf02-24fe9c6bd607","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:8313c17a-bf79-487a-bce6-e2759f3d0348","","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)","Pipe Laying","Bedding depth and material correct (photos & any relevant testing attached)"
"4d1bd4e5-6072-4d45-88dd-6849ca2ff0a8","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:0680da1f-bb61-421a-a31a-54ff28cab98f","","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)","Pipe Laying","Correct pipe (size, material & class) laid to specified level, grade and jointed as specified"
"25bdc678-4266-4b50-9e89-efb61f1735bb","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:5d53e5c0-d037-4295-af6e-a790fe189546","","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)","Pipe Laying","Connections to manholes complete, correct and approved"
"0e4c98e9-79ca-4a45-b591-2a749e941214","","checkpoint-status","not-started","Add Stormwater Mainline:c29e82db-5e6e-42fb-8312-adaab8433f9d:58b0a68c-cb45-4a8c-b14c-eacd041ec188","","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)","Pipe Laying","Relevant tests, photos & as-built information provided"
"87e5f910-7d79-4692-94f0-56f762a39c90","","checkpoint-group","not-started","Add Stormwater Mainline:c84db9ef-b5d1-464d-8e46-98480c033f75","","FALSE","FALSE","QA","Foundations","Zone 3 - (Grids 6-12 & F_K)","Stormwater (Main Line)","Backfill"
