"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6290af21-5663-4d5a-be00-a8657aef119e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"996a56de-d4c9-452e-9aa4-76d767c22ec2","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 1"
"4b213afc-b104-4e58-83b5-546a14d0c082","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Building 1","Ground"
"83c1068b-c27b-4a2c-afe7-9455513f633f","","checklist-flat","not-started","Suspended Slab Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 1","Ground","Suspended Slab"
"a5109d97-3be4-51f3-b77e-68fe3ec7095f","","checkpoint-status","pass","Suspended Slab Checklist :bf5033ed-1002-49c4-9424-be8f10284c18","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Surveyor points given for outside of building"
"d09a65ab-19c9-5ba0-a081-87b86bc2bd25","","checkpoint-status","not-applicable","Suspended Slab Checklist :04454014-f553-4f6c-a114-a01aa90ee809","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Fillet & drip mould installed"
"f5fbbfb2-e52a-5d24-b6c3-7b1fa2afe47d","","checkpoint-status","not-applicable","Suspended Slab Checklist :06a6ddd3-37c2-4f93-9de2-20d0b86dbe4a","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Check set down position & RL"
"d0544451-4afc-5e1e-85c1-b69e63394d21","","checkpoint-status","not-applicable","Suspended Slab Checklist :68612817-3815-4447-a061-ba05d79ebaa4","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Check penetrations installed "
"2a8fa1ee-cb34-5ad3-b616-9c97a74bc940","","checkpoint-status","not-applicable","Suspended Slab Checklist :55c4297c-810d-4caa-adb1-a007c3ec8f0e","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Prop drop head wedges are secure "
"e4f09847-199a-5b1f-ac75-d67e431dbe52","","checkpoint-status","not-applicable","Suspended Slab Checklist :43fee141-a2dc-42ac-85df-fe121c3b2805","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Column blockouts installed"
"88e28d98-b035-5b5f-a789-279d305be17f","","checkpoint-status","not-applicable","Suspended Slab Checklist :206fc3d6-048b-4f82-be19-a0c03967ad6a","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","check back propping as per design"
"4e3e6c43-094c-576a-9877-97798da40376","","checkpoint-status","not-applicable","Suspended Slab Checklist :837ad028-b375-4a8e-a566-4bf65bea430a","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Blow off deck"
"31c623be-71e2-5297-90df-e1dce510883d","","checkpoint-status","not-applicable","Suspended Slab Checklist :fb4c163e-1b65-4191-95d4-328e02cda023","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Engage external consultant (engineer inspection)"
"f0ca22a2-fba4-520f-a9de-a6b1c4c27d91","","checkpoint-status","not-applicable","Suspended Slab Checklist :f053e458-da43-4b02-a1b4-80772da5dc79","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Correct Class of Finish"
"b7c7e043-1a76-5a55-9d3b-4a60d31cb32e","","checkpoint-status","pass","Suspended Slab Checklist :231bb06c-baf8-470a-8f07-3ad1c530eeb3","","TRUE","TRUE","Site QA","Building 3","Ground","Suspended Slab","Stripping, cleaning & materials removed"
"544d5df3-b12d-4c17-bcd7-0ccd935af76c","","checklist-flat","not-started","S.O.G Checklist","checklist-flat","FALSE","FALSE","Site QA","Building 3","Ground","Ground Works"
"70d996f8-65f2-52c2-bbed-295989207aa0","","checkpoint-status","not-started","S.O.G Checklist:d0518f06-35f3-4b26-85e4-2b1491df7256","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Area accessible & ready"
"88280ae5-0320-59a3-ac75-f93524d1236c","","checkpoint-status","not-started","S.O.G Checklist:85463739-8cc6-42f3-94a9-4d0391813b1e","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Drawing references entered"
"299f9c74-80d3-50d1-b15f-8559e9529f37","","checkpoint-status","not-started","S.O.G Checklist:8c5c96d8-88be-43f9-873b-6e5a6070ffb0","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Current plans in use"
"100eb7f1-6b72-5242-9bf2-0bc9001fbbd1","","checkpoint-status","not-started","S.O.G Checklist:55ea7ab3-0abc-48c3-9c70-16d955069e1b","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Survey points give for grids"
"299d0fd5-d732-5a2f-a60e-e98d63979c52","","checkpoint-status","not-started","S.O.G Checklist:7c96e20b-5bfa-449f-9310-3d8e9340ae3f","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Surveyors points given for edge boards"
"945eec98-87de-5668-8a7d-42c97582b2fa","","checkpoint-status","not-started","S.O.G Checklist:8ffede05-cc84-40f9-b2c8-dba4de8ff388","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Datum RL supplied by surveyor"
"4affdf53-8229-5b82-bb56-9cd67fc2947d","","checkpoint-status","not-started","S.O.G Checklist:c9ff96de-612b-4144-a751-a4d6de1f4ccd","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Edge boards plumb & straight"
"565c3f5b-4177-51cf-b19e-052b95b8f4bd","","checkpoint-status","not-started","S.O.G Checklist:69dde4a3-3b36-495b-bf53-25f3c8721ef1","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Step downs secure & correct RL"
"7ffcf161-9513-5e1e-a077-d3cffb34126d","","checkpoint-status","not-started","S.O.G Checklist:2f997927-2ffe-4578-b0ea-161a95c6212b","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Dowels installed on pour joins"
"3ef75f8c-82d5-5b06-9e6f-cd320f6dfcfa","","checkpoint-status","not-started","S.O.G Checklist:4117ccc6-faf3-4a0e-b196-361aa466f4b6","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Column blockouts installed"
"16ba0ef8-2558-5472-9eb9-ce5c9e0b1e83","","checkpoint-status","not-started","S.O.G Checklist:2f627d55-e3c5-428d-abb4-22e771bddd74","","TRUE","TRUE","Site QA","Building 3","Ground","Ground Works","Correct Class of Finish"
"a1561646-501f-41a5-81b9-12e2b2e2e22a","","checklist-flat","pass","Walls Checklist ","checklist-flat","FALSE","FALSE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6"
"95cd88e9-3a19-5694-8be6-60ab9775061a","","checkpoint-status","pass","Walls Checklist :3389534a-910a-4e1b-8a4a-f048404a6050","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Area accessible & ready"
"b1e47759-b9f4-592a-a427-933ecc4f1f74","","checkpoint-status","pass","Walls Checklist :1ad8f403-01e5-406e-955c-190221cb8183","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Drawing references entered"
"32442fb1-a25c-5a3e-a35b-157770d2f961","","checkpoint-status","pass","Walls Checklist :996ebf32-7397-4b4f-9e97-22441153ecd2","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Current plans in use "
"a2dd8a94-d914-5dd6-bd98-df7cda6e1f9f","","checkpoint-status","pass","Walls Checklist :e1f4ed79-2875-4e96-b26c-8d5a7938abf9","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Survey points given for 2 points"
"200d937e-5fc6-50c7-b283-a221e18bbdd1","","checkpoint-status","not-applicable","Walls Checklist :a4b95336-e4d2-4792-bc7b-562ebef9e04b","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Land shutter bracing props secured plumb shutter"
"de696505-1f0e-5d9d-ba5f-3bb6ec2c0ba7","","checkpoint-status","pass","Walls Checklist :558851fa-db42-4a4d-9a1b-cd4d4d3ff5e7","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Datum RL supplied by surveyor pour height marked "
"e4f16f98-7a94-5372-b34b-837093b61c65","","checkpoint-status","not-applicable","Walls Checklist :19a48055-fbd4-49ab-ae91-508d1c7c62ea","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Blockouts steps penetrations marked & installed"
"6d2824c6-f91c-51f5-afc0-bae39278e70e","","checkpoint-status","pass","Walls Checklist :0a9ffd15-921b-434c-8de4-dabfe0bdaedd","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Steel tied & clear from Z bar holes"
"45997341-c991-57b5-ac46-812a6429a26a","","checkpoint-status","not-applicable","Walls Checklist :7bd47776-f60f-4049-80dc-f76cd0241741","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Couplers & rebate boards installed "
"cadb9085-fe72-5db3-942c-22a0a7d11b62","","checkpoint-status","pass","Walls Checklist :209c67ca-4fca-4551-bc5e-6b176145f383","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Base of walls cleaned "
"c206b9c7-8d88-5b4f-9718-8764967bc6af","","checkpoint-status","pass","Walls Checklist :29ae4dbd-04fa-48dc-9802-60dda94b77c7","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Closing shutter installed"
"08b05c29-38d4-514b-956a-42fedbcba317","","checkpoint-status","pass","Walls Checklist :8fe0ac92-b9f6-45bf-aa7a-c596590028da","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Z bars secured wall straight & plumbed "
"2e86e6ef-716f-570d-9578-13915c031557","","checkpoint-status","pass","Walls Checklist :a838d578-bdeb-4a22-bb0f-6da54942684f","","TRUE","TRUE","Site QA","Building 3","Ground","Walls Checklist ISS walls Area 6","Correct Class of Finish"
"d33efb85-16dc-4e2f-a4cd-92fc3a7db167","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Building 3","Level 4"
"2b08b1d8-071a-4c5a-8968-6d5388f80bf2","","checklist-sectioned","not-started","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Building 3","Level 4","Climb track"
"7c01f768-bb17-54b9-aa37-96607e52879a","","checkpoint-group","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56","","FALSE","FALSE","Site QA","Building 3","Level 4","Climb track","Pre Lift"
"9560ffbb-40a6-5b8d-97d1-2fb0e6ba05b2","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:4cf3e491-d1e9-4604-a433-5266911aa0c5","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Confirm concrete strength MPA 15 has been reached at connection points (Builder to supply) "
"7e2ef01f-b128-5d87-931b-a4a44195abf7","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:bb437a06-0cb2-4063-90f4-0498754c68c0","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Signage in place (Stripping in progress/Jumping in progress/ No access) "
"271cebe2-008e-5548-b0db-987677a98c24","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:a9860a12-f438-44ff-8689-0c818317c507","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Exclusion Zone in place "
"c5f53f9d-6a36-53e2-ab7e-f66c3cddf4d1","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:d60da7d8-7481-4c81-a815-864b844ffaa7","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Spotters in place on slab below jump (outside exclusion zone)"
"557f98d2-f8b8-5425-90d3-b8759628eed5","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:d2c0f2ea-d852-4389-8644-ee3696e287fe","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","All Platforms cleaned and clear from rubbish "
"b38f708c-a3fb-5120-af67-2e1d1c90c9df","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:f18dc788-9faf-46cf-b2a0-71f86f57ab93","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","All loose materials removed from edge "
"b8c9f794-c7f4-5aaf-858d-47ea2a61fcea","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:e9869f46-66e9-4ba9-a686-f31c47c1f854","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Clear communication between team leaders and Crane crew (toolbox talk)"
"ee6e8d6d-c49f-51cd-beef-9edacd1d02ed","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:b2a34276-081c-4d44-8ced-423ae36c1ce4","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Ladders available and secured "
"dc38e79c-610c-5f5f-936c-03f7bddaa247","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:27f75df9-8f9f-4eeb-8629-45bb9e95aa93","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Flipper systems lubricated "
"c7dbed12-1d08-5a2a-9e8d-99b21d8df2f9","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:61aab4c0-9a0f-493e-97a1-6bb173c7ffee","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Trailing Decks clean of debris "
"e314dc3f-da6a-577d-ab08-6b88d011100d","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:d3973614-1df3-4cfa-b517-8b29c84b644a","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Trailing decks clear of protruding ferrals in walls above "
"90c9f261-9413-514a-9027-09193393374f","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:2660669c-f5f8-4bc1-8c95-44141c396bd7","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Check exclusion zones in pit below are in place "
"8d2fe26c-cba7-5617-a3f0-af8e6d15b3ce","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:a9bf8dee-0fe6-41d8-b5a2-fa8678443915","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Plumber to check pipes to water cooler "
"102644ad-7abf-5e2e-b4bd-1d10b975ec65","","checkpoint-status","not-started","Climb Track Checklist:2de8659b-8cfb-4e17-ae07-db4e420f0c56:069b8e64-6893-436d-b4a4-9db034641e67","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Pre Lift","Transfer RL heights "
"29f2e365-21da-5314-85e8-7751975fe863","","checkpoint-group","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9","","FALSE","FALSE","Site QA","Building 3","Level 4","Climb track","Post Lift"
"74b43739-d510-5441-9d0f-35e534f394f2","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:60c83187-38c9-4b30-a905-eb83773c8de1","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","Confirm connection points are secure and all engaged "
"8fb106f4-b9cc-54b7-b47a-8750f4eb3039","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:1b75bb10-d900-4077-99dd-b9bce9e74363","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","Confirm mesh secured to doors and penetrations"
"d0d13231-6e17-5ec3-a198-6218f5e4dcf0","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:f85d54a0-ccc0-4d05-ad8b-ccffef9ac7e2","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","Signage in place "
"e1e61c2f-563e-58d1-a176-23a50029e1a0","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:8542d381-c77b-41a6-b580-3e91640696ec","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","Screens and mesh infills are in place and secure "
"830b058c-c0cf-5640-9262-f3aafd1b34b7","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:ba228f7c-4e30-40e2-9604-c3c6b28b2cac","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","Loose materials are stacked and secure each day "
"e045964a-345d-5972-ab9a-6e3864bd1a3f","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:a70c5f30-1137-47c1-b027-70914f8a7e01","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","Platforms cleaned and clear from rubbish "
"e0930642-a7f3-5ac4-9163-73044295ffb2","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:1c159be7-cd0d-487a-b33d-2222fb0dab38","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","All loose materials removed from edge "
"1484101c-c3cd-5177-ab04-0335da840f0d","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:9abb21e7-6512-49b3-afa5-5f2cddd19ce9","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","Loads on platforms not exceeded "
"e7d314c9-07a1-551c-9d78-b060370bb8a1","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:86948387-bff2-4c15-9dc9-d48f4ad93eee","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","Ladders available and secured "
"59688e23-7777-511e-bf4b-989c66372436","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:f9fb47d9-b676-4c04-bfdf-721ef8400c3e","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","Access is clear and marked "
"63e31c69-7059-555c-93db-6c714fa0274c","","checkpoint-status","not-started","Climb Track Checklist:84eaf7bf-101f-4568-9c27-b347d18c81f9:2ad6829d-c5c7-4f13-8ba6-8c21f334f0cc","","TRUE","TRUE","Site QA","Building 3","Level 4","Climb track","Post Lift","Power Board connected"
