type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,
note,ACCEPTANCE CRITERIA: Materials used for bedding and selected backfill shall be free from perishable matter and lumps and shall conform with the Material Approval in the Main ITP. ,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: HP*,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: Material Delivery Docket,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
section,Preliminaries - Procedures & Documentation,,,,,,,,,,,,,,,,
checkpoint,3.1 Subcontractor QA Submissions and ITP,,,,,,,,,,,,,,,,
note,REFERENCE: ITP-CIV-CAMMS-Stormwater Drainage Rev 0,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: Subcontractor Signed ITP Shall conform with the Hold Point Release in the Main ITP.,,,,,,,,,,,,,,,,
note,ATTACH: Subcontractor Signed ITP ,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot (in case undertaken by subcontractor),,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: HP*,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
section,Construction Activities,,,,,,,,,,,,,,,,
checkpoint,3.1 Survey Set Out,,,,,,,,,,,,,,,,
note,REFERENCE: VR 701.10,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,"ACCEPTANCE CRITERIA: Survey activities undertaken to ensure and validate the plan location, height and line of pits in accordance with design documentation and 701.10",,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Visual inspection ,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: HP*,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
checkpoint,3.2 Pit Excavation,,,,,,,,,,,,,,,,
note,REFERENCE: VR 705.05,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: Excavation shall be to the depth indicated on the design documentation. Precast pits must have a clearance of 400mm from excavation face and external face of pit.,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Visual inspection ,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: IP,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
checkpoint,3.3 Excavation Foundation,,,,,,,,,,,,,,,,
note,REFERENCE: VR 705.05,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,"ACCEPTANCE CRITERIA: Bedding conforming to to 710.09 shallbe supplied, placed and compacted to a thickness:",,,,,,,,,,,,,,,,
note,> 80mm for clay foundations,,,,,,,,,,,,,,,,
note,> 150mm for rock foundations,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Visual inspection ,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: IP,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
checkpoint,5.7 Placement of Pit-Conformity with drawings,,,,,,,,,,,,,,,,
note,REFERENCE: VR 701.10,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: The location of each run of underground drainage shall be verified by a survey certificate prior to backfilling the culverts and shall be recorded progressively on the Contractor’s as constructed drawings,,,,,,,,,,,,,,,,
note,Unless specified otherwise the tolerance on location of pipes compared to the design or a change to the design notified in accordance with this clause shall be:,,,,,,,,,,,,,,,,
note,(a) offset of entry pits required to match lines of  kerbs or barriers ±20 mm,,,,,,,,,,,,,,,,
note,(b) plan location of pits other than offsets to kerb lines or barriers ±100 mm,,,,,,,,,,,,,,,,
note,(c) invert level of pipes at pits ±50 mm,,,,,,,,,,,,,,,,
note,(d) departure from design grade of pipe runs ±10 mm in 10 m provided minimum grade is not less than 1:250,,,,,,,,,,,,,,,,
note,ATTACH: Survey Report,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Measure,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: HP*,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: Survey Report,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
checkpoint,3.4 Jointing,,,,,,,,,,,,,,,,
note,REFERENCE: VR 705.11,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,"ACCEPTANCE CRITERIA: All connections shall be finished to provide a smooth surface, uniform with the inner of the pit structure. Saw cut surrounding hole shall not exceed 50mm greater than the pipe diameter.",,,,,,,,,,,,,,,,
note,○ Exposed reinforcement shall be coated with an approved epoxy treatment,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Visual inspection ,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: IP,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
checkpoint,3.5 Shaping of Floor,,,,,,,,,,,,,,,,
note,REFERENCE: VR 705.13,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: Pit floors are smoothly shaped from inlet to outlet for a height one third the diameter of the outlet pipe.,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Visual inspection ,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: IP,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
checkpoint,3.6 Step Irons,,,,,,,,,,,,,,,,
note,REFERENCE: VR 705.12,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: Drainage pits greater than 1.0m deep shall be fitted with step irons in accordance with AS 1657. Ladder rungs shall not obstruct openings and that water does not discharge on them.,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Visual inspection ,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: IP,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
checkpoint,3.7 Fitting of Covers,,,,,,,,,,,,,,,,
note,REFERENCE: VR 705.17,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,"ACCEPTANCE CRITERIA: Frames for drainage pit covers shall be cast in place or or bedded on fresh mortar, 5mm thick, consisting of 2 parts sand and 1 part cement.",,,,,,,,,,,,,,,,
note,○ Height shall be within 10mm of the design level,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Visual inspection ,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: IP,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
checkpoint,3.9 Backfilling Around Drainage Pits,,,,,,,,,,,,,,,,
note,REFERENCE: VR 705.18,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,ACCEPTANCE CRITERIA: Backfilling around drainage pits shall be placed in layers not exceeding 300mm loose thickness and compacted to refusal,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Visual inspection ,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: IP,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
section,Post-construction Activities,,,,,,,,,,,,,,,,
checkpoint,6.1 Compaction and Moisture content tests,,,,,,,,,,,,,,,,
note,REFERENCE: VR 701.20,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,"ACCEPTANCE CRITERIA: Bedding and backfill shall be assessed for compaction and or moisture in lots.  The number of tests per lot shall be three.  A lot shall consist of one layer of bedding or backfill for a culvert length between adjacent pits or endwalls.  Notwithstanding the provisions of Section 173, a minimum of 20% of all lots for each culvert shall be tested.",,,,,,,,,,,,,,,,
note,ATTACH: Compaction and Moisture content test results:,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: IP,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: SE/PE,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: Test Results,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
checkpoint,6.2 CCTV Inspection,,,,,,,,,,,,,,,,
note,REFERENCE: VR 701.30,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,"ACCEPTANCE CRITERIA: All drainage lines constructed shall be inspected, after completion of earthworks to subgrade level and prior to construction of pavement layers, by an independent testing organisation using closed circuit television (CCTV) to verify that the flow of water is not obstructed by waste construction material left inside and to check for visible signs of defects.",,,,,,,,,,,,,,,,
note,ATTACH: CCTV Report (PDF):,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,METHOD: Document Review,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,FREQUENCY: Each Lot,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,CATEGORY: HP,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,,,
note,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,,,
note,VERIFYING DOCUMENTS: CCTV Reports,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,
checkpoint,Final Inspection,,,,,,,,,,,,,,,,
note,"On behalf of Metropolitan Roads Program Alliance, it is hereby certified that the Works represented by the item of work listed have been tested in accordance with the Project Quality Plan and conform in all respects with the requirements of the Contract.",,,,,,,,,,,,,,,,
textbox,Name:,,,,,,,,,,,,,,,,
textbox,Position:,,,,,,,,,,,,,,,,
textbox,Date Completed:,,,,,,,,,,,,,,,,
signoff,Sign ITP,,,,,,,,,,,,,,,,
