"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"77650e24-6bea-44db-ba87-5d81bd4fb71a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"857dea0d-07f4-4ebe-ae63-c73522c5a54a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs"
"aabf8cfe-2ab5-40d0-b0f4-6ef5119cfc20","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS"
"4f47f2c7-a58d-41bd-a7c3-6cd7f0410e17","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1"
"f3bbf098-18b4-4f5f-90ec-d31e40131492","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 1"
"8081560a-2d55-4354-a8f6-fb8b305c3218","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 3","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"a4c98ca1-d7b2-481a-98de-ee86a852c966","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 4"
"c1f442ab-25c0-4d32-9f54-8ed1a2595707","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 4","AE-ITCX-001 - Temp DB Checklist"
"d6aa8480-f268-44cc-9905-8432d36f30a5","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 4","AE-ITCX-002 - Monthly RCD Test Sheet"
"c8a573f8-2b09-450d-b3ca-caec329ba929","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 4","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"57595329-84bf-4138-9f17-7ce095f65507","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 5"
"f9a245bd-6ef0-4650-a938-0a243e333a30","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 5","AE-ITCX-001 - Temp DB Checklist"
"7bd0a081-de2c-4382-9469-54b93a528f36","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 5","AE-ITCX-002 - Monthly RCD Test Sheet"
"02c26194-9ae2-46f4-8201-45d5cdacee74","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 5","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"8fe95224-7bee-421e-838a-f7da98eb19ae","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 6"
"332f9a1e-47b3-44e0-85f3-557986563eed","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 6","AE-ITCX-001 - Temp DB Checklist"
"faeba379-5128-4427-a887-13c61fc8684e","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 6","AE-ITCX-002 - Monthly RCD Test Sheet"
"531738f3-0d05-4dd9-8cce-7925862ef4be","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 6","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"66f35333-799b-485d-9a93-4b4acb3ee69c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 7"
"bdbaf6ec-220d-44ad-bd96-98fb5623f67b","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 7","AE-ITCX-001 - Temp DB Checklist"
"0e52dad4-b7f7-4138-9055-5b9878bd1eef","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 7","AE-ITCX-002 - Monthly RCD Test Sheet"
"9158f439-f813-432f-8493-cdebd0b444b5","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 7","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"3461c8d0-1ee2-4f24-abed-92b4d2647ecd","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 8"
"7a31113f-110c-4650-92b9-8e66364dbea7","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 8","AE-ITCX-001 - Temp DB Checklist"
"df7932cf-08e0-4e0d-af30-796614e85199","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 8","AE-ITCX-002 - Monthly RCD Test Sheet"
"9f786c33-0bc0-4fbe-8641-92863e1cb71e","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 8","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"78d75ccc-ec00-40b8-8cb6-f83cef8c9d6b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 9"
"4ec9216b-0d9b-4a27-a306-0f09c189998a","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 9","AE-ITCX-001 - Temp DB Checklist"
"92710919-95db-4219-89cd-f23040d0b7a7","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 9","AE-ITCX-002 - Monthly RCD Test Sheet"
"3d5af653-34e8-4fde-9866-27339dc7f196","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 9","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"1075a6a8-7764-4827-b995-944aa2c31af3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 10"
"f343ccc9-e41a-4fc5-bfc7-6b8a82d4698e","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 10","AE-ITCX-001 - Temp DB Checklist"
"6aaed798-dcbb-4b99-9f07-d4f5474748eb","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 10","AE-ITCX-002 - Monthly RCD Test Sheet"
"ffa05fdf-dcda-475d-8bd4-3e6bbb331b77","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","DB 10","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"65f290a6-bacc-4eeb-b154-a3053ce67e37","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L23 TDB 5054"
"06bee726-70b6-4fb2-bc3d-807858a6f478","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L23 TDB 5054","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"59a27c43-8fc9-421a-b26f-108290510005","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L23 TDB 5054","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"a9213721-f1ec-4bd3-8602-b5fd28be0052","","checklist-sectioned","pass","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L23 TDB 5054","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"2cb2ae43-de08-4140-a522-bdad855e7211","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L24 TDB 4193"
"12132ea2-181e-4183-9e3f-b0e4a080397b","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L24 TDB 4193","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"5cc9f93b-a7a3-4ce9-9918-bbd3b38bba00","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L24 TDB 4193","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"881e0c7f-67f2-4fd9-9db1-10764eb8f858","","checklist-sectioned","pass","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L24 TDB 4193","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"053abe09-6282-4a7a-a99f-8db9f6528d3e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L25 TDB 4640"
"db63201c-a753-4ce9-9ece-fbea9d1530e8","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L25 TDB 4640","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"6ffb5e88-226d-4882-bc6a-c5780c508a39","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L25 TDB 4640","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"9b0524eb-8672-49d7-b070-eeed90b2fd78","","checklist-sectioned","work-in-progress","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L25 TDB 4640","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"d3d47985-ba17-4173-a189-e164b1695abc","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L26 TDB 5002"
"3470b1bf-6443-4627-af9b-0314b9dbbba9","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L26 TDB 5002","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"fde0b540-7d58-4ffa-b0b1-39431d182d54","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L26 TDB 5002","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"3738a2f8-342a-45bd-bd9b-4c3df38430b6","","checklist-sectioned","work-in-progress","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L26 TDB 5002","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"b6377a3d-11c1-4dac-88bc-b0474535c11c","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L27 TDB 4581"
"d1f1870f-d9c3-4a7c-9c55-dba2a360111c","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L27 TDB 4581","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"b095c2bc-d0eb-4792-badf-722dfe511f82","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L27 TDB 4581","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"d22a87ed-e049-49fc-972f-525c5863a1d9","","checklist-sectioned","pass","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L27 TDB 4581","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"fd7399f1-afe1-4159-ac56-2ee66971f1ef","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L28 TDB 9695"
"693b9466-e1c8-40b8-a1c1-a971e60bee25","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L28 TDB 9695","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"76fd7990-2c14-4ddd-acbd-48994613f241","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L28 TDB 9695","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"e5c3fd3d-be2b-4710-93ba-d5fd52aa472a","","checklist-sectioned","work-in-progress","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L28 TDB 9695","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"3f60e429-28b0-46fa-9d16-14faa1750a4a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L29 TDB 5085"
"7fb45df8-c3a7-42e4-a28a-774d6c67bb79","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L30 TDB  4152"
"b8324552-f4f6-4c29-8cfa-79da6cafd005","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L31 TDB 4480"
"7763c880-b93d-4537-a46a-4dd689b209db","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L32 TDB 4556"
"b2213036-76b8-47f7-a420-45a8eec4b140","","checklist-sectioned","pass","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L32 TDB 4556","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)"
"76a4bab4-d2e4-473f-b300-4885587dce76","","checklist-sectioned","work-in-progress","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L32 TDB 4556","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)"
"e0e46797-7098-4c60-8a09-de0c949e4f39","","checklist-sectioned","pass","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 1 Temp Rising Main No.1","L32 TDB 4556","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)"
"88126c51-e39f-4dcb-87bb-8faf798791bf","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2"
"652a13c8-8060-4187-9eb6-8d5761c3139f","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 1"
"381a69c7-bfd8-4c11-9b55-c950438555a4","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 1","AE-ITCX-001 - Temp DB Checklist"
"ee7fe9a7-a265-47dd-96b6-cd274fadca0d","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 1","AE-ITCX-002 - Monthly RCD Test Sheet"
"1e616eb3-2df5-423a-86c7-d71fa99114c6","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 1","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"b73bc9d5-cae9-4858-a7fd-5b30765b6813","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 2"
"057cc2a8-62f1-4b0a-8519-b0535f309614","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 2","AE-ITCX-001 - Temp DB Checklist"
"2dd2740f-56a2-4a79-8be9-ab4cce440007","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 2","AE-ITCX-002 - Monthly RCD Test Sheet"
"3147c276-8b40-4dd3-a46d-4ee1a8376062","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 2","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"1a84564b-2eb1-430c-956a-d63b5b581421","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 3"
"82ce363c-793c-444e-9c5d-b8136671e072","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 3","AE-ITCX-001 - Temp DB Checklist"
"20544d4e-93db-4965-b3fe-7b24082909d1","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 3","AE-ITCX-002 - Monthly RCD Test Sheet"
"bc202441-2262-40e4-9e24-f0b0d915057d","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 3","AE-ITCX-003 - Mandatory Test for Construction Wiring"
"2e013547-54fb-4dde-bc08-98ac09c35f56","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 4"
"86f96cea-ee03-4a3f-89ce-b2681568a6e3","","checklist-sectioned","not-started","AE-ITCX-001 - Temp Board Checklist (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 4","AE-ITCX-001 - Temp DB Checklist"
"96e8b2c1-7a35-4e7e-a9aa-bbd458aac5ac","","checklist-sectioned","not-started","AE-ITCX-002 - Monthly RCD Test Sheet (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 4","AE-ITCX-002 - Monthly RCD Test Sheet"
"9d233463-6850-4d30-9400-d78f5479df09","","checklist-sectioned","not-started","AE-ITCX-003 - Mandatory Test Results For Construction Wiring (Rev 0 +Names)","checklist","FALSE","FALSE","Site QA","Temporary DBs","MDB TEMPS","Tower 2 Temp Rising Main No. 2","DB 4","AE-ITCX-003 - Mandatory Test for Construction Wiring"
